«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.619,0.624,0.601,0.602,0.619,-2.746,-0.017,2.1530814E7,35224495
2026/01/12,0.633,0.638,0.617,0.619,0.633,-2.212,-0.014,3.0727134E7,48874437
2026/01/11,0.644,0.654,0.631,0.633,0.644,-1.708,-0.011,4.0459444E7,63147164
2026/01/08,0.63,0.68,0.643,0.644,0.63,2.222,0.014,9.5521656E7,144693486
2026/01/06,0.628,0.643,0.628,0.63,0.628,0.318,0.002,3.4773244E7,54833599
2026/01/05,0.636,0.646,0.623,0.628,0.636,-1.258,-0.008,6.1031548E7,96389414
2026/01/04,0.599,0.656,0.608,0.636,0.599,6.177,0.037,1.54665712E8,243543752
2025/12/31,0.593,0.625,0.596,0.599,0.593,1.012,0.006,6.2156916E7,102085726
2025/12/30,0.59,0.597,0.589,0.593,0.59,0.508,0.003,8931257.0,15056607
2025/12/29,0.593,0.6,0.587,0.59,0.593,-0.506,-0.003,1.4820836E7,24995842
2025/12/28,0.595,0.603,0.593,0.593,0.595,-0.336,-0.002,1.4594983E7,24407801
2025/12/25,0.588,0.595,0.588,0.595,0.588,1.19,0.007,5806170.0,9813610
2025/12/24,0.587,0.592,0.585,0.588,0.587,0.17,0.001,7128387.0,12109091
2025/12/23,0.589,0.595,0.583,0.587,0.589,-0.34,-0.002,4771600.0,8133653
2025/12/22,0.588,0.598,0.587,0.589,0.588,0.17,0.001,1.1034039E7,18635390
2025/12/21,0.589,0.595,0.586,0.588,0.589,-0.17,-0.001,6961104.5,11799941
2025/12/18,0.589,0.592,0.587,0.589,0.589,0.0,0.0,5074639.5,8619117
2025/12/17,0.592,0.595,0.588,0.589,0.592,-0.507,-0.003,5504061.0,9327793
2025/12/16,0.594,0.6,0.591,0.592,0.594,-0.337,-0.002,8446800.0,14223326
2025/12/15,0.595,0.603,0.592,0.594,0.595,-0.168,-0.001,9066474.0,15200280
2025/12/14,0.593,0.606,0.593,0.595,0.593,0.337,0.002,1.4882179E7,24929658
2025/12/11,0.606,0.607,0.591,0.593,0.606,-2.145,-0.013,1.4940452E7,24937928
2025/12/10,0.609,0.611,0.602,0.606,0.609,-0.493,-0.003,1.2417791E7,20499578
2025/12/09,0.619,0.624,0.604,0.609,0.619,-1.616,-0.01,1.6002158E7,26161669
2025/12/08,0.613,0.625,0.613,0.619,0.613,0.979,0.006,2.2817918E7,36915731
2025/12/07,0.621,0.627,0.609,0.613,0.621,-1.288,-0.008,3.118775E7,50598928
2025/12/04,0.62,0.633,0.618,0.621,0.62,0.161,0.001,9.9454392E7,158703729
2025/12/03,0.588,0.638,0.588,0.62,0.588,5.442,0.032,1.10251344E8,177859812
2025/12/02,0.6,0.607,0.588,0.588,0.6,-2.0,-0.012,1.917816E7,32092683
2025/12/01,0.59,0.609,0.591,0.6,0.59,1.695,0.01,2.7927092E7,46498375
2025/11/30,0.594,0.605,0.589,0.59,0.594,-0.673,-0.004,1.0711458E7,17996639
2025/11/27,0.593,0.607,0.586,0.594,0.593,0.169,0.001,5296947.5,8907811
2025/11/26,0.597,0.607,0.591,0.593,0.597,-0.67,-0.004,2289448.75,3830265
2025/11/25,0.61,0.62,0.594,0.597,0.61,-2.131,-0.013,8178374.0,13412876
2025/11/24,0.604,0.618,0.592,0.61,0.604,0.993,0.006,9199016.0,15138784
2025/11/23,0.6,0.617,0.592,0.604,0.6,0.667,0.004,9338853.0,15397932
2025/11/20,0.595,0.6,0.588,0.6,0.595,0.84,0.005,3479189.0,5856689
2025/11/19,0.587,0.597,0.585,0.595,0.587,1.363,0.008,4773733.5,8060999
2025/11/18,0.605,0.609,0.586,0.587,0.605,-2.975,-0.018,7647641.0,12809983
2025/11/17,0.606,0.632,0.604,0.605,0.606,-0.165,-0.001,2.3977064E7,38802702
2025/11/16,0.585,0.613,0.582,0.606,0.585,3.59,0.021,1.9561966E7,32476309
2025/11/13,0.579,0.589,0.578,0.585,0.579,1.036,0.006,1761805.375,3022151
2025/11/12,0.58,0.59,0.579,0.579,0.58,-0.172,-0.001,3136461.25,5385473
2025/11/11,0.589,0.594,0.579,0.58,0.589,-1.528,-0.009,3981915.0,6819800
2025/11/10,0.594,0.6,0.588,0.589,0.594,-0.842,-0.005,1350401.5,2282755
2025/11/09,0.593,0.608,0.593,0.594,0.593,0.169,0.001,6826118.0,11384620
2025/11/06,0.58,0.608,0.58,0.593,0.58,2.241,0.013,1.8894724E7,31678795
2025/11/05,0.581,0.597,0.58,0.58,0.581,-0.172,-0.001,5488914.5,9319036
2025/11/04,0.586,0.591,0.581,0.581,0.586,-0.853,-0.005,2155513.25,3693313
2025/11/03,0.593,0.6,0.585,0.586,0.593,-1.18,-0.007,5293995.0,8942010
2025/11/02,0.578,0.593,0.576,0.593,0.578,2.595,0.015,2935174.75,5000058
2025/10/30,0.582,0.59,0.578,0.578,0.582,-0.687,-0.004,2128589.0,3667662
2025/10/29,0.578,0.59,0.578,0.582,0.578,0.692,0.004,1040702.375,1782391
2025/10/28,0.586,0.589,0.575,0.578,0.586,-0.512,-0.003,2154389.75,3703098
2025/10/27,0.59,0.596,0.585,0.586,0.59,-0.339,-0.002,3896377.0,6628498
2025/10/26,0.589,0.596,0.589,0.59,0.589,0.17,0.001,2269014.25,3836819
2025/10/23,0.589,0.595,0.585,0.589,0.589,0.0,0.0,1908169.75,3236329
2025/10/22,0.594,0.604,0.587,0.589,0.594,-0.842,-0.005,6407932.5,10811162
2025/10/21,0.587,0.621,0.59,0.594,0.587,1.192,0.007,1.9603318E7,32338794
2025/10/20,0.592,0.599,0.586,0.587,0.592,-0.845,-0.005,3740213.5,6336116
2025/10/19,0.595,0.601,0.59,0.592,0.595,-0.504,-0.003,3952239.5,6652535
2025/10/16,0.58,0.623,0.581,0.595,0.58,2.586,0.015,3.3787824E7,55938887
2025/10/15,0.589,0.59,0.578,0.58,0.589,-1.528,-0.009,1994904.75,3433374
2025/10/14,0.586,0.595,0.585,0.589,0.586,0.171,0.001,798768.25,1358353
2025/10/13,0.582,0.595,0.585,0.586,0.582,1.375,0.008,1707043.125,2897442
2025/10/12,0.58,0.599,0.58,0.582,0.58,2.241,0.013,2756752.75,4677537
2025/10/08,0.588,0.593,0.579,0.58,0.588,-0.51,-0.003,1243177.375,2126817
2025/10/07,0.59,0.597,0.585,0.588,0.59,-0.339,-0.002,2077547.625,3512427
2025/10/06,0.575,0.597,0.58,0.59,0.575,2.609,0.015,4273781.5,7239914
2025/10/05,0.573,0.584,0.575,0.575,0.573,0.349,0.002,1650149.375,2852846
2025/10/02,0.575,0.587,0.572,0.573,0.575,-0.348,-0.002,3289233.0,5689186
2025/10/01,0.566,0.599,0.565,0.575,0.566,1.59,0.009,8522482.0,14646867
2025/09/30,0.562,0.57,0.563,0.566,0.562,0.534,0.003,1374401.125,2427555
2025/09/29,0.563,0.572,0.561,0.562,0.563,-0.178,-0.001,1786244.0,3167368
2025/09/28,0.55,0.577,0.551,0.563,0.55,2.364,0.013,4479688.5,7931860
2025/09/25,0.546,0.557,0.545,0.55,0.546,0.733,0.004,1983795.875,3617981
2025/09/24,0.543,0.55,0.536,0.546,0.543,0.552,0.003,2696384.0,4979247
2025/09/23,0.546,0.554,0.54,0.543,0.546,-0.549,-0.003,1488380.5,2728370
2025/09/22,0.562,0.566,0.54,0.546,0.562,-2.847,-0.016,3627061.75,6591685
2025/09/21,0.561,0.568,0.561,0.562,0.561,0.178,0.001,1156238.75,2054415
2025/09/18,0.569,0.58,0.561,0.561,0.569,-1.406,-0.008,2210044.75,3887701
2025/09/17,0.569,0.57,0.559,0.569,0.569,0.0,0.0,1515524.5,2676141
2025/09/16,0.578,0.585,0.559,0.569,0.578,-1.557,-0.009,5600253.5,9848996
2025/09/15,0.595,0.604,0.572,0.578,0.595,-2.857,-0.017,3160132.25,5394887
2025/09/14,0.601,0.612,0.594,0.595,0.601,-0.998,-0.006,2773961.75,4630217
2025/09/11,0.606,0.614,0.599,0.601,0.606,-0.825,-0.005,2891343.75,4793038
2025/09/10,0.605,0.615,0.602,0.606,0.605,0.165,0.001,2338556.5,3847765
2025/09/09,0.62,0.635,0.603,0.605,0.62,-2.419,-0.015,5847761.0,9491625
2025/09/08,0.621,0.647,0.618,0.62,0.621,-0.161,-0.001,1.3041918E7,20619420
2025/09/07,0.602,0.634,0.598,0.621,0.602,3.156,0.019,1.2302184E7,19828110
2025/09/03,0.618,0.629,0.602,0.602,0.618,-2.589,-0.016,7117173.0,11531717
2025/09/02,0.597,0.619,0.592,0.618,0.597,3.518,0.021,9128930.0,15039574
2025/09/01,0.6,0.61,0.59,0.597,0.6,-0.5,-0.003,4282199.5,7177771
2025/08/31,0.624,0.634,0.597,0.6,0.624,-3.846,-0.024,1.0325817E7,16816550
2025/08/28,0.635,0.64,0.624,0.624,0.635,-1.732,-0.011,9608219.0,15234590
2025/08/27,0.627,0.656,0.615,0.635,0.627,1.276,0.008,2.7788288E7,43634585
2025/08/26,0.621,0.649,0.605,0.627,0.621,0.966,0.006,3.3487368E7,53152236
2025/08/25,0.585,0.656,0.591,0.621,0.585,6.154,0.036,6.2543996E7,99473373
2025/08/24,0.559,0.589,0.562,0.585,0.559,4.651,0.026,6665355.0,11492028
2025/08/21,0.567,0.57,0.555,0.559,0.567,-1.411,-0.008,1180531.875,2101992
2025/08/20,0.575,0.589,0.566,0.567,0.575,-1.391,-0.008,4318839.5,7469149
2025/08/19,0.561,0.594,0.562,0.575,0.561,2.496,0.014,1.458416E7,25027677
2025/08/18,0.551,0.57,0.553,0.561,0.551,1.815,0.01,1734156.0,3085172
2025/08/17,0.552,0.561,0.551,0.551,0.552,-0.181,-0.001,1146570.5,2073013
2025/08/14,0.553,0.558,0.549,0.552,0.553,-0.181,-0.001,1330849.5,2415091
2025/08/13,0.555,0.558,0.55,0.553,0.555,-0.901,-0.005,1553360.0,2809360
2025/08/12,0.557,0.561,0.551,0.555,0.557,-0.359,-0.002,911504.688,1639883
2025/08/11,0.561,0.566,0.555,0.557,0.561,-0.891,-0.005,1301335.0,2332971
2025/08/10,0.565,0.569,0.557,0.561,0.565,-0.708,-0.004,1584386.625,2818521
2025/08/07,0.565,0.574,0.556,0.565,0.565,0.0,0.0,1724950.5,3058923
2025/08/06,0.575,0.584,0.565,0.565,0.575,-1.739,-0.01,2416294.25,4221901
2025/08/05,0.567,0.591,0.57,0.575,0.567,1.411,0.008,1.1975305E7,20600313
2025/08/04,0.551,0.569,0.556,0.567,0.551,2.904,0.016,2388803.25,4241528
2025/08/03,0.55,0.557,0.55,0.551,0.55,0.182,0.001,813859.5,1476538
