«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.02,4.08,3.8,3.81,4.02,-5.22,-0.21,2968381.25,760818
2026/01/12,4.18,4.28,4.02,4.02,4.18,-3.83,-0.16,3149015.0,764843
2026/01/11,4.37,4.44,4.09,4.18,4.37,-4.35,-0.19,4724695.5,1125774
2026/01/08,4.4,4.49,4.29,4.37,4.4,-0.68,-0.03,5434787.0,1237102
2026/01/06,4.38,4.58,4.39,4.4,4.38,0.46,0.02,1.2520981E7,2802420
2026/01/05,4.16,4.5,4.15,4.38,4.16,5.29,0.22,1.4022962E7,3224157
2026/01/04,4.22,4.35,4.12,4.16,4.22,-1.42,-0.06,5740617.5,1360089
2025/12/31,4.09,4.33,4.12,4.22,4.09,3.18,0.13,1.1487554E7,2723533
2025/12/30,4.0,4.19,3.96,4.09,4.0,2.25,0.09,1.2869366E7,3144885
2025/12/29,4.03,4.1,3.95,4.0,4.03,-0.74,-0.03,5725315.5,1427617
2025/12/28,3.9,4.05,3.9,4.03,3.9,3.33,0.13,8730303.0,2220344
2025/12/25,3.9,3.95,3.88,3.9,3.9,0.0,0.0,2120438.75,544363
2025/12/24,3.86,4.02,3.88,3.9,3.86,1.04,0.04,4340395.0,1096263
2025/12/23,3.94,4.0,3.84,3.86,3.94,-2.03,-0.08,2261663.75,578308
2025/12/22,4.1,4.22,3.94,3.94,4.1,-3.9,-0.16,3015438.75,746277
2025/12/21,4.0,4.12,3.94,4.1,4.0,2.5,0.1,2430187.75,597182
2025/12/18,4.12,4.15,4.0,4.0,4.12,-2.91,-0.12,3248331.25,805408
2025/12/17,4.13,4.37,4.1,4.12,4.13,-0.24,-0.01,8015227.5,1891206
2025/12/16,3.94,4.3,3.95,4.13,3.94,4.82,0.19,1.0785453E7,2615914
2025/12/15,3.87,4.0,3.82,3.94,3.87,1.81,0.07,6149182.0,1579597
2025/12/14,3.92,3.97,3.84,3.87,3.92,-1.28,-0.05,1368422.5,351670
2025/12/11,3.91,3.97,3.87,3.92,3.91,0.26,0.01,508603.38,129953
2025/12/10,3.86,4.04,3.85,3.91,3.86,1.3,0.05,2373731.75,603416
2025/12/09,3.81,3.89,3.82,3.86,3.81,1.57,0.06,644341.19,166801
2025/12/08,3.76,4.0,3.7,3.81,3.76,1.33,0.05,3426729.75,886921
2025/12/07,3.73,3.82,3.7,3.76,3.73,0.8,0.03,337977.28,89879
2025/12/04,3.71,3.77,3.71,3.73,3.71,0.54,0.02,438174.75,117391
2025/12/03,3.7,3.77,3.7,3.71,3.7,0.27,0.01,365427.69,98466
2025/12/02,3.7,3.76,3.68,3.7,3.7,-0.27,-0.01,697204.38,188402
2025/12/01,3.67,3.77,3.68,3.7,3.67,0.82,0.03,692739.19,186835
2025/11/30,3.78,3.79,3.66,3.67,3.78,-2.91,-0.11,1367480.63,370913
