«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.32,4.36,4.25,4.34,4.32,0.46,0.02,2.799031E7,6504446
2026/01/12,4.33,4.35,4.28,4.32,4.33,-0.23,-0.01,3.7971484E7,8806449
2026/01/11,4.16,4.33,4.16,4.33,4.16,4.09,0.17,3.7451292E7,8766727
2026/01/08,4.16,4.2,4.15,4.16,4.16,0.0,0.0,8437152.0,2025191
2026/01/06,4.15,4.18,4.15,4.16,4.15,0.24,0.01,1.4051493E7,3376494
2026/01/05,4.19,4.21,4.14,4.15,4.19,-0.95,-0.04,1.4975072E7,3595227
2026/01/04,4.23,4.24,4.15,4.19,4.23,-0.95,-0.04,1.7622626E7,4194896
2025/12/31,4.23,4.25,4.22,4.23,4.23,0.0,0.0,2.1007516E7,4961567
2025/12/30,4.27,4.3,4.22,4.23,4.27,-0.94,-0.04,3.5236572E7,8299521
2025/12/29,4.28,4.3,4.25,4.27,4.28,-0.23,-0.01,1.028627E7,2404947
2025/12/28,4.24,4.29,4.24,4.28,4.24,0.94,0.04,1.184116E7,2770653
2025/12/25,4.27,4.29,4.22,4.24,4.27,-0.7,-0.03,2.1963886E7,5174980
2025/12/24,4.21,4.27,4.22,4.27,4.21,1.43,0.06,1.3917925E7,3273392
2025/12/23,4.24,4.28,4.18,4.21,4.24,-0.71,-0.03,2.1358454E7,5067093
2025/12/22,4.24,4.3,4.23,4.24,4.24,0.0,0.0,1.1296119E7,2656049
2025/12/21,4.28,4.31,4.21,4.24,4.28,-0.93,-0.04,2.256869E7,5308712
2025/12/18,4.33,4.33,4.25,4.28,4.33,-1.15,-0.05,3.1136998E7,7262379
2025/12/17,4.39,4.41,4.31,4.33,4.39,-1.37,-0.06,2.9549194E7,6816324
2025/12/16,4.48,4.5,4.38,4.39,4.48,-2.01,-0.09,2.715128E7,6151948
2025/12/15,4.47,4.54,4.44,4.48,4.47,0.22,0.01,3.9605176E7,8799597
2025/12/14,4.44,4.57,4.46,4.47,4.44,0.68,0.03,9.8922792E7,22001058
2025/12/11,4.35,4.52,4.36,4.44,4.35,2.07,0.09,1.91805488E8,43430870
2025/12/10,4.36,4.42,4.35,4.35,4.36,-0.23,-0.01,1.3158948E7,3001200
2025/12/09,4.38,4.41,4.35,4.36,4.38,-0.46,-0.02,9923458.0,2262596
2025/12/08,4.34,4.4,4.33,4.38,4.34,0.92,0.04,2.137951E7,4893678
2025/12/07,4.27,4.35,4.28,4.34,4.27,1.64,0.07,1.2999079E7,3006858
