«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,262.03,269.98,253.0,254.24,262.03,-2.68,-7.03,4979187.0,19019
2026/01/12,262.76,269.9,255.51,262.03,262.76,-0.28,-0.73,1.33662848E9,5101031
2026/01/11,266.18,276.0,262.1,262.76,266.18,-1.19,-3.18,4038297.25,15174
2026/01/08,280.5,280.0,259.0,266.18,280.5,-5.11,-14.32,2907295.5,10611
2026/01/06,279.01,281.99,275.0,280.5,279.01,0.53,1.49,3.2437702E7,115765
2026/01/05,278.29,284.99,271.01,279.01,278.29,0.26,0.72,3.318544E7,119278
2026/01/04,267.01,288.0,265.15,278.29,267.01,4.22,11.28,2.1209028E7,76888
2025/12/31,262.65,269.0,260.11,267.01,262.65,1.66,4.36,9904248.0,37221
2025/12/30,266.02,268.0,258.1,262.65,266.02,-0.38,-1.02,1.1061974E7,42339
2025/12/29,262.01,274.63,260.01,266.02,262.01,1.53,4.01,2.2139208E7,82781
2025/12/28,249.51,267.9,248.2,262.01,249.51,5.01,12.5,2.6447818E7,101618
2025/12/25,248.52,252.95,248.02,249.51,248.52,0.4,0.99,7701322.5,30895
2025/12/24,240.05,253.96,240.08,248.52,240.05,3.53,8.47,1.7261924E7,70005
2025/12/23,231.93,240.05,232.0,240.05,231.93,3.5,8.12,2.0722248E7,87181
2025/12/22,225.93,233.97,225.5,231.93,225.93,2.66,6.0,1.0726872E7,46551
2025/12/21,227.79,229.0,225.45,225.93,227.79,-0.82,-1.86,2594552.75,11445
2025/12/18,228.19,230.49,225.14,227.79,228.19,0.0,0.01,2345894.25,10303
2025/12/17,225.02,234.0,224.99,228.19,225.02,1.41,3.17,1.3715398E7,59508
2025/12/16,226.38,227.99,224.19,225.02,226.38,-0.6,-1.36,2283345.0,10123
2025/12/15,224.94,230.95,223.81,226.38,224.94,0.03,0.06,5438672.5,23935
2025/12/14,226.23,228.74,224.12,224.94,226.23,-0.57,-1.29,4607758.0,20400
2025/12/11,227.03,231.98,225.0,226.23,227.03,-0.35,-0.8,9660432.0,42184
