«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,175.0,177.6,170.0,171.9,175.0,-1.77,-3.1,1.1078215E7,64044
2026/01/12,175.24,179.4,171.61,175.0,175.24,-0.14,-0.24,1.212998E7,69252
2026/01/11,173.02,179.8,174.0,175.24,173.02,1.28,2.22,1.5912637E7,89778
2026/01/08,177.0,180.0,173.02,173.02,177.0,-2.25,-3.98,1.8532016E7,104626
2026/01/06,179.11,184.9,175.77,177.0,179.11,-1.18,-2.11,3.2167306E7,178818
2026/01/05,181.98,185.7,170.0,179.11,181.98,-1.58,-2.87,5.1053088E7,282658
2026/01/04,170.98,182.8,171.5,181.98,170.98,6.43,11.0,5.2018856E7,293268
2025/12/31,158.3,170.98,159.01,170.98,158.3,8.01,12.68,4.9689096E7,297464
2025/12/30,161.32,163.6,158.1,158.3,161.32,-1.87,-3.02,2.1833722E7,136602
2025/12/29,156.06,167.0,157.01,161.32,156.06,3.37,5.26,5.3193124E7,326661
2025/12/28,143.0,156.06,143.5,156.06,143.0,9.13,13.06,8.1299336E7,538048
2025/12/25,143.85,145.0,141.02,143.0,143.85,-0.59,-0.85,1.6851098E7,117803
2025/12/24,141.77,146.8,141.83,143.85,141.77,1.47,2.08,2.2352752E7,154925
2025/12/23,135.26,143.35,135.22,141.77,135.26,4.81,6.51,3.6909676E7,262856
2025/12/22,129.31,138.0,129.3,135.26,129.31,4.6,5.95,2.9105992E7,217789
2025/12/21,129.81,134.0,129.3,129.31,129.81,-0.39,-0.5,9910587.0,75981
2025/12/18,133.0,135.64,129.52,129.81,133.0,-2.4,-3.19,1.6219343E7,123193
2025/12/17,125.26,136.9,125.5,133.0,125.26,6.18,7.74,3.6449128E7,275276
2025/12/16,126.9,131.0,125.1,125.26,126.9,-1.29,-1.64,1.7408358E7,136283
2025/12/15,130.79,132.0,126.75,126.9,130.79,-2.97,-3.89,1.5256081E7,118689
2025/12/14,131.68,134.0,130.02,130.79,131.68,-0.68,-0.89,6231596.0,47266
2025/12/11,132.32,135.98,131.51,131.68,132.32,-0.48,-0.64,1.0603043E7,79195
2025/12/10,134.5,136.9,131.01,132.32,134.5,-1.62,-2.18,1.79766E7,134066
2025/12/09,132.54,135.9,132.55,134.5,132.54,1.48,1.96,1.055593E7,78818
2025/12/08,132.24,136.9,132.52,132.54,132.24,0.23,0.3,9127790.0,67843
2025/12/07,136.95,137.48,132.04,132.24,136.95,-3.44,-4.71,9011583.0,66637
2025/12/04,137.15,140.0,136.25,136.95,137.15,-0.15,-0.2,7489391.5,54527
2025/12/03,131.01,142.49,131.2,137.15,131.01,4.69,6.14,4.2272004E7,303940
2025/12/02,136.21,138.5,129.0,131.01,136.21,-3.82,-5.2,2.220067E7,166033
2025/12/01,137.8,139.45,136.13,136.21,137.8,-1.15,-1.59,1.0482664E7,76306
2025/11/30,140.59,142.98,136.0,137.8,140.59,-1.98,-2.79,1.4759722E7,106362
2025/11/27,135.26,146.0,135.3,140.59,135.26,3.94,5.33,3.3446142E7,235634
2025/11/26,146.36,147.88,133.35,135.26,146.36,-7.58,-11.1,1.9737874E7,139418
2025/11/25,148.0,154.0,146.3,146.36,148.0,-1.11,-1.64,1.5670362E7,105375
2025/11/24,148.27,150.0,145.12,148.0,148.27,-0.18,-0.27,1.7088002E7,116047
2025/11/23,145.01,154.99,144.22,148.27,145.01,2.25,3.26,4.680836E7,314002
2025/11/20,135.76,149.0,136.31,145.01,135.76,6.81,9.25,7.3522056E7,508594
2025/11/19,128.0,136.99,126.8,135.76,128.0,6.06,7.76,4.4898896E7,334975
2025/11/18,133.01,134.88,126.6,128.0,133.01,-3.77,-5.01,3.5622576E7,274295
2025/11/17,129.36,138.0,130.02,133.01,129.36,2.82,3.65,6.612968E7,492821
2025/11/16,132.5,137.8,125.1,129.36,132.5,-2.37,-3.14,4.014828E7,302378
2025/11/13,119.3,139.8,122.11,132.5,119.3,11.06,13.2,2.3043536E8,1778844
2025/11/12,101.59,121.75,101.0,119.3,101.59,17.43,17.709999,2.52516976E8,2239514
2025/11/11,96.0,101.79,95.5,101.59,96.0,5.82,5.59,3.8034236E7,381751
2025/11/10,96.1,97.68,95.6,96.0,96.1,-0.1,-0.1,1.8521118E7,191720
2025/11/09,94.13,98.4,93.11,96.1,94.13,2.09,1.97,2.4971436E7,259303
2025/11/06,96.55,98.9,92.9,94.13,96.55,-2.51,-2.42,1.3890935E7,146659
2025/11/05,95.6,99.25,95.01,96.55,95.6,0.99,0.95,2.8528908E7,294662
2025/11/04,93.5,96.79,93.62,95.6,93.5,2.25,2.1,1.7128386E7,180298
2025/11/03,91.04,93.5,91.0,93.5,91.04,2.7,2.46,1.2746874E7,137699
2025/11/02,93.51,94.45,91.0,91.04,93.51,-2.64,-2.47,1.2997398E7,141220
2025/10/30,93.57,94.0,92.01,93.51,93.57,-0.06,-0.06,7659238.0,82303
2025/10/29,93.16,96.0,93.05,93.57,93.16,0.44,0.41,1.8387432E7,195033
2025/10/28,92.52,93.55,91.51,93.16,92.52,0.69,0.64,1.5750832E7,170156
2025/10/27,94.5,96.87,92.01,92.52,94.5,-2.1,-1.98,2.2747308E7,242387
2025/10/26,92.58,97.0,91.0,94.5,92.58,2.07,1.92,6.0416948E7,637769
2025/10/23,86.0,94.35,86.35,92.58,86.0,7.65,6.58,9.081096E7,998918
2025/10/22,84.08,87.75,84.0,86.0,84.08,2.28,1.92,4.251756E7,496177
2025/10/21,84.1,85.0,83.8,84.08,84.1,-0.02,-0.02,2.4236694E7,287266
2025/10/20,81.81,85.0,81.81,84.1,81.81,2.8,2.29,3.0173244E7,360231
2025/10/19,82.5,84.3,81.8,81.81,82.5,-0.84,-0.69,1.6090041E7,194797
2025/10/16,84.0,85.4,82.0,82.5,84.0,-1.79,-1.5,1.8328582E7,218764
2025/10/15,81.82,84.5,81.6,84.0,81.82,2.66,2.18,3.163015E7,379846
2025/10/14,82.05,86.66,81.51,81.82,82.05,-0.28,-0.23,2.5621504E7,305273
2025/10/13,87.98,88.0,81.83,82.05,87.98,-6.74,-5.93,4.2136492E7,496790
2025/10/12,74.72,88.5,75.56,87.98,74.72,17.75,13.26,9.5477096E7,1155705
2025/10/08,73.52,76.0,73.06,74.72,73.52,1.63,1.2,1.0448763E7,139767
2025/10/07,73.81,74.29,73.01,73.52,73.81,-0.39,-0.29,4180151.75,56878
2025/10/06,74.5,76.0,73.81,73.81,74.5,-0.93,-0.69,7779789.5,104383
2025/10/05,71.82,78.5,72.01,74.5,71.82,3.73,2.68,2.2233848E7,291695
2025/10/02,71.59,73.1,71.61,71.82,71.59,0.32,0.23,1733819.88,24069
2025/10/01,72.7,73.92,71.52,71.59,72.7,-1.53,-1.11,5094335.5,70082
2025/09/30,72.7,74.4,72.7,72.7,72.7,0.0,0.0,5990006.0,81601
2025/09/29,71.0,74.0,70.65,72.7,71.0,2.39,1.7,7131722.5,98085
2025/09/28,70.73,72.0,70.75,71.0,70.73,0.85,0.6,1644780.75,23077
2025/09/25,70.32,71.99,70.53,70.73,70.32,0.58,0.41,3059260.5,43062
2025/09/24,70.0,71.4,70.0,70.32,70.0,0.46,0.32,2625464.25,37290
2025/09/23,71.76,73.0,70.0,70.0,71.76,-2.45,-1.76,3581249.75,50630
2025/09/22,72.17,73.49,70.01,71.76,72.17,-0.57,-0.41,3859228.25,53696
2025/09/21,71.96,72.89,69.0,72.17,71.96,0.29,0.21,6764443.5,94845
2025/09/18,72.66,73.63,71.9,71.96,72.66,-1.05,-0.76,5200428.0,71550
2025/09/17,72.51,73.9,72.0,72.66,72.51,0.21,0.15,3512642.5,48311
2025/09/16,75.41,76.69,72.0,72.51,75.41,-3.85,-2.9,9720673.0,131578
2025/09/15,75.08,77.88,75.08,75.41,75.08,0.44,0.33,1.3475693E7,176277
2025/09/14,75.07,76.9,75.0,75.08,75.07,0.01,0.01,6782918.0,89924
2025/09/11,74.95,77.9,75.0,75.07,74.95,0.16,0.12,1.0810298E7,141806
2025/09/10,74.94,76.76,74.94,74.95,74.94,0.01,0.01,4446617.5,59083
2025/09/09,70.72,76.98,70.73,74.94,70.72,5.97,4.22,3.9994556E7,533138
2025/09/08,73.49,74.45,70.7,70.72,73.49,-3.77,-2.77,1.4259598E7,198587
2025/09/07,75.0,76.7,73.49,73.49,75.0,-2.01,-1.51,7657859.5,102831
2025/09/03,77.61,79.36,74.2,75.0,77.61,-3.36,-2.61,1.2830306E7,168735
2025/09/02,77.16,80.01,77.51,77.61,77.16,0.58,0.45,1.3493787E7,171228
2025/09/01,77.0,79.95,77.01,77.16,77.0,0.21,0.16,1.5843307E7,202258
2025/08/31,81.4,82.7,76.32,77.0,81.4,-5.41,-4.4,2.5059488E7,317666
2025/08/28,83.73,84.99,80.5,81.4,83.73,-2.78,-2.33,1.276037E7,154497
2025/08/27,84.2,86.8,82.25,83.73,84.2,-0.56,-0.47,2.3218958E7,275646
2025/08/26,89.75,89.72,82.17,84.2,89.75,-6.18,-5.55,2.2593018E7,264673
2025/08/25,91.0,93.45,88.05,89.75,91.0,-1.37,-1.25,2.1138472E7,231593
2025/08/24,83.5,92.98,83.81,91.0,83.5,8.98,7.5,4.6818988E7,531970
2025/08/21,86.5,87.3,83.01,83.5,86.5,-3.47,-3.0,3.2997082E7,387067
2025/08/20,84.5,88.9,83.27,86.5,84.5,2.37,2.0,5.73944E7,662798
2025/08/19,86.52,88.9,83.7,84.5,86.52,-2.33,-2.02,6.486978E7,750751
2025/08/18,77.55,87.9,77.65,86.52,77.55,11.57,8.97,9.3911104E7,1130791
