«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.72,4.75,4.66,4.69,4.72,-0.64,-0.03,1028592.81,219077
2026/01/12,4.76,4.79,4.66,4.72,4.76,-0.21,-0.01,958403.56,202104
2026/01/11,4.77,4.8,4.74,4.76,4.77,-0.42,-0.02,938867.75,197388
2026/01/08,4.77,4.8,4.75,4.77,4.77,-0.42,-0.02,1266927.38,265119
2026/01/06,4.77,4.82,4.7,4.77,4.77,-0.42,-0.02,1095164.5,230589
2026/01/05,4.83,4.85,4.74,4.77,4.83,-1.24,-0.06,2594021.0,542958
2026/01/04,4.79,4.85,4.74,4.83,4.79,0.21,0.01,2467420.0,515043
2025/12/31,4.87,4.85,4.78,4.79,4.87,-1.64,-0.08,1760335.0,366508
2025/12/30,4.84,4.88,4.81,4.87,4.84,0.62,0.03,2064856.38,426881
2025/12/29,4.86,4.89,4.79,4.84,4.86,-0.21,-0.01,3704055.25,768010
2025/12/28,4.91,4.92,4.84,4.86,4.91,-1.02,-0.05,1939785.38,397989
2025/12/25,4.87,4.92,4.83,4.91,4.87,0.82,0.04,2178709.5,445852
2025/12/24,4.91,5.0,4.87,4.87,4.91,-0.81,-0.04,6220307.5,1259500
2025/12/23,4.77,4.94,4.77,4.91,4.77,2.94,0.14,2828201.75,583438
2025/12/22,4.81,4.89,4.77,4.77,4.81,-0.83,-0.04,3206077.5,666460
2025/12/21,4.83,4.85,4.76,4.81,4.83,-0.41,-0.02,2501359.75,521199
2025/12/18,4.79,4.85,4.74,4.83,4.79,1.04,0.05,1226847.0,255664
2025/12/17,4.88,4.91,4.77,4.79,4.88,-1.64,-0.08,4182261.75,866918
2025/12/16,4.93,5.0,4.86,4.88,4.93,-1.01,-0.05,4799438.5,976553
2025/12/15,4.9,5.03,4.86,4.93,4.9,0.0,0.0,6156390.5,1249898
2025/12/14,4.94,4.95,4.86,4.9,4.94,-0.81,-0.04,1281829.13,261023
2025/12/11,4.95,5.0,4.91,4.94,4.95,-0.61,-0.03,1129153.38,228403
2025/12/10,4.96,5.13,4.94,4.95,4.96,-0.4,-0.02,4169803.75,828883
2025/12/09,4.88,4.99,4.89,4.96,4.88,1.64,0.08,3.240274E7,6608072
2025/12/08,5.03,5.09,4.87,4.88,5.03,-2.98,-0.15,3126242.0,629897
2025/12/07,4.84,5.1,4.84,5.03,4.84,3.93,0.19,5328453.0,1069196
2025/12/04,4.86,4.93,4.81,4.84,4.86,-0.41,-0.02,1.4262061E7,2933457
2025/12/03,4.95,4.97,4.84,4.86,4.95,-1.82,-0.09,3540459.5,723878
2025/12/02,4.65,4.98,4.66,4.95,4.65,6.45,0.3,9.0707216E7,19243525
2025/12/01,4.72,4.77,4.63,4.65,4.72,-1.48,-0.07,1335446.38,284979
2025/11/30,4.75,4.79,4.7,4.72,4.75,-0.84,-0.04,1666840.0,351078
2025/11/27,4.7,4.75,4.66,4.75,4.7,1.06,0.05,1453939.0,307603
2025/11/26,4.69,4.75,4.65,4.7,4.69,0.21,0.01,1247510.88,265564
2025/11/25,4.76,4.8,4.67,4.69,4.76,-1.47,-0.07,3388099.0,715449
2025/11/24,4.75,4.78,4.65,4.76,4.75,-0.63,-0.03,2594682.5,550514
2025/11/23,4.81,4.87,4.72,4.75,4.81,-1.25,-0.06,2935682.0,613716
2025/11/20,4.83,4.89,4.81,4.81,4.83,-0.41,-0.02,2744778.0,569017
2025/11/19,4.85,4.89,4.8,4.83,4.85,-0.41,-0.02,2452627.25,507595
2025/11/18,4.9,5.05,4.83,4.85,4.9,-1.02,-0.05,5003780.5,1013603
2025/11/17,4.85,5.05,4.85,4.9,4.85,1.03,0.05,5999416.0,1209085
2025/11/16,4.81,4.94,4.8,4.85,4.81,0.62,0.03,4009886.5,823776
2025/11/13,4.84,4.91,4.8,4.81,4.84,-0.62,-0.03,3139272.75,648683
2025/11/12,4.82,4.98,4.8,4.84,4.82,0.41,0.02,3695034.0,754247
2025/11/11,4.91,4.95,4.75,4.82,4.91,-1.83,-0.09,8304249.5,1721617
2025/11/10,5.06,5.07,4.88,4.91,5.06,-2.96,-0.15,5901635.0,1194549
2025/11/09,5.07,5.13,5.02,5.06,5.07,-0.79,-0.04,3513831.25,692670
2025/11/06,5.07,5.16,5.06,5.07,5.07,0.0,0.0,4157363.75,813207
2025/11/05,5.23,5.27,5.0,5.07,5.23,-3.06,-0.16,9395724.0,1830850
2025/11/04,5.22,5.29,5.16,5.23,5.22,0.19,0.01,5850802.0,1118336
2025/11/03,5.19,5.33,5.18,5.22,5.19,0.58,0.03,1.4573643E7,2777898
2025/11/02,5.17,5.27,5.12,5.19,5.17,0.39,0.02,7727188.5,1492179
2025/10/30,5.22,5.36,5.15,5.17,5.22,-0.96,-0.05,1.3148871E7,2517724
2025/10/29,5.21,5.39,5.21,5.22,5.21,0.0,0.0,1.2460413E7,2353432
2025/10/28,5.31,5.38,5.17,5.21,5.31,-1.88,-0.1,1.3840443E7,2622431
2025/10/27,5.44,5.58,5.27,5.31,5.44,-2.39,-0.13,3.088662E7,5716763
2025/10/26,5.1,5.63,5.24,5.44,5.1,6.67,0.34,1.1100236E8,20366900
2025/10/23,4.92,5.14,4.93,5.1,4.92,3.66,0.18,2.1756576E7,4318935
2025/10/22,4.83,5.0,4.76,4.92,4.83,1.86,0.09,7073334.5,1443437
2025/10/21,4.89,4.94,4.8,4.83,4.89,-1.23,-0.06,7770382.5,1604024
2025/10/20,4.81,5.02,4.81,4.89,4.81,1.66,0.08,2.1413152E7,4341076
2025/10/19,4.73,4.84,4.72,4.81,4.73,1.69,0.08,2817165.5,588070
2025/10/16,4.72,4.88,4.71,4.73,4.72,0.21,0.01,3269571.75,684523
2025/10/15,4.75,4.8,4.68,4.72,4.75,-0.84,-0.04,2365434.75,500542
2025/10/14,4.8,4.89,4.75,4.75,4.8,-1.04,-0.05,8054626.0,1668894
2025/10/13,4.58,4.81,4.54,4.8,4.58,4.8,0.22,1.7671606E7,3750094
2025/10/12,4.56,4.64,4.53,4.58,4.56,-0.22,-0.01,1910203.0,416502
2025/10/08,4.67,4.75,4.55,4.56,4.67,-1.93,-0.09,2699053.0,584189
2025/10/07,4.68,4.83,4.66,4.67,4.68,-0.21,-0.01,3999042.0,842538
2025/10/06,4.61,4.69,4.56,4.68,4.61,1.3,0.06,3290250.75,705268
2025/10/05,4.58,4.66,4.55,4.61,4.58,0.66,0.03,829190.25,179544
2025/10/02,4.61,4.66,4.54,4.58,4.61,-0.65,-0.03,1821148.5,397859
2025/10/01,4.57,4.65,4.55,4.61,4.57,-0.22,-0.01,938308.13,203730
2025/09/30,4.64,4.7,4.54,4.57,4.64,-1.51,-0.07,2790821.25,608190
2025/09/29,4.67,4.72,4.6,4.64,4.67,0.64,0.03,654518.06,141013
2025/09/28,4.57,4.75,4.62,4.67,4.57,3.28,0.15,1801087.88,385005
2025/09/25,4.48,4.85,4.45,4.57,4.48,2.68,0.12,4220937.5,908983
2025/09/24,4.52,4.55,4.45,4.48,4.52,-0.22,-0.01,704405.81,157324
2025/09/23,4.54,4.56,4.5,4.52,4.54,-0.88,-0.04,507585.5,112064
2025/09/22,4.42,4.57,4.42,4.54,4.42,2.71,0.12,1172724.5,258977
2025/09/21,4.48,4.53,4.4,4.42,4.48,-1.56,-0.07,1714203.88,385275
2025/09/18,4.64,4.68,4.33,4.48,4.64,-3.45,-0.16,2484782.0,551006
2025/09/17,4.59,4.66,4.53,4.64,4.59,0.65,0.03,855809.13,186036
2025/09/16,4.79,4.79,4.51,4.59,4.79,-4.18,-0.2,1367545.5,293582
2025/09/15,4.87,4.94,4.77,4.79,4.87,-2.05,-0.1,4162474.25,857727
2025/09/14,4.69,4.94,4.6,4.87,4.69,3.84,0.18,4500517.5,940990
2025/09/11,4.68,4.72,4.65,4.69,4.68,0.21,0.01,464471.28,99100
