«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.77,1.78,1.67,1.68,1.77,-5.085,-0.09,3.2888292E7,19056515
2026/01/12,1.75,1.79,1.75,1.77,1.75,1.143,0.02,2.9418896E7,16584595
2026/01/11,1.74,1.77,1.73,1.75,1.74,0.575,0.01,2.480907E7,14182779
2026/01/08,1.78,1.81,1.74,1.74,1.78,-2.247,-0.04,2.5663342E7,14433260
2026/01/06,1.76,1.81,1.77,1.78,1.76,1.136,0.02,1.5174046E7,8476315
2026/01/05,1.83,1.84,1.76,1.76,1.83,-3.83,-0.07,3.930444E7,21935296
2026/01/04,1.87,1.88,1.82,1.83,1.87,-2.14,-0.04,3.2584838E7,17707406
2025/12/31,1.91,1.92,1.86,1.87,1.91,-2.09,-0.04,4.476122E7,23662285
2025/12/30,1.89,1.97,1.89,1.91,1.89,1.06,0.02,1.09195544E8,56641480
2025/12/29,1.9,1.93,1.88,1.89,1.9,-0.53,-0.01,2.7655528E7,14541236
2025/12/28,1.89,1.95,1.89,1.9,1.89,0.53,0.01,5.8304092E7,30417692
2025/12/25,1.88,1.94,1.88,1.89,1.88,0.53,0.01,8.8338184E7,46157443
2025/12/24,1.82,1.88,1.81,1.88,1.82,3.3,0.06,3.843504E7,20797049
2025/12/23,1.84,1.87,1.79,1.82,1.84,-1.09,-0.02,3.1017676E7,16977517
2025/12/22,1.84,1.86,1.82,1.84,1.84,0.0,0.0,1.7711928E7,9606096
2025/12/21,1.84,1.87,1.83,1.84,1.84,0.0,0.0,3.21002E7,17336144
2025/12/18,1.87,1.9,1.83,1.84,1.87,-1.6,-0.03,4.3941264E7,23647247
2025/12/17,1.92,1.93,1.85,1.87,1.92,-2.6,-0.05,4.5746704E7,24185749
2025/12/16,1.93,1.95,1.91,1.92,1.93,-0.52,-0.01,2.9764206E7,15401037
