«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,30.9,31.0,29.51,29.51,30.9,-4.5,-1.39,3.6921836E7,1217983
2026/01/12,30.15,31.35,30.03,30.9,30.15,2.49,0.75,9.902696E7,3209754
2026/01/11,30.22,30.5,30.06,30.15,30.22,-0.23,-0.07,2.3417518E7,774495
2026/01/08,30.0,30.97,30.0,30.22,30.0,0.73,0.22,2.7589944E7,912579
2026/01/06,29.16,30.08,29.23,30.0,29.16,2.88,0.84,1.7552742E7,589582
2026/01/05,29.82,30.0,29.05,29.16,29.82,-2.21,-0.66,2.4818452E7,843939
2026/01/04,30.5,30.56,29.81,29.82,30.5,-2.23,-0.68,2.0948074E7,696411
2025/12/31,30.42,30.61,30.4,30.5,30.42,0.26,0.08,1.1236114E7,368957
2025/12/30,30.86,30.85,30.41,30.42,30.86,-1.43,-0.44,1.8377806E7,601141
2025/12/29,31.08,31.4,30.86,30.86,31.08,-0.71,-0.22,1.5837434E7,510143
2025/12/28,30.96,31.5,30.95,31.08,30.96,0.39,0.12,2.392533E7,767201
2025/12/25,31.24,31.25,30.8,30.96,31.24,-0.9,-0.28,3.1527558E7,1017721
2025/12/24,31.27,31.7,31.2,31.24,31.27,-0.1,-0.03,5.1747576E7,1645212
2025/12/23,30.76,31.4,30.85,31.27,30.76,1.66,0.51,7.723228E7,2483485
2025/12/22,29.71,30.89,29.85,30.76,29.71,3.53,1.05,7.5339008E7,2482518
2025/12/21,29.64,30.05,29.64,29.71,29.64,0.24,0.07,2.0104764E7,674047
2025/12/18,29.37,30.3,29.5,29.64,29.37,0.92,0.27,1.0732632E8,3577428
2025/12/17,28.98,29.78,28.7,29.37,28.98,1.35,0.39,8.6521224E7,2955535
2025/12/16,29.25,29.5,28.85,28.98,29.25,-1.16,-0.34,1.1397336E7,392556
2025/12/15,29.12,29.56,29.12,29.25,29.12,1.13,0.33,2.8796954E7,979642
2025/12/14,28.69,29.41,28.76,29.12,28.69,1.5,0.43,1.9423334E7,667717
2025/12/11,28.4,28.96,28.36,28.69,28.4,1.02,0.29,2.4181978E7,842119
2025/12/10,28.37,28.53,28.36,28.4,28.37,0.11,0.03,1.4164927E7,498454
2025/12/09,28.39,28.59,28.35,28.37,28.39,-0.07,-0.02,1.1219285E7,394333
2025/12/08,28.1,28.8,28.13,28.39,28.1,1.03,0.29,2.0945656E7,733702
