«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,25.23,25.4,24.82,24.95,25.23,-1.11,-0.28,981907.88,39150
2026/01/12,25.5,25.72,25.2,25.23,25.5,-1.18,-0.3,975622.75,38402
2026/01/11,25.3,26.17,25.42,25.5,25.3,0.79,0.2,4542675.5,176442
2026/01/08,25.3,25.75,25.25,25.3,25.3,0.0,0.0,1620873.13,63985
2026/01/06,25.48,25.7,25.17,25.3,25.48,-0.71,-0.18,2341223.0,92650
2026/01/05,25.82,25.97,25.41,25.48,25.82,-1.32,-0.34,1303178.38,51077
2026/01/04,25.74,26.0,25.61,25.82,25.74,0.31,0.08,538270.75,20856
2025/12/31,25.82,26.0,25.54,25.74,25.82,0.31,0.08,442409.88,17170
2025/12/30,26.03,26.14,25.7,25.82,26.03,-0.5,-0.13,1068921.13,41304
2025/12/29,26.04,26.2,26.0,26.03,26.04,-0.04,-0.01,1292979.13,49669
2025/12/28,25.81,26.19,25.75,26.04,25.81,0.89,0.23,1905961.63,73278
2025/12/25,25.8,26.08,25.7,25.81,25.8,-0.19,-0.05,1371511.0,53140
2025/12/24,26.0,26.25,25.6,25.8,26.0,-0.77,-0.2,2670837.25,103035
2025/12/23,25.5,26.05,25.45,26.0,25.5,1.96,0.5,2504519.0,96919
2025/12/22,25.92,26.35,25.46,25.5,25.92,-1.74,-0.45,3277036.0,127476
2025/12/21,26.03,26.56,25.8,25.92,26.03,-0.42,-0.11,2944342.25,112631
2025/12/18,26.43,26.7,26.0,26.03,26.43,-1.51,-0.4,2600448.0,99276
2025/12/17,27.0,27.34,26.38,26.43,27.0,-2.11,-0.57,3373237.25,126129
2025/12/16,25.53,27.7,26.05,27.0,25.53,5.76,1.47,2.5036438E7,929049
2025/12/15,25.38,26.0,25.2,25.53,25.38,0.59,0.15,3443685.5,134050
2025/12/14,25.38,25.59,25.25,25.38,25.38,0.0,0.0,1397051.63,55091
