«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,28.66,28.88,27.5,27.76,28.66,-3.14,-0.9,3788185.5,133936
2026/01/12,28.71,28.89,28.6,28.66,28.71,-0.17,-0.05,1722992.75,59949
2026/01/11,28.74,28.97,28.7,28.71,28.74,-0.1,-0.03,2479417.75,86190
2026/01/08,28.73,29.0,28.6,28.74,28.73,0.03,0.01,5192489.0,180436
2026/01/06,28.67,28.89,28.55,28.73,28.67,0.21,0.06,2304228.75,80311
2026/01/05,28.92,28.98,28.54,28.67,28.92,-0.59,-0.17,2422863.5,84367
2026/01/04,28.98,29.23,28.79,28.92,28.98,-0.48,-0.14,3459557.5,119354
2025/12/31,29.1,29.25,28.95,28.98,29.1,-0.41,-0.12,3005079.5,103416
2025/12/30,28.8,29.1,28.8,29.1,28.8,1.04,0.3,3573006.0,123248
2025/12/29,29.11,29.27,25.0,28.8,29.11,-1.06,-0.31,5772462.5,202028
2025/12/28,29.0,29.38,29.0,29.11,29.0,0.38,0.11,3017597.5,103521
2025/12/25,28.95,29.25,28.9,29.0,28.95,0.17,0.05,3512602.0,121057
2025/12/24,28.95,29.39,28.91,28.95,28.95,0.0,0.0,2146692.25,73949
2025/12/23,29.03,29.4,28.9,28.95,29.03,-0.1,-0.03,4101286.0,140674
2025/12/22,28.75,29.08,28.8,29.03,28.75,0.97,0.28,3170650.25,109410
2025/12/21,28.71,28.98,28.66,28.75,28.71,0.14,0.04,1901992.75,66171
2025/12/18,28.84,29.5,28.68,28.71,28.84,-0.45,-0.13,9128208.0,313978
2025/12/17,28.66,28.95,28.65,28.84,28.66,0.63,0.18,3099675.25,107771
2025/12/16,28.77,29.4,28.65,28.66,28.77,-0.17,-0.05,2947183.5,102457
2025/12/15,29.0,29.13,28.75,28.77,29.0,-0.79,-0.23,6826335.5,236503
2025/12/14,29.49,30.59,28.75,29.0,29.49,-1.66,-0.49,2.036099E7,688344
2025/12/11,30.1,30.98,29.0,29.49,30.1,-2.03,-0.61,8878571.0,298063
2025/12/10,29.72,30.49,29.34,30.1,29.72,1.85,0.55,1.4553315E7,484869
2025/12/09,29.4,29.97,29.2,29.72,29.4,1.29,0.38,7419026.0,250921
2025/12/08,28.25,29.88,28.25,29.4,28.25,4.07,1.15,1.7153254E7,587865
2025/12/07,28.65,28.78,28.2,28.25,28.65,-1.05,-0.3,5047122.0,177707
2025/12/04,28.85,28.98,28.6,28.65,28.85,-0.69,-0.2,1569273.75,54655
2025/12/03,28.81,29.19,28.71,28.85,28.81,0.14,0.04,2703199.0,93538
2025/12/02,29.14,29.35,28.75,28.81,29.14,-1.13,-0.33,3791215.75,131152
2025/12/01,28.93,29.4,28.94,29.14,28.93,0.24,0.07,2426938.5,83340
2025/11/30,29.17,29.88,28.8,28.93,29.17,-0.82,-0.24,5611811.0,192187
2025/11/27,28.83,29.45,28.7,29.17,28.83,1.18,0.34,5103267.0,175601
2025/11/26,29.12,29.29,28.7,28.83,29.12,-0.48,-0.14,3300142.5,114095
2025/11/25,29.58,29.69,29.03,29.12,29.58,-1.56,-0.46,3456483.25,117917
2025/11/24,29.52,29.75,29.29,29.58,29.52,-0.2,-0.06,2696154.75,91594
2025/11/23,29.53,29.9,29.45,29.52,29.53,-0.03,-0.01,1386118.25,46855
2025/11/20,29.56,29.99,29.42,29.53,29.56,0.47,0.14,5534243.0,186977
2025/11/19,29.73,29.98,29.42,29.56,29.73,-0.84,-0.25,4887497.5,164718
2025/11/18,29.68,30.44,29.7,29.73,29.68,0.17,0.05,6598310.5,219854
2025/11/17,29.98,30.43,29.68,29.68,29.98,-1.0,-0.3,6623656.5,220871
2025/11/16,30.59,30.8,29.83,29.98,30.59,-1.99,-0.61,3677574.25,121982
2025/11/13,30.0,30.9,29.8,30.59,30.0,2.13,0.64,6696875.5,219837
2025/11/12,30.08,30.25,29.79,30.0,30.08,-0.3,-0.09,4655247.5,155546
2025/11/11,30.2,30.39,29.78,30.08,30.2,-0.4,-0.12,6636380.0,221030
2025/11/10,30.8,30.8,29.6,30.2,30.8,-1.95,-0.6,1.4347603E7,476019
2025/11/09,29.29,31.49,29.4,30.8,29.29,5.16,1.51,3.0981858E7,1002579
2025/11/06,29.41,29.57,29.1,29.29,29.41,-0.41,-0.12,6752330.5,230179
2025/11/05,29.62,29.95,29.13,29.41,29.62,-0.71,-0.21,1.0531377E7,356883
2025/11/04,34.04,30.49,29.6,29.62,34.04,-12.98,-4.42,1.977414E7,658054
2025/11/03,30.53,30.99,29.95,30.04,30.53,-1.42,-0.49,3.2890938E7,961523
