«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,129.94,131.6,125.51,125.84,129.94,-3.16,-4.1,1.1922386E7,92821
2026/01/12,128.68,136.0,128.05,129.94,128.68,0.98,1.26,1.9496792E7,147710
2026/01/11,126.91,131.0,127.1,128.68,126.91,1.65,2.09,5712615.0,44238
2026/01/08,128.76,130.0,126.88,126.91,128.76,-1.44,-1.85,5951981.5,46337
2026/01/06,127.66,131.39,125.11,128.76,127.66,1.68,2.14,5206037.0,40527
2026/01/05,128.97,131.49,126.0,127.66,128.97,-1.22,-1.57,3125948.25,24397
2026/01/04,129.38,133.0,125.85,128.97,129.38,-0.32,-0.41,4784190.0,36596
2025/12/31,130.97,134.83,129.0,129.38,130.97,-1.21,-1.59,8168110.0,62147
2025/12/30,136.4,140.77,130.1,130.97,136.4,-3.96,-5.4,1.6372121E7,121684
2025/12/29,129.22,141.98,129.02,136.4,129.22,5.56,7.18,4.745172E7,343153
2025/12/28,136.01,139.0,128.0,129.22,136.01,-4.99,-6.79,8442020.0,63477
2025/12/25,130.0,142.0,128.0,136.01,130.0,4.62,6.01,5.9007148E7,430842
2025/12/24,111.96,130.98,111.77,130.0,111.96,16.110001,18.040001,4.5078496E7,360402
2025/12/23,111.87,113.97,111.62,111.96,111.87,-0.15,-0.17,924144.13,8222
2025/12/22,111.98,114.8,111.26,111.87,111.98,-0.1,-0.11,2957487.0,26206
2025/12/21,112.0,114.44,111.02,111.98,112.0,-0.02,-0.02,2741016.5,24424
2025/12/18,113.89,115.65,112.0,112.0,113.89,-1.65,-1.88,3163247.0,28043
2025/12/17,112.81,117.49,112.77,113.89,112.81,0.79,0.89,4216370.5,36574
2025/12/16,114.05,115.59,112.38,112.81,114.05,-1.35,-1.54,1948565.88,17160
2025/12/15,114.7,116.38,114.0,114.05,114.7,-0.57,-0.65,1335529.75,11626
2025/12/14,116.64,118.0,114.68,114.7,116.64,-1.66,-1.94,2984143.75,25764
2025/12/11,117.68,119.95,116.6,116.64,117.68,-0.88,-1.04,2409450.5,20527
2025/12/10,117.88,120.0,117.01,117.68,117.88,0.22,0.26,2130796.25,18074
2025/12/09,116.41,122.0,116.5,117.88,116.41,1.26,1.47,5564091.0,46582
2025/12/08,118.36,120.9,116.0,116.41,118.36,-1.65,-1.95,3696537.25,31595
2025/12/07,121.67,125.39,117.12,118.36,121.67,-2.72,-3.31,5056983.0,41492
2025/12/04,123.19,126.77,121.03,121.67,123.19,-1.23,-1.52,5838397.5,47322
2025/12/03,117.57,131.97,116.0,123.19,117.57,4.78,5.62,2.6609524E7,210382
2025/12/02,115.98,120.95,115.0,117.57,115.98,2.08,2.41,3416172.0,28831
2025/12/01,113.3,117.99,113.15,115.98,113.3,3.18,3.6,4601342.5,40148
2025/11/30,113.08,116.47,112.01,113.3,113.08,-0.04,-0.05,1916832.0,16851
2025/11/27,111.83,118.0,111.85,113.08,111.83,1.12,1.25,6854448.5,59651
2025/11/26,115.18,117.9,111.3,111.83,115.18,-2.91,-3.35,1794342.0,15702
2025/11/25,118.61,123.0,114.1,115.18,118.61,-2.89,-3.43,3098463.5,25921
2025/11/24,121.47,122.95,118.01,118.61,121.47,-1.29,-1.57,4631729.5,38688
2025/11/23,123.38,125.3,121.11,121.47,123.38,-1.73,-2.13,2955585.0,24122
2025/11/20,123.44,128.0,122.6,123.38,123.44,-0.05,-0.06,7757680.0,61934
2025/11/19,125.18,127.0,122.66,123.44,125.18,-1.39,-1.74,4719554.0,37837
2025/11/18,127.96,129.7,125.0,125.18,127.96,-2.17,-2.78,4419740.5,34880
2025/11/17,126.68,133.4,126.7,127.96,126.68,1.01,1.28,1.0962329E7,84420
2025/11/16,128.99,130.95,126.66,126.68,128.99,-1.16,-1.49,2680606.25,20924
2025/11/13,128.53,133.0,127.0,128.99,128.53,0.36,0.46,7899493.0,60976
2025/11/12,128.8,130.5,128.3,128.53,128.8,-0.21,-0.27,3289478.75,25540
2025/11/11,130.94,132.7,128.5,128.8,130.94,-1.63,-2.14,6796921.5,52538
