«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,359.09,359.96,335.0,344.54,359.09,-2.53,-9.09,859622.13,2455
2026/01/12,357.7,359.97,348.0,359.09,357.7,0.5,1.8,1567434.25,4436
2026/01/11,348.31,360.0,349.01,357.7,348.31,1.34,4.68,531860.94,1486
2026/01/08,351.25,354.5,348.0,348.31,351.25,0.5,1.75,1829818.75,5246
2026/01/06,351.25,356.0,347.01,351.25,351.25,-1.19,-4.17,98870.09,283
2026/01/05,349.13,360.0,347.0,351.25,349.13,-0.61,-2.13,368517.91,1049
2026/01/04,349.2,364.0,348.0,349.13,349.2,-0.34,-1.19,637591.0,1807
2025/12/31,354.19,361.5,347.0,349.2,354.19,-2.02,-7.17,728225.19,2080
2025/12/30,356.24,363.99,350.0,354.19,356.24,-1.47,-5.22,1526393.5,4286
2025/12/29,353.78,358.0,350.5,356.24,353.78,0.91,3.21,465469.47,1311
2025/12/28,348.98,359.96,350.22,353.78,348.98,2.24,7.81,541821.19,1531
2025/12/25,337.86,390.0,345.0,348.98,337.86,3.29,11.12,9065916.0,24871
2025/12/24,342.29,349.99,330.0,337.86,342.29,-1.29,-4.43,956686.5,2800
2025/12/23,342.29,353.8,342.0,342.29,342.29,0.09,0.31,160138.27,463
2025/12/22,352.96,356.0,342.0,342.29,352.96,-3.02,-10.67,1843513.63,5284
2025/12/21,352.96,356.49,342.1,352.96,352.96,-2.82,-9.96,150372.52,434
2025/12/18,352.96,356.99,342.21,352.96,352.96,-2.25,-7.94,237159.98,678
2025/12/17,352.96,356.99,349.0,352.96,352.96,0.01,0.04,653285.69,1855
2025/12/16,352.96,358.0,351.0,352.96,352.96,1.14,4.03,132334.05,375
2025/12/15,355.03,366.99,351.6,352.96,355.03,-0.97,-3.43,577619.94,1625
2025/12/14,343.67,373.0,343.01,355.03,343.67,2.57,8.83,4305093.0,11801
2025/12/11,354.0,357.0,342.02,343.67,354.0,-2.92,-10.33,670338.5,1938
2025/12/10,331.67,360.0,333.55,354.0,331.67,5.52,18.309999,8131063.5,23150
2025/12/09,338.35,359.5,323.02,331.67,338.35,-1.73,-5.85,6970533.5,20414
2025/12/08,340.11,340.99,335.03,338.35,340.11,-1.21,-4.11,937954.94,2770
2025/12/07,342.94,345.97,335.0,340.11,342.94,-0.83,-2.83,1306397.75,3817
2025/12/04,351.23,373.68,341.0,342.94,351.23,-2.36,-8.29,918455.31,2630
2025/12/03,341.85,398.5,335.05,351.23,341.85,2.74,9.38,1.4449713E7,39041
2025/12/02,310.35,372.0,318.0,341.85,310.35,10.15,31.5,1.2934947E7,36635
2025/12/01,311.33,322.0,303.1,310.35,311.33,-0.11,-0.33,828037.25,2625
2025/11/30,324.06,323.0,311.01,311.33,324.06,-1.87,-6.06,547930.63,1750
2025/11/27,324.06,323.99,315.0,324.06,324.06,-0.33,-1.07,233396.31,735
2025/11/26,324.23,324.23,317.13,324.06,324.23,-0.07,-0.23,637245.5,1967
2025/11/25,324.23,326.0,317.0,324.23,324.23,-2.23,-7.23,37788.44,119
2025/11/24,324.23,331.99,321.06,324.23,324.23,-0.98,-3.17,270114.78,829
2025/11/23,319.48,333.0,320.2,324.23,319.48,1.42,4.53,370426.56,1142
2025/11/20,320.71,333.9,317.13,319.48,320.71,0.09,0.28,342612.5,1071
2025/11/19,326.67,335.0,317.2,320.71,326.67,-2.04,-6.67,562154.31,1755
2025/11/18,332.46,336.0,320.0,326.67,332.46,-3.75,-12.46,1383731.25,4164
2025/11/17,322.15,337.47,319.0,332.46,322.15,4.27,13.74,959873.44,2932
2025/11/16,323.43,328.0,316.63,322.15,323.43,1.41,4.57,556580.75,1727
2025/11/13,321.82,327.98,316.65,323.43,321.82,0.5,1.61,350597.31,1084
2025/11/12,321.82,324.0,315.0,321.82,321.82,0.52,1.68,148798.08,463
2025/11/11,321.08,323.5,311.25,321.82,321.08,0.75,2.42,453932.38,1417
2025/11/10,319.46,322.95,315.0,321.08,319.46,0.17,0.54,890452.75,2792
2025/11/09,319.46,320.0,315.0,319.46,319.46,-1.3,-4.16,179051.27,567
2025/11/06,319.46,322.99,311.11,319.46,319.46,-2.29,-7.31,237628.67,749
2025/11/05,319.8,323.89,312.15,319.46,319.8,-0.56,-1.8,345280.63,1079
2025/11/04,321.2,323.9,311.12,319.8,321.2,0.84,2.7,378614.0,1184
2025/11/03,318.22,323.99,302.22,321.2,318.22,1.63,5.18,373582.91,1168
2025/11/02,319.4,324.73,316.01,318.22,319.4,-1.06,-3.39,328363.0,1032
2025/10/30,318.64,321.0,315.25,319.4,318.64,-0.83,-2.63,320997.88,1005
2025/10/29,318.64,321.0,312.0,318.64,318.64,-2.08,-6.64,142217.25,450
2025/10/28,318.64,323.0,314.0,318.64,318.64,0.93,2.96,222353.44,700
2025/10/27,320.05,327.97,316.0,318.64,320.05,-0.02,-0.05,1189048.0,3711
2025/10/26,315.56,328.0,311.0,320.05,315.56,1.42,4.49,2388419.5,7428
2025/10/23,326.19,329.88,310.0,315.56,326.19,-4.66,-15.19,739118.75,2327
2025/10/22,319.29,340.0,312.0,326.19,319.29,2.07,6.61,9313976.0,28417
2025/10/21,280.02,329.99,280.01,319.29,280.02,14.02,39.27,9752355.0,31363
2025/10/20,274.91,283.99,274.11,280.02,274.91,3.3,9.07,721470.25,2591
2025/10/19,275.62,277.0,270.51,274.91,275.62,-0.3,-0.82,639367.5,2327
2025/10/16,270.28,277.0,270.51,275.62,270.28,2.49,6.72,314220.28,1140
2025/10/15,270.28,275.95,270.0,270.28,270.28,2.1,5.67,235387.13,865
2025/10/14,270.28,272.79,263.5,270.28,270.28,0.64,1.72,234655.94,870
2025/10/13,268.6,273.0,267.0,270.28,268.6,0.48,1.3,1295447.63,4788
2025/10/12,268.94,271.47,263.0,268.6,268.94,-0.72,-1.94,534298.94,1990
2025/10/08,267.99,273.97,263.0,268.94,267.99,-1.86,-4.99,998171.0,3726
2025/10/07,266.25,268.0,256.45,267.99,266.25,0.65,1.73,594620.13,2224
2025/10/06,266.25,268.0,257.2,266.25,266.25,-2.35,-6.25,202396.39,771
2025/10/05,259.99,269.5,256.75,266.25,259.99,0.77,2.01,889044.19,3366
2025/10/02,259.99,267.0,256.01,259.99,259.99,0.0,0.01,121423.78,465
2025/10/01,260.23,261.0,255.0,259.99,260.23,-0.09,-0.24,430564.09,1657
2025/09/30,260.23,260.0,255.0,260.23,260.23,-0.09,-0.23,192582.33,746
2025/09/29,255.52,261.8,250.51,260.23,255.52,2.14,5.47,462356.69,1784
2025/09/28,255.52,256.5,251.5,255.52,255.52,-1.18,-3.02,120482.5,477
2025/09/25,250.53,256.97,253.0,255.52,250.53,2.02,5.07,420849.5,1648
2025/09/24,250.35,253.0,246.52,250.53,250.35,0.26,0.65,482679.59,1928
2025/09/23,250.35,252.0,247.0,250.35,250.35,0.0,0.0,258859.78,1035
2025/09/22,254.41,255.0,246.01,250.35,254.41,-1.67,-4.26,570580.44,2275
2025/09/21,250.0,255.6,249.99,254.41,250.0,0.6,1.5,632087.63,2503
2025/09/18,251.41,257.8,250.0,250.0,251.41,-0.56,-1.41,775520.56,3091
2025/09/17,255.1,273.97,250.11,251.41,255.1,-1.45,-3.69,5426484.0,20711
2025/09/16,259.23,260.0,254.07,255.1,259.23,-1.63,-4.23,474125.13,1853
2025/09/15,259.23,262.0,254.23,259.23,259.23,-1.55,-4.03,164408.94,641
2025/09/14,251.56,260.0,252.0,259.23,251.56,2.96,7.44,602922.44,2330
2025/09/11,254.31,259.99,250.0,251.56,254.31,-1.1,-2.79,518516.88,2052
2025/09/10,261.4,268.0,251.0,254.31,261.4,-2.71,-7.09,504428.41,1960
2025/09/09,268.13,272.0,256.01,261.4,268.13,-1.91,-5.13,472868.78,1805
2025/09/08,269.45,279.0,261.0,268.13,269.45,-2.39,-6.45,878155.56,3238
2025/09/07,254.35,273.97,259.99,269.45,254.35,6.54,16.629999,2519482.5,9437
2025/09/03,249.0,264.64,251.0,254.35,249.0,1.22,3.04,1718309.88,6662
2025/09/02,239.25,254.99,239.2,249.0,239.25,4.08,9.75,2335960.5,9355
