«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/11/24,5.51,5.78,5.78,5.51,5.51,4.9,0.27,75.14,13
2025/11/09,5.51,5.78,5.78,5.51,5.51,4.9,0.27,11560.0,2000
2025/10/12,5.51,5.51,5.51,5.51,5.51,0.0,0.0,551.0,100
2025/05/05,5.51,5.78,5.78,5.51,5.51,4.9,0.27,1156.0,200
2025/05/04,5.51,5.78,5.77,5.51,5.51,4.9,0.27,57485.88,9946
2025/04/30,5.51,5.78,5.78,5.51,5.51,4.9,0.27,19675.12,3404
2025/01/22,5.25,5.51,5.51,5.51,5.25,4.95,0.26,1027064.0,186400
2024/12/23,5.25,5.5,5.5,5.25,5.25,4.76,0.25,825.0,150
2024/12/17,5.25,5.51,5.51,5.25,5.25,4.95,0.26,2755.0,500
2024/11/11,5.25,5.51,5.51,5.25,5.25,4.95,0.26,3300.49,599
2024/11/06,5.25,5.51,5.51,5.25,5.25,4.95,0.26,5510.0,1000
2024/10/23,5.25,5.25,5.25,5.25,5.25,0.0,0.0,27300.0,5200
2024/10/22,5.25,5.25,5.25,5.25,5.25,0.0,0.0,5250.0,1000
2024/10/16,5.25,5.25,5.25,5.25,5.25,0.0,0.0,3144.75,599
2024/09/11,5.25,5.0,5.0,5.25,5.25,-4.76,-0.25,10.0,2
2024/08/15,5.25,5.0,5.0,5.25,5.25,-4.76,-0.25,750.0,150
2024/08/13,5.25,5.0,5.0,5.25,5.25,-4.76,-0.25,10.0,2
2024/05/26,5.25,5.5,5.0,5.25,5.25,4.76,0.25,1099.5,200
2024/05/20,5.25,5.0,5.0,5.25,5.25,-4.76,-0.25,830.0,166
2024/05/19,5.25,5.3,4.99,5.25,5.25,0.95,0.05,4084.639893,791
2024/04/08,5.25,5.05,5.05,5.25,5.25,-3.81,-0.2,631.25,125
2024/04/04,5.25,5.25,5.25,5.25,5.25,0.0,0.0,136.5,26
2024/04/01,5.25,5.05,5.05,5.25,5.25,-3.81,-0.2,252.5,50
2024/03/31,5.25,5.05,5.05,5.25,5.25,-3.81,-0.2,126.25,25
2024/03/17,5.25,5.25,5.2,5.25,5.25,0.0,0.0,1049.949951,200
2024/03/06,5.25,5.25,5.25,5.25,5.25,0.0,0.0,829.5,158
2024/02/28,5.25,5.25,5.25,5.25,5.25,0.0,0.0,929.25,177
2024/02/21,5.25,4.99,4.99,5.25,5.25,-4.95,-0.26,14.97,3
2024/02/12,5.25,5.25,5.25,5.25,5.25,0.0,0.0,52.5,10
2024/02/01,5.25,5.25,5.25,5.25,5.25,0.0,0.0,1995.0,380
2024/01/31,5.25,5.25,5.25,5.25,5.25,0.0,0.0,31.5,6
2024/01/29,5.25,5.01,5.01,5.25,5.25,-4.57,-0.24,15.03,3
2024/01/23,5.25,5.25,5.25,5.25,5.25,0.0,0.0,1023.75,195
2024/01/21,5.25,5.25,5.25,5.25,5.25,0.0,0.0,5.25,1
2024/01/15,5.25,5.25,5.25,5.25,5.25,0.0,0.0,2100.0,400
2021/11/14,5.25,5.0,5.0,5.25,5.25,-4.76,-0.25,50.0,10
2021/09/05,5.25,5.25,5.25,5.25,5.25,0.0,0.0,68.25,13
2021/08/31,5.25,5.5,5.5,5.25,5.25,4.76,0.25,5500.0,1000
2021/08/23,5.25,5.5,5.25,5.25,5.25,0.0,0.0,3299.75,600
2021/08/15,5.25,5.51,5.25,5.25,5.25,0.0,0.0,11025.25,2001
2021/08/08,5.25,5.5,5.5,5.25,5.25,4.76,0.25,22550.0,4100
2021/07/04,5.25,5.51,4.99,5.25,5.25,4.95,0.26,4137.490234,751
2021/04/15,5.25,5.5,5.5,5.25,5.25,4.76,0.25,1100.0,200
2021/02/23,5.25,5.5,5.5,5.25,5.25,4.76,0.25,1925.0,350
2021/02/16,5.25,5.51,5.5,5.25,5.25,4.95,0.26,12397.490234,2250
2021/02/14,5.25,5.5,5.5,5.25,5.25,4.76,0.25,1919.5,349
2020/11/29,5.25,5.51,5.51,5.25,5.25,4.95,0.26,1068.939941,194
2020/11/24,5.25,5.51,5.51,5.25,5.25,4.95,0.26,1041.390015,189
2020/11/12,5.25,5.25,5.25,5.25,5.25,0.0,0.0,5.25,1
2020/03/16,5.25,5.0,5.0,5.25,5.25,-4.76,-0.25,3000.0,600
2020/03/11,5.25,5.0,5.0,5.25,5.25,-4.76,-0.25,5.0,1
2020/03/10,5.25,5.0,5.0,5.25,5.25,-4.76,-0.25,11700.0,2340
2020/01/28,5.25,5.0,5.0,5.25,5.25,0.0,0.0,7050.0,1410
