«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.91,2.95,2.85,2.91,2.91,0.69,0.02,58320.05,19995
2026/01/12,2.87,2.95,2.8,2.91,2.87,2.79,0.08,151054.59,51893
2026/01/11,2.97,2.96,2.83,2.87,2.97,-1.01,-0.03,320037.72,111771
2026/01/08,2.97,2.96,2.86,2.97,2.97,-0.34,-0.01,124265.78,42441
2026/01/06,2.97,2.96,2.83,2.97,2.97,-0.67,-0.02,78967.5,27105
2026/01/05,2.85,2.98,2.86,2.97,2.85,4.21,0.12,178775.22,60152
2026/01/04,2.84,2.96,2.78,2.85,2.84,4.23,0.12,356791.41,125395
2025/12/31,2.84,2.98,2.87,2.84,2.84,2.11,0.06,92164.08,31437
2025/12/30,2.84,2.98,2.88,2.84,2.84,4.58,0.13,48546.43,16466
2025/12/29,2.84,2.97,2.87,2.84,2.84,4.23,0.12,78626.88,26892
2025/12/28,2.84,2.98,2.86,2.84,2.84,4.93,0.14,61889.26,20783
2025/12/25,2.92,3.0,2.78,2.84,2.92,-2.4,-0.07,362754.88,126864
2025/12/24,3.0,3.05,2.9,2.92,3.0,0.0,0.0,192451.53,65911
2025/12/23,2.99,3.09,2.95,3.0,2.99,-1.34,-0.04,192870.47,64207
2025/12/22,3.01,3.13,2.98,2.99,3.01,2.66,0.08,270646.88,90224
2025/12/21,3.04,3.14,2.98,3.01,3.04,-0.99,-0.03,378892.84,124481
2025/12/18,3.1,3.15,2.95,3.04,3.1,-0.97,-0.03,214273.56,71004
2025/12/17,3.25,3.2,3.09,3.1,3.25,-2.77,-0.09,156702.23,50586
2025/12/16,3.2,3.36,3.13,3.25,3.2,0.0,0.0,363083.16,109997
2025/12/15,3.05,3.2,3.05,3.2,3.05,4.92,0.15,663430.38,208452
2025/12/14,3.13,3.2,2.99,3.05,3.13,-2.24,-0.07,194956.48,64145
2025/12/11,3.13,3.03,2.99,3.13,3.13,-3.19,-0.1,25385.64,8431
2025/12/10,3.13,3.03,2.98,3.13,3.13,-3.19,-0.1,59723.73,19969
2025/12/09,3.13,3.03,2.98,3.13,3.13,-3.19,-0.1,64964.81,21747
2025/12/08,3.13,3.04,2.98,3.13,3.13,-4.15,-0.13,8396.72,2798
2025/12/07,3.13,3.06,2.98,3.13,3.13,-2.88,-0.09,120883.8,40386
2025/12/04,3.13,3.04,2.98,3.13,3.13,-4.79,-0.15,72073.68,24140
2025/12/03,3.13,3.04,2.98,3.13,3.13,-4.79,-0.15,52531.46,17627
2025/12/02,3.13,3.04,2.98,3.13,3.13,-4.79,-0.15,100177.04,33614
2025/12/01,3.13,3.04,2.98,3.13,3.13,-4.79,-0.15,27478.51,9210
2025/11/30,3.13,2.98,2.98,3.13,3.13,-4.79,-0.15,96593.72,32414
2025/11/27,3.13,2.98,2.98,3.13,3.13,-4.79,-0.15,75545.98,25351
2025/11/26,3.13,2.98,2.98,3.13,3.13,-4.79,-0.15,79422.96,26652
2025/11/25,3.13,2.98,2.98,3.13,3.13,-4.79,-0.15,67076.82,22509
2025/11/24,3.13,2.98,2.98,3.13,3.13,-4.79,-0.15,45671.48,15326
2025/11/23,3.13,3.05,2.98,3.13,3.13,-2.56,-0.08,53524.98,17907
2025/11/20,3.13,3.0,2.98,3.13,3.13,-4.79,-0.15,870.76,292
2025/11/19,3.13,2.98,2.98,3.13,3.13,-4.79,-0.15,7208.62,2419
2025/11/18,3.13,2.98,2.98,3.13,3.13,-4.79,-0.15,66245.4,22230
2025/11/17,3.13,3.05,2.98,3.13,3.13,-4.79,-0.15,16738.39,5607
2025/11/16,3.13,3.05,2.98,3.13,3.13,-4.15,-0.13,18828.76,6258
2025/11/13,3.13,3.04,2.98,3.13,3.13,-3.19,-0.1,38924.14,12990
2025/11/12,3.13,3.05,2.98,3.13,3.13,-4.15,-0.13,19619.0,6522
2025/11/11,3.13,3.07,2.98,3.13,3.13,-4.79,-0.15,14169.96,4723
2025/11/10,3.13,3.13,2.98,3.13,3.13,-4.15,-0.13,89249.37,29566
2025/11/09,3.13,3.13,3.04,3.13,3.13,-2.88,-0.09,52285.0,17187
2025/11/06,3.13,3.13,3.04,3.13,3.13,-2.88,-0.09,9470.2,3083
2025/11/05,3.13,3.16,3.02,3.13,3.13,-2.88,-0.09,21519.15,7023
2025/11/04,3.13,3.19,3.13,3.13,3.13,1.28,0.04,60626.16,19208
2025/11/03,3.13,3.19,3.13,3.13,3.13,0.0,0.0,18954.76,6042
2025/11/02,3.11,3.18,3.0,3.13,3.11,2.25,0.07,229321.97,73744
2025/10/30,3.11,3.16,3.0,3.11,3.11,-2.89,-0.09,26047.48,8549
2025/10/29,3.11,3.18,3.0,3.11,3.11,1.93,0.06,133432.05,43437
2025/10/28,3.15,3.19,3.05,3.11,3.15,0.95,0.03,186205.02,59863
2025/10/27,3.15,3.18,3.07,3.15,3.15,-2.54,-0.08,117772.22,37619
2025/10/26,3.15,3.16,3.08,3.15,3.15,-2.22,-0.07,118611.73,38101
2025/10/23,3.15,3.17,3.09,3.15,3.15,0.32,0.01,71724.11,22803
2025/10/22,3.15,3.18,3.09,3.15,3.15,0.0,0.0,124301.44,39784
2025/10/21,3.15,3.3,3.08,3.15,3.15,-1.59,-0.05,109989.31,34611
2025/10/20,3.15,3.17,3.08,3.15,3.15,-0.63,-0.02,30219.31,9692
2025/10/19,3.15,3.17,3.02,3.15,3.15,0.0,0.0,71761.38,23142
2025/10/16,3.15,3.12,3.01,3.15,3.15,-1.27,-0.04,57244.84,18539
2025/10/15,3.15,3.17,3.0,3.15,3.15,-1.59,-0.05,91601.25,29690
2025/10/14,3.15,3.28,3.0,3.15,3.15,-1.27,-0.04,87480.42,28050
2025/10/13,3.15,3.3,3.14,3.15,3.15,0.0,0.0,12907.15,4062
2025/10/12,3.25,3.41,3.12,3.15,3.25,4.62,0.15,564452.69,172665
2025/10/08,3.25,3.34,3.12,3.25,3.25,-4.0,-0.13,59811.88,18864
2025/10/07,3.24,3.39,3.09,3.25,3.24,2.78,0.09,222618.48,69018
2025/10/06,3.24,3.15,3.08,3.24,3.24,-4.63,-0.15,62962.01,20255
2025/10/05,3.24,3.15,3.08,3.24,3.24,-3.09,-0.1,80658.48,26045
2025/10/02,3.24,3.17,3.09,3.24,3.24,-4.63,-0.15,15246.39,4843
2025/10/01,3.24,3.18,3.09,3.24,3.24,-2.16,-0.07,21562.48,6917
2025/09/30,3.24,3.2,3.08,3.24,3.24,-1.54,-0.05,22592.77,7259
2025/09/29,3.24,3.19,3.08,3.24,3.24,-1.54,-0.05,24977.84,7929
