«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,3.06,3.21,3.21,3.06,3.06,4.9,0.15,433.35,135
2026/01/11,2.92,3.06,3.06,3.06,2.92,4.79,0.14,302940.0,99000
2026/01/08,2.92,3.06,3.06,2.92,2.92,4.79,0.14,122.4,40
2026/01/06,2.92,3.06,3.06,2.92,2.92,4.79,0.14,1132.2,370
2025/12/28,2.92,3.06,3.06,2.92,2.92,4.79,0.14,122.4,40
2025/12/24,2.92,3.06,3.06,2.92,2.92,4.795,0.14,19890.0,6500
2025/12/23,2.92,3.06,3.06,2.92,2.92,4.795,0.14,6120.0,2000
2025/12/22,2.79,2.92,2.92,2.92,2.79,4.66,0.13,1234286.875,422701
2025/12/21,2.79,2.92,2.92,2.79,2.79,4.66,0.13,7665.0,2625
2025/12/18,2.79,2.92,2.92,2.79,2.79,4.66,0.13,9928.0,3400
2025/12/15,2.79,2.92,2.92,2.79,2.79,4.66,0.13,3296.68,1129
2025/12/14,2.79,2.92,2.92,2.79,2.79,4.66,0.13,11680.0,4000
2025/12/11,2.79,2.92,2.92,2.79,2.79,4.66,0.13,6424.0,2200
2025/11/30,2.79,2.92,2.92,2.79,2.79,4.66,0.13,28356.119,9711
2025/11/27,2.79,2.92,2.92,2.79,2.79,4.66,0.13,5840.0,2000
2025/11/23,2.79,2.92,2.92,2.79,2.79,4.66,0.13,14.6,5
2025/11/17,2.79,2.92,2.92,2.79,2.79,4.66,0.13,1915.52,656
2025/11/12,2.79,2.92,2.92,2.79,2.79,4.66,0.13,16936.0,5800
2025/11/10,2.79,2.92,2.92,2.79,2.79,4.66,0.13,58414.602,20005
2025/11/06,2.79,2.92,2.92,2.79,2.79,4.66,0.13,2920.0,1000
2025/11/05,2.79,2.92,2.92,2.79,2.79,4.66,0.13,17520.0,6000
2025/11/03,2.79,2.92,2.92,2.79,2.79,4.66,0.13,40880.0,14000
2025/11/02,2.79,2.92,2.92,2.79,2.79,4.66,0.13,21914.6,7505
2025/10/30,2.66,2.79,2.79,2.79,2.66,4.887,0.13,373148.563,133745
2025/10/29,2.66,2.79,2.79,2.66,2.66,4.887,0.13,2.79,1
2025/10/28,2.66,2.79,2.79,2.66,2.66,4.887,0.13,2.79,1
2025/10/27,2.66,2.79,2.79,2.66,2.66,4.887,0.13,1185.75,425
2025/10/22,2.66,2.79,2.79,2.66,2.66,4.887,0.13,11126.52,3988
2025/10/21,2.66,2.79,2.79,2.66,2.66,4.887,0.13,2.79,1
2025/10/20,2.66,2.79,2.79,2.66,2.66,4.887,0.13,2.79,1
2025/10/19,2.66,2.79,2.79,2.66,2.66,4.887,0.13,6977.79,2501
2025/10/15,2.66,2.79,2.79,2.66,2.66,4.887,0.13,5.58,2
2025/10/14,2.66,2.79,2.79,2.66,2.66,4.887,0.13,10401.12,3728
2025/10/13,2.66,2.79,2.79,2.66,2.66,4.887,0.13,5.58,2
2025/10/08,2.66,2.79,2.79,2.66,2.66,4.887,0.13,4185.0,1500
2025/10/06,2.66,2.66,2.66,2.66,2.66,0.0,0.0,15960.0,6000
2025/10/05,2.66,2.79,2.79,2.66,2.66,4.887,0.13,2790.0,1000
2025/10/02,2.66,2.79,2.79,2.66,2.66,4.887,0.13,309.69,111
2025/10/01,2.66,2.79,2.79,2.66,2.66,4.887,0.13,2790.0,1000
2025/09/25,2.66,2.79,2.79,2.66,2.66,4.887,0.13,18112.68,6492
2025/09/24,2.66,2.79,2.79,2.66,2.66,4.887,0.13,6975.0,2500
2025/09/23,2.66,2.79,2.79,2.66,2.66,4.887,0.13,27900.0,10000
2025/09/21,2.66,2.79,2.79,2.66,2.66,4.887,0.13,15205.5,5450
2025/09/15,2.66,2.79,2.79,2.66,2.66,4.887,0.13,9765.0,3500
2025/09/11,2.66,2.79,2.79,2.66,2.66,4.887,0.13,16740.0,6000
2025/09/08,2.66,2.79,2.79,2.66,2.66,4.887,0.13,5.58,2
2025/09/07,2.66,2.79,2.79,2.66,2.66,4.887,0.13,14508.0,5200
2025/09/03,2.66,2.79,2.79,2.66,2.66,4.887,0.13,6980.58,2502
2025/09/02,2.66,2.79,2.79,2.66,2.66,4.887,0.13,5.58,2
