«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.873,0.879,0.834,0.837,0.873,-4.124,-0.036,4618545.0,5406273
2026/01/12,0.869,0.886,0.861,0.873,0.869,0.46,0.004,1.5345224E7,17511619
2026/01/11,0.866,0.877,0.855,0.869,0.866,0.924,0.008,4731506.5,5445149
2026/01/08,0.862,0.869,0.855,0.866,0.862,0.464,0.004,5251598.0,6104044
2026/01/06,0.85,0.863,0.837,0.862,0.85,1.529,0.013,1.1703864E7,13655523
2026/01/05,0.838,0.852,0.825,0.85,0.838,1.671,0.014,6438603.5,7650602
2026/01/04,0.852,0.851,0.835,0.838,0.852,-1.643,-0.014,1754404.625,2088978
2025/12/31,0.85,0.854,0.831,0.852,0.85,0.471,0.004,5580454.5,6626280
2025/12/30,0.847,0.857,0.836,0.85,0.847,0.354,0.003,1.7871438E7,21071700
2025/12/29,0.84,0.863,0.833,0.847,0.84,0.833,0.007,8930653.0,10489620
2025/12/28,0.832,0.85,0.831,0.84,0.832,0.962,0.008,1.7876156E7,21258694
2025/12/25,0.833,0.847,0.82,0.832,0.833,-0.12,-0.001,3.366784E7,40457906
2025/12/24,0.844,0.844,0.802,0.833,0.844,-1.303,-0.011,2.6236642E7,31808052
2025/12/23,0.948,0.947,0.842,0.844,0.948,-10.969999,-0.104,7.643412E7,88274774
2025/12/22,0.989,0.962,0.928,0.948,0.989,-4.146,-0.041,3.198585E7,34111688
2025/12/21,0.897,0.989,0.893,0.989,0.897,10.256,0.092,2.9831794E7,32515221
2025/12/18,0.89,0.909,0.891,0.897,0.89,0.787,0.007,1.943113E7,21635625
2025/12/17,0.902,0.909,0.886,0.89,0.902,-1.33,-0.012,2.752924E7,30848773
2025/12/16,0.917,0.926,0.898,0.902,0.917,-1.636,-0.015,2.7880314E7,30850329
2025/12/15,0.906,0.919,0.893,0.917,0.906,1.214,0.011,7.642396E7,84821984
2025/12/14,0.88,0.91,0.875,0.906,0.88,2.955,0.026,8.9682488E7,99974454
2025/12/11,0.864,0.88,0.857,0.88,0.864,1.852,0.016,3.792514E7,43550349
2025/12/10,0.855,0.876,0.846,0.864,0.855,1.053,0.009,3.15536E7,36563661
2025/12/09,0.83,0.857,0.825,0.855,0.83,3.012,0.025,2.1198336E7,25136695
2025/12/08,0.845,0.844,0.822,0.83,0.845,-1.775,-0.015,1.1461211E7,13818357
2025/12/07,0.871,0.865,0.836,0.845,0.871,-2.985,-0.026,6.9254344E7,81616187
2025/12/04,0.829,0.875,0.81,0.871,0.829,5.066,0.042,3.7986044E7,45719942
2025/12/03,0.825,0.848,0.806,0.829,0.825,0.485,0.004,3.3230602E7,40455331
2025/12/02,0.796,0.827,0.786,0.825,0.796,3.643,0.029,7.3894496E7,91390758
2025/12/01,0.74,0.797,0.742,0.796,0.74,7.568,0.056,9.4436784E7,121231358
2025/11/30,0.74,0.745,0.729,0.74,0.74,0.0,0.0,2.239682E7,30371154
2025/11/27,0.735,0.765,0.73,0.74,0.735,0.68,0.005,2.5244178E7,34190966
2025/11/26,0.739,0.75,0.726,0.735,0.739,-0.541,-0.004,1.4392966E7,19658793
2025/11/25,0.754,0.762,0.737,0.739,0.754,-1.989,-0.015,3.3490438E7,44606204
2025/11/24,0.744,0.771,0.746,0.754,0.744,1.478,0.011,6.0636592E7,79985770
2025/11/23,0.741,0.749,0.738,0.744,0.741,0.405,0.003,1.949935E7,26258278
2025/11/20,0.749,0.759,0.734,0.741,0.749,-1.068,-0.008,1.6551135E7,22358546
2025/11/19,0.74,0.759,0.732,0.749,0.74,1.216,0.009,5.5591E7,74197052
2025/11/18,0.743,0.759,0.729,0.74,0.743,-0.404,-0.003,1.2423569E7,16804149
2025/11/17,0.766,0.75,0.701,0.743,0.766,-2.219,-0.017,2.6968886E7,36591396
2025/11/16,0.695,0.766,0.69,0.766,0.695,10.216001,0.071,5.9498064E7,83546196
2025/11/13,0.684,0.7,0.681,0.695,0.684,1.608,0.011,1.4199592E7,20487123
2025/11/12,0.686,0.689,0.681,0.684,0.686,-0.292,-0.002,8354326.5,12199661
2025/11/11,0.697,0.703,0.685,0.686,0.697,-1.578,-0.011,1.952517E7,28170351
2025/11/10,0.698,0.701,0.688,0.697,0.698,-0.143,-0.001,2.2141186E7,31770763
