«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.453,0.465,0.453,0.458,0.453,1.104,0.005,228792.063,496305
2026/01/12,0.446,0.461,0.447,0.453,0.446,1.57,0.007,232587.844,510657
2026/01/11,0.45,0.45,0.444,0.446,0.45,-0.889,-0.004,172959.266,385855
2026/01/08,0.46,0.46,0.449,0.45,0.46,-2.174,-0.01,260731.328,573468
2026/01/06,0.469,0.47,0.459,0.46,0.469,-1.919,-0.009,185806.531,402168
2026/01/05,0.47,0.47,0.466,0.469,0.47,-0.213,-0.001,65312.078,139214
2026/01/04,0.469,0.474,0.467,0.47,0.469,0.213,0.001,38532.5,82009
2025/12/31,0.472,0.477,0.468,0.469,0.472,-0.424,-0.002,66611.008,141718
2025/12/30,0.478,0.48,0.472,0.472,0.478,-1.255,-0.006,201628.906,424950
2025/12/29,0.474,0.482,0.473,0.478,0.474,0.844,0.004,284440.438,593828
2025/12/28,0.48,0.48,0.471,0.474,0.48,-1.25,-0.006,57261.195,121064
2025/12/25,0.476,0.485,0.477,0.48,0.476,0.84,0.004,255427.906,531549
2025/12/24,0.471,0.48,0.469,0.476,0.471,1.062,0.005,98241.656,207505
2025/12/23,0.464,0.473,0.457,0.471,0.464,1.509,0.007,239442.016,515703
2025/12/22,0.477,0.476,0.46,0.464,0.477,-2.935,-0.014,380721.25,819728
2025/12/21,0.48,0.489,0.476,0.477,0.48,-0.625,-0.003,157706.766,329200
2025/12/18,0.484,0.49,0.479,0.48,0.484,-0.826,-0.004,85312.703,177137
2025/12/17,0.48,0.491,0.478,0.484,0.48,0.833,0.004,261774.672,536153
2025/12/16,0.48,0.492,0.465,0.48,0.48,0.0,0.0,1867221.5,3868231
2025/12/15,0.494,0.5,0.477,0.48,0.494,-2.834,-0.014,507411.531,1044682
2025/12/14,0.492,0.51,0.491,0.494,0.492,0.407,0.002,588470.313,1173298
2025/12/11,0.487,0.498,0.486,0.492,0.487,1.027,0.005,936756.5,1906186
2025/12/10,0.47,0.487,0.472,0.487,0.47,3.617,0.017,555590.438,1153120
2025/12/09,0.455,0.475,0.456,0.47,0.455,3.297,0.015,813463.063,1725956
2025/12/08,0.466,0.477,0.455,0.455,0.466,-2.361,-0.011,281200.344,605989
2025/12/07,0.45,0.476,0.454,0.466,0.45,3.556,0.016,684221.0,1467164
2025/12/04,0.447,0.46,0.441,0.45,0.447,0.671,0.003,322626.563,714859
2025/12/03,0.438,0.451,0.427,0.447,0.438,1.826,0.008,947547.25,2117315
2025/12/02,0.416,0.45,0.413,0.438,0.416,5.288,0.022,1184684.5,2722747
2025/12/01,0.413,0.417,0.408,0.416,0.413,0.726,0.003,216002.234,522342
2025/11/30,0.4,0.413,0.4,0.413,0.4,3.25,0.013,354918.156,869473
2025/11/27,0.388,0.403,0.387,0.4,0.388,3.093,0.012,678358.188,1703771
2025/11/26,0.376,0.389,0.378,0.388,0.376,3.191,0.012,469438.469,1222194
2025/11/25,0.375,0.379,0.375,0.376,0.375,0.0,0.0,29143.115,77560
2025/11/24,0.378,0.38,0.375,0.375,0.378,-0.794,-0.003,49002.34,129884
2025/11/23,0.376,0.379,0.377,0.378,0.376,0.532,0.002,8818.658,23353
2025/11/20,0.375,0.377,0.375,0.376,0.375,0.533,0.002,307833.438,820681
2025/11/19,0.38,0.38,0.375,0.375,0.38,-1.316,-0.005,116267.703,309127
2025/11/18,0.38,0.384,0.379,0.38,0.38,0.0,0.0,146908.063,385146
2025/11/17,0.373,0.381,0.375,0.38,0.373,1.877,0.007,549231.188,1447315
2025/11/16,0.376,0.378,0.372,0.373,0.376,-0.798,-0.003,65612.547,175540
2025/11/13,0.376,0.378,0.375,0.376,0.376,-0.266,-0.001,33456.285,88913
2025/11/12,0.372,0.38,0.372,0.376,0.372,0.806,0.003,101422.227,268881
2025/11/11,0.371,0.376,0.371,0.372,0.371,0.27,0.001,124584.539,333156
2025/11/10,0.369,0.372,0.367,0.371,0.369,0.813,0.003,93391.141,251875
2025/11/09,0.369,0.37,0.368,0.369,0.369,-0.271,-0.001,7243.754,19654
2025/11/06,0.37,0.372,0.369,0.369,0.37,-0.27,-0.001,25582.377,69241
2025/11/05,0.373,0.374,0.37,0.37,0.373,-0.804,-0.003,200355.922,540820
2025/11/04,0.373,0.374,0.372,0.373,0.373,-0.268,-0.001,18237.199,48900
2025/11/03,0.375,0.375,0.372,0.373,0.375,-0.267,-0.001,52123.988,139377
2025/11/02,0.375,0.377,0.374,0.375,0.375,0.267,0.001,29450.861,78531
2025/10/30,0.375,0.378,0.375,0.375,0.375,0.0,0.0,101142.695,268982
2025/10/29,0.372,0.376,0.372,0.375,0.372,1.075,0.004,12207.189,32569
2025/10/28,0.376,0.378,0.372,0.372,0.376,-1.064,-0.004,102434.344,273853
2025/10/27,0.374,0.38,0.372,0.376,0.374,0.535,0.002,365793.313,966688
2025/10/26,0.375,0.375,0.373,0.374,0.375,-0.533,-0.002,15380.77,41124
2025/10/23,0.378,0.378,0.375,0.375,0.378,-0.794,-0.003,18396.231,48840
2025/10/22,0.375,0.378,0.37,0.378,0.375,0.8,0.003,137766.844,368936
2025/10/21,0.375,0.376,0.372,0.375,0.375,0.0,0.0,57224.773,152960
2025/10/20,0.377,0.377,0.373,0.375,0.377,-0.531,-0.002,58794.766,157006
2025/10/19,0.378,0.38,0.377,0.377,0.378,-0.265,-0.001,91727.094,242470
2025/10/16,0.378,0.38,0.376,0.378,0.378,0.0,0.0,295900.125,779735
2025/10/15,0.376,0.382,0.37,0.378,0.376,0.532,0.002,336402.188,894880
