«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,22.59,22.55,21.5,21.55,22.59,-4.6,-1.04,686678.75,31394
2026/01/12,23.13,23.89,22.0,22.59,23.13,-2.33,-0.54,1766281.0,77986
2026/01/11,30.6,31.38,29.72,30.07,30.6,-1.73,-0.53,3457272.75,114572
2026/01/08,30.23,30.75,30.0,30.6,30.23,1.72,0.52,744681.13,24434
2026/01/06,30.01,30.5,29.14,30.23,30.01,-0.03,-0.01,484282.34,16028
2026/01/05,30.01,30.29,29.03,30.01,30.01,-0.03,-0.01,189447.22,6380
2026/01/04,30.43,30.7,29.5,30.01,30.43,-0.46,-0.14,905661.94,29867
2025/12/31,29.91,30.7,29.99,30.43,29.91,1.74,0.52,1030295.81,33860
2025/12/30,29.35,30.4,29.35,29.91,29.35,0.89,0.26,1788678.88,59632
2025/12/29,30.65,30.98,29.05,29.35,30.65,-4.24,-1.3,1363548.13,45757
2025/12/28,30.88,31.37,30.49,30.65,30.88,-1.23,-0.38,499179.91,16214
2025/12/25,30.72,32.0,30.73,30.88,30.72,0.52,0.16,2549649.0,81377
2025/12/24,30.94,31.47,30.3,30.72,30.94,-0.19,-0.06,424468.09,13782
2025/12/23,30.8,31.88,30.7,30.94,30.8,0.55,0.17,2181422.25,69874
2025/12/22,31.31,31.6,30.66,30.8,31.31,-1.95,-0.61,3.423456E7,1093782
2025/12/21,30.78,31.6,30.0,31.31,30.78,1.72,0.53,953323.0,30764
2025/12/18,30.82,31.0,30.51,30.78,30.82,-1.01,-0.31,1446176.63,46896
2025/12/17,30.69,31.38,30.55,30.82,30.69,0.42,0.13,2231877.75,72132
2025/12/16,31.08,32.32,30.4,30.69,31.08,-1.25,-0.39,8096470.5,259342
2025/12/15,30.64,31.5,30.46,31.08,30.64,1.44,0.44,1098561.75,35306
2025/12/14,30.07,31.25,29.55,30.64,30.07,1.43,0.43,1890370.25,61368
2025/12/11,30.07,30.8,29.66,30.07,30.07,0.0,0.0,836856.25,27676
2025/12/10,28.67,30.5,28.28,30.07,28.67,4.88,1.4,5336952.5,179770
2025/12/09,28.67,28.88,28.0,28.67,28.67,0.59,0.17,77469.06,2718
2025/12/08,28.15,29.0,28.16,28.67,28.15,2.56,0.72,888845.88,30869
2025/12/07,28.15,29.17,28.0,28.15,28.15,0.89,0.25,209027.59,7327
2025/12/04,28.86,29.18,27.02,28.15,28.86,-2.95,-0.85,995767.88,35348
2025/12/03,28.08,29.18,28.0,28.86,28.08,3.28,0.92,1659202.38,57350
2025/12/02,28.69,29.19,28.01,28.08,28.69,-2.34,-0.67,697848.81,24680
2025/12/01,28.45,29.25,28.11,28.69,28.45,2.81,0.8,1181569.0,40999
2025/11/30,28.27,29.0,28.3,28.45,28.27,0.18,0.05,649861.75,22728
2025/11/27,28.53,29.19,28.05,28.27,28.53,-0.91,-0.26,1019447.75,35589
2025/11/26,28.82,29.29,28.42,28.53,28.82,-1.01,-0.29,488392.13,17056
2025/11/25,29.09,29.8,28.4,28.82,29.09,-2.37,-0.69,948402.25,32658
2025/11/24,29.94,30.43,29.0,29.09,29.94,-3.14,-0.94,1015091.25,34682
2025/11/23,29.17,30.48,29.1,29.94,29.17,2.64,0.77,1870852.5,62192
2025/11/20,30.0,30.5,29.0,29.17,30.0,-2.77,-0.83,1662391.0,56203
2025/11/19,30.17,30.74,29.72,30.0,30.17,-0.56,-0.17,919091.69,30431
2025/11/18,31.04,31.25,30.15,30.17,31.04,-2.87,-0.89,682826.81,22585
2025/11/17,30.1,31.18,30.11,31.04,30.1,3.12,0.94,2275180.0,73535
2025/11/16,30.87,31.85,30.0,30.1,30.87,-2.49,-0.77,2186585.5,70721
2025/11/13,30.16,31.0,29.83,30.87,30.16,2.35,0.71,1048887.5,34426
2025/11/12,30.13,30.67,29.63,30.16,30.13,0.1,0.03,1512161.5,50040
2025/11/11,31.09,31.4,30.04,30.13,31.09,-3.09,-0.96,3579175.5,115904
2025/11/10,31.5,31.99,31.0,31.09,31.5,-1.3,-0.41,2989019.0,94734
2025/11/09,30.78,31.99,30.8,31.5,30.78,2.34,0.72,6363497.0,202743
2025/11/06,30.24,31.3,29.86,30.78,30.24,1.79,0.54,4497082.5,146050
2025/11/05,30.43,31.25,29.75,30.24,30.43,-0.62,-0.19,1370155.63,45067
2025/11/04,31.12,31.79,30.0,30.43,31.12,-0.42,-0.13,1948297.38,62856
2025/11/03,31.33,32.0,30.7,31.12,31.33,-0.67,-0.21,2318888.5,74039
2025/11/02,31.23,32.5,31.12,31.33,31.23,0.22,0.07,2795259.0,87684
2025/10/30,30.95,32.59,30.95,31.23,30.95,0.9,0.28,6541980.5,206788
2025/10/29,30.01,32.45,29.25,30.95,30.01,3.13,0.94,1.0106964E7,327104
2025/10/28,29.29,33.77,29.0,30.01,29.29,2.46,0.72,2.943787E7,947514
2025/10/27,28.68,29.9,28.52,29.29,28.68,2.13,0.61,4373040.5,148572
2025/10/26,28.97,29.75,28.37,28.68,28.97,-1.62,-0.47,2521034.75,86693
2025/10/23,28.44,29.0,27.78,28.97,28.44,1.86,0.53,3381644.0,118725
2025/10/22,28.96,30.0,28.21,28.44,28.96,-1.8,-0.52,6044314.5,206811
2025/10/21,27.71,29.0,27.5,28.96,27.71,4.51,1.25,5313972.0,187593
2025/10/20,27.12,28.1,26.75,27.71,27.12,2.18,0.59,5072039.5,183974
