«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,180.02,182.85,177.0,179.7,180.02,-1.68,-3.02,661700.31,3669
2026/01/12,182.54,184.5,180.01,180.02,182.54,-1.38,-2.52,1547721.0,8521
2026/01/11,183.01,184.8,182.5,182.54,183.01,-0.27,-0.5,478178.16,2618
2026/01/08,183.67,186.99,182.9,183.01,183.67,-0.36,-0.66,973358.5,5309
2026/01/06,183.97,187.0,183.5,183.67,183.97,-0.16,-0.3,1454776.5,7901
2026/01/05,182.64,192.88,183.01,183.97,182.64,0.73,1.33,1.2235734E7,64878
2026/01/04,181.89,185.9,182.0,182.64,181.89,0.41,0.75,908935.88,4956
2025/12/31,184.18,189.0,181.13,181.89,184.18,-1.24,-2.29,4168232.5,22534
2025/12/30,183.41,185.98,183.41,184.18,183.41,0.43,0.79,997387.56,5403
2025/12/29,185.73,187.4,183.0,183.41,185.73,-1.25,-2.32,3519888.75,19112
2025/12/28,186.79,188.25,185.66,185.73,186.79,-0.57,-1.06,1534525.38,8239
2025/12/25,186.74,188.99,186.71,186.79,186.74,0.03,0.05,2018393.25,10797
2025/12/24,186.77,190.0,186.6,186.74,186.77,-0.02,-0.03,4886988.5,26016
2025/12/23,186.32,190.0,186.01,186.77,186.32,0.24,0.45,6597371.5,35083
2025/12/22,187.39,190.0,186.0,186.32,187.39,-0.57,-1.07,2472729.0,13215
2025/12/21,186.18,194.0,186.32,187.39,186.18,0.65,1.21,7625468.0,40173
2025/12/18,185.05,193.8,185.0,186.18,185.05,0.61,1.13,1.4281398E7,75637
2025/12/17,185.41,187.0,185.0,185.05,185.41,-0.19,-0.36,2566490.5,13847
2025/12/16,185.45,198.98,184.91,185.41,185.45,-0.02,-0.04,1.8239392E7,95332
2025/12/15,186.09,188.0,184.26,185.45,186.09,-0.63,-1.18,1391605.88,7513
2025/12/14,185.25,191.96,185.5,186.09,185.25,0.45,0.84,5926534.0,31527
2025/12/11,186.51,188.5,185.01,185.25,186.51,-0.68,-1.26,2274127.0,12212
2025/12/10,185.39,194.0,185.1,186.51,185.39,0.6,1.12,1.0432943E7,55193
2025/12/09,185.1,187.0,185.34,185.39,185.1,0.13,0.24,554986.88,2992
2025/12/08,185.36,189.97,184.96,185.1,185.36,-0.14,-0.26,3047086.25,16326
2025/12/07,185.85,186.99,184.14,185.36,185.85,-0.48,-0.89,967693.06,5216
2025/12/04,186.85,189.0,185.12,185.85,186.85,-0.54,-1.0,1553777.63,8331
2025/12/03,185.7,195.0,185.66,186.85,185.7,0.62,1.15,4696322.5,24687
2025/12/02,185.18,189.45,185.02,185.7,185.18,0.26,0.48,1268134.5,6820
2025/12/01,185.53,194.0,184.61,185.18,185.53,0.25,0.47,4199894.5,22371
2025/11/30,184.08,186.9,184.11,185.53,184.08,0.29,0.53,338972.03,1828
2025/11/27,184.57,185.62,184.0,184.08,184.57,-0.27,-0.49,1910464.63,10372
2025/11/26,185.36,189.97,184.5,184.57,185.36,-0.43,-0.79,1149899.13,6197
2025/11/25,188.44,190.38,185.15,185.36,188.44,-1.69,-3.19,2340922.0,12495
2025/11/24,189.1,194.75,188.4,188.44,189.1,-0.35,-0.66,2711516.0,14203
2025/11/23,191.01,198.0,187.3,189.1,191.01,-1.0,-1.91,6268784.0,32333
2025/11/20,190.26,196.0,187.15,191.01,190.26,0.39,0.75,4997318.0,26041
2025/11/19,189.44,192.0,188.05,190.26,189.44,0.43,0.82,1439786.75,7575
2025/11/18,191.69,194.3,188.5,189.44,191.69,-1.17,-2.25,3285498.5,17173
2025/11/17,191.16,202.0,191.08,191.69,191.16,0.28,0.53,1.1556863E7,58746
