«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,146.0,147.9,143.26,143.3,146.0,-1.85,-2.7,1.08250264E8,738430
2026/01/12,147.04,149.5,145.76,146.0,147.04,-0.71,-1.04,6.3781876E7,435212
2026/01/11,148.97,151.5,145.62,147.04,148.97,-1.3,-1.93,3.211945E7,216559
2026/01/08,151.0,153.94,148.8,148.97,151.0,-1.34,-2.03,3.3205236E7,219736
2026/01/06,150.51,153.4,150.31,151.0,150.51,0.33,0.49,1.10343296E8,726577
2026/01/05,154.06,155.5,150.22,150.51,154.06,-2.3,-3.55,5.1214164E7,338133
2026/01/04,156.2,157.94,154.0,154.06,156.2,-1.37,-2.14,2.6166766E7,168032
2025/12/31,161.0,162.0,156.2,156.2,161.0,-2.98,-4.8,7.36354E7,466417
2025/12/30,160.32,166.0,160.01,161.0,160.32,0.42,0.68,1.52106992E8,936089
2025/12/29,156.0,160.32,156.1,160.32,156.0,2.77,4.32,6.3583052E7,404028
2025/12/28,156.69,158.92,155.9,156.0,156.69,-0.44,-0.69,2.6812312E7,170618
2025/12/25,155.82,159.49,155.85,156.69,155.82,0.56,0.87,6.475998E7,411079
2025/12/24,155.77,158.0,155.73,155.82,155.77,0.03,0.05,4.2574524E7,272232
2025/12/23,155.54,159.0,155.6,155.77,155.54,0.15,0.23,7.137708E7,456606
2025/12/22,154.92,161.5,154.5,155.54,154.92,0.4,0.62,8.0212184E7,508982
2025/12/21,159.68,160.6,154.5,154.92,159.68,-2.98,-4.76,5.6536648E7,361775
2025/12/18,164.62,164.99,159.08,159.68,164.62,-3.0,-4.94,5.7133448E7,353892
2025/12/17,167.42,168.5,164.0,164.62,167.42,-1.67,-2.8,2.0176122E7,121926
2025/12/16,167.13,169.97,167.17,167.42,167.13,0.17,0.29,1.3204788E7,78731
2025/12/15,167.57,173.0,167.01,167.13,167.57,-0.26,-0.44,1.17570592E8,692139
2025/12/14,169.0,171.8,167.25,167.57,169.0,-0.85,-1.43,8.1456096E7,483180
2025/12/11,172.99,175.0,168.63,169.0,172.99,-2.31,-3.99,3.6845004E7,214781
2025/12/10,167.97,175.2,169.0,172.99,167.97,2.99,5.02,5.2322488E7,303050
2025/12/09,167.61,169.15,167.51,167.97,167.61,0.21,0.36,4.1525564E7,245850
2025/12/08,167.1,168.9,167.11,167.61,167.1,0.31,0.51,2.8082172E7,166965
2025/12/07,168.11,169.9,166.56,167.1,168.11,-0.6,-1.01,6.0596848E7,362374
2025/12/04,172.1,173.9,168.0,168.11,172.1,-2.32,-3.99,7.5523456E7,444492
2025/12/03,173.0,175.74,172.07,172.1,173.0,-0.52,-0.9,4.9214432E7,282845
2025/12/02,169.25,173.5,168.5,173.0,169.25,2.22,3.75,6.6707744E7,390967
2025/12/01,167.0,177.0,166.26,169.25,167.0,1.35,2.25,3.6972204E7,215079
2025/11/30,168.14,169.97,165.9,167.0,168.14,-0.68,-1.14,6.560212E7,390448
2025/11/27,170.76,171.77,163.22,168.14,170.76,-1.53,-2.62,8.170792E7,488710
2025/11/26,175.98,179.85,170.1,170.76,175.98,-2.97,-5.22,7.2714616E7,414753
2025/11/25,180.0,182.9,175.0,175.98,180.0,-2.23,-4.02,6.1247516E7,346661
