«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.69,1.69,1.59,1.62,1.69,-4.142,-0.07,5.1707736E7,31575009
2026/01/12,1.7,1.72,1.67,1.69,1.7,-0.588,-0.01,3.3610364E7,19791848
2026/01/11,1.7,1.73,1.7,1.7,1.7,0.0,0.0,1.9918252E7,11649744
2026/01/08,1.72,1.74,1.69,1.7,1.72,-1.163,-0.02,4.027672E7,23498480
2026/01/06,1.69,1.72,1.69,1.72,1.69,1.775,0.03,2.253199E7,13192985
2026/01/05,1.7,1.72,1.68,1.69,1.7,-0.588,-0.01,2.8316172E7,16681202
2026/01/04,1.69,1.72,1.69,1.7,1.69,0.592,0.01,2.8742486E7,16852259
2025/12/31,1.72,1.74,1.69,1.69,1.72,-1.744,-0.03,5.0024108E7,29202667
2025/12/30,1.72,1.74,1.7,1.72,1.72,0.0,0.0,3.9527956E7,22942587
2025/12/29,1.72,1.75,1.71,1.72,1.72,0.0,0.0,5.1996852E7,30133986
2025/12/28,1.73,1.75,1.7,1.72,1.73,-0.578,-0.01,2.3487684E7,13666804
2025/12/25,1.72,1.73,1.7,1.73,1.72,0.581,0.01,2.8407078E7,16565389
2025/12/24,1.72,1.74,1.7,1.72,1.72,0.0,0.0,3.8535796E7,22382805
2025/12/23,1.75,1.81,1.71,1.72,1.75,-1.71,-0.03,1.3562632E8,76793606
2025/12/22,1.68,1.77,1.68,1.75,1.68,4.17,0.07,1.39708352E8,80473408
2025/12/21,1.69,1.71,1.67,1.68,1.69,-0.59,-0.01,2.8725582E7,16976114
2025/12/18,1.72,1.73,1.68,1.69,1.72,-1.74,-0.03,2.826021E7,16661799
2025/12/17,1.75,1.78,1.7,1.72,1.75,-1.71,-0.03,6.0475276E7,34744732
2025/12/16,1.72,1.79,1.71,1.75,1.72,1.74,0.03,1.19527112E8,68449369
2025/12/15,1.67,1.75,1.69,1.72,1.67,2.99,0.05,1.3181984E8,76374861
2025/12/14,1.64,1.71,1.63,1.67,1.64,1.83,0.03,8.4251576E7,50279256
2025/12/11,1.63,1.66,1.62,1.64,1.63,0.61,0.01,3.4001968E7,20738387
2025/12/10,1.63,1.65,1.62,1.63,1.63,0.0,0.0,3.1513512E7,19304412
2025/12/09,1.65,1.66,1.62,1.63,1.65,-1.21,-0.02,2.2881628E7,13990535
2025/12/08,1.65,1.68,1.63,1.65,1.65,0.0,0.0,3.9640396E7,24000788
2025/12/07,1.61,1.68,1.61,1.65,1.61,2.48,0.04,3.988918E7,24277052
2025/12/04,1.63,1.65,1.6,1.61,1.63,-1.23,-0.02,3.541872E7,21810019
2025/12/03,1.6,1.7,1.59,1.63,1.6,1.87,0.03,1.06490536E8,64428148
2025/12/02,1.64,1.66,1.58,1.6,1.64,-2.44,-0.04,6.3139476E7,38973752
2025/12/01,1.7,1.71,1.62,1.64,1.7,-3.53,-0.06,5.723338E7,34380679
2025/11/30,1.71,1.76,1.68,1.7,1.71,-0.58,-0.01,4.5116936E7,26401503
2025/11/27,1.75,1.75,1.7,1.71,1.75,-2.29,-0.04,3.948528E7,22873599
2025/11/26,1.65,1.79,1.65,1.75,1.65,6.06,0.1,1.0303752E8,59257524
2025/11/25,1.74,1.74,1.65,1.65,1.74,-5.17,-0.09,5.641038E7,33353595
2025/11/24,1.79,1.81,1.7,1.74,1.79,-2.79,-0.05,4.4593708E7,25294395
2025/11/23,1.8,1.87,1.79,1.79,1.8,-0.56,-0.01,9.8925904E7,54054553
2025/11/20,1.69,1.83,1.71,1.8,1.69,6.51,0.11,2.34132176E8,131814591
2025/11/19,1.65,1.69,1.63,1.69,1.65,2.42,0.04,3.5673536E7,21429238
2025/11/18,1.66,1.69,1.64,1.65,1.66,-0.6,-0.01,3.2296986E7,19449384
2025/11/17,1.63,1.66,1.62,1.66,1.63,1.84,0.03,3.589444E7,21833250
2025/11/16,1.7,1.72,1.63,1.63,1.7,-4.12,-0.07,4.0138884E7,24099356
2025/11/13,1.75,1.76,1.69,1.7,1.75,-2.86,-0.05,6.0118116E7,34830729
2025/11/12,1.77,1.79,1.75,1.75,1.77,-1.13,-0.02,2.3132162E7,13147559
2025/11/11,1.76,1.8,1.74,1.77,1.76,0.57,0.01,3.0809764E7,17460292
2025/11/10,1.79,1.81,1.73,1.76,1.79,-1.68,-0.03,5.8118356E7,32765815
2025/11/09,1.76,1.85,1.76,1.79,1.76,1.7,0.03,7.8666728E7,43576458
2025/11/06,1.85,1.89,1.75,1.76,1.85,-4.86,-0.09,5.46921E7,30222238
2025/11/05,2.89,2.9,2.81,2.82,2.89,-2.42,-0.07,7.6526904E7,26937428
2025/11/04,2.81,2.92,2.82,2.89,2.81,2.85,0.08,8.7867712E7,30545370
2025/11/03,2.88,2.91,2.81,2.81,2.88,-2.43,-0.07,7.3294672E7,25748505
2025/11/02,2.98,3.05,2.88,2.88,2.98,-3.36,-0.1,1.29842984E8,43997472
2025/10/30,2.95,3.02,2.95,2.98,2.95,1.02,0.03,1.05234416E8,35228753
2025/10/29,2.94,2.98,2.91,2.95,2.94,0.34,0.01,9.3379704E7,31748393
2025/10/28,3.08,3.11,2.93,2.94,3.08,-4.55,-0.14,2.09311024E8,69487526
2025/10/27,3.06,3.16,3.05,3.08,3.06,0.65,0.02,4.3794768E8,141106340
2025/10/26,2.83,3.06,2.85,3.06,2.83,8.13,0.23,2.32216304E8,78783172
