«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,26.33,26.48,25.25,25.25,26.33,-4.1,-1.08,2.8428064E7,1100363
2026/01/12,27.98,28.14,26.2,26.33,27.98,-5.9,-1.65,7.5012432E7,2810778
2026/01/11,27.94,28.25,27.75,27.98,27.94,-0.25,-0.07,3976814.5,142597
2026/01/08,28.09,28.39,27.87,27.94,28.09,-0.53,-0.15,5538220.0,196583
2026/01/06,27.93,28.2,27.76,28.09,27.93,0.72,0.2,2535749.25,90271
2026/01/05,28.38,28.89,27.77,27.93,28.38,-1.59,-0.45,6308123.0,225018
2026/01/04,28.5,29.13,28.31,28.38,28.5,-0.42,-0.12,9372825.0,325402
2025/12/31,28.93,29.21,28.5,28.5,28.93,-1.49,-0.43,7044473.0,245835
2025/12/30,28.92,29.25,28.9,28.93,28.92,-0.07,-0.02,4072214.5,139945
2025/12/29,28.9,29.57,28.81,28.92,28.9,0.07,0.02,1.4724994E7,504452
2025/12/28,28.08,29.49,28.0,28.9,28.08,2.92,0.82,1.7357882E7,600487
2025/12/25,28.12,28.4,28.05,28.08,28.12,-0.14,-0.04,2139704.0,76033
2025/12/24,27.92,28.4,27.94,28.12,27.92,0.72,0.2,3490845.5,123914
2025/12/23,27.94,28.15,27.71,27.92,27.94,0.21,0.06,5902518.0,210879
2025/12/22,27.65,28.2,27.8,27.94,27.65,1.05,0.29,3841500.0,137062
2025/12/21,28.27,28.6,27.55,27.65,28.27,-2.19,-0.62,9760588.0,349628
2025/12/18,28.63,28.9,28.21,28.27,28.63,-1.26,-0.36,6528896.5,228851
2025/12/17,28.96,29.05,28.57,28.63,28.96,-1.14,-0.33,4419340.5,153926
2025/12/16,28.92,29.16,28.75,28.96,28.92,0.14,0.04,1.2674696E7,438207
2025/12/15,29.0,29.7,28.8,28.92,29.0,-0.28,-0.08,3.4271816E7,1166845
2025/12/14,27.55,29.13,27.5,29.0,27.55,5.26,1.45,5.4849596E7,1907204
2025/12/11,27.96,28.28,27.55,27.55,27.96,-1.47,-0.41,1.546273E7,555073
2025/12/10,27.91,28.45,27.95,27.96,27.91,0.18,0.05,1.4035233E7,498662
2025/12/09,28.1,28.56,27.9,27.91,28.1,-0.68,-0.19,2.3730104E7,842711
2025/12/08,26.8,28.33,27.0,28.1,26.8,4.85,1.3,5.8203552E7,2092430
