«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,7.39,7.47,7.31,7.37,7.39,-0.27,-0.02,1.7540674E7,2376412
2026/01/12,7.32,7.44,7.29,7.39,7.32,0.96,0.07,2.3007544E7,3119657
2026/01/11,7.24,7.34,7.22,7.32,7.24,1.1,0.08,2.2925446E7,3144804
2026/01/08,7.25,7.31,7.22,7.24,7.25,-0.14,-0.01,1.8529398E7,2547186
2026/01/06,7.14,7.27,7.14,7.25,7.14,1.54,0.11,2.567186E7,3563701
2026/01/05,7.11,7.2,7.05,7.14,7.11,0.42,0.03,2.8914586E7,4067360
2026/01/04,7.2,7.28,7.09,7.11,7.2,-1.25,-0.09,2.741436E7,3827783
2025/12/31,7.41,7.47,7.14,7.2,7.41,-2.83,-0.21,4.1006252E7,5641873
2025/12/30,7.36,7.48,7.33,7.41,7.36,0.68,0.05,2.774573E7,3739881
2025/12/29,7.31,7.39,7.31,7.36,7.31,0.68,0.05,2.441424E7,3324229
2025/12/28,7.38,7.64,7.31,7.31,7.38,-0.95,-0.07,8.199076E7,10978600
2025/12/25,7.18,7.44,7.24,7.38,7.18,2.79,0.2,3.7177772E7,5048801
2025/12/24,7.1,7.29,7.1,7.18,7.1,1.13,0.08,1.8776142E7,2613968
2025/12/23,7.1,7.16,7.0,7.1,7.1,0.0,0.0,1.9592792E7,2771377
2025/12/22,7.08,7.2,7.09,7.1,7.08,0.28,0.02,1.1421426E7,1597097
2025/12/21,7.07,7.2,7.02,7.08,7.07,0.14,0.01,8679058.0,1220366
2025/12/18,7.1,7.13,7.05,7.07,7.1,-0.42,-0.03,5161996.0,728696
2025/12/17,7.24,7.3,7.07,7.1,7.24,-1.93,-0.14,1.7193722E7,2392972
2025/12/16,7.3,7.32,7.18,7.24,7.3,-0.82,-0.06,8594695.0,1186796
2025/12/15,7.26,7.3,7.18,7.3,7.26,0.55,0.04,1.1598723E7,1604755
2025/12/14,7.33,7.35,7.25,7.26,7.33,-0.95,-0.07,6906364.0,946665
2025/12/11,7.2,7.35,7.21,7.33,7.2,1.81,0.13,1.9022562E7,2612194
2025/12/10,7.06,7.2,7.05,7.2,7.06,1.98,0.14,2.1387838E7,2987540
2025/12/09,7.0,7.07,6.99,7.06,7.0,0.86,0.06,1.4137404E7,2012870
