«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.11,0.111,0.109,0.11,0.11,-0.909,-0.001,1303.097,11955
2026/01/12,0.11,0.111,0.11,0.11,0.11,0.0,0.0,13750.777,125007
2026/01/11,0.11,0.111,0.11,0.11,0.11,0.0,0.0,14207.238,129022
2026/01/08,0.11,0.112,0.11,0.11,0.11,0.0,0.0,38514.246,349277
2026/01/06,0.111,0.112,0.11,0.11,0.111,-0.901,-0.001,111266.938,1010124
2026/01/05,0.112,0.111,0.111,0.111,0.112,-0.893,-0.001,17692.623,159393
2026/01/04,0.112,0.114,0.112,0.112,0.112,0.0,0.0,9666.759,86040
2025/12/31,0.111,0.113,0.111,0.112,0.111,1.802,0.002,9650.1,86175
2025/12/30,0.111,0.112,0.11,0.111,0.111,0.0,0.0,27779.85,250264
2025/12/29,0.111,0.111,0.111,0.111,0.111,0.0,0.0,2220.0,20000
2025/12/28,0.114,0.113,0.11,0.111,0.114,-2.632,-0.003,103921.555,933715
2025/12/25,0.114,0.115,0.113,0.114,0.114,-0.877,-0.001,15775.705,138207
2025/12/24,0.115,0.116,0.114,0.114,0.115,-0.87,-0.001,98165.953,855307
2025/12/23,0.115,0.117,0.115,0.115,0.115,0.0,0.0,91600.586,791275
2025/12/22,0.113,0.119,0.113,0.115,0.113,1.77,0.002,75036.484,647054
2025/12/21,0.11,0.114,0.11,0.113,0.11,2.727,0.003,95778.242,860855
2025/12/18,0.11,0.111,0.11,0.11,0.11,0.0,0.0,61737.605,559676
2025/12/17,0.111,0.111,0.11,0.11,0.111,-0.901,-0.001,6671.653,60532
2025/12/16,0.111,0.112,0.11,0.111,0.111,-0.901,-0.001,32619.5,295005
2025/12/15,0.111,0.113,0.111,0.111,0.111,0.0,0.0,13360.418,120346
2025/12/14,0.11,0.112,0.11,0.111,0.11,1.818,0.002,481995.438,4343777
2025/12/11,0.11,0.114,0.11,0.11,0.11,0.0,0.0,29788.19,267486
2025/12/10,0.109,0.11,0.108,0.11,0.109,0.917,0.001,46936.523,427670
2025/12/09,0.109,0.11,0.109,0.109,0.109,0.0,0.0,6973.138,63882
