«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,20.95,21.0,20.3,20.44,20.95,-1.34,-0.28,2448210.75,119053
2026/01/12,21.1,21.12,20.1,20.95,21.1,-0.95,-0.2,1479690.13,70720
2026/01/11,21.15,21.32,21.0,21.1,21.15,-0.24,-0.05,900871.19,42758
2026/01/08,21.03,21.46,20.6,21.15,21.03,-0.14,-0.03,352232.09,16645
2026/01/06,20.99,21.29,21.0,21.03,20.99,0.19,0.04,875794.06,41468
2026/01/05,21.45,21.55,20.95,20.99,21.45,-2.1,-0.45,1200429.13,56802
2026/01/04,21.57,21.99,21.42,21.45,21.57,-0.56,-0.12,1519869.88,70353
2025/12/31,21.72,22.1,21.55,21.57,21.72,-0.69,-0.15,3024166.75,139321
2025/12/30,22.11,22.15,21.7,21.72,22.11,-1.81,-0.4,1223545.88,56183
2025/12/29,22.24,22.38,21.91,22.11,22.24,-0.58,-0.13,1775539.5,80361
2025/12/28,21.76,22.48,21.7,22.24,21.76,2.21,0.48,4655920.0,209282
2025/12/25,21.81,22.15,21.58,21.76,21.81,-0.23,-0.05,1511377.13,69451
2025/12/24,21.92,22.19,21.5,21.81,21.92,-0.5,-0.11,4162838.5,190811
2025/12/23,22.21,22.55,21.71,21.92,22.21,-1.31,-0.29,1882326.0,85593
2025/12/22,22.22,22.57,22.17,22.21,22.22,-0.05,-0.01,2428349.5,108895
2025/12/21,22.6,22.8,22.05,22.22,22.6,-1.68,-0.38,4221297.5,189668
2025/12/18,22.03,22.99,21.9,22.6,22.03,2.59,0.57,1.4005093E7,620023
2025/12/17,21.98,22.4,21.9,22.03,21.98,0.18,0.04,4144766.25,187896
2025/12/16,21.53,22.45,21.26,21.98,21.53,2.09,0.45,6298960.5,286238
2025/12/15,21.24,21.71,21.17,21.53,21.24,1.51,0.32,1792734.5,83113
2025/12/14,21.52,21.83,21.04,21.24,21.52,-0.65,-0.14,3037788.25,142475
2025/12/11,21.56,21.77,21.5,21.52,21.56,-0.19,-0.04,1999477.63,92759
2025/12/10,21.88,22.19,21.45,21.56,21.88,-1.46,-0.32,6257643.5,289454
2025/12/09,21.99,22.3,21.7,21.88,21.99,-0.73,-0.16,3833352.0,174858
2025/12/08,22.07,22.56,21.8,21.99,22.07,-0.36,-0.08,7050580.5,318356
2025/12/07,22.22,22.86,22.02,22.07,22.22,-0.68,-0.15,1.416698E7,633236
2025/12/04,21.91,23.24,21.42,22.22,21.91,1.41,0.31,4.2684668E7,1899273
2025/12/03,22.07,22.85,21.41,21.91,22.07,-0.72,-0.16,1.4241451E7,649370
2025/12/02,22.87,23.45,22.01,22.07,22.87,-3.5,-0.8,1.1946317E7,529106
2025/12/01,24.93,25.25,22.72,22.87,24.93,-8.26,-2.06,4.0706004E7,1689093
2025/11/30,21.29,25.53,21.0,24.93,21.29,17.1,3.64,2.2467182E7,925597
2025/11/27,21.29,21.85,20.84,21.29,21.29,-1.17,-0.25,273991.34,12875
2025/11/26,21.0,21.38,20.83,21.29,21.0,1.38,0.29,384267.88,18053
2025/11/25,21.15,21.5,20.8,21.0,21.15,-0.71,-0.15,1.5754642E7,750228
2025/11/24,21.41,21.55,21.0,21.15,21.41,-0.98,-0.21,962534.75,45430
2025/11/23,21.41,21.66,21.3,21.41,21.41,-0.51,-0.11,262364.59,12309
2025/11/20,21.41,21.66,21.44,21.41,21.41,1.12,0.24,7425.86,345
2025/11/19,21.41,21.66,21.4,21.41,21.41,1.17,0.25,7100.22,330
2025/11/18,21.41,21.7,21.31,21.41,21.41,-0.47,-0.1,20955.34,976
2025/11/17,21.41,21.95,21.32,21.41,21.41,0.42,0.09,83758.45,3898
2025/11/16,22.48,22.45,21.25,21.41,22.48,-5.25,-1.18,541521.0,25121
2025/11/13,22.1,22.99,21.53,22.48,22.1,-1.72,-0.38,610179.81,26966
2025/11/12,21.74,22.7,21.3,22.1,21.74,3.96,0.86,544516.69,24710
2025/11/11,21.74,22.0,21.25,21.74,21.74,-1.7,-0.37,222604.78,10304
2025/11/10,21.74,21.89,21.25,21.74,21.74,-0.64,-0.14,10544.91,492
2025/11/09,21.74,22.0,21.13,21.74,21.74,-1.61,-0.35,58374.75,2680
2025/11/06,21.74,22.0,21.03,21.74,21.74,-0.05,-0.01,238002.09,11136
2025/11/05,21.74,22.0,21.7,21.74,21.74,1.2,0.26,81557.13,3726
2025/11/04,22.61,22.3,21.7,21.74,22.61,-3.58,-0.81,340642.94,15652
2025/11/03,22.61,22.0,21.8,22.61,22.61,-3.45,-0.78,26679.35,1221
2025/11/02,22.61,22.59,21.7,22.61,22.61,-2.7,-0.61,207945.63,9501
2025/10/30,22.61,22.59,22.0,22.61,22.61,-0.93,-0.21,270016.91,12055
2025/10/29,22.61,22.4,22.0,22.61,22.61,-2.7,-0.61,208638.25,9461
2025/10/28,22.61,22.5,22.0,22.61,22.61,-2.7,-0.61,248177.34,11215
2025/10/27,22.61,22.5,22.12,22.61,22.61,-1.81,-0.41,114110.81,5136
2025/10/26,22.61,22.73,22.21,22.61,22.61,-1.59,-0.36,202009.56,9051
2025/10/23,22.61,22.85,22.2,22.61,22.61,0.62,0.14,160603.05,7116
2025/10/22,22.61,22.8,22.41,22.61,22.61,-0.88,-0.2,85058.98,3752
2025/10/21,22.61,22.78,22.01,22.61,22.61,0.4,0.09,287091.84,12700
2025/10/20,23.01,22.79,22.0,22.61,23.01,-1.78,-0.41,457625.94,20247
2025/10/19,23.01,22.8,22.01,23.01,23.01,-1.78,-0.41,99363.92,4382
2025/10/16,23.0,23.5,22.6,23.01,23.0,-0.78,-0.18,5252938.0,228334
2025/10/15,22.52,23.2,22.28,23.0,22.52,1.33,0.3,2.1243896E7,923403
2025/10/14,22.82,22.85,21.63,22.52,22.82,-1.31,-0.3,506061.5,22528
2025/10/13,22.01,23.0,21.35,22.82,22.01,2.5,0.55,1171751.75,52488
2025/10/12,21.85,22.2,21.3,22.01,21.85,0.73,0.16,5962831.5,271331
2025/10/08,21.85,21.74,21.45,21.85,21.85,-0.69,-0.15,42142.61,1952
2025/10/07,21.85,21.74,21.45,21.85,21.85,-1.33,-0.29,39423.36,1825
2025/10/06,21.85,21.8,21.32,21.85,21.85,-0.41,-0.09,90088.08,4185
2025/10/05,21.85,21.85,21.64,21.85,21.85,-0.27,-0.06,46932.01,2158
2025/10/02,22.0,22.4,21.3,21.85,22.0,-0.68,-0.15,439115.66,20220
2025/10/01,22.0,22.1,21.3,22.0,22.0,-1.73,-0.38,9937.64,459
2025/09/30,21.98,22.0,21.12,22.0,21.98,0.09,0.02,2971844.75,135264
2025/09/29,21.98,22.0,21.5,21.98,21.98,-1.5,-0.33,165577.73,7552
2025/09/28,22.0,22.05,21.25,21.98,22.0,-0.09,-0.02,358065.63,16314
2025/09/25,21.53,22.2,21.0,22.0,21.53,2.18,0.47,5405806.5,248431
2025/09/24,21.53,21.79,21.11,21.53,21.53,-1.95,-0.42,112721.56,5291
2025/09/23,21.71,21.8,21.3,21.53,21.71,-1.66,-0.36,703512.0,32672
2025/09/22,21.15,22.0,21.05,21.71,21.15,1.18,0.25,792918.0,36385
2025/09/21,21.26,21.95,21.0,21.15,21.26,-1.18,-0.25,384561.69,18131
2025/09/18,21.98,22.44,21.25,21.26,21.98,-1.77,-0.39,605085.31,28374
2025/09/17,21.99,22.0,21.5,21.98,21.99,-0.05,-0.01,463503.84,21106
