«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,7.23,7.25,7.0,7.09,7.23,-1.94,-0.14,879670.75,124417
2026/01/12,7.23,7.2,7.13,7.23,7.23,-1.38,-0.1,71579.55,9993
2026/01/11,7.23,7.28,7.2,7.23,7.23,-0.41,-0.03,297291.72,41228
2026/01/08,7.32,7.48,7.1,7.23,7.32,-1.23,-0.09,582622.0,80520
2026/01/06,7.31,7.35,7.2,7.32,7.31,0.0,0.0,489981.84,66900
2026/01/05,7.31,7.39,7.19,7.31,7.31,-1.5,-0.11,148412.61,20543
2026/01/04,7.4,7.43,7.3,7.31,7.4,-0.68,-0.05,767032.25,104214
2025/12/31,7.4,7.46,7.12,7.4,7.4,-1.08,-0.08,249385.23,34062
2025/12/30,7.54,7.44,7.38,7.4,7.54,-1.86,-0.14,719244.0,97124
2025/12/29,7.54,7.45,7.43,7.54,7.54,-1.19,-0.09,68061.6,9140
2025/12/28,7.46,7.6,7.4,7.54,7.46,1.07,0.08,400436.34,53145
2025/12/25,7.44,7.51,7.43,7.46,7.44,0.13,0.01,580896.94,77813
2025/12/24,7.38,7.47,7.28,7.44,7.38,0.41,0.03,324180.13,43579
2025/12/23,7.41,7.49,7.36,7.38,7.41,-0.4,-0.03,352800.06,47804
2025/12/22,7.46,7.5,7.37,7.41,7.46,-0.4,-0.03,1394684.25,188423
2025/12/21,7.46,7.53,7.41,7.46,7.46,0.0,0.0,217299.53,29130
2025/12/18,7.53,7.53,7.42,7.46,7.53,-0.4,-0.03,469667.94,62819
2025/12/17,7.58,7.62,7.51,7.53,7.58,-0.66,-0.05,385436.91,51162
2025/12/16,7.59,7.64,7.51,7.58,7.59,-0.13,-0.01,394323.72,52047
2025/12/15,7.58,7.68,7.59,7.59,7.58,0.13,0.01,1212620.25,159545
2025/12/14,7.57,7.93,7.51,7.58,7.57,0.26,0.02,946433.75,123900
2025/12/11,7.6,7.78,7.48,7.57,7.6,-0.39,-0.03,2329329.25,309096
2025/12/10,7.56,7.73,7.6,7.6,7.56,0.53,0.04,2726311.0,356954
2025/12/09,7.38,7.8,7.38,7.56,7.38,2.44,0.18,5282967.0,695846
2025/12/08,7.4,7.45,7.32,7.38,7.4,-0.27,-0.02,1794009.88,243129
2025/12/07,7.51,7.52,7.36,7.4,7.51,-1.46,-0.11,1294045.38,174042
2025/12/04,7.51,7.44,7.3,7.51,7.51,-2.66,-0.2,283378.75,38619
2025/12/03,7.51,7.48,7.28,7.51,7.51,-2.66,-0.2,126173.18,17233
2025/12/02,7.51,7.5,7.31,7.51,7.51,-1.46,-0.11,206536.64,27902
2025/12/01,7.51,7.54,7.27,7.51,7.51,-2.4,-0.18,148670.11,20098
2025/11/30,7.51,7.54,7.42,7.51,7.51,0.4,0.03,200119.63,26861
2025/11/27,7.51,7.5,7.35,7.51,7.51,-1.86,-0.14,99390.0,13469
2025/11/26,7.51,7.48,7.4,7.51,7.51,-1.46,-0.11,108441.46,14643
2025/11/25,7.51,7.58,7.26,7.51,7.51,-3.33,-0.25,146428.44,19930
2025/11/24,7.51,7.58,7.4,7.51,7.51,-1.46,-0.11,200685.08,26868
2025/11/23,7.51,7.63,7.41,7.51,7.51,0.0,0.0,164570.48,21961
2025/11/20,7.54,7.65,7.4,7.51,7.54,-1.59,-0.12,706039.19,93639
2025/11/19,7.54,7.5,7.41,7.54,7.54,-1.72,-0.13,220397.28,29538
2025/11/18,7.51,7.62,7.44,7.54,7.51,-0.93,-0.07,676438.69,89377
2025/11/17,7.62,7.84,7.4,7.51,7.62,-0.39,-0.03,351188.75,46696
2025/11/16,7.74,7.96,7.5,7.62,7.74,-1.55,-0.12,1762415.0,232162
2025/11/13,7.8,7.92,7.65,7.74,7.8,-1.03,-0.08,904185.31,116781
2025/11/12,7.8,8.0,7.65,7.8,7.8,0.0,0.0,696159.5,89063
