«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,28.9,29.0,25.0,29.0,28.9,0.35,0.1,43132.22,1552
2026/01/05,29.0,30.9,13.32,28.9,29.0,-0.34,-0.1,110593.53,5356
2025/12/31,29.0,30.9,28.8,29.0,29.0,0.0,0.0,32223.15,1089
2025/12/29,29.0,29.0,26.0,29.0,29.0,0.0,0.0,88488.7,3274
2025/12/24,26.25,29.0,12.26,29.0,26.25,10.48,2.75,77343.26,3083
2025/12/22,26.23,26.25,26.25,26.23,26.23,0.08,0.02,52.5,2
2025/12/17,26.01,26.88,26.21,26.23,26.01,0.85,0.22,5915.62,224
2025/12/15,28.1,30.0,25.21,26.01,28.1,-7.44,-2.09,18374.21,705
2025/12/10,30.99,30.99,23.01,28.1,30.99,-9.33,-2.89,28524.18,1061
2025/12/08,28.0,30.99,28.1,30.99,28.0,10.68,2.99,28161.98,1002
2025/12/03,30.99,29.85,25.01,28.0,30.99,-9.65,-2.99,59934.26,2325
2025/12/01,25.0,30.99,25.0,25.0,25.0,23.959999,5.99,655.99,26
2025/11/26,28.2,32.44,22.0,25.0,28.2,-11.35,-3.2,25877.6,957
2025/11/24,28.2,28.7,28.2,28.2,28.2,0.0,0.0,16983.24,601
2025/11/19,31.99,31.0,27.25,28.2,31.99,-11.85,-3.79,32023.36,1121
2025/11/17,33.39,33.39,26.0,31.99,33.39,-4.19,-1.4,23141.12,787
2025/11/12,31.02,33.51,33.32,33.39,31.02,7.64,2.37,28520.33,852
2025/11/10,38.0,38.0,25.5,31.02,38.0,-18.370001,-6.98,79701.13,2483
2025/11/05,25.02,73.99,25.03,38.0,25.02,51.880001,12.98,118142.47,3443
2025/11/03,24.5,25.02,24.1,25.02,24.5,2.12,0.52,62264.26,2540
2025/10/29,24.2,25.0,24.5,24.5,24.2,1.24,0.3,6249.0,252
2025/10/27,24.2,24.2,22.0,24.2,24.2,0.0,0.0,15264.13,631
2025/10/22,22.16,24.2,23.2,24.2,22.16,9.21,2.04,32143.12,1350
2025/10/20,20.5,22.16,22.1,20.5,20.5,8.1,1.66,376.3,17
2025/10/15,24.19,24.19,20.5,24.19,24.19,-15.25,-3.69,68.88,3
2025/10/13,22.06,24.19,23.49,24.19,22.06,9.66,2.13,67771.19,2881
2025/10/08,23.3,22.06,21.72,22.06,23.3,-5.32,-1.24,4985.22,226
2025/10/06,23.0,23.3,23.3,23.0,23.0,1.3,0.3,139.8,6
2025/10/01,23.5,23.0,22.9,23.0,23.5,-2.13,-0.5,32618.0,1420
2025/09/29,22.0,23.5,20.05,23.5,22.0,6.82,1.5,39177.0,1717
2025/09/22,22.0,22.0,22.0,22.0,22.0,0.0,0.0,27456.0,1248
2025/09/15,22.16,22.16,22.0,22.0,22.16,-0.72,-0.16,77184.72,3505
2025/09/10,22.2,22.2,22.16,22.2,22.2,-0.18,-0.04,399.28,18
2025/09/08,22.5,25.0,22.2,22.2,22.5,-1.33,-0.3,36237.6,1623
2025/09/03,22.5,23.0,22.33,22.5,22.5,0.0,0.0,41064.83,1804
2025/09/01,23.55,23.0,22.5,23.55,23.55,-4.46,-1.05,1487.5,65
2025/08/27,22.0,23.55,21.5,23.55,22.0,7.05,1.55,33059.2,1459
2025/08/25,23.5,22.0,21.45,22.0,23.5,-6.38,-1.5,55282.15,2513
2025/08/20,23.5,23.55,23.5,23.5,23.5,0.0,0.0,47.05,2
2025/08/18,23.0,23.5,21.66,23.5,23.0,2.17,0.5,24991.6,1071
2025/08/11,22.3,23.0,23.0,23.0,22.3,3.14,0.7,18814.0,818
2025/08/06,22.4,22.4,22.3,22.3,22.4,-0.45,-0.1,36586.3,1636
2025/08/04,22.58,23.0,22.0,22.4,22.58,-0.8,-0.18,98599.3,4424
2025/07/30,22.28,22.68,20.5,22.58,22.28,0.0,0.3,120425.39,5713
2025/07/28,22.68,23.0,20.5,22.28,22.68,-1.76,-0.4,69259.53,3285
2025/07/23,22.88,22.7,21.99,22.68,22.88,-0.87,-0.2,35583.65,1611
2025/07/21,21.1,23.4,22.06,22.88,21.1,8.44,1.78,13187.61,594
2025/07/16,23.2,22.0,21.1,21.1,23.2,-9.05,-2.1,10775.0,500
2025/07/14,23.4,23.4,20.55,23.2,23.4,-0.85,-0.2,32267.89,1542
2025/07/07,23.0,23.2,22.0,22.0,23.0,-4.35,-1.0,20419.91,890
2025/07/02,20.6,23.0,22.49,23.0,20.6,11.65,2.4,60921.66,2670
2025/06/30,22.8,22.8,20.6,20.6,22.8,-9.65,-2.2,18584.0,881
2025/06/25,20.51,22.85,20.55,22.8,20.51,11.17,2.29,3674.05,161
2025/06/23,18.05,20.51,20.51,20.51,18.05,13.63,2.46,2563.75,125
2025/06/18,22.0,18.08,18.05,18.05,22.0,-17.950001,-3.95,5274.35,292
2025/06/16,22.31,22.31,22.0,22.0,22.31,-1.39,-0.31,5337.02,242
2025/06/11,22.03,22.31,22.0,22.31,22.03,1.27,0.28,78170.99,3550
2025/06/04,22.95,22.95,21.57,22.95,22.95,-4.01,-0.92,1409.0,64
2025/06/02,22.0,22.95,21.1,22.95,22.0,4.32,0.95,100817.33,4670
2025/05/28,22.0,22.0,22.0,22.0,22.0,0.0,0.0,638.0,29
2025/05/26,22.0,22.0,21.9,22.0,22.0,0.0,0.0,24100.0,1100
2025/05/21,22.0,22.0,22.0,22.0,22.0,0.0,0.0,75614.0,3437
2025/05/19,22.0,22.0,21.0,22.0,22.0,0.0,0.0,62073.56,2824
2025/05/14,21.0,23.0,21.01,22.0,21.0,4.76,1.0,64369.4,2908
2025/05/07,21.62,23.0,20.0,23.0,21.62,6.38,1.38,313741.88,14823
2025/05/05,20.51,22.6,21.62,21.62,20.51,5.41,1.11,4111.24,182
2025/04/30,21.5,21.38,20.51,20.51,21.5,-4.6,-0.99,50010.14,2408
2025/04/28,21.2,22.9,21.38,21.5,21.2,1.42,0.3,16900.04,786
2025/04/23,21.05,21.2,20.0,21.2,21.05,0.71,0.15,32031.17,1531
2025/04/16,22.9,21.08,20.0,21.05,22.9,-8.08,-1.85,80838.78,4025
2025/04/14,22.9,23.0,22.9,22.9,22.9,0.0,0.0,12163.7,530
2025/04/09,22.9,22.9,21.33,22.9,22.9,0.0,0.0,5541.7,250
2025/04/07,22.98,22.98,22.9,22.9,22.98,-0.35,-0.08,252.38,11
2025/03/26,22.0,22.98,21.99,22.98,22.0,4.45,0.98,38823.18,1753
2025/03/24,21.07,22.0,22.0,21.07,21.07,4.41,0.93,22.0,1
2025/03/19,21.05,22.04,21.05,21.07,21.05,0.1,0.02,2666.64,125
2025/03/17,22.0,22.9,21.05,21.05,22.0,-4.32,-0.95,59576.11,2703
2025/03/12,22.99,23.0,22.0,22.0,22.99,-4.31,-0.99,107730.0,4895
2025/03/10,22.9,22.99,21.04,22.99,22.9,0.39,0.09,42393.43,1970
2025/03/05,23.0,23.0,22.9,22.9,23.0,-0.43,-0.1,5150.0,224
2025/03/03,23.3,23.2,23.0,23.3,23.3,-1.29,-0.3,974.2,42
2025/02/26,22.8,23.49,22.8,23.3,22.8,2.19,0.5,3262.69,142
2025/02/24,20.0,22.9,20.52,22.8,20.0,14.0,2.8,23859.9,1089
2025/02/19,22.0,20.0,20.0,22.0,22.0,-9.09,-2.0,20.0,1
2025/02/17,21.0,22.0,20.02,22.0,21.0,4.76,1.0,29452.28,1383
2025/02/12,21.0,21.0,21.0,21.0,21.0,0.0,0.0,21.0,1
2025/02/10,20.5,21.0,20.1,21.0,20.5,2.44,0.5,20396.2,973
2025/02/05,20.05,21.0,19.85,20.5,20.05,2.24,0.45,42726.95,2098
2025/02/03,20.0,20.2,20.05,20.0,20.0,0.25,0.05,1614.8,80
2025/01/29,20.1,20.0,20.0,20.0,20.1,-0.5,-0.1,42900.0,2145
2025/01/15,20.5,20.5,20.05,20.5,20.5,-1.95,-0.4,1024.15,50
2025/01/13,21.0,20.5,20.5,21.0,21.0,-2.38,-0.5,41.0,2
2025/01/06,21.05,21.05,21.0,21.0,21.05,-0.24,-0.05,5124.1,244
2024/12/30,21.03,22.0,21.03,21.05,21.03,0.1,0.02,27149.54,1287
2024/12/25,22.1,22.0,21.03,21.03,22.1,-4.84,-1.07,2161.2,100
2024/12/23,22.5,22.5,22.1,22.1,22.5,-1.78,-0.4,7263.2,328
2024/12/18,22.5,22.5,22.5,22.5,22.5,0.0,0.0,3937.5,175
2024/12/16,22.99,23.0,21.1,22.5,22.99,-2.13,-0.49,105379.89,4759
2024/12/11,23.0,23.0,22.0,22.99,23.0,-0.04,-0.01,55179.32,2503
2024/12/09,21.0,23.0,20.2,23.0,21.0,9.52,2.0,78872.6,3607
2024/12/04,19.0,21.0,19.0,21.0,19.0,10.53,2.0,36188.61,1749
2024/12/02,20.9,21.0,18.2,19.0,20.9,-9.09,-1.9,125239.8,6195
2024/11/27,21.0,20.99,20.9,21.0,21.0,-0.48,-0.1,502.14,24
2024/11/25,21.99,21.87,16.03,21.0,21.99,-4.5,-0.99,9515.03,513
2024/11/20,21.99,21.99,21.99,21.99,21.99,0.0,0.0,3386.46,154
2024/11/18,21.55,21.99,20.3,21.99,21.55,2.04,0.44,20296.17,953
2024/11/13,21.8,21.9,21.0,21.55,21.8,-1.15,-0.25,69657.6,3245
2024/11/11,22.97,23.0,21.2,21.8,22.97,-5.09,-1.17,76360.19,3548
2024/11/06,23.0,23.0,21.11,22.97,23.0,-0.13,-0.03,212395.89,9726
2024/11/04,25.0,27.0,23.0,23.0,25.0,-8.0,-2.0,73942.0,2971
2024/10/30,27.0,27.0,20.03,25.0,27.0,-7.41,-2.0,70308.08,3411
2024/10/28,32.0,38.0,20.03,27.0,32.0,-15.63,-5.0,651742.25,32100
2024/10/23,29.5,39.0,29.0,32.0,29.5,8.47,2.5,40033.0,1279
2024/10/21,40.0,45.0,20.0,29.5,40.0,-26.25,-10.5,102600.73,3311
2024/10/16,11.01,100.0,17.1,40.0,11.01,263.309998,28.99,150213.8,5887
2024/10/14,16.57,16.57,11.01,11.01,16.57,-33.549999,-5.56,1325.81,100
2024/10/09,18.22,16.76,16.57,16.57,18.22,-9.06,-1.65,8340.48,500
2024/10/07,18.22,19.5,18.22,18.22,18.22,0.0,0.0,1823.28,100
2024/10/02,16.75,18.22,16.76,18.22,16.75,8.78,1.47,1846.52,110
2024/09/30,17.0,17.0,16.75,16.75,17.0,-1.47,-0.25,3416.75,201
2024/09/25,18.0,17.0,17.0,18.0,18.0,-5.56,-1.0,17.0,1
2024/09/23,17.69,18.0,17.9,18.0,17.69,1.75,0.31,17040.3,950
2024/09/18,17.9,17.69,17.69,17.69,17.9,-1.17,-0.21,1875.14,106
2024/09/16,17.0,17.9,17.89,17.9,17.0,5.29,0.9,37579.99,2100
2024/09/11,18.0,17.0,16.4,17.0,18.0,-5.56,-1.0,16152.8,952
2024/09/09,18.01,18.0,17.4,18.0,18.01,-0.06,-0.01,18231.0,1013
2024/09/04,18.1,18.1,17.5,18.01,18.1,-0.5,-0.09,29868.2,1652
2024/08/28,19.99,19.7,18.1,18.1,19.99,-9.45,-1.89,21067.4,1154
2024/08/26,15.6,20.0,18.0,19.99,15.6,28.139999,4.39,135865.27,7003
2024/08/21,18.0,18.5,15.6,15.6,18.0,-13.33,-2.4,60701.93,3672
2024/08/19,19.0,19.0,15.54,18.0,19.0,-5.26,-1.0,20096.94,1115
2024/08/14,16.0,19.0,15.5,19.0,16.0,18.75,3.0,24875.38,1369
2024/08/12,16.02,16.0,16.0,16.0,16.02,-0.12,-0.02,27024.0,1689
2024/08/07,15.07,16.99,15.0,16.02,15.07,6.3,0.95,57256.34,3639
2024/08/05,17.0,17.0,15.05,15.07,17.0,-11.35,-1.93,26297.08,1740
2024/07/31,18.5,18.4,17.0,17.0,18.5,-8.11,-1.5,22695.05,1271
2024/07/29,15.55,18.5,15.55,18.5,15.55,18.969999,2.95,18367.05,1020
2024/07/24,15.3,15.55,15.3,15.55,15.3,1.63,0.25,31001.95,2019
2024/07/22,18.0,18.5,15.3,18.0,18.0,-15.0,-2.7,309.2,20
2024/07/17,17.0,18.0,17.22,18.0,17.0,5.88,1.0,40013.28,2224
2024/07/15,17.0,17.22,16.5,17.0,17.0,0.0,0.0,10661.1,630
2024/07/10,15.05,17.85,16.16,17.0,15.05,12.96,1.95,58030.37,3413
2024/07/08,17.0,17.94,15.02,15.05,17.0,-11.47,-1.95,10531.57,699
2024/07/03,16.66,17.0,15.0,17.0,16.66,2.04,0.34,40347.0,2416
2024/07/01,17.9,19.25,16.66,17.9,17.9,-6.93,-1.24,585.69,35
2024/06/26,14.0,17.9,17.89,17.9,14.0,27.860001,3.9,12726.65,711
2024/06/24,12.5,15.0,12.6,14.0,12.5,12.0,1.5,17361.1,1273
2024/06/12,14.0,16.92,12.5,14.0,14.0,-10.71,-1.5,427.46,31
2024/06/10,13.35,14.0,14.0,14.0,13.35,4.87,0.65,2898.0,207
2024/05/29,13.3,18.99,13.3,13.35,13.3,0.38,0.05,20667.6,1541
2024/05/27,12.51,15.0,13.26,13.3,12.51,6.31,0.79,16556.14,1248
2024/05/20,13.01,13.01,12.04,12.51,13.01,-3.84,-0.5,13256.379883,1097
2024/05/15,13.01,13.1,13.01,13.01,13.01,0.0,0.0,16037.410156,1232
2024/05/13,13.1,17.0,13.01,13.1,13.1,-0.69,-0.09,688.460022,52
2024/05/08,16.700001,19.5,13.1,13.1,16.700001,-21.559999,-3.6,2317.699951,162
2024/05/01,14.0,16.700001,16.700001,16.700001,14.0,19.290001,2.7,1670.0,100
2024/04/24,16.700001,14.5,14.0,16.700001,16.700001,-16.17,-2.7,365.339996,26
2024/04/22,14.42,19.98,14.5,16.700001,14.42,15.81,2.28,5280.319824,343
2024/04/15,12.02,14.42,14.42,12.02,12.02,19.969999,2.4,865.200012,60
2024/04/01,19.049999,19.0,12.02,12.02,19.049999,-36.900002,-7.03,12109.320313,717
2024/03/27,19.1,19.049999,19.0,19.049999,19.1,-0.26,-0.05,5162.399902,271
2024/03/25,19.0,19.1,19.0,19.1,19.0,0.53,0.1,3867.300049,203
2024/03/20,20.0,20.200001,19.0,19.0,20.0,-5.0,-1.0,12761.299805,660
2024/03/18,18.5,20.0,19.0,20.0,18.5,8.11,1.5,2079.0,104
2024/03/13,20.0,19.549999,18.5,18.5,20.0,-7.5,-1.5,3697.550049,199
2024/03/11,20.0,20.9,18.0,20.0,20.0,0.0,0.0,3847.399902,197
2024/03/06,20.01,20.5,18.0,20.0,20.01,-0.05,-0.01,13873.0,716
2024/03/04,19.530001,20.030001,19.549999,20.01,19.530001,2.46,0.48,57029.261719,2857
2024/02/28,21.99,20.0,19.5,19.530001,21.99,-11.19,-2.46,21845.599609,1105
2024/02/26,19.0,21.99,19.0,21.99,19.0,15.74,2.99,7864.75,372
