«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,5.92,5.93,5.71,5.74,5.92,-3.04,-0.18,6195039.5,1067249
2026/01/12,6.03,6.11,5.91,5.92,6.03,-1.82,-0.11,5739802.0,962281
2026/01/11,5.91,6.06,5.91,6.03,5.91,2.03,0.12,5027207.0,841081
2026/01/08,5.91,5.97,5.87,5.91,5.91,0.0,0.0,4178647.75,706647
2026/01/06,5.97,6.0,5.9,5.91,5.97,-1.01,-0.06,3578207.25,602973
2026/01/05,6.08,6.09,5.92,5.97,6.08,-1.81,-0.11,5500778.0,921777
2026/01/04,6.12,6.18,6.03,6.08,6.12,-0.65,-0.04,1.4110251E7,2311842
2025/12/31,6.0,6.28,5.92,6.12,6.0,2.0,0.12,4.151346E7,6761256
2025/12/30,5.82,6.09,5.8,6.0,5.82,3.09,0.18,1.2793382E7,2150934
2025/12/29,5.8,5.87,5.8,5.82,5.8,0.34,0.02,4086160.25,700847
2025/12/28,5.87,5.98,5.8,5.8,5.87,-1.19,-0.07,7915444.5,1354209
2025/12/25,5.95,5.98,5.85,5.87,5.95,-1.34,-0.08,7589094.5,1287299
2025/12/24,5.99,6.02,5.9,5.95,5.99,-0.67,-0.04,6159269.0,1038233
2025/12/23,6.0,6.09,5.96,5.99,6.0,-0.17,-0.01,6197239.0,1032056
2025/12/22,6.19,6.2,5.95,6.0,6.19,-3.07,-0.19,2.155178E7,3553398
2025/12/21,6.35,6.48,6.16,6.19,6.35,-2.52,-0.16,1.5526829E7,2455153
2025/12/18,6.07,6.42,6.06,6.35,6.07,4.61,0.28,8.7923728E7,14312466
2025/12/17,6.18,6.23,6.06,6.07,6.18,-1.78,-0.11,6520724.0,1068560
2025/12/16,6.2,6.25,6.17,6.18,6.2,-0.32,-0.02,3581169.0,578769
2025/12/15,6.2,6.27,6.17,6.2,6.2,0.0,0.0,4614033.5,742051
2025/12/14,6.3,6.34,6.15,6.2,6.3,-1.59,-0.1,5516347.0,885845
2025/12/11,6.25,6.37,6.25,6.3,6.25,0.8,0.05,1.0300224E7,1632860
2025/12/10,5.92,6.4,5.93,6.25,5.92,5.57,0.33,4.7879916E7,7650452
2025/12/09,6.1,6.15,5.87,5.92,6.1,-2.95,-0.18,7699909.5,1283770
2025/12/08,6.1,6.15,6.0,6.1,6.1,0.0,0.0,6858839.0,1128344
2025/12/07,5.88,6.15,5.85,6.1,5.88,3.74,0.22,2.638425E7,4372702
2025/12/04,5.92,6.0,5.85,5.88,5.92,-0.68,-0.04,3672341.5,621497
2025/12/03,5.92,5.98,5.9,5.92,5.92,0.0,0.0,4419397.0,744833
2025/12/02,6.07,6.11,5.9,5.92,6.07,-2.47,-0.15,8785970.0,1462608
2025/12/01,5.95,6.09,5.9,6.07,5.95,2.02,0.12,1.1496016E7,1912374
2025/11/30,5.8,6.04,5.8,5.95,5.8,2.59,0.15,2.2307868E7,3760063
2025/11/27,6.01,6.0,5.6,5.8,6.01,-3.49,-0.21,2.920798E7,5039719
2025/11/26,6.13,6.28,6.0,6.01,6.13,-1.96,-0.12,8760833.0,1434163
2025/11/25,6.36,6.45,6.05,6.13,6.36,-3.62,-0.23,7259262.5,1160719
2025/11/24,6.61,6.65,6.34,6.36,6.61,-3.78,-0.25,1.0743519E7,1668912
2025/11/23,6.49,6.75,6.51,6.61,6.49,1.85,0.12,2.0308076E7,3057275
2025/11/20,6.28,6.62,6.3,6.49,6.28,3.34,0.21,1.9189176E7,2974338
2025/11/19,6.36,6.42,6.25,6.28,6.36,-1.26,-0.08,3713868.75,588051
2025/11/18,6.35,6.46,6.26,6.36,6.35,0.16,0.01,7691333.0,1210527
2025/11/17,6.55,6.6,6.32,6.35,6.55,-3.05,-0.2,9839396.0,1534101
2025/11/16,6.67,6.74,6.54,6.55,6.67,-1.8,-0.12,6949066.5,1048579
2025/11/13,6.36,6.68,6.3,6.67,6.36,4.87,0.31,1.863842E7,2850485
2025/11/12,6.43,6.54,6.34,6.36,6.43,-1.09,-0.07,6712399.0,1045231
2025/11/11,6.43,6.55,6.41,6.43,6.43,0.0,0.0,3602785.75,556287
2025/11/10,6.51,6.59,6.41,6.43,6.51,-1.23,-0.08,6687193.0,1031783
2025/11/09,6.63,6.73,6.5,6.51,6.63,-1.81,-0.12,1.1747472E7,1774297
2025/11/06,6.68,6.78,6.56,6.63,6.68,-0.75,-0.05,5868605.5,882735
2025/11/05,6.86,6.94,6.66,6.68,6.86,-2.62,-0.18,9868363.0,1460132
2025/11/04,6.8,7.0,6.77,6.86,6.8,0.88,0.06,1.6138313E7,2330576
2025/11/03,6.7,7.0,6.62,6.8,6.7,1.49,0.1,2.5708198E7,3761594
2025/11/02,6.89,6.94,6.69,6.7,6.89,-2.76,-0.19,7347649.5,1083022
2025/10/30,7.21,7.29,6.83,6.89,7.21,-4.44,-0.32,5.2013608E7,7421746
2025/10/29,7.37,7.46,7.2,7.21,7.37,-2.17,-0.16,9896639.0,1353927
2025/10/28,7.29,7.69,7.33,7.37,7.29,1.1,0.08,5.3477416E7,7100255
2025/10/27,7.49,7.53,7.28,7.29,7.49,-2.67,-0.2,1.8799712E7,2555427
2025/10/26,7.49,7.59,7.41,7.49,7.49,0.0,0.0,5307798.0,708807
2025/10/23,7.5,7.6,7.47,7.49,7.5,-0.13,-0.01,1.1852509E7,1574772
