«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2021/09/15,15.19,15.19,15.19,15.19,15.19,0.0,0.0,3341.8,220
2021/09/13,15.19,15.19,15.19,15.19,15.19,0.0,0.0,3949.4,260
2021/09/08,15.19,15.19,15.19,15.19,15.19,0.0,0.0,7321.58,482
2021/09/06,15.19,15.19,15.19,15.19,15.19,0.0,0.0,11286.17,743
2021/09/01,15.19,15.19,15.19,15.19,15.19,0.0,0.0,3038.0,200
2021/08/30,15.19,15.19,15.19,15.19,15.19,0.0,0.0,9038.05,595
2021/08/25,15.19,15.19,15.19,15.19,15.19,0.0,0.0,91.14,6
2021/08/23,15.19,15.19,15.19,15.19,15.19,0.0,0.0,5984.86,394
2021/08/18,15.19,15.19,15.19,15.19,15.19,0.0,0.0,3463.32,228
2021/08/09,15.19,15.19,15.19,15.19,15.19,0.0,0.0,10936.8,720
2021/08/04,15.19,15.19,15.19,15.19,15.19,0.0,0.0,2794.96,184
2021/08/02,15.19,15.19,15.19,15.19,15.19,0.0,0.0,197.47,13
2021/07/28,15.19,15.19,15.19,15.19,15.19,0.0,0.0,12379.85,815
2021/07/26,15.19,15.19,15.19,15.19,15.19,0.0,0.0,2096.22,138
2021/07/07,15.19,15.19,15.19,15.19,15.19,0.0,0.0,1184.82,78
2021/06/30,15.19,15.19,15.19,15.19,15.19,0.0,0.0,303.8,20
2021/06/28,15.19,15.19,15.19,15.19,15.19,0.0,0.0,5696.25,375
2021/06/23,15.19,15.19,15.19,15.19,15.19,0.0,0.0,3038.0,200
2021/06/21,15.19,15.19,15.19,15.19,15.19,0.0,0.0,941.78,62
2021/06/16,15.19,15.19,15.19,15.19,15.19,0.0,0.0,2141.79,141
2021/06/09,15.19,15.19,15.19,15.19,15.19,0.0,0.0,3038.0,200
2021/06/07,15.19,15.19,15.19,15.19,15.19,0.0,0.0,12076.05,795
2021/06/02,15.19,15.19,15.19,15.19,15.19,0.0,0.0,4344.34,286
2021/05/31,15.19,15.19,15.19,15.19,15.19,0.0,0.0,9235.52,608
2021/05/24,15.19,15.19,15.19,15.19,15.19,0.0,0.0,8734.25,575
2021/05/19,15.19,15.19,15.19,15.19,15.19,0.0,0.0,36759.8,2420
2021/05/17,15.19,15.19,15.19,15.19,15.19,0.0,0.0,12607.7,830
2021/05/10,15.19,15.19,15.19,15.19,15.19,0.0,0.0,10146.92,668
2021/05/05,15.19,15.19,15.19,15.19,15.19,0.0,0.0,5210.17,343
2021/04/28,15.19,15.19,15.19,15.19,15.19,0.0,0.0,18379.9,1210
2021/04/26,15.19,15.19,15.19,15.19,15.19,0.0,0.0,77377.86,5094
2021/04/21,15.19,15.19,15.19,15.19,15.19,0.0,0.0,43124.41,2839
2021/04/19,15.19,15.19,15.19,15.19,15.19,0.0,0.0,81752.58,5382
2021/04/14,15.19,15.19,15.19,15.19,15.19,0.0,0.0,86689.33,5707
2021/04/12,15.03,15.19,15.19,15.19,15.03,1.06,0.16,129813.74,8546
2021/04/07,15.03,15.19,15.19,15.03,15.03,1.06,0.16,1291.15,85
2021/04/05,15.19,17.0,5.52,15.03,15.19,11.92,1.81,91862.1,6110
2021/03/29,13.59,15.2,15.19,15.19,13.59,11.77,1.6,24760.63,1630
2021/03/24,11.03,18.0,11.0,13.59,11.03,63.1,6.96,80224.15,5905
2021/03/22,2.15,11.11,11.0,11.03,2.15,411.63,8.85,18645.0,1690
2021/03/08,2.15,18.0,10.0,2.15,2.15,737.21,15.85,518.0,51
2021/03/03,2.15,11.11,11.11,2.15,2.15,416.74,8.96,133.32,12
2021/03/01,15.19,2.15,2.15,2.15,15.19,-85.85,-13.04,430.0,200
2021/02/24,15.19,15.19,15.19,15.19,15.19,0.0,0.0,440.51,29
2021/02/17,15.19,15.19,15.19,15.19,15.19,0.0,0.0,197.47,13
2021/02/15,15.19,15.19,15.19,15.19,15.19,0.0,0.0,4557.0,300
2021/02/08,14.3,15.19,15.19,15.19,14.3,6.22,0.89,3660.79,241
2021/02/03,15.19,15.0,11.11,14.3,15.19,-1.25,-0.19,1744.42,122
2021/01/25,15.19,15.19,15.19,15.19,15.19,0.0,0.0,9873.5,650
2021/01/20,15.3,15.19,15.19,15.19,15.3,-0.72,-0.11,15493.8,1020
2021/01/18,15.19,16.0,15.19,15.3,15.19,0.0,0.0,1529.53,100
2021/01/11,15.19,15.19,15.19,15.19,15.19,0.0,0.0,13291.25,875
2021/01/06,15.19,15.19,15.19,15.19,15.19,0.0,0.0,7640.57,503
2021/01/04,15.19,15.19,15.19,15.19,15.19,0.0,0.0,1898.75,125
2020/12/30,15.19,15.19,15.19,15.19,15.19,0.0,0.0,531.65,35
2020/12/28,15.19,15.19,15.19,15.19,15.19,0.0,0.0,531.65,35
2020/12/16,15.19,15.19,15.19,15.19,15.19,0.0,0.0,27417.95,1805
2020/12/14,15.19,15.19,15.19,15.19,15.19,0.0,0.0,216989.16,14285
2020/12/07,15.19,15.19,15.19,15.19,15.19,0.0,0.0,32339.51,2129
2020/12/02,15.19,15.19,15.19,15.19,15.19,0.0,0.0,24304.0,1600
2020/11/30,15.19,15.19,15.19,15.19,15.19,0.0,0.0,15493.8,1020
2020/11/25,15.19,15.19,15.19,15.19,15.19,0.0,0.0,926.59,61
2020/11/23,15.19,15.19,15.19,15.19,15.19,0.0,0.0,227.85,15
2020/11/18,15.2,15.2,15.19,15.19,15.2,-0.07,-0.01,6077.32,400
2020/11/16,15.2,15.2,15.2,15.2,15.2,0.0,0.0,2964.0,195
2020/11/11,15.19,15.2,15.2,15.2,15.19,0.07,0.01,1520.0,100
2020/11/02,15.19,15.2,15.2,15.19,15.19,0.07,0.01,152.0,10
2020/10/26,15.2,15.19,15.19,15.19,15.2,-0.07,-0.01,45570.0,3000
2020/10/19,18.31,15.2,15.2,15.2,18.31,-16.99,-3.11,3997.6,263
2020/10/12,15.19,19.0,5.5,18.31,15.19,25.08,3.81,3570.0,195
2020/10/07,10.0,15.19,15.19,15.19,10.0,51.9,5.19,19245.73,1267
2020/10/05,15.19,10.0,10.0,10.0,15.19,-34.17,-5.19,2000.0,200
2020/09/30,15.17,15.19,15.19,15.19,15.17,0.13,0.02,3979.78,262
2020/09/28,5.05,15.19,14.9,15.17,5.05,200.79,10.14,104614.47,6897
2020/09/23,15.05,5.05,5.05,5.05,15.05,-66.45,-10.0,929.2,184
2020/09/21,14.13,15.19,15.0,15.05,14.13,7.5,1.06,16842.0,1119
2020/09/16,14.13,5.35,5.35,14.13,14.13,-62.14,-8.78,74.9,14
2020/09/14,17.02,15.19,14.0,14.13,17.02,-17.74,-3.02,13433.28,951
2020/09/07,15.19,19.0,15.19,17.02,15.19,0.0,0.0,20715.08,1217
2020/09/02,15.19,15.19,15.19,15.19,15.19,0.0,0.0,67109.42,4418
2020/08/31,15.19,15.19,15.19,15.19,15.19,0.0,0.0,34177.5,2250
2020/08/26,15.18,15.19,15.19,15.19,15.18,0.07,0.01,54562.48,3592
2020/08/24,6.66,15.19,15.0,15.18,6.66,128.08,8.53,435368.06,28674
2020/06/03,6.66,28.0,28.0,6.66,6.66,0.0,0.0,280.0,10
2020/04/15,4.81,6.66,6.66,6.66,4.81,38.46,1.85,3722.94,559
2020/04/01,8.17,6.0,3.05,4.81,8.17,-41.13,-3.36,5088.95,1059
2020/03/11,8.88,8.88,7.77,8.17,8.88,-8.0,-0.71,4087.02,500
2020/03/09,4.51,8.88,8.88,8.88,4.51,96.9,4.37,2823.84,318
2020/03/04,6.0,4.51,4.51,4.51,6.0,-24.83,-1.49,451.0,100
2020/02/26,6.0,6.0,6.0,6.0,6.0,0.0,0.0,1218.0,203
2020/02/19,6.0,6.0,6.0,6.0,6.0,0.0,0.0,600.0,100
2020/02/10,6.0,6.0,6.0,6.0,6.0,0.0,0.0,600.0,100
2020/02/05,6.0,3.0,3.0,6.0,6.0,0.0,0.0,6.0,2
2020/01/20,5.95,6.0,6.0,6.0,5.95,0.84,0.05,840.0,140
