«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/05,50.0,50.0,50.0,50.0,50.0,0.0,0.0,1850.0,37
2025/12/31,50.0,50.0,50.0,50.0,50.0,0.0,0.0,3150.0,63
2025/12/24,50.0,57.0,50.0,50.0,50.0,0.0,0.0,5191.9,100
2025/12/01,50.0,50.0,50.0,50.0,50.0,0.0,0.0,5000.0,100
2025/11/26,50.0,50.0,50.0,50.0,50.0,0.0,0.0,3050.0,61
2025/11/17,50.01,50.0,50.0,50.01,50.01,-0.02,-0.01,3650.0,73
2025/11/10,50.0,50.01,50.01,50.0,50.0,0.02,0.01,3650.73,73
2025/10/27,50.0,50.0,50.0,50.0,50.0,0.0,0.0,34000.0,680
2025/10/22,50.01,50.0,50.0,50.0,50.01,-0.02,-0.01,35000.0,700
2025/10/20,50.0,50.01,50.01,50.01,50.0,0.02,0.01,31706.34,634
2025/10/08,31.16,50.0,50.0,50.0,31.16,60.459999,18.84,25000.0,500
2025/10/06,60.0,31.16,31.16,60.0,60.0,-48.07,-28.84,2181.2,70
2025/09/29,50.0,60.0,60.0,50.0,50.0,20.0,10.0,2040.0,34
2025/09/22,50.0,50.0,50.0,50.0,50.0,0.0,0.0,750.0,15
2025/09/03,50.0,52.2,50.0,50.0,50.0,0.0,0.0,363.2,7
2025/09/01,50.0,50.1,50.0,50.0,50.0,0.0,0.0,10005.79,200
2025/08/25,50.0,50.0,50.0,50.0,50.0,0.0,0.0,1750.0,35
2025/08/18,50.0,50.0,50.0,50.0,50.0,0.0,0.0,78000.0,1560
2025/08/11,50.0,50.0,50.0,50.0,50.0,0.0,0.0,48900.0,978
2025/08/06,50.0,50.0,50.0,50.0,50.0,0.0,0.0,300.0,6
2025/08/04,50.0,50.0,50.0,50.0,50.0,0.0,0.0,35250.0,705
2025/07/28,50.0,50.0,50.0,50.0,50.0,0.0,0.0,10800.0,216
2025/07/23,50.0,50.0,50.0,50.0,50.0,0.0,0.0,750.0,15
2025/07/21,52.4,52.4,50.0,50.0,52.4,-4.58,-2.4,15009.6,300
2025/07/16,50.0,52.4,52.4,50.0,50.0,4.8,2.4,104.8,2
2025/06/16,50.0,50.0,50.0,50.0,50.0,0.0,0.0,50.0,1
2025/06/04,50.0,50.0,50.0,50.0,50.0,0.0,0.0,15000.0,300
2025/05/26,51.0,51.0,50.0,50.0,51.0,-1.96,-1.0,24524.0,489
2025/05/21,50.0,51.0,50.0,51.0,50.0,2.0,1.0,197226.0,3926
2025/05/19,50.0,50.0,50.0,50.0,50.0,0.0,0.0,3250.0,65
2025/05/14,50.0,50.0,50.0,50.0,50.0,0.0,0.0,17600.0,352
2025/05/05,50.0,50.0,50.0,50.0,50.0,0.0,0.0,150.0,3
2025/04/30,50.0,50.0,50.0,50.0,50.0,0.0,0.0,15300.0,306
2025/04/28,50.0,50.0,50.0,50.0,50.0,0.0,0.0,5100.0,102
2025/04/23,55.0,50.0,50.0,50.0,55.0,-9.09,-5.0,150.0,3
2025/04/14,55.0,55.0,54.0,55.0,55.0,0.0,0.0,598.0,11
2025/04/09,50.0,55.0,55.0,55.0,50.0,10.0,5.0,19250.0,350
