«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2021/10/25,344.28,344.28,344.28,344.28,344.28,0.0,0.0,10328.4,30
2021/05/26,344.28,344.28,344.28,344.28,344.28,0.0,0.0,8607.0,25
2021/02/16,344.28,344.28,344.28,344.28,344.28,0.0,0.0,30985.2,90
2021/02/09,344.28,344.28,344.28,344.28,344.28,0.0,0.0,2779372.5,8073
2021/02/03,344.28,344.28,344.28,344.28,344.28,0.0,0.0,2.9709986E7,86296
2021/01/27,344.28,344.28,344.28,344.28,344.28,0.0,0.0,2.9823944E7,86627
2021/01/21,344.28,344.28,344.28,344.28,344.28,0.0,0.0,2.9929982E7,86935
2021/01/06,344.28,344.28,344.28,344.28,344.28,0.0,0.0,9938675.0,28868
2020/12/31,344.28,344.28,344.28,344.28,344.28,0.0,0.0,9968627.0,28955
2020/12/27,344.28,344.28,344.28,344.28,344.28,0.0,0.0,9999957.0,29046
2020/03/15,344.28,344.28,344.28,344.28,344.28,0.0,0.0,2623413.5,7620
2020/01/09,344.28,344.28,344.28,344.28,344.28,0.0,0.0,46477.8,135
