«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/04/14,4.69,5.62,5.62,4.69,4.69,0.0,0.0,70259.31,244
2023/12/14,4.69,3.85,3.85,4.69,4.69,-17.91,-0.84,231.0,60
2023/05/09,4.69,4.69,4.69,4.69,4.69,0.0,0.0,70.349998,15
2023/05/08,4.69,4.69,3.81,4.69,4.69,0.0,0.0,9282.379883,1982
2023/04/18,4.69,3.8,3.8,4.69,4.69,-18.98,-0.89,121.599998,32
2023/04/13,4.69,4.69,3.8,4.69,4.69,0.0,0.0,388.829987,96
2023/04/04,4.69,5.62,5.62,4.69,4.69,19.83,0.93,5.62,1
2022/12/27,4.69,3.8,3.8,4.69,4.69,-18.98,-0.89,102.599998,27
2022/06/29,4.69,4.69,4.69,4.69,4.69,0.0,0.0,126.629997,27
2022/06/26,4.69,4.69,4.69,4.69,4.69,0.0,0.0,56.279999,12
2022/06/15,4.69,4.69,4.69,4.69,4.69,0.0,0.0,689.429993,147
2022/04/19,4.69,3.86,3.83,4.69,4.69,-17.700001,-0.83,180.839996,47
2022/04/11,4.69,3.81,3.81,4.69,4.69,-18.76,-0.88,72.389999,19
2022/04/10,4.69,3.82,3.82,4.69,4.69,-18.549999,-0.87,309.420013,81
2022/04/06,4.69,4.7,4.7,4.69,4.69,0.21,0.01,343.100006,73
2022/03/31,4.69,4.7,4.7,4.69,4.69,0.21,0.01,145.699997,31
2022/03/30,4.69,4.7,4.7,4.69,4.69,0.21,0.01,578.099976,123
2022/03/29,4.69,4.7,4.7,4.69,4.69,0.21,0.01,874.200012,186
2022/03/28,4.69,4.7,4.7,4.69,4.69,0.21,0.01,399.5,85
2022/03/27,4.69,4.7,4.7,4.69,4.69,0.21,0.01,239.699997,51
2022/03/24,4.69,4.7,4.7,4.69,4.69,0.21,0.01,3069.100098,653
2022/03/16,4.69,4.7,4.7,4.69,4.69,0.21,0.01,2049.199951,436
2022/03/14,4.69,4.7,4.7,4.69,4.69,0.21,0.01,2622.600098,558
2022/03/13,4.69,4.7,4.7,4.69,4.69,0.21,0.01,460.600006,98
2022/03/10,4.69,4.7,4.7,4.69,4.69,0.21,0.01,1616.800049,344
2022/03/07,4.69,3.8,3.8,4.69,4.69,-18.98,-0.89,26.6,7
2022/03/06,4.69,3.8,3.8,4.69,4.69,-18.98,-0.89,2204.0,580
2022/02/28,4.69,3.8,3.8,4.69,4.69,-18.98,-0.89,3621.399902,953
2022/02/21,4.69,3.8,3.8,4.69,4.69,-18.98,-0.89,2306.600098,607
2022/01/31,4.69,3.8,3.8,4.69,4.69,-18.98,-0.89,820.799988,216
2022/01/30,4.69,3.8,3.8,4.69,4.69,-18.98,-0.89,167.199997,44
2022/01/26,4.69,4.0,4.0,4.69,4.69,-14.71,-0.69,168.0,42
2022/01/18,4.69,3.8,3.8,4.69,4.69,-18.98,-0.89,672.599976,177
2022/01/16,4.69,4.0,3.95,4.69,4.69,-15.78,-0.74,1542.650024,386
2022/01/13,4.69,3.8,3.8,4.69,4.69,-18.98,-0.89,273.600006,72
2021/04/14,4.69,5.15,5.15,4.69,4.69,9.81,0.46,51.5,10
2021/04/13,4.69,5.15,5.15,4.69,4.69,9.81,0.46,51.5,10
2020/10/06,4.69,4.69,4.69,4.69,4.69,0.0,0.0,149062.265625,31783
2020/09/29,4.69,4.69,4.69,4.69,4.69,0.0,0.0,126630.0,27000
2020/09/20,4.76,4.78,4.65,4.69,4.76,-2.31,-0.11,674670.0,144000
2020/09/03,4.96,4.76,4.76,4.76,4.96,-4.03,-0.2,195160.0,41000
2020/06/23,4.96,4.47,4.47,4.96,4.96,-9.88,-0.49,219.029999,49
2020/06/08,4.96,5.45,5.45,4.96,4.96,9.88,0.49,5.45,1
2020/02/13,4.96,5.4,5.4,4.96,4.96,8.87,0.44,540.0,100
2020/02/05,4.96,5.25,5.25,4.96,4.96,5.85,0.29,262.5,50
