«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.33,2.44,2.34,2.44,2.33,4.72,0.11,2986243.0,1229063
2026/01/12,2.33,2.39,2.33,2.33,2.33,0.43,0.01,212609.55,90227
2026/01/11,2.33,2.39,2.34,2.33,2.33,1.72,0.04,255320.7,107836
2026/01/08,2.33,2.36,2.3,2.33,2.33,0.0,0.0,380018.38,163099
2026/01/06,2.36,2.38,2.32,2.33,2.36,-1.27,-0.03,518531.97,221849
2026/01/05,2.39,2.39,2.35,2.36,2.39,-1.67,-0.04,446824.25,189094
2026/01/04,2.39,2.4,2.37,2.39,2.39,0.42,0.01,588385.13,246514
2025/12/31,2.41,2.42,2.38,2.39,2.41,-1.24,-0.03,963099.88,401603
2025/12/30,2.41,2.43,2.39,2.41,2.41,0.0,0.0,680300.94,282356
2025/12/29,2.39,2.41,2.38,2.41,2.39,0.84,0.02,1177841.63,491600
2025/12/28,2.39,2.41,2.37,2.39,2.39,-0.42,-0.01,380773.03,159419
2025/12/25,2.39,2.4,2.37,2.39,2.39,0.0,0.0,589109.81,246545
2025/12/24,2.41,2.41,2.38,2.39,2.41,-0.83,-0.02,793591.06,332085
2025/12/23,2.37,2.43,2.36,2.41,2.37,0.84,0.02,386211.44,160270
2025/12/22,2.38,2.42,2.36,2.37,2.38,-0.42,-0.01,653051.81,274443
2025/12/21,2.39,2.44,2.37,2.38,2.39,0.0,0.0,1048844.38,438967
2025/12/18,2.44,2.45,2.39,2.39,2.44,-0.41,-0.01,1032290.38,429380
2025/12/17,2.43,2.48,2.43,2.44,2.43,0.41,0.01,796268.75,324855
2025/12/16,2.42,2.45,2.41,2.43,2.42,0.83,0.02,873167.75,360463
2025/12/15,2.43,2.46,2.41,2.42,2.43,-0.41,-0.01,864871.25,356660
2025/12/14,2.44,2.46,2.42,2.43,2.44,0.0,0.0,798071.56,327991
2025/12/11,2.51,2.51,2.42,2.44,2.51,-1.2,-0.03,1247368.0,506850
2025/12/10,2.51,2.58,2.5,2.51,2.51,0.0,0.0,1723880.75,679213
2025/12/09,2.4,2.52,2.42,2.51,2.4,4.58,0.11,3611298.5,1447790
2025/12/08,2.39,2.43,2.38,2.4,2.39,0.42,0.01,1004581.25,416446
2025/12/07,2.38,2.4,2.37,2.39,2.38,0.42,0.01,1009157.25,422325
2025/12/04,2.38,2.4,2.37,2.38,2.38,0.0,0.0,573497.69,240627
2025/12/03,2.38,2.4,2.37,2.38,2.38,0.0,0.0,334684.72,140777
2025/12/02,2.41,2.4,2.37,2.38,2.41,-0.41,-0.01,306594.06,128902
2025/12/01,2.41,2.4,2.37,2.41,2.41,-1.24,-0.03,203278.98,85268
2025/11/30,2.41,2.4,2.37,2.41,2.41,-1.66,-0.04,202884.06,85122
2025/11/27,2.41,2.41,2.36,2.41,2.41,-1.24,-0.03,65969.07,27588
2025/11/26,2.41,2.41,2.36,2.41,2.41,-0.41,-0.01,212673.08,89456
2025/11/25,2.41,2.43,2.37,2.41,2.41,0.0,0.0,882967.25,366902
2025/11/24,2.41,2.4,2.37,2.41,2.41,-1.66,-0.04,293637.81,123356
2025/11/23,2.36,2.43,2.37,2.41,2.36,1.27,0.03,656520.94,273008
2025/11/20,2.36,2.39,2.34,2.36,2.36,0.85,0.02,244213.23,103956
2025/11/19,2.4,2.41,2.35,2.36,2.4,-1.67,-0.04,456785.63,193643
2025/11/18,2.4,2.42,2.38,2.4,2.4,0.0,0.0,259699.56,108881
2025/11/17,2.4,2.43,2.4,2.4,2.4,0.83,0.02,98268.31,40697
2025/11/16,2.4,2.44,2.38,2.4,2.4,0.0,0.0,343789.25,143282
2025/11/13,2.4,2.43,2.38,2.4,2.4,0.0,0.0,392727.91,163757
2025/11/12,2.4,2.42,2.38,2.4,2.4,-0.42,-0.01,466365.88,194933
2025/11/11,2.42,2.44,2.4,2.4,2.42,-0.83,-0.02,826257.81,343513
2025/11/10,2.44,2.46,2.41,2.42,2.44,-0.82,-0.02,344848.53,142257
2025/11/09,2.43,2.45,2.41,2.44,2.43,0.41,0.01,356096.38,146209
2025/11/06,2.43,2.45,2.41,2.43,2.43,0.41,0.01,405907.63,167323
2025/11/05,2.44,2.46,2.42,2.43,2.44,-0.82,-0.02,402099.09,165213
2025/11/04,2.44,2.47,2.44,2.44,2.44,0.0,0.0,286808.44,117107
2025/11/03,2.44,2.48,2.42,2.44,2.44,0.0,0.0,479036.5,196210
2025/11/02,2.48,2.5,2.43,2.44,2.48,-1.61,-0.04,450462.03,184121
2025/10/30,2.5,2.52,2.46,2.48,2.5,-1.2,-0.03,665345.13,268235
2025/10/29,2.52,2.53,2.47,2.5,2.52,-1.59,-0.04,837901.5,335452
2025/10/28,2.55,2.62,2.5,2.52,2.55,-0.39,-0.01,1331457.25,521423
2025/10/27,2.45,2.57,2.4,2.55,2.45,4.08,0.1,2862920.5,1143371
2025/10/26,2.43,2.48,2.43,2.45,2.43,0.82,0.02,499189.94,203637
2025/10/23,2.43,2.5,2.42,2.43,2.43,0.0,0.0,1371843.88,561567
2025/10/22,2.49,2.5,2.43,2.43,2.49,0.0,0.0,1052030.13,429830
2025/10/21,2.52,2.54,2.47,2.49,2.52,-1.98,-0.05,506304.78,202308
2025/10/20,2.55,2.57,2.5,2.52,2.55,-1.18,-0.03,912973.81,360404
2025/10/19,2.48,2.58,2.49,2.55,2.48,2.42,0.06,1517230.13,596438
2025/10/16,2.49,2.52,2.44,2.48,2.49,0.4,0.01,1071415.25,431877
2025/10/15,2.43,2.51,2.4,2.49,2.43,2.47,0.06,969074.5,393466
2025/10/14,2.37,2.46,2.37,2.43,2.37,3.8,0.09,742961.31,306687
2025/10/13,2.42,2.45,2.3,2.37,2.42,-0.83,-0.02,989487.56,415980
2025/10/12,2.44,2.45,2.4,2.42,2.44,-0.82,-0.02,749644.0,310065
2025/10/08,2.45,2.48,2.43,2.44,2.45,-0.41,-0.01,378014.34,154505
2025/10/07,2.46,2.48,2.43,2.45,2.46,-0.41,-0.01,375423.56,153173
2025/10/06,2.46,2.48,2.43,2.46,2.46,0.41,0.01,273146.47,111516
2025/10/05,2.48,2.51,2.44,2.46,2.48,-0.81,-0.02,677732.56,275796
2025/10/02,2.48,2.53,2.46,2.48,2.48,0.81,0.02,401049.31,161340
2025/10/01,2.52,2.5,2.45,2.48,2.52,-1.59,-0.04,425663.63,171915
2025/09/30,2.52,2.56,2.5,2.52,2.52,-0.79,-0.02,231802.95,92178
2025/09/29,2.45,2.57,2.43,2.52,2.45,3.67,0.09,683923.94,270278
2025/09/28,2.39,2.5,2.42,2.45,2.39,4.6,0.11,639488.06,260040
2025/09/25,2.39,2.46,2.4,2.39,2.39,2.51,0.06,221572.05,91629
2025/09/24,2.39,2.44,2.39,2.39,2.39,0.42,0.01,223800.23,92993
2025/09/23,2.39,2.48,2.4,2.39,2.39,0.84,0.02,284589.13,116443
2025/09/22,2.41,2.44,2.38,2.39,2.41,-0.41,-0.01,482083.22,201234
2025/09/21,2.49,2.51,2.38,2.41,2.49,-3.61,-0.09,615841.13,253558
2025/09/18,2.53,2.56,2.45,2.49,2.53,-1.58,-0.04,658749.13,265059
2025/09/17,2.55,2.56,2.5,2.53,2.55,0.39,0.01,390946.88,154746
2025/09/16,2.59,2.62,2.52,2.55,2.59,-1.54,-0.04,386070.34,150857
2025/09/15,2.55,2.6,2.5,2.59,2.55,1.96,0.05,1453153.88,568789
2025/09/14,2.53,2.6,2.5,2.55,2.53,1.58,0.04,801319.0,315369
2025/09/11,2.56,2.56,2.51,2.53,2.56,-1.17,-0.03,694819.38,275130
2025/09/10,2.5,2.57,2.42,2.56,2.5,2.8,0.07,1269164.25,501755
2025/09/09,2.54,2.57,2.47,2.5,2.54,-2.36,-0.06,547863.13,218118
2025/09/08,2.5,2.61,2.41,2.54,2.5,2.8,0.07,1732172.63,681168
2025/09/07,2.51,2.54,2.47,2.5,2.51,-0.8,-0.02,1060783.88,423357
2025/09/03,2.52,2.59,2.5,2.51,2.52,-0.79,-0.02,1232365.38,487072
2025/09/02,2.51,2.58,2.48,2.52,2.51,1.594,0.04,1965266.75,782980
2025/09/01,2.62,2.62,2.5,2.51,2.62,-4.198,-0.11,1401695.0,553327
2025/08/31,2.62,2.67,2.58,2.62,2.62,-1.527,-0.04,680979.938,258046
2025/08/28,2.57,2.69,2.57,2.62,2.57,3.113,0.08,1126061.375,424846
2025/08/27,2.59,2.61,2.53,2.57,2.59,-0.772,-0.02,720755.938,281701
2025/08/26,2.6,2.66,2.55,2.59,2.6,-0.385,-0.01,1264930.875,487668
2025/08/25,2.64,2.7,2.53,2.6,2.64,-0.379,-0.01,1410893.625,541778
2025/08/24,2.77,2.79,2.64,2.64,2.77,-4.693,-0.13,3439067.0,1283276
2025/08/21,2.64,2.77,2.7,2.77,2.64,4.924,0.13,4713304.5,1705320
2025/08/20,2.52,2.64,2.4,2.64,2.52,4.762,0.12,5565561.0,2244795
2025/08/19,2.65,2.52,2.52,2.52,2.65,-4.906,-0.13,622621.438,247072
2025/08/18,2.78,2.65,2.65,2.65,2.78,-4.676,-0.13,629216.0,237440
2025/08/17,2.92,2.78,2.78,2.78,2.92,-4.795,-0.14,632419.438,227489
2025/08/14,3.07,2.92,2.92,2.92,3.07,-4.886,-0.15,311926.094,106824
2025/08/12,3.15,3.11,3.03,3.07,3.15,-2.54,-0.08,1119927.13,365960
2025/08/11,3.14,3.17,3.02,3.15,3.14,0.32,0.01,2333692.0,753128
2025/08/10,3.14,3.23,3.12,3.14,3.14,0.96,0.03,1998940.63,629197
2025/08/07,3.03,3.23,3.01,3.14,3.03,3.63,0.11,6311042.0,2002413
2025/08/06,2.97,3.08,2.93,3.03,2.97,2.02,0.06,2556731.5,847475
2025/08/05,2.93,2.98,2.91,2.97,2.93,0.68,0.02,1146581.75,389896
2025/08/04,2.89,2.95,2.9,2.93,2.89,1.38,0.04,911646.56,311769
2025/08/03,2.92,2.92,2.88,2.89,2.92,-1.03,-0.03,563919.63,194782
2025/07/31,2.89,2.93,2.89,2.92,2.89,1.04,0.03,1050079.25,360568
2025/07/30,2.95,2.96,2.86,2.89,2.95,0.0,-0.06,1516180.0,520422
2025/07/29,2.95,2.99,2.9,2.95,2.95,-0.34,-0.01,679694.63,231071
2025/07/28,2.99,3.05,2.93,2.95,2.99,0.0,0.0,4049386.0,1352214
