«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,71.1,72.0,68.5,68.96,71.1,-3.01,-2.14,1851875.13,26370
2026/01/12,73.0,74.1,71.0,71.1,73.0,-2.71,-1.98,3432608.5,47164
2026/01/11,74.23,74.51,73.0,73.0,74.23,-1.66,-1.23,2147644.25,29278
2026/01/08,75.79,76.95,73.8,74.23,75.79,-2.06,-1.56,3494582.75,46658
2026/01/06,73.15,78.9,73.25,75.79,73.15,3.42,2.5,1.1761086E7,154168
2026/01/05,76.7,76.88,73.0,73.15,76.7,-4.63,-3.55,2615739.25,35171
2026/01/04,76.37,77.77,75.02,76.7,76.37,0.43,0.33,1459479.25,19097
2025/12/31,78.75,79.3,75.75,76.37,78.75,-3.02,-2.38,2630640.5,34001
2025/12/30,80.18,80.9,78.5,78.75,80.18,-1.78,-1.43,2405541.25,30298
2025/12/29,81.58,82.15,80.02,80.18,81.58,-1.72,-1.4,2668705.25,33045
2025/12/28,83.29,84.0,81.01,81.58,83.29,-2.05,-1.71,3710112.0,45338
2025/12/25,92.0,86.01,82.88,83.29,92.0,-9.47,-8.71,5381338.5,63914
2025/12/24,83.57,85.47,83.59,84.5,83.57,1.02,0.93,6289160.0,68466
2025/12/23,81.5,85.8,81.5,83.57,81.5,2.33,2.07,1.0000715E7,109676
2025/12/22,85.7,86.5,80.5,81.5,85.7,-4.51,-4.2,1.4598759E7,162326
2025/12/21,85.62,87.38,85.5,85.7,85.62,0.04,0.04,6034595.0,64532
2025/12/18,85.02,86.9,85.05,85.62,85.02,0.94,0.87,1899958.13,20360
2025/12/17,83.51,87.49,83.52,85.02,83.51,1.66,1.51,2574194.25,27653
2025/12/16,84.25,85.0,82.72,83.51,84.25,-0.81,-0.74,1932996.75,21250
2025/12/15,84.65,86.27,83.61,84.25,84.65,-1.13,-1.04,1302999.25,14162
2025/12/14,86.49,87.0,84.61,84.65,86.49,-1.96,-1.84,1977552.63,21257
2025/12/11,85.65,87.4,85.61,86.49,85.65,0.91,0.85,1642870.75,17527
2025/12/10,83.96,89.38,85.5,85.65,83.96,1.85,1.69,9829575.0,104000
2025/12/09,82.71,85.6,82.5,83.96,82.71,1.39,1.25,4712472.0,51334
2025/12/08,80.74,85.5,81.0,82.71,80.74,2.23,1.97,3818901.75,42165
2025/12/07,83.3,83.5,80.57,80.74,83.3,-2.82,-2.56,2393551.0,26755
2025/12/04,85.24,86.75,81.5,83.3,85.24,-2.09,-1.94,4083275.5,44664
2025/12/03,83.85,87.2,85.05,85.24,83.85,1.52,1.39,2291835.25,24540
2025/12/02,85.49,88.4,83.61,83.85,85.49,-1.76,-1.64,5062535.5,53900
2025/12/01,85.46,88.27,85.08,85.49,85.46,0.04,0.04,1610887.38,17282
2025/11/30,86.76,88.45,85.2,85.46,86.76,-1.38,-1.3,4856764.0,51905
2025/11/27,89.2,91.5,85.5,86.76,89.2,-2.52,-2.44,6546317.5,68953
2025/11/26,85.24,94.4,83.9,89.2,85.24,4.27,3.96,1.5377901E7,156432
2025/11/25,85.99,88.47,84.53,85.24,85.99,-0.8,-0.75,7719723.5,82005
2025/11/24,87.51,87.75,85.0,85.99,87.51,-2.64,-2.51,3922395.75,41838
2025/11/23,89.54,91.4,86.81,87.51,89.54,-2.09,-2.03,6110192.5,63795
2025/11/20,90.39,93.3,89.06,89.54,90.39,-0.87,-0.85,9321400.0,95272
2025/11/19,90.07,99.2,89.7,90.39,90.07,0.33,0.32,2.8936636E7,289244
2025/11/18,95.04,96.47,89.56,90.07,95.04,-4.85,-4.97,1.8990904E7,190258
2025/11/17,82.7,100.4,81.83,95.04,82.7,13.68,12.34,2.2190156E7,221247
2025/11/16,85.35,88.0,82.5,82.7,85.35,-2.85,-2.65,3838470.5,41625
2025/11/13,85.5,88.49,84.5,85.35,85.5,-0.16,-0.15,6544250.0,69727
2025/11/12,79.67,88.5,79.67,85.5,79.67,6.69,5.83,1.9953608E7,216810
2025/11/11,79.47,83.25,78.55,79.67,79.47,0.23,0.2,7120915.0,80752
2025/11/10,79.12,83.38,78.5,79.47,79.12,0.4,0.35,4512927.5,51546
2025/11/09,79.92,84.4,78.84,79.12,79.92,-0.92,-0.8,5169080.5,58187
2025/11/06,83.84,86.5,79.65,79.92,83.84,-4.29,-3.92,1.0041655E7,111659
2025/11/05,81.16,89.77,81.85,83.84,81.16,3.02,2.68,4.1149484E7,437861
2025/11/04,73.56,87.0,73.0,81.16,73.56,9.38,7.6,4.8074388E7,537420
2025/11/03,70.27,76.29,70.36,73.56,70.27,3.83,2.98,6061758.0,74090
2025/11/02,71.64,72.93,69.66,70.27,71.64,-1.73,-1.37,1606986.88,20518
2025/10/30,71.94,74.9,71.12,71.64,71.94,-0.38,-0.3,2031314.88,25351
2025/10/29,71.3,72.5,70.16,71.94,71.3,0.25,0.2,2308941.0,29308
2025/10/28,72.91,74.97,70.83,71.3,72.91,-1.75,-1.41,2798931.75,35220
2025/10/27,69.26,75.5,70.01,72.91,69.26,4.76,3.65,1.4334358E7,176463
2025/10/26,68.05,69.99,67.8,69.26,68.05,0.86,0.65,1149481.88,14978
2025/10/23,67.06,69.97,66.61,68.05,67.06,1.33,0.99,1742454.63,22930
2025/10/22,67.64,68.75,66.62,67.06,67.64,-0.77,-0.58,816038.63,10861
2025/10/21,68.25,69.85,67.51,67.64,68.25,-0.81,-0.61,876441.81,11576
2025/10/20,69.73,71.0,67.16,68.25,69.73,-1.92,-1.48,4817009.5,63248
2025/10/19,66.89,72.5,67.0,69.73,66.89,3.82,2.84,7233862.5,93378
2025/10/16,67.09,68.45,66.61,66.89,67.09,-0.27,-0.2,1416726.75,18901
2025/10/15,66.26,68.5,66.07,67.09,66.26,0.61,0.45,1064093.38,14255
2025/10/14,67.52,68.23,65.72,66.26,67.52,-1.68,-1.26,3043869.5,40933
2025/10/13,67.35,68.83,67.5,67.52,67.35,0.23,0.17,1648898.63,21852
2025/10/12,67.99,69.28,67.01,67.35,67.99,-0.85,-0.64,1828855.75,24294
2025/10/08,68.14,69.5,67.81,67.99,68.14,-0.2,-0.15,2163147.75,28406
2025/10/07,67.17,68.49,67.06,68.14,67.17,1.3,0.97,1277303.88,16953
2025/10/06,67.27,69.19,67.0,67.17,67.27,-0.29,-0.22,3428167.75,45561
2025/10/05,67.25,69.3,67.0,67.27,67.25,0.03,0.02,1742614.63,23163
2025/10/02,68.11,71.0,67.0,67.25,68.11,-1.14,-0.86,3235018.75,42267
2025/10/01,67.78,71.08,68.1,68.11,67.78,0.44,0.33,3526075.5,45618
2025/09/30,66.66,70.2,66.0,67.78,66.66,1.51,1.12,4312784.5,56971
2025/09/29,67.71,68.4,66.06,66.66,67.71,-1.4,-1.05,1637289.63,21911
2025/09/28,68.87,70.3,67.55,67.71,68.87,-1.52,-1.16,2047296.63,26924
2025/09/25,69.23,71.38,68.5,68.87,69.23,-0.47,-0.36,3514614.0,45644
2025/09/24,69.23,72.94,68.6,69.23,69.23,0.0,0.0,4283809.0,55049
2025/09/23,69.36,76.5,68.65,69.23,69.36,-0.17,-0.13,1.6878918E7,212046
2025/09/22,74.0,76.48,67.9,69.36,74.0,-5.69,-4.64,1.754213E7,221889
2025/09/21,63.88,76.2,63.4,74.0,63.88,14.18,10.12,2.9401774E7,373483
2025/09/18,64.44,67.0,63.55,63.88,64.44,-0.78,-0.56,3669523.5,50432
2025/09/17,62.21,66.0,61.15,64.44,62.21,3.29,2.29,2745723.75,38499
2025/09/16,62.91,66.5,60.8,62.21,62.91,-0.99,-0.7,5315614.0,74365
2025/09/15,60.29,65.38,59.53,62.91,60.29,3.86,2.62,5889346.5,83344
2025/09/14,61.02,62.4,60.02,60.29,61.02,-0.39,-0.27,1192743.38,17482
2025/09/11,61.52,64.45,60.75,61.02,61.52,-0.72,-0.5,2462060.0,35343
2025/09/10,61.77,64.5,60.37,61.52,61.77,-0.36,-0.25,3854345.5,55117
2025/09/09,64.35,65.1,61.5,61.77,64.35,-3.59,-2.58,1941867.38,27774
2025/09/08,61.02,67.29,61.03,64.35,61.02,4.86,3.33,7522089.5,104262
