«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,9.8,9.9,9.0,9.5,9.8,-3.06,-0.3,1888276.13,193888
2026/01/12,9.88,9.9,9.76,9.8,9.88,-0.81,-0.08,393985.97,40146
2026/01/11,9.81,9.9,9.81,9.88,9.81,0.92,0.09,725636.19,73442
2026/01/08,9.83,9.92,9.8,9.81,9.83,-0.31,-0.03,600599.63,61013
2026/01/06,9.91,10.09,9.8,9.83,9.91,-0.81,-0.08,874613.56,88808
2026/01/05,10.19,10.25,9.71,9.91,10.19,-3.63,-0.37,2201242.25,221424
2026/01/04,10.3,10.39,10.18,10.19,10.3,-1.07,-0.11,2478191.75,240818
2025/12/31,10.04,10.5,10.14,10.3,10.04,2.59,0.26,6443652.0,622706
2025/12/30,9.64,10.43,9.58,10.04,9.64,4.15,0.4,8.003064E7,7939928
2025/12/29,9.63,9.7,9.53,9.64,9.63,-0.52,-0.05,413633.03,42931
2025/12/28,9.63,9.69,9.53,9.63,9.63,-1.04,-0.1,249424.66,26035
2025/12/25,9.63,9.64,9.52,9.63,9.63,-1.04,-0.1,39809.01,4160
2025/12/24,9.63,9.64,9.55,9.63,9.63,-0.42,-0.04,230503.56,24030
2025/12/23,9.63,9.7,9.5,9.63,9.63,-0.93,-0.09,125682.15,13165
2025/12/22,9.45,9.71,9.42,9.63,9.45,0.74,0.07,389283.03,40534
2025/12/21,9.56,9.8,9.4,9.45,9.56,-1.15,-0.11,765962.88,80518
2025/12/18,9.56,9.7,9.55,9.56,9.56,0.42,0.04,228784.05,23853
2025/12/17,9.61,9.75,9.55,9.56,9.61,0.62,0.06,644433.19,67275
2025/12/16,9.71,9.85,9.57,9.61,9.71,-1.03,-0.1,878642.38,91239
2025/12/15,9.7,9.8,9.67,9.71,9.7,0.0,0.0,583946.19,60123
2025/12/14,9.73,9.89,9.6,9.7,9.73,-0.31,-0.03,398874.91,41194
2025/12/11,9.73,9.8,9.69,9.73,9.73,-0.31,-0.03,264533.38,27221
2025/12/10,9.77,9.9,9.7,9.73,9.77,-0.41,-0.04,827931.19,84893
2025/12/09,9.7,9.95,9.65,9.77,9.7,0.72,0.07,1157496.5,119246
2025/12/08,9.65,9.88,9.66,9.7,9.65,0.52,0.05,856488.06,88106
2025/12/07,9.69,9.81,9.61,9.65,9.69,-0.21,-0.02,827998.56,85784
2025/12/04,9.81,9.99,9.52,9.69,9.81,-1.53,-0.15,729196.63,74970
2025/12/03,9.98,10.0,9.76,9.81,9.98,-1.7,-0.17,580261.06,58942
2025/12/02,9.98,10.09,9.9,9.98,9.98,-0.8,-0.08,277811.16,27862
2025/12/01,9.97,10.1,9.71,9.98,9.97,0.1,0.01,2575853.75,258788
2025/11/30,9.99,10.19,9.71,9.97,9.99,1.1,0.11,1624443.63,164233
2025/11/27,9.42,10.28,9.45,9.99,9.42,6.05,0.57,4459430.5,452626
2025/11/26,9.44,9.5,9.37,9.42,9.44,-0.21,-0.02,576567.5,61106
2025/11/25,9.65,9.79,9.33,9.44,9.65,-2.9,-0.28,2731486.5,288008
2025/11/24,9.79,9.89,9.56,9.65,9.79,-0.41,-0.04,1004331.94,103560
2025/11/23,9.85,9.9,9.75,9.79,9.85,-0.61,-0.06,506020.16,51657
2025/11/20,9.91,10.0,9.76,9.85,9.91,-0.61,-0.06,1905371.25,192790
2025/11/19,10.0,10.0,9.88,9.91,10.0,-0.9,-0.09,1228459.63,123944
2025/11/18,10.0,10.15,9.8,10.0,10.0,0.0,0.0,4892453.5,491224
2025/11/17,10.02,10.15,9.85,10.0,10.02,-0.2,-0.02,6010232.5,601919
2025/11/16,10.07,10.29,10.0,10.02,10.07,-0.5,-0.05,3845213.75,383125
2025/11/13,10.06,10.4,10.0,10.07,10.06,0.1,0.01,4384420.5,430462
2025/11/12,10.01,10.13,9.91,10.06,10.01,0.5,0.05,3168456.0,316436
2025/11/11,9.79,10.1,9.77,10.01,9.79,2.15,0.21,4286199.5,429747
