«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,101.39,101.85,97.16,97.57,101.39,-3.77,-3.82,3.9087784E7,390370
2026/01/12,101.89,103.0,99.51,101.39,101.89,-0.49,-0.5,2.0554252E7,203398
2026/01/11,101.96,104.0,101.02,101.89,101.96,-0.07,-0.07,7250764.0,70771
2026/01/08,99.65,104.89,99.65,101.96,99.65,2.32,2.31,2.647863E7,256495
2026/01/06,97.78,100.8,97.51,99.65,97.78,1.91,1.87,4.0467652E7,408471
2026/01/05,98.75,100.17,97.02,97.78,98.75,-0.98,-0.97,3.0252038E7,307642
2026/01/04,100.22,101.96,98.5,98.75,100.22,-1.47,-1.47,7501700.5,75026
2025/12/31,103.68,104.79,100.0,100.22,103.68,-3.34,-3.46,1.8710334E7,182300
2025/12/30,98.01,106.79,100.0,103.68,98.01,5.79,5.67,7.1698992E7,689195
2025/12/29,96.76,98.84,97.0,98.01,96.76,1.29,1.25,2.0743596E7,212778
2025/12/28,95.34,98.79,95.9,96.76,95.34,1.49,1.42,1.5571753E7,159199
2025/12/25,94.85,98.86,94.91,95.34,94.85,0.52,0.49,1.4979321E7,154841
2025/12/24,94.29,96.97,94.02,94.85,94.29,0.59,0.56,9207352.0,96383
2025/12/23,93.03,95.68,93.1,94.29,93.03,0.99,0.92,3.2292752E7,342771
2025/12/22,91.34,94.8,91.5,93.03,91.34,1.85,1.69,5897969.0,63111
2025/12/21,93.23,94.3,91.0,91.34,93.23,-2.03,-1.89,7941011.5,86288
2025/12/18,95.54,96.6,92.0,93.23,95.54,-2.42,-2.31,9265321.0,98096
2025/12/17,97.02,98.5,95.32,95.54,97.02,-1.53,-1.48,4685318.0,48729
2025/12/16,98.53,99.38,97.0,97.02,98.53,-1.53,-1.51,5332653.0,54567
2025/12/15,97.32,101.4,97.35,98.53,97.32,1.24,1.21,4.204032E7,423994
2025/12/14,99.7,100.9,97.21,97.32,99.7,-2.39,-2.38,8490330.0,86232
2025/12/11,99.27,101.75,99.0,99.7,99.27,0.43,0.43,9182133.0,91683
2025/12/10,96.22,102.0,96.31,99.27,96.22,3.17,3.05,2.9868484E7,298508
2025/12/09,96.38,96.99,96.2,96.22,96.38,-0.17,-0.16,3575888.5,37097
2025/12/08,96.47,97.95,96.0,96.38,96.47,-0.09,-0.09,9317885.0,96052
2025/12/07,96.27,97.98,96.35,96.47,96.27,0.21,0.2,4.6214912E7,479072
2025/12/04,97.75,99.37,96.0,96.27,97.75,-1.51,-1.48,1.1212261E7,115649
2025/12/03,96.56,99.86,95.6,97.75,96.56,1.23,1.19,2.5509904E7,260415
