«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/09/09,65.03,69.25,61.1,68.74,65.03,5.71,3.71,1826380.13,27783
2025/09/08,73.26,73.26,61.0,65.03,73.26,-11.23,-8.23,7921987.5,121173
2025/09/07,76.94,78.0,61.0,73.26,76.94,-4.78,-3.68,7804053.0,107261
2025/09/03,73.33,81.4,74.0,76.94,73.33,4.92,3.61,9340696.0,120199
2025/09/02,65.0,77.75,61.0,73.33,65.0,13.85,9.0,6987814.5,97935
2025/09/01,54.53,65.4,53.27,65.0,54.53,19.2,10.47,1.4387125E7,236429
2025/08/31,53.26,60.9,54.0,54.53,53.26,3.27,1.74,1.2941097E7,228157
2025/08/28,42.22,53.26,43.0,53.26,42.22,26.15,11.04,1.1789821E7,234459
2025/08/27,33.03,42.22,33.03,42.22,33.03,27.82,9.19,1.3417367E7,354554
2025/08/26,33.02,33.45,32.93,33.03,33.02,0.03,0.01,1965524.88,59446
2025/08/25,33.9,33.9,33.0,33.02,33.9,-2.65,-0.9,1266845.38,38043
2025/08/24,33.75,34.0,33.2,33.9,33.75,-0.12,-0.04,925743.19,27494
2025/08/21,32.72,34.0,32.74,33.75,32.72,3.15,1.03,4083253.5,121421
2025/08/20,33.0,33.03,32.61,32.72,33.0,-0.85,-0.28,356325.5,10889
2025/08/19,33.01,33.48,32.6,33.0,33.01,-0.03,-0.01,4853018.0,147529
2025/08/18,33.47,33.7,32.33,33.01,33.47,-1.31,-0.44,2809244.25,85226
2025/08/17,33.99,34.25,32.41,33.47,33.99,-1.53,-0.52,4429356.5,132194
2025/08/14,30.58,39.99,30.7,33.99,30.58,11.15,3.41,9642990.0,294840
