«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2022/03/14,0.52,0.4,0.4,0.4,0.52,-23.08,-0.12,123.6,309
2022/02/28,0.75,0.52,0.52,0.52,0.75,-30.67,-0.23,899.08,1729
2022/02/09,0.99,0.75,0.75,0.75,0.99,-24.24,-0.24,1034.25,1379
2022/01/31,0.62,1.0,0.6,0.99,0.62,61.29,0.38,697.0,705
2022/01/12,0.62,0.74,0.74,0.62,0.62,19.35,0.12,17.76,24
2021/12/22,3.68,0.95,0.53,0.62,3.68,-84.51,-3.11,488.73,793
2021/12/20,3.68,0.5,0.5,3.68,3.68,-86.41,-3.18,1.0,2
2021/09/13,3.68,0.16,0.16,3.68,3.68,-95.65,-3.52,1.92,12
2021/06/28,3.68,0.16,0.16,3.68,3.68,-95.65,-3.52,1.92,12
2021/06/21,1.0,3.68,3.68,3.68,1.0,268.0,2.68,3680.0,1000
2021/06/16,3.8,1.0,1.0,1.0,3.8,-73.68,-2.8,1000.0,1000
2021/06/07,2.2,3.8,3.8,3.8,2.2,72.73,1.6,1520.0,400
2021/05/24,2.3,2.2,2.2,2.2,2.3,-4.35,-0.1,2860.0,1300
2021/05/19,2.33,2.3,2.3,2.3,2.33,-1.29,-0.03,2300.0,1000
2021/05/17,0.31,4.0,1.5,2.33,0.31,1190.32,3.69,3500.0,1500
2021/03/15,0.31,0.5,0.5,0.31,0.31,61.29,0.19,1.0,2
2021/03/10,1.0,0.31,0.31,0.31,1.0,-69.0,-0.69,310.0,1000
2021/01/20,1.0,1.0,1.0,1.0,1.0,0.0,0.0,980.0,980
2020/11/23,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2
2020/11/16,1.0,1.0,1.0,1.0,1.0,0.0,0.0,44.0,44
2020/11/04,1.0,1.0,1.0,1.0,1.0,0.0,0.0,221.0,221
2020/10/19,1.0,1.0,1.0,1.0,1.0,0.0,0.0,97.0,97
2020/10/14,1.0,1.0,1.0,1.0,1.0,0.0,0.0,695.0,695
2020/09/28,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,3
2020/09/21,1.0,1.0,1.0,1.0,1.0,0.0,0.0,5064.0,5064
2020/09/09,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1000.0,1000
2020/09/07,1.0,1.0,1.0,1.0,1.0,0.0,0.0,699.0,699
2020/09/02,0.8,1.5,0.89,1.0,0.8,25.0,0.2,24052.61,24155
2020/07/27,0.89,0.89,0.8,0.8,0.89,0.0,0.0,5631.05,7000
2020/07/15,0.9,0.89,0.89,0.89,0.9,-1.11,-0.01,890.0,1000
2020/07/13,0.88,0.9,0.9,0.9,0.88,2.27,0.02,900.0,1000
2020/07/08,0.56,0.92,0.85,0.88,0.56,57.14,0.32,10592.97,12000
2020/07/06,0.6,0.58,0.56,0.56,0.6,-6.67,-0.04,203.06,362
2020/06/10,0.66,0.68,0.55,0.6,0.66,-16.67,-0.11,10535.15,17693
2020/06/08,0.64,0.66,0.66,0.66,0.64,3.13,0.02,1188.0,1800
2020/06/03,0.6,0.64,0.64,0.64,0.6,6.67,0.04,2624.0,4100
2020/05/20,0.51,0.6,0.6,0.6,0.51,17.647,0.09,600.0,1000
2020/05/18,0.71,0.65,0.5,0.51,0.71,-29.58,-0.21,5135.0,10000
2020/04/27,0.56,0.77,0.62,0.71,0.56,26.79,0.15,1343.0,1900
2020/04/22,0.55,0.56,0.56,0.56,0.55,1.82,0.01,56.0,100
2020/04/15,0.55,0.57,0.57,0.55,0.55,0.0,0.0,0.57,1
2020/04/08,0.52,0.55,0.55,0.55,0.52,5.77,0.03,3850.0,7000
2020/03/30,1.0,0.53,0.52,0.52,1.0,-48.0,-0.48,4190.0,8000
2020/02/26,1.0,1.0,1.0,1.0,1.0,0.0,0.0,184.0,184
2020/02/24,1.07,1.0,1.0,1.0,1.07,-6.54,-0.07,2425.0,2425
2020/02/17,0.83,1.45,1.0,1.07,0.83,28.92,0.24,14883.0,13893
2020/02/12,0.6,1.0,0.6,0.83,0.6,38.33,0.23,8179.6,9834
2020/01/08,0.6,0.65,0.65,0.6,0.6,0.0,0.0,48.75,75
