«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,41.7,42.75,41.7,42.4,41.7,1.68,0.7,1.3645008E7,323917
2026/01/12,41.38,43.2,41.25,41.7,41.38,0.77,0.32,1.8509724E7,438819
2026/01/11,41.0,43.24,41.0,41.38,41.0,0.93,0.38,1.6973004E7,402752
2026/01/08,42.22,44.32,41.0,41.0,42.22,-2.89,-1.22,3.348489E7,783426
2026/01/06,39.38,44.39,40.02,42.22,39.38,7.21,2.84,5.5627652E7,1303105
2026/01/05,41.0,41.0,39.0,39.38,41.0,-3.95,-1.62,1.0538801E7,263656
2026/01/04,38.16,41.05,38.21,41.0,38.16,7.44,2.84,1.383286E7,348938
2025/12/31,40.03,40.79,38.16,38.16,40.03,-4.67,-1.87,1.0519077E7,267200
2025/12/30,40.87,41.86,39.93,40.03,40.87,-2.06,-0.84,1.9204492E7,471706
2025/12/29,39.91,41.26,39.8,40.87,39.91,2.41,0.96,1.7782246E7,439277
2025/12/28,41.52,42.0,39.61,39.91,41.52,-3.88,-1.61,1.9512348E7,482634
2025/12/25,42.24,43.66,41.4,41.52,42.24,-1.7,-0.72,2.5523198E7,603653
2025/12/24,40.67,45.1,41.3,42.24,40.67,3.86,1.57,7.5686216E7,1743937
2025/12/23,37.17,41.6,35.3,40.67,37.17,9.42,3.5,5.9675316E7,1531828
2025/12/22,39.6,40.66,35.73,37.17,39.6,-6.14,-2.43,2.931799E7,760199
2025/12/21,41.62,43.67,38.45,39.6,41.62,-4.85,-2.02,4.7299756E7,1169768
2025/12/18,39.02,45.75,39.0,41.62,39.02,6.66,2.6,6.4687888E7,1518974
2025/12/17,42.26,43.11,38.13,39.02,42.26,-7.67,-3.24,4.413596E7,1086970
2025/12/16,35.22,42.26,35.31,42.26,35.22,19.99,7.04,6.0024936E7,1532959
2025/12/15,34.36,35.5,34.37,35.22,34.36,2.5,0.86,1.3696483E7,390726
2025/12/14,33.03,34.95,32.73,34.36,33.03,4.03,1.33,2.2286994E7,657349
2025/12/11,32.28,33.45,32.02,33.03,32.28,2.32,0.75,1.3839515E7,423088
2025/12/10,31.7,32.9,31.78,32.28,31.7,1.83,0.58,2.3472494E7,726853
2025/12/09,29.2,32.2,29.3,31.7,29.2,8.56,2.5,4.6149104E7,1474958
2025/12/08,29.62,30.24,29.04,29.2,29.62,-1.42,-0.42,1.2136314E7,410933
2025/12/07,28.76,30.9,28.85,29.62,28.76,2.99,0.86,4.376908E7,1454147
2025/12/04,27.4,28.77,27.41,28.76,27.4,4.96,1.36,2.3519242E7,835493
2025/12/03,26.23,27.75,26.03,27.4,26.23,4.46,1.17,1.2091974E7,452288
2025/12/02,26.45,26.84,26.21,26.23,26.45,-0.83,-0.22,1.0038868E7,380488
2025/12/01,26.43,27.0,26.2,26.45,26.43,0.08,0.02,1.5348541E7,578627
2025/11/30,26.19,27.3,26.01,26.43,26.19,0.92,0.24,2.3620578E7,889503
2025/11/27,26.7,27.9,26.0,26.19,26.7,-1.91,-0.51,3.0970364E7,1151109
2025/11/26,24.62,28.89,23.75,26.7,24.62,8.45,2.08,7.5874208E7,2906317
2025/11/25,22.5,25.19,22.51,24.62,22.5,9.42,2.12,6.8243472E7,2842926
2025/11/24,21.21,23.3,20.25,22.5,21.21,6.08,1.29,6.0582584E7,2726492
2025/11/23,20.49,22.9,20.67,21.21,20.49,3.51,0.72,5.3290236E7,2490330
2025/11/20,18.41,20.9,18.25,20.49,18.41,11.3,2.08,5.0311036E7,2553517
2025/11/19,16.8,18.89,16.71,18.41,16.8,9.58,1.61,3.2897054E7,1819683
2025/11/18,17.28,17.45,16.71,16.8,17.28,-2.78,-0.48,7481304.5,440117
2025/11/17,15.21,17.28,15.25,17.28,15.21,13.61,2.07,2.1401682E7,1292904
2025/11/16,15.27,15.55,15.1,15.21,15.27,-0.39,-0.06,1276928.38,83819
2025/11/13,15.58,15.6,15.27,15.27,15.58,-1.99,-0.31,2013690.13,130519
2025/11/12,15.46,15.68,15.23,15.58,15.46,0.78,0.12,1857390.5,120161
2025/11/11,15.5,15.69,15.4,15.46,15.5,-0.65,-0.1,2341314.75,150719
2025/11/10,15.68,15.97,15.41,15.5,15.68,-1.15,-0.18,1741095.25,112113
2025/11/09,15.52,15.93,15.6,15.68,15.52,1.03,0.16,2049173.5,130035
2025/11/06,15.82,15.97,15.45,15.52,15.82,-1.9,-0.3,4949269.5,317542
2025/11/05,16.18,16.47,15.8,15.82,16.18,-2.22,-0.36,3009941.25,186950
2025/11/04,16.64,16.8,16.03,16.18,16.64,-2.76,-0.46,3002248.25,183648
2025/11/03,15.99,16.72,15.99,16.64,15.99,4.07,0.65,5752792.0,353725
2025/11/02,15.82,16.1,15.67,15.99,15.82,1.07,0.17,1679174.75,105448
2025/10/30,15.64,16.2,15.5,15.82,15.64,1.15,0.18,4680691.5,297288
2025/10/29,15.84,16.09,15.55,15.64,15.84,-1.26,-0.2,2193784.25,139024
2025/10/28,16.26,16.37,15.62,15.84,16.26,-2.58,-0.42,2830409.75,176975
2025/10/27,16.71,16.72,16.2,16.26,16.71,-2.69,-0.45,6606802.0,403626
2025/10/26,17.05,17.2,16.59,16.71,17.05,-1.99,-0.34,1.194906E7,707395
2025/10/23,17.13,17.2,16.9,17.05,17.13,-0.47,-0.08,6844931.0,401908
2025/10/22,17.22,17.46,17.1,17.13,17.22,-0.52,-0.09,3426396.75,199430
2025/10/21,17.39,17.5,17.16,17.22,17.39,-0.98,-0.17,4814850.5,278786
2025/10/20,17.21,17.43,17.13,17.39,17.21,1.05,0.18,4618806.5,266915
2025/10/19,17.15,17.47,17.08,17.21,17.15,0.35,0.06,3163584.25,183889
2025/10/16,17.3,17.7,17.11,17.15,17.3,-0.87,-0.15,5622629.5,324186
2025/10/15,17.17,17.49,17.0,17.3,17.17,0.76,0.13,5629897.5,326687
2025/10/14,17.12,17.3,16.9,17.17,17.12,0.29,0.05,4095970.75,240123
2025/10/13,16.8,17.33,16.77,17.12,16.8,1.9,0.32,3848965.0,225783
2025/10/12,16.9,17.03,16.75,16.8,16.9,-0.59,-0.1,1971376.88,117055
2025/10/08,17.0,17.2,16.81,16.9,17.0,-0.59,-0.1,4088720.0,241806
2025/10/07,17.23,17.47,16.7,17.0,17.23,-1.33,-0.23,7228938.0,424448
2025/10/06,17.14,17.98,17.16,17.23,17.14,0.53,0.09,1.3078281E7,743437
2025/10/05,16.71,17.4,16.7,17.14,16.71,2.57,0.43,3699355.0,216924
2025/10/02,17.5,17.79,16.63,16.71,17.5,-4.51,-0.79,1.3555469E7,796072
2025/10/01,18.32,18.79,17.36,17.5,18.32,-4.48,-0.82,3.2527368E7,1805963
2025/09/30,18.2,19.1,18.2,18.32,18.2,0.66,0.12,3.2623172E7,1759203
2025/09/29,18.22,18.59,18.03,18.2,18.22,-0.11,-0.02,1.4777837E7,808599
2025/09/28,17.35,19.09,17.46,18.22,17.35,5.01,0.87,6.0324356E7,3290357
2025/09/25,16.88,17.57,16.85,17.35,16.88,2.78,0.47,2.5595352E7,1483049
2025/09/24,16.91,17.3,16.66,16.88,16.91,-0.18,-0.03,1.3023884E7,765796
2025/09/23,17.5,17.98,16.7,16.91,17.5,-3.37,-0.59,5.0330276E7,2909394
2025/09/22,15.68,17.5,15.73,17.5,15.68,11.61,1.82,6.716748E7,4050600
2025/09/21,16.12,16.24,15.52,15.68,16.12,-2.73,-0.44,2.717113E7,1710644
2025/09/18,15.43,18.51,15.82,16.12,15.43,4.47,0.69,1.52125264E8,8906654
2025/09/17,14.59,15.7,14.21,15.43,14.59,5.76,0.84,7154657.5,470806
