«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,18.11,18.49,18.02,18.14,18.11,0.17,0.03,9318167.0,513784
2026/01/12,18.71,18.8,18.02,18.11,18.71,-3.21,-0.6,1.5221706E7,822406
2026/01/11,18.21,18.75,18.27,18.71,18.21,2.75,0.5,2.9452234E7,1584130
2026/01/08,17.71,18.78,17.72,18.21,17.71,2.82,0.5,4.9366092E7,2693277
2026/01/06,17.5,17.78,17.32,17.71,17.5,1.2,0.21,2283772.25,130128
2026/01/05,17.89,18.0,17.3,17.5,17.89,-2.18,-0.39,9466467.0,540909
2026/01/04,17.93,18.1,17.8,17.89,17.93,-0.22,-0.04,3636915.25,203404
2025/12/31,18.02,18.17,17.91,17.93,18.02,-0.5,-0.09,1.1843437E7,658497
2025/12/30,18.04,18.2,18.01,18.02,18.04,-0.17,-0.03,5143869.0,283875
2025/12/29,18.01,18.4,18.0,18.04,18.01,0.17,0.03,9934580.0,546352
2025/12/28,18.03,18.22,17.92,18.01,18.03,-0.06,-0.01,5673411.0,314504
2025/12/25,18.27,18.35,17.95,18.03,18.27,-1.31,-0.24,9447027.0,523568
2025/12/24,18.3,18.6,18.2,18.27,18.3,-0.16,-0.03,2.4714326E7,1338992
2025/12/23,18.13,18.3,17.8,18.3,18.13,0.94,0.17,2.3136974E7,1284646
2025/12/22,18.23,18.39,18.08,18.13,18.23,-0.55,-0.1,4631976.5,255442
2025/12/21,18.3,18.39,18.11,18.23,18.3,-0.38,-0.07,2034146.5,111640
2025/12/18,18.45,18.6,18.3,18.3,18.45,-0.81,-0.15,6647475.0,360739
2025/12/17,18.6,18.78,18.44,18.45,18.6,-0.81,-0.15,1.27291E7,684315
2025/12/16,18.5,18.78,18.4,18.6,18.5,0.11,0.02,9242236.0,499321
2025/12/15,18.7,18.89,18.5,18.5,18.7,-1.07,-0.2,1.1142553E7,597981
2025/12/14,18.85,19.05,18.7,18.7,18.85,-0.8,-0.15,6022015.5,318390
2025/12/11,18.99,19.34,18.8,18.85,18.99,-0.74,-0.14,2.6235814E7,1376145
2025/12/10,18.82,19.0,18.78,18.99,18.82,0.9,0.17,1.1884788E7,630288
2025/12/09,18.9,19.18,18.82,18.82,18.9,-0.42,-0.08,2.5016676E7,1322824
2025/12/08,18.8,19.15,18.85,18.9,18.8,0.53,0.1,2.1601834E7,1136307
2025/12/07,18.5,19.11,18.5,18.8,18.5,1.62,0.3,2.0744654E7,1098349
2025/12/04,18.76,18.85,18.45,18.5,18.76,-1.39,-0.26,5843840.5,314030
2025/12/03,18.8,19.0,18.67,18.76,18.8,-0.21,-0.04,1.890962E7,1001141
2025/12/02,18.76,18.95,18.51,18.8,18.76,0.21,0.04,4.7985476E7,2550194
2025/12/01,18.31,18.78,18.45,18.76,18.31,2.46,0.45,1.899799E7,1018970
2025/11/30,18.06,18.94,18.01,18.31,18.06,1.38,0.25,4.613784E7,2499010
2025/11/27,17.96,18.29,17.87,18.06,17.96,0.56,0.1,1.0549544E7,585095
2025/11/26,17.8,18.5,17.71,17.96,17.8,0.9,0.16,3.186708E7,1752655
2025/11/25,18.0,18.6,17.8,17.8,18.0,-1.11,-0.2,2.4632506E7,1354992
2025/11/24,18.02,18.27,17.9,18.0,18.02,-0.11,-0.02,9190766.0,508369
2025/11/23,18.37,18.55,17.9,18.02,18.37,-1.91,-0.35,1.3686069E7,752979
2025/11/20,18.11,18.64,18.01,18.37,18.11,1.44,0.26,4.1216796E7,2235605
2025/11/19,17.74,18.2,17.5,18.11,17.74,2.09,0.37,1.4375421E7,805157
2025/11/18,17.91,18.2,17.65,17.74,17.91,-0.95,-0.17,1.9240384E7,1073121
2025/11/17,18.6,18.79,17.9,17.91,18.6,-3.71,-0.69,4.5531504E7,2490518
2025/11/16,18.92,19.17,18.6,18.6,18.92,-1.69,-0.32,4.1523844E7,2211812
2025/11/13,18.7,19.5,18.71,18.92,18.7,1.18,0.22,1.05094016E8,5450800
2025/11/12,19.16,19.45,18.52,18.7,19.16,-2.4,-0.46,7.6002048E7,4017186
2025/11/11,19.24,19.38,19.15,19.16,19.24,-0.42,-0.08,3.3621824E7,1743012
2025/11/10,19.29,19.65,19.15,19.24,19.29,-0.26,-0.05,3.7328192E7,1925161
2025/11/09,19.16,19.49,19.16,19.29,19.16,0.68,0.13,1.1418355E7,590833
2025/11/06,19.54,19.97,19.16,19.16,19.54,-1.94,-0.38,5.9685564E7,3045647
2025/11/05,19.2,19.66,19.09,19.54,19.2,1.77,0.34,4.859736E7,2496235
2025/11/04,20.1,20.0,19.0,19.2,20.1,-4.48,-0.9,6.6120392E7,3406797
2025/11/03,18.5,20.1,18.21,20.1,18.5,8.65,1.6,5.5275928E7,2862529
2025/11/02,18.92,18.98,18.5,18.5,18.92,-2.22,-0.42,1.5655211E7,837927
2025/10/30,19.15,19.35,18.81,18.92,19.15,-1.2,-0.23,3.6267032E7,1908306
2025/10/29,19.49,19.6,19.04,19.15,19.49,-1.74,-0.34,2.8040384E7,1455384
2025/10/28,19.55,20.2,19.2,19.49,19.55,-0.31,-0.06,7.6237048E7,3858776
2025/10/27,19.0,19.79,18.92,19.55,19.0,2.89,0.55,6.6883784E7,3434726
2025/10/26,18.88,19.39,18.89,19.0,18.88,0.64,0.12,1.10376976E8,5767533
2025/10/23,17.9,18.95,17.85,18.88,17.9,5.47,0.98,9.0685648E7,4880003
2025/10/22,18.53,18.49,17.9,17.9,18.53,-3.4,-0.63,2.9773404E7,1636204
2025/10/21,17.55,18.58,17.07,18.53,17.55,5.58,0.98,1.03716256E8,5754559
2025/10/20,17.43,17.98,17.3,17.55,17.43,0.69,0.12,1.33058432E8,7523741
2025/10/19,16.33,17.49,16.23,17.43,16.33,6.74,1.1,1.72571232E8,10075370
2025/10/16,16.25,16.37,16.18,16.33,16.25,0.49,0.08,9781327.0,601664
2025/10/15,16.25,16.4,16.14,16.25,16.25,0.0,0.0,9003477.0,554235
2025/10/14,16.44,16.7,16.12,16.25,16.44,-1.16,-0.19,1.1355779E7,691457
2025/10/13,16.39,16.94,16.44,16.44,16.39,0.31,0.05,3.1555142E7,1895881
2025/10/12,16.11,16.39,15.95,16.39,16.11,1.74,0.28,4.9524192E7,3067462
2025/10/08,16.3,16.4,16.06,16.11,16.3,-1.17,-0.19,1.0539277E7,650390
2025/10/07,16.15,16.46,16.02,16.3,16.15,0.93,0.15,2.1243982E7,1302042
