«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,2.06,2.08,1.97,1.99,2.06,-3.4,-0.07,9701617.0,4823788
2026/01/12,2.11,2.13,2.04,2.06,2.11,-2.37,-0.05,9340232.0,4479855
2026/01/11,2.17,2.18,2.09,2.11,2.17,-2.76,-0.06,1.7583034E7,8266942
2026/01/08,2.2,2.22,2.12,2.17,2.2,-1.36,-0.03,1.8861936E7,8717902
2026/01/06,2.18,2.21,2.09,2.2,2.18,0.92,0.02,2.404186E7,11245287
2026/01/05,2.22,2.23,2.15,2.18,2.22,-1.8,-0.04,9227363.0,4227827
2026/01/04,2.25,2.26,2.18,2.22,2.25,-2.67,-0.06,5435768.0,2457575
2025/12/31,2.25,2.3,2.22,2.25,2.25,0.0,0.0,5018488.0,2231898
2025/12/30,2.24,2.3,2.22,2.25,2.24,0.45,0.01,7310828.0,3219745
2025/12/29,2.25,2.27,2.22,2.24,2.25,-0.44,-0.01,4568051.5,2040822
2025/12/28,2.28,2.32,2.25,2.25,2.28,-1.32,-0.03,1.3675196E7,5984504
2025/12/25,2.34,2.36,2.27,2.28,2.34,-2.56,-0.06,3694479.25,1603623
2025/12/24,2.27,2.35,2.25,2.34,2.27,3.08,0.07,1.762154E7,7633760
2025/12/23,2.22,2.28,2.2,2.27,2.22,2.25,0.05,6785271.0,3029500
2025/12/22,2.25,2.27,2.2,2.22,2.25,-1.33,-0.03,1.7091878E7,7662609
2025/12/21,2.28,2.3,2.24,2.25,2.28,-1.32,-0.03,1.1004951E7,4836611
2025/12/18,2.19,2.3,2.19,2.28,2.19,4.11,0.09,1.3378639E7,5939910
2025/12/17,2.23,2.26,2.19,2.19,2.23,-1.79,-0.04,7047959.5,3176497
2025/12/16,2.27,2.31,2.23,2.23,2.27,-1.76,-0.04,1.3705602E7,6029721
2025/12/15,2.34,2.37,2.26,2.27,2.34,-2.99,-0.07,1.3546654E7,5889995
2025/12/14,2.23,2.36,2.22,2.34,2.23,4.93,0.11,2.4553278E7,10701601
2025/12/11,2.19,2.26,2.18,2.23,2.19,1.83,0.04,1.7478792E7,7875948
2025/12/10,2.2,2.25,2.17,2.19,2.2,-0.45,-0.01,1.1776229E7,5338074
2025/12/09,2.26,2.3,2.19,2.2,2.26,-2.65,-0.06,3.030152E7,13626910
2025/12/08,2.17,2.34,2.13,2.26,2.17,4.15,0.09,5.1312316E7,22996170
2025/12/07,2.01,2.17,2.05,2.17,2.01,7.96,0.16,1.6670481E7,7883311
2025/12/04,2.04,2.06,2.0,2.01,2.04,-1.47,-0.03,6619900.0,3265233
2025/12/03,2.05,2.06,2.02,2.04,2.05,-0.49,-0.01,5583547.0,2737179
2025/12/02,1.95,2.08,1.93,2.05,1.95,5.13,0.1,1.6386876E7,8087104
2025/12/01,1.94,2.05,1.94,1.95,1.94,0.52,0.01,1.4021084E7,7052271
2025/11/30,1.95,1.98,1.93,1.94,1.95,-0.51,-0.01,4510368.5,2310588
2025/11/27,1.96,2.08,1.93,1.95,1.96,-0.51,-0.01,2.457261E7,12228475
2025/11/26,2.0,2.08,1.96,1.96,2.0,-2.0,-0.04,8307853.0,4122505
2025/11/25,2.08,2.09,1.92,2.0,2.08,-3.85,-0.08,1.5980715E7,7967236
2025/11/24,2.13,2.15,2.07,2.08,2.13,-2.35,-0.05,8749904.0,4159712
2025/11/23,2.08,2.21,2.09,2.13,2.08,2.4,0.05,3.334234E7,15394971
2025/11/20,1.96,2.13,1.96,2.08,1.96,6.12,0.12,5.6608272E7,27731468
2025/11/19,1.82,1.98,1.82,1.96,1.82,7.69,0.14,3.1240742E7,16327868
2025/11/18,1.83,1.88,1.81,1.82,1.83,-0.55,-0.01,3903143.0,2117422
2025/11/17,1.83,1.88,1.82,1.83,1.83,0.0,0.0,1.1831936E7,6373921
2025/11/16,1.8,1.88,1.8,1.83,1.8,1.67,0.03,9030134.0,4904775
2025/11/13,1.81,1.82,1.79,1.8,1.81,-0.55,-0.01,4477798.0,2482522
2025/11/12,1.81,1.84,1.81,1.81,1.81,0.0,0.0,3119528.5,1714834
2025/11/11,1.81,1.85,1.8,1.81,1.81,0.0,0.0,7509244.5,4100248
2025/11/10,1.81,1.84,1.8,1.81,1.81,0.0,0.0,5796062.0,3197643
2025/11/09,1.8,1.86,1.8,1.81,1.8,0.56,0.01,7109451.5,3871060
2025/11/06,1.8,1.85,1.79,1.8,1.8,0.0,0.0,5744064.0,3164204
2025/11/05,1.84,1.87,1.8,1.8,1.84,-2.17,-0.04,4395371.5,2415488
2025/11/04,1.86,1.9,1.83,1.84,1.86,-1.08,-0.02,3157970.25,1698810
