«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.548,0.552,0.536,0.54,0.548,-1.46,-0.008,9408760.0,17319555
2026/01/12,0.547,0.553,0.54,0.548,0.547,0.183,0.001,1.745371E7,31976029
2026/01/11,0.55,0.554,0.546,0.547,0.55,-0.545,-0.003,8614459.0,15705442
2026/01/08,0.551,0.555,0.547,0.55,0.551,-0.181,-0.001,7735214.5,14074868
2026/01/06,0.55,0.554,0.546,0.551,0.55,0.182,0.001,2465725.75,4485823
2026/01/05,0.558,0.558,0.545,0.55,0.558,-1.434,-0.008,1.1600971E7,21064640
2026/01/04,0.56,0.564,0.555,0.558,0.56,-0.357,-0.002,8176249.5,14662427
2025/12/31,0.563,0.569,0.56,0.56,0.563,-0.533,-0.003,8307978.5,14764147
2025/12/30,0.564,0.573,0.562,0.563,0.564,-0.177,-0.001,1.5903385E7,28005992
2025/12/29,0.56,0.564,0.555,0.564,0.56,0.714,0.004,5680548.0,10170959
2025/12/28,0.56,0.565,0.559,0.56,0.56,0.0,0.0,7737615.5,13799580
2025/12/25,0.573,0.573,0.559,0.56,0.573,-2.269,-0.013,3.4231612E7,60832479
2025/12/24,0.566,0.578,0.568,0.573,0.566,1.237,0.007,1.5548774E7,27130662
2025/12/23,0.575,0.578,0.56,0.566,0.575,-1.565,-0.009,1.775946E7,31414143
2025/12/22,0.581,0.585,0.574,0.575,0.581,-1.033,-0.006,1.2412751E7,21482592
2025/12/21,0.576,0.585,0.578,0.581,0.576,0.868,0.005,1.5197943E7,26129398
2025/12/18,0.582,0.587,0.574,0.576,0.582,-1.031,-0.006,1.3589609E7,23551122
2025/12/17,0.59,0.593,0.581,0.582,0.59,-1.356,-0.008,9284946.0,15764002
2025/12/16,0.594,0.596,0.588,0.59,0.594,-0.673,-0.004,1.3206545E7,22333830
2025/12/15,0.587,0.598,0.586,0.594,0.587,1.192,0.007,2.6516646E7,44742054
2025/12/14,0.58,0.593,0.58,0.587,0.58,1.207,0.007,1.1820776E7,20116077
2025/12/11,0.587,0.589,0.579,0.58,0.587,-1.193,-0.007,9127802.0,15649467
2025/12/10,0.578,0.588,0.58,0.587,0.578,1.557,0.009,1.0538453E7,18032783
2025/12/09,0.577,0.586,0.577,0.578,0.577,0.173,0.001,1.1244662E7,19381599
2025/12/08,0.59,0.596,0.577,0.577,0.59,-2.203,-0.013,1.577876E7,26987365
