«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.17,1.18,1.16,1.17,1.17,0.0,0.0,6.8873368E7,59137913
2026/01/12,1.17,1.19,1.16,1.17,1.17,0.0,0.0,1.38195792E8,117211930
2026/01/11,1.17,1.18,1.16,1.17,1.17,0.0,0.0,5.7760212E7,49461555
2026/01/08,1.14,1.17,1.14,1.17,1.14,2.632,0.03,1.2090216E8,104106246
2026/01/06,1.15,1.17,1.14,1.14,1.15,-0.87,-0.01,8.1430608E7,70751529
2026/01/05,1.16,1.17,1.14,1.15,1.16,-0.862,-0.01,5.048956E7,43908476
2026/01/04,1.18,1.18,1.16,1.16,1.18,-1.695,-0.02,7.2022808E7,61776840
2025/12/31,1.14,1.18,1.15,1.18,1.14,3.509,0.04,1.52883712E8,130912547
2025/12/30,1.14,1.16,1.14,1.14,1.14,0.0,0.0,8.7011352E7,75800183
2025/12/29,1.16,1.17,1.14,1.14,1.16,-1.724,-0.02,9.4862664E7,82629602
2025/12/28,1.16,1.18,1.15,1.16,1.16,0.0,0.0,4.6458712E7,39931784
2025/12/25,1.17,1.18,1.15,1.16,1.17,-0.855,-0.01,1.01531112E8,87005292
2025/12/24,1.15,1.2,1.16,1.17,1.15,1.739,0.02,3.805128E8,323177539
2025/12/23,1.15,1.15,1.12,1.15,1.15,0.0,0.0,1.26736896E8,111067102
2025/12/22,1.15,1.17,1.14,1.15,1.15,0.0,0.0,2.06856144E8,180018310
2025/12/21,1.14,1.18,1.15,1.15,1.14,0.877,0.01,4.07254464E8,350424103
2025/12/18,1.12,1.14,1.12,1.14,1.12,1.786,0.02,1.12727144E8,99679673
2025/12/17,1.12,1.15,1.11,1.12,1.12,0.0,0.0,1.23931064E8,109816083
2025/12/16,1.13,1.14,1.11,1.12,1.13,-0.885,-0.01,1.93280464E8,171692360
2025/12/15,1.08,1.15,1.09,1.13,1.08,4.63,0.05,3.45509792E8,307464312
2025/12/14,1.03,1.11,1.03,1.08,1.03,4.854,0.05,4.27660736E8,393661688
2025/12/11,1.05,1.06,1.01,1.03,1.05,-1.905,-0.02,8.9244112E7,86560037
2025/12/10,1.06,1.07,1.04,1.05,1.06,-0.943,-0.01,4.0479444E7,38411710
2025/12/09,1.05,1.08,1.04,1.06,1.05,0.952,0.01,7.8306232E7,73781836
2025/12/08,1.08,1.09,1.05,1.05,1.08,-2.778,-0.03,7.8616016E7,73737031
2025/12/07,1.07,1.1,1.07,1.08,1.07,0.935,0.01,1.59361216E8,147168014
2025/12/04,1.03,1.08,1.03,1.07,1.03,3.884,0.04,1.68737664E8,158480154
2025/12/03,1.04,1.06,1.03,1.03,1.04,-0.962,-0.01,5.1232248E7,49155660
2025/12/02,1.05,1.06,1.03,1.04,1.05,-0.952,-0.01,5.923716E7,57079695
2025/12/01,1.05,1.07,1.05,1.05,1.05,0.0,0.0,1.116018E8,105450525
2025/11/30,1.04,1.07,1.02,1.05,1.04,0.962,0.01,1.42792288E8,136083584
2025/11/27,1.0,1.04,0.99,1.04,1.0,4.0,0.04,4.8168656E7,47150629
2025/11/26,0.99,1.02,0.98,1.0,0.99,1.01,0.01,5.9391448E7,59350132
2025/11/25,1.03,1.04,0.98,0.99,1.03,-3.883,-0.04,3.9653388E7,39480486
2025/11/24,1.04,1.05,1.02,1.03,1.04,-0.962,-0.01,3.718094E7,36042433
2025/11/23,1.04,1.04,1.02,1.04,1.04,0.0,0.0,5.1465616E7,49968431
2025/11/20,1.03,1.05,1.03,1.04,1.03,0.971,0.01,5.5929356E7,54182561
2025/11/19,1.04,1.05,1.03,1.03,1.04,-0.962,-0.01,2.0067822E7,19378640
2025/11/18,1.04,1.07,1.04,1.04,1.04,0.0,0.0,8.9577392E7,85194849
2025/11/17,1.03,1.05,1.02,1.04,1.03,0.971,0.01,3.6006384E7,34687271
2025/11/16,1.03,1.05,1.02,1.03,1.03,0.0,0.0,3.1256034E7,30209862
2025/11/13,1.03,1.05,1.03,1.03,1.03,0.0,0.0,3.8607584E7,37326188
2025/11/12,1.04,1.06,1.03,1.03,1.04,-0.962,-0.01,4.1558388E7,39979143
2025/11/11,1.04,1.06,1.03,1.04,1.04,0.0,0.0,4.9186596E7,46973641
2025/11/10,1.05,1.06,1.03,1.04,1.05,-0.952,-0.01,3.7640236E7,36137259
2025/11/09,1.05,1.07,1.05,1.05,1.05,0.0,0.0,4.1599504E7,39382200
2025/11/06,1.07,1.09,1.05,1.05,1.07,-1.869,-0.02,1.1435072E8,107175681
2025/11/05,1.07,1.1,1.06,1.07,1.07,0.0,0.0,6.6518012E7,61712547
2025/11/04,1.1,1.1,1.06,1.07,1.1,-2.727,-0.03,7.536572E7,69844162
2025/11/03,1.09,1.1,1.05,1.1,1.09,0.917,0.01,7.0083888E7,65283108
2025/11/02,1.13,1.13,1.08,1.09,1.13,-3.54,-0.04,7.678624E7,69320378
2025/10/30,1.13,1.14,1.12,1.13,1.13,0.0,0.0,1.5641184E8,138473316
2025/10/29,1.13,1.16,1.13,1.13,1.13,0.0,0.0,1.82279072E8,159358723
2025/10/28,1.11,1.13,1.09,1.13,1.11,1.802,0.02,1.12930328E8,101264137
