«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,24.15,24.5,23.8,23.95,24.15,-0.62,-0.15,3389556.0,141360
2026/01/12,24.39,24.8,23.95,24.15,24.39,-1.19,-0.29,5134666.5,210267
2026/01/11,24.03,25.0,24.05,24.39,24.03,1.5,0.36,7446841.0,304128
2026/01/08,24.5,24.73,23.9,24.03,24.5,-1.92,-0.47,7969693.0,329092
2026/01/06,24.05,24.5,23.84,24.5,24.05,1.87,0.45,8697530.0,359921
2026/01/05,24.99,25.09,23.93,24.05,24.99,-3.76,-0.94,6448784.0,265618
2026/01/04,24.99,25.1,24.63,24.99,24.99,-0.92,-0.23,2738992.0,110192
2025/12/31,24.99,25.0,24.75,24.99,24.99,0.0,0.0,2862081.75,114842
2025/12/30,24.98,25.1,24.8,24.99,24.98,0.08,0.02,2064238.88,82660
2025/12/29,24.55,25.0,24.55,24.98,24.55,1.75,0.43,4024773.25,161928
2025/12/28,24.5,25.05,24.53,24.55,24.5,0.2,0.05,3653558.25,147722
2025/12/25,24.82,25.19,24.5,24.5,24.82,-1.29,-0.32,3920767.25,157480
2025/12/24,24.75,25.0,24.27,24.82,24.75,-0.69,-0.17,3159155.75,127819
2025/12/23,24.92,25.4,24.75,24.75,24.92,-0.68,-0.17,1.0317616E7,410840
2025/12/22,24.7,25.37,24.81,24.92,24.7,0.89,0.22,1.6200725E7,647090
2025/12/21,24.09,24.7,23.75,24.7,24.09,2.53,0.61,5193292.5,213238
2025/12/18,24.18,24.4,23.94,24.09,24.18,-0.66,-0.16,2459850.75,102135
2025/12/17,24.2,24.57,24.0,24.18,24.2,-0.08,-0.02,4621199.5,191455
2025/12/16,24.52,25.8,24.06,24.2,24.52,-1.31,-0.32,4.786576E7,1913694
2025/12/15,23.77,24.52,23.53,24.52,23.77,3.16,0.75,2.2098532E7,912908
2025/12/14,23.76,23.93,23.55,23.77,23.76,-0.25,-0.06,4437815.5,186598
2025/12/11,23.6,23.8,23.39,23.76,23.6,0.72,0.17,5497828.0,232634
2025/12/10,23.73,23.7,23.02,23.6,23.73,-0.55,-0.13,2181835.25,93015
2025/12/09,23.97,23.8,23.52,23.73,23.97,-1.5,-0.36,1658428.38,70098
2025/12/08,24.24,23.99,23.1,23.97,24.24,-1.11,-0.27,7666129.5,322960
2025/12/07,23.49,24.24,23.49,24.24,23.49,3.19,0.75,1.0615618E7,444000
2025/12/04,23.5,23.5,23.0,23.49,23.5,-0.04,-0.01,5822761.5,249462
2025/12/03,22.79,23.5,22.7,23.5,22.79,3.12,0.71,5549225.0,240227
2025/12/02,22.66,23.0,22.5,22.79,22.66,0.97,0.22,2690440.5,118205
2025/12/01,22.27,22.9,22.3,22.66,22.27,1.75,0.39,4838536.0,213873
2025/11/30,22.0,22.42,22.01,22.27,22.0,1.73,0.38,2460835.75,110497
2025/11/27,22.26,22.4,22.0,22.0,22.26,-1.17,-0.26,4397034.0,199011
2025/11/26,22.25,22.64,22.11,22.26,22.25,0.04,0.01,2.8135072E7,1264070
2025/11/25,22.54,22.69,22.2,22.25,22.54,-0.84,-0.19,2513553.75,112709
2025/11/24,22.8,22.9,22.4,22.54,22.8,-1.75,-0.4,3945332.75,174955
2025/11/23,22.79,23.0,22.5,22.8,22.79,-0.75,-0.17,2134570.75,93872
2025/11/20,23.47,23.4,22.7,22.79,23.47,-2.9,-0.68,3902977.25,170298
2025/11/19,22.34,23.6,22.25,23.47,22.34,5.06,1.13,7065850.0,310179
2025/11/18,22.42,22.6,22.23,22.34,22.42,0.13,0.03,2643908.0,117946
2025/11/17,23.43,23.35,22.1,22.42,23.43,-4.31,-1.01,2.998082E7,1329029
2025/11/16,23.82,23.8,23.0,23.43,23.82,-1.97,-0.47,4546499.0,195316
2025/11/13,24.39,24.39,23.51,23.82,24.39,-2.34,-0.57,6682306.0,279218
2025/11/12,24.06,24.39,23.75,24.39,24.06,1.37,0.33,9226584.0,383554
2025/11/11,23.82,24.33,23.82,24.06,23.82,1.01,0.24,1.6880918E7,701996
2025/11/10,23.26,24.0,22.6,23.82,23.26,2.41,0.56,1.6371437E7,694351
2025/11/09,23.8,23.89,23.0,23.26,23.8,-2.27,-0.54,7644443.5,326182
2025/11/06,22.85,23.8,22.9,23.8,22.85,4.16,0.95,1.3845535E7,589863
2025/11/05,23.36,23.87,22.6,22.85,23.36,-2.18,-0.51,1.1485435E7,489632
2025/11/04,22.49,23.42,22.45,23.36,22.49,3.87,0.87,1.6716865E7,726230
2025/11/03,22.11,22.6,21.95,22.49,22.11,1.72,0.38,1.9200818E7,866407
2025/11/02,22.05,22.44,21.9,22.11,22.05,-0.14,-0.03,5562078.0,251762
2025/10/30,22.3,22.52,22.05,22.05,22.3,-1.12,-0.25,1.3195334E7,590107
2025/10/29,22.07,22.43,21.81,22.3,22.07,1.04,0.23,1.4228687E7,641271
2025/10/28,22.29,22.39,22.03,22.07,22.29,-0.99,-0.22,5205172.0,234721
2025/10/27,22.34,22.49,22.2,22.29,22.34,-0.22,-0.05,4597255.5,206012
2025/10/26,22.26,22.5,22.24,22.34,22.26,0.36,0.08,8693296.0,388223
2025/10/23,22.3,22.39,22.2,22.26,22.3,-0.18,-0.04,3684787.25,165409
2025/10/22,22.33,22.38,22.16,22.3,22.33,-0.13,-0.03,2.2740958E7,1020187
2025/10/21,22.39,22.49,22.24,22.33,22.39,-0.27,-0.06,2152566.25,96419
2025/10/20,22.6,22.6,22.11,22.39,22.6,-0.93,-0.21,8710664.0,388482
2025/10/19,22.39,22.6,22.26,22.6,22.39,0.94,0.21,6519490.0,291276
2025/10/16,22.4,22.5,22.3,22.39,22.4,-0.04,-0.01,4873793.0,217803
2025/10/15,22.33,22.4,22.0,22.4,22.33,0.31,0.07,1.1167977E7,503576
2025/10/14,22.75,22.95,22.3,22.33,22.75,-1.85,-0.42,5295024.5,235515
2025/10/13,22.99,23.29,22.7,22.75,22.99,-1.04,-0.24,2.1352188E7,936756
2025/10/12,22.47,23.18,22.35,22.99,22.47,2.36,0.53,1.2337888E7,539333
2025/10/08,22.66,23.59,22.41,22.47,22.66,-0.84,-0.19,2.175208E7,946211
2025/10/07,22.4,22.74,22.13,22.66,22.4,1.25,0.28,8400262.0,372347
2025/10/06,22.0,22.4,21.72,22.4,22.0,1.82,0.4,1.1306769E7,511193
2025/10/05,21.57,22.05,21.6,22.0,21.57,1.99,0.43,9355604.0,427285
2025/10/02,21.4,22.01,21.21,21.57,21.4,0.79,0.17,1.1471373E7,530712
2025/10/01,21.49,21.58,21.25,21.4,21.49,-0.42,-0.09,2952318.75,137671
2025/09/30,21.45,21.53,21.25,21.49,21.45,0.19,0.04,4515970.5,211054
2025/09/29,21.6,21.6,21.0,21.45,21.6,-0.69,-0.15,8278672.5,387052
2025/09/28,21.81,21.9,21.43,21.6,21.81,-0.96,-0.21,3373100.75,156214
2025/09/25,21.52,21.88,21.12,21.81,21.52,1.35,0.29,1.1759854E7,545928
2025/09/24,20.71,22.8,20.84,21.52,20.71,3.91,0.81,4.337436E7,1989590
2025/09/23,19.98,21.0,20.12,20.71,19.98,3.65,0.73,1.5103909E7,726989
2025/09/22,19.59,20.16,19.64,19.98,19.59,1.99,0.39,9565594.0,483373
2025/09/21,19.87,19.92,19.55,19.59,19.87,-1.41,-0.28,1738401.0,88360
2025/09/18,19.88,19.9,19.5,19.87,19.88,0.0,0.0,1692447.75,85678
2025/09/17,19.82,19.96,19.6,19.88,19.82,-0.05,-0.01,1100610.0,55613
2025/09/16,20.4,20.49,19.35,19.82,20.4,-3.63,-0.74,3260802.75,163482
2025/09/15,20.47,20.65,20.16,20.4,20.47,-0.34,-0.07,4463277.0,218699
2025/09/14,20.47,20.88,20.44,20.47,20.47,0.0,0.0,4042836.75,196089
2025/09/11,19.99,20.89,20.01,20.47,19.99,2.4,0.48,1.2043542E7,585346
2025/09/10,19.99,20.14,19.83,19.99,19.99,0.0,0.0,3885373.75,194165
2025/09/09,19.58,20.28,19.65,19.99,19.58,2.09,0.41,1.8152114E7,908322
2025/09/08,19.28,19.89,19.05,19.58,19.28,1.56,0.3,1.1179654E7,576355
2025/09/07,19.43,19.64,19.08,19.28,19.43,-0.77,-0.15,3842293.5,198186
2025/09/03,19.96,20.05,19.3,19.43,19.96,-2.66,-0.53,5313591.0,270835
2025/09/02,19.96,20.12,19.94,19.96,19.96,0.0,0.0,2.1377692E7,1068861
2025/09/01,19.89,20.09,19.8,19.96,19.89,0.35,0.07,2148247.0,107818
2025/08/31,20.0,20.33,19.84,19.89,20.0,-0.55,-0.11,2961403.5,147759
2025/08/28,19.97,20.17,19.95,20.0,19.97,0.15,0.03,1.1654865E7,582588
2025/08/27,20.73,20.88,19.92,19.97,20.73,-3.67,-0.76,1.7965808E7,893932
2025/08/26,21.09,21.2,20.7,20.73,21.09,-1.85,-0.39,1.5017046E7,717685
2025/08/25,21.31,21.65,21.0,21.09,21.31,-1.03,-0.22,4886473.5,230941
2025/08/24,21.46,21.7,21.24,21.31,21.46,-0.7,-0.15,4058658.25,189433
2025/08/21,21.52,21.79,21.21,21.46,21.52,-0.28,-0.06,3.8449852E7,1788834
2025/08/20,21.71,21.9,21.51,21.52,21.71,-0.92,-0.2,4656145.0,215203
2025/08/19,21.94,21.98,21.66,21.71,21.94,-1.05,-0.23,2972347.0,136610
2025/08/18,21.84,22.33,21.85,21.94,21.84,0.46,0.1,3731826.25,169635
2025/08/17,21.54,21.92,21.45,21.84,21.54,1.39,0.3,4027675.75,186104
2025/08/14,21.65,21.69,21.5,21.54,21.65,-0.51,-0.11,9725024.0,451964
2025/08/13,21.78,21.75,21.55,21.65,21.78,-0.6,-0.13,8603690.0,397410
2025/08/12,22.11,22.18,21.5,21.78,22.11,-2.08,-0.46,5.5219216E7,2506917
2025/08/11,22.4,22.55,21.85,22.11,22.4,-1.29,-0.29,8512114.0,385341
2025/08/10,22.68,22.75,22.32,22.4,22.68,-1.23,-0.28,3415992.75,152125
2025/08/07,22.6,22.9,22.44,22.68,22.6,0.35,0.08,1.4161397E7,625200
2025/08/06,21.57,23.0,21.5,22.6,21.57,4.78,1.03,6.445952E7,2876310
2025/08/05,21.05,21.66,21.06,21.57,21.05,2.47,0.52,1.1577872E7,542810
2025/08/04,21.19,21.4,21.02,21.05,21.19,-0.76,-0.16,1.1777351E7,556951
2025/08/03,21.29,21.4,20.93,21.19,21.29,-0.47,-0.1,8586554.0,406629
2025/07/31,21.06,21.4,20.7,21.29,21.06,1.09,0.23,1.2279549E7,582211
2025/07/30,21.0,22.0,21.0,21.06,21.0,0.0,0.06,2.3132166E7,1068485
2025/07/29,20.8,21.28,20.8,21.0,20.8,0.96,0.2,1.4064089E7,668249
2025/07/28,21.28,21.45,20.55,20.8,21.28,-2.26,-0.48,9621157.0,456307
2025/07/27,21.07,21.35,20.55,21.28,21.07,1.09,0.23,9592954.0,454792
2025/07/23,21.66,21.74,21.0,21.07,21.66,-2.72,-0.59,6941503.0,327601
2025/07/22,21.88,21.95,21.4,21.66,21.88,-1.01,-0.22,1.9057916E7,880415
2025/07/21,21.76,21.99,21.75,21.88,21.76,0.55,0.12,1.1280884E7,515325
2025/07/20,21.86,22.28,21.65,21.76,21.86,-0.46,-0.1,9032876.0,412277
2025/07/17,21.7,22.3,21.61,21.86,21.7,0.74,0.16,1.0127229E7,461542
2025/07/16,21.79,21.99,21.6,21.7,21.79,-0.41,-0.09,4017970.25,184985
2025/07/15,21.9,22.25,21.0,21.79,21.9,-0.5,-0.11,8992407.0,410720
2025/07/14,22.05,22.39,21.87,21.9,22.05,-0.68,-0.15,7244414.5,328694
2025/07/13,22.56,22.76,22.0,22.05,22.56,-2.26,-0.51,4320221.5,194238
2025/07/07,21.6,22.7,21.61,22.5,21.6,4.17,0.9,3.2903602E7,1478736
2025/07/06,22.03,22.29,21.5,21.6,22.03,-1.95,-0.43,2.0568538E7,943217
2025/07/02,22.5,22.73,22.03,22.03,22.5,-2.09,-0.47,1.9377032E7,870720
2025/07/01,24.69,23.3,22.5,22.5,24.69,-8.87,-2.19,1.7885638E7,782916
2025/06/30,22.42,24.8,21.86,24.69,22.42,10.12,2.27,2.4666704E7,1090097
2025/06/29,22.3,23.78,21.86,22.42,22.3,0.54,0.12,5.2307844E7,2284075
2025/06/25,21.95,22.3,21.41,22.3,21.95,1.59,0.35,2.8035142E7,1279297
2025/06/24,22.02,22.47,21.21,21.95,22.02,-0.32,-0.07,2.9884172E7,1380090
2025/06/23,19.75,23.19,19.0,22.02,19.75,11.49,2.27,9.1345832E7,4176987
2025/06/22,18.53,19.75,18.25,19.75,18.53,6.58,1.22,7497365.5,388328
2025/06/19,19.1,19.5,18.4,18.53,19.1,-2.98,-0.57,5248357.5,278514
2025/06/18,18.4,19.18,18.02,19.1,18.4,3.97,0.73,2.0506064E7,1090619
2025/06/17,18.55,18.57,18.3,18.4,18.55,-0.32,-0.06,4259649.5,230938
2025/06/16,18.03,18.85,18.1,18.55,18.03,2.88,0.52,4900960.0,265068
2025/06/15,18.56,18.25,17.51,18.03,18.56,-2.86,-0.53,3747436.0,209704
2025/06/12,18.8,18.8,18.5,18.56,18.8,-1.28,-0.24,1.4228359E7,766079
2025/06/11,18.76,19.01,18.6,18.8,18.76,0.21,0.04,1.8944804E7,999076
2025/06/10,18.76,18.78,18.3,18.76,18.76,0.0,0.0,3456484.5,184961
2025/06/04,18.09,18.76,18.12,18.76,18.09,3.7,0.67,9821772.0,532589
2025/06/03,18.7,18.7,18.05,18.09,18.7,-3.26,-0.61,1.4300759E7,781550
2025/06/02,18.35,18.7,18.0,18.7,18.35,1.91,0.35,1.0156603E7,551274
2025/06/01,18.77,18.69,18.22,18.35,18.77,-2.24,-0.42,2.9871402E7,1630685
2025/05/29,18.14,18.77,18.0,18.77,18.14,3.47,0.63,8204147.0,448615
2025/05/28,18.64,18.7,18.1,18.14,18.64,-2.68,-0.5,3076223.0,167360
2025/05/27,18.05,19.0,18.1,18.64,18.05,3.27,0.59,6819584.0,366022
2025/05/26,18.23,18.58,18.0,18.05,18.23,-0.99,-0.18,4203012.0,230895
2025/05/25,18.59,19.0,18.1,18.23,18.59,-2.21,-0.41,5426612.5,295403
2025/05/22,18.0,18.7,18.04,18.59,18.0,3.28,0.59,6.744956E7,3663354
2025/05/21,17.97,18.1,17.9,18.0,17.97,0.28,0.05,4346255.0,241362
2025/05/20,18.01,18.09,17.9,17.97,18.01,-0.06,-0.01,1171708.5,65154
2025/05/19,17.99,18.05,17.75,18.01,17.99,0.28,0.05,7340558.0,408059
2025/05/18,18.1,18.2,17.88,17.99,18.1,-1.22,-0.22,752977.06,41729
2025/05/15,17.99,18.25,18.0,18.1,17.99,0.61,0.11,1.0790404E7,598438
2025/05/14,18.0,18.19,17.9,17.99,18.0,0.06,0.01,1548670.63,85904
2025/05/08,17.88,18.04,17.7,17.81,17.88,0.28,0.05,1.0502567E7,592516
2025/05/07,18.4,18.4,17.84,17.88,18.4,-2.83,-0.52,1.7393904E7,966193
2025/05/06,18.7,18.79,18.4,18.4,18.7,-1.6,-0.3,2912188.25,157516
2025/05/05,19.02,18.99,18.21,18.7,19.02,-1.68,-0.32,4.0073872E7,2155229
2025/05/04,19.0,19.1,18.38,19.02,19.0,0.11,0.02,9941657.0,526459
2025/04/30,18.5,19.18,18.37,19.0,18.5,2.7,0.5,1.867789E7,987074
2025/04/29,17.21,18.5,17.2,18.5,17.21,7.5,1.29,2.4188072E7,1336255
2025/04/28,17.09,17.24,17.05,17.21,17.09,0.7,0.12,3314785.25,193299
2025/04/27,17.0,17.14,16.81,17.09,17.0,0.76,0.13,2567134.75,150770
2025/04/23,16.89,17.0,16.75,17.0,16.89,0.65,0.11,4274768.5,252916
2025/04/22,16.79,16.92,16.7,16.89,16.79,0.6,0.1,2867348.25,170282
2025/04/17,16.65,16.8,16.51,16.79,16.65,0.84,0.14,3719379.75,222842
2025/04/16,16.7,16.74,16.55,16.65,16.7,-0.3,-0.05,4317043.0,259714
2025/04/15,16.6,16.82,16.5,16.7,16.6,0.6,0.1,7171570.5,430574
2025/04/14,16.96,16.95,16.5,16.6,16.96,-2.12,-0.36,4200458.5,251808
2025/04/13,16.5,16.97,16.57,16.96,16.5,2.79,0.46,9756167.0,580781
2025/04/10,15.91,16.97,16.1,16.5,15.91,3.71,0.59,1.8362764E7,1119616
2025/04/09,16.75,16.79,15.82,15.91,16.75,-5.01,-0.84,4818083.5,293831
