«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,420.0,421.25,408.01,409.0,420.0,-2.62,-11.0,1.58054E8,382955
2026/01/12,423.0,426.49,418.5,420.0,423.0,-0.71,-3.0,1.42744144E8,337386
2026/01/11,420.01,425.98,420.0,423.0,420.01,0.71,2.99,7.1319144E7,168992
2026/01/08,430.25,435.0,420.01,420.01,430.25,-2.38,-10.24,1.49570016E8,351253
2026/01/06,420.92,434.45,421.0,430.25,420.92,2.22,9.33,1.65783296E8,385717
2026/01/05,420.01,423.0,417.0,420.92,420.01,0.22,0.91,1.22107704E8,290984
2026/01/04,430.0,437.0,419.8,420.01,430.0,-2.32,-9.99,5.5782144E7,131249
2025/12/31,429.73,433.0,425.49,430.0,429.73,0.06,0.27,1.11898008E8,261772
2025/12/30,431.11,435.0,425.05,429.73,431.11,-0.32,-1.38,6.449136E7,150503
2025/12/29,437.99,441.0,430.3,431.11,437.99,-1.57,-6.88,5.7317192E7,132485
2025/12/28,433.0,441.0,435.0,437.99,433.0,1.15,4.99,8.4773544E7,193182
2025/12/25,420.15,436.0,420.15,433.0,420.15,3.06,12.85,8.1721936E7,190324
2025/12/24,425.5,427.54,420.01,420.15,425.5,-1.26,-5.35,6.0004424E7,141721
2025/12/23,428.5,429.96,417.11,425.5,428.5,-0.7,-3.0,1.04226632E8,246429
2025/12/22,430.0,433.0,427.0,428.5,430.0,-0.35,-1.5,8.1293688E7,189827
2025/12/21,433.0,435.49,425.8,430.0,433.0,-0.69,-3.0,9.734836E7,226707
2025/12/18,436.99,439.45,431.05,433.0,436.99,-0.91,-3.99,1.32262296E8,304203
2025/12/17,436.1,443.7,436.0,436.99,436.1,0.2,0.89,4.862438E7,110985
