«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2021/11/17,11.49,11.0,10.51,10.89,11.49,-8.53,-0.98,32078.95,2945
2021/11/15,11.81,11.5,10.31,11.49,11.81,-2.62,-0.31,23257.75,2025
2021/11/10,11.51,12.0,11.4,11.81,11.51,4.26,0.49,3460.2,293
2021/11/08,11.6,12.49,10.25,11.51,11.6,-1.72,-0.2,24084.4,2093
2021/11/03,11.14,11.6,11.6,11.6,11.14,4.13,0.46,17400.0,1500
2021/11/01,11.97,11.5,11.11,11.14,11.97,-7.18,-0.86,40535.1,3640
2021/10/27,12.0,12.5,11.7,11.97,12.0,4.17,0.5,17950.0,1500
2021/10/25,11.97,12.0,12.0,12.0,11.97,0.25,0.03,19200.0,1600
2021/10/20,12.9,12.12,10.32,11.97,12.9,-6.98,-0.9,26338.0,2200
2021/10/18,12.9,12.06,12.06,12.9,12.9,-6.51,-0.84,301.5,25
2021/10/13,12.9,13.02,13.02,12.9,12.9,0.93,0.12,325.5,25
2021/10/06,14.5,13.0,12.42,12.9,14.5,-10.34,-1.5,3121.64,242
2021/10/04,14.41,14.5,14.5,14.5,14.41,0.62,0.09,14500.0,1000
2021/09/29,14.4,14.44,14.4,14.41,14.4,0.0,0.0,13470.0,935
2021/09/27,14.4,15.45,13.7,14.4,14.4,7.29,1.05,409.85,28
2021/09/22,14.99,14.4,14.4,14.4,14.99,-3.94,-0.59,8452.8,587
2021/09/20,14.75,15.0,13.21,14.99,14.75,1.69,0.25,19632.1,1310
2021/09/15,14.31,15.0,14.44,14.75,14.31,4.82,0.69,14928.56,1012
2021/09/13,13.87,14.32,14.3,14.31,13.87,3.24,0.45,3134.88,219
2021/09/08,16.19,17.0,12.1,13.87,16.19,5.0,0.81,32229.5,2324
2021/09/06,15.1,17.77,15.0,16.19,15.1,17.68,2.67,16870.11,1042
2021/09/01,15.47,15.1,15.1,15.1,15.47,-2.39,-0.37,1510.0,100
2021/08/30,15.34,15.52,15.0,15.47,15.34,1.17,0.18,17571.74,1136
2021/08/23,15.68,15.41,15.22,15.34,15.68,-2.3,-0.36,37623.57,2452
2021/08/18,15.75,15.75,15.22,15.68,15.75,-3.37,-0.53,17908.59,1142
2021/08/16,15.87,15.75,15.75,15.75,15.87,-0.76,-0.12,7875.0,500
2021/08/11,16.93,16.94,15.15,15.87,16.93,-6.97,-1.18,9919.65,625
2021/08/09,15.2,17.65,15.21,16.93,15.2,15.79,2.4,4232.9,250
2021/08/04,15.21,15.2,15.2,15.2,15.21,-0.07,-0.01,16552.8,1089
2021/08/02,15.94,15.25,15.2,15.21,15.94,-4.64,-0.74,7772.2,511
2021/07/28,16.18,16.11,15.01,15.94,16.18,-7.23,-1.17,62982.9,3951
2021/07/26,16.0,16.21,16.0,16.18,16.0,0.0,0.0,28115.4,1738
2021/07/14,16.0,16.01,16.0,16.0,16.0,0.0,0.0,35591.5,2224
2021/07/12,15.92,16.0,16.0,16.0,15.92,0.5,0.08,3280.0,205
2021/07/05,16.2,16.0,15.2,15.92,16.2,-1.23,-0.2,8180.8,514
2021/06/30,16.2,16.2,16.2,16.2,16.2,0.0,0.0,2673.0,165
2021/06/28,16.24,16.21,16.2,16.2,16.24,-0.25,-0.04,16849.0,1040
2021/06/23,15.77,16.5,16.2,16.24,15.77,2.73,0.43,3312.3,204
2021/06/16,15.77,15.8,15.05,15.77,15.77,0.19,0.03,466.5,30
2021/06/07,19.39,16.0,15.0,15.77,19.39,-17.48,-3.39,1719.0,109
2021/06/02,19.0,19.41,19.35,19.39,19.0,2.16,0.41,3626.67,187
2021/05/31,19.0,17.0,16.0,19.0,19.0,-10.53,-2.0,1386.0,83
2021/05/26,19.0,19.0,19.0,19.0,19.0,0.0,0.0,3420.0,180
2021/05/24,15.17,19.0,19.0,19.0,15.17,25.25,3.83,1957.0,103
2021/05/10,19.0,15.17,15.17,15.17,19.0,-20.16,-3.83,3944.2,260
2021/05/05,17.09,19.0,19.0,19.0,17.09,11.18,1.91,69958.0,3682
2021/04/28,18.45,20.0,16.5,17.09,18.45,-7.37,-1.36,13265.5,776
2021/04/21,18.88,18.45,18.45,18.45,18.88,-2.28,-0.43,22140.0,1200
