«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,23.81,24.09,23.0,23.1,23.81,-2.98,-0.71,7.6095616E7,3254842
2026/01/12,23.8,24.35,23.8,23.81,23.8,0.04,0.01,1.29601768E8,5385419
2026/01/11,23.3,23.9,23.29,23.8,23.3,2.15,0.5,8.2940152E7,3523616
2026/01/08,23.79,23.98,23.28,23.3,23.79,-2.06,-0.49,7.0900544E7,3026754
2026/01/06,23.05,23.92,23.18,23.79,23.05,3.21,0.74,3.7368936E7,1577644
2026/01/05,24.06,24.27,23.04,23.05,24.06,-4.2,-1.01,1.03573368E8,4412543
2026/01/04,25.4,25.65,24.0,24.06,25.4,-5.28,-1.34,9.3353048E7,3792841
2025/12/31,25.3,25.44,25.13,25.4,25.3,0.4,0.1,2.8849162E7,1141999
2025/12/30,25.22,25.38,25.15,25.3,25.22,0.32,0.08,2.6604618E7,1054398
2025/12/29,25.39,25.91,25.18,25.22,25.39,-0.67,-0.17,8.5166144E7,3340990
2025/12/28,25.41,25.47,25.13,25.39,25.41,-0.08,-0.02,2.264766E7,897288
2025/12/25,25.31,25.45,25.1,25.41,25.31,0.4,0.1,1.7414412E7,689297
2025/12/24,25.32,25.49,25.15,25.31,25.32,-0.04,-0.01,1.8247064E7,720684
2025/12/23,25.4,25.4,25.0,25.32,25.4,-0.31,-0.08,3.43683E7,1366730
2025/12/22,25.48,25.54,25.1,25.4,25.48,-0.31,-0.08,1.6731108E7,662235
2025/12/21,25.3,25.48,25.0,25.48,25.3,0.71,0.18,3.7981956E7,1508155
2025/12/18,25.3,25.6,25.0,25.3,25.3,0.0,0.0,5.8092812E7,2315761
2025/12/17,26.19,26.38,25.25,25.3,26.19,-3.4,-0.89,4.05714E7,1575865
2025/12/16,26.0,26.5,25.9,26.19,26.0,0.73,0.19,8.1904752E7,3123696
2025/12/15,25.82,26.24,25.65,26.0,25.82,0.7,0.18,1.1682204E8,4486585
2025/12/14,25.69,26.0,25.46,25.82,25.69,0.51,0.13,3.4160064E7,1333283
2025/12/11,25.46,25.72,25.44,25.69,25.46,0.9,0.23,3.1833858E7,1242402
2025/12/10,25.61,25.73,25.41,25.46,25.61,-0.59,-0.15,2.1478266E7,842188
2025/12/09,25.42,25.69,25.11,25.61,25.42,0.75,0.19,4.554358E7,1788903
2025/12/08,25.22,25.9,25.25,25.42,25.22,0.79,0.2,1.27005904E8,4970477
2025/12/07,24.9,25.45,24.95,25.22,24.9,1.29,0.32,6.0178264E7,2386119
2025/12/04,25.04,25.29,24.87,24.9,25.04,-0.56,-0.14,3.5119784E7,1402760
2025/12/03,25.2,25.47,24.9,25.04,25.2,-0.63,-0.16,5.6008224E7,2234371
2025/12/02,25.2,25.58,25.2,25.2,25.2,0.0,0.0,1.4109336E7,558192
2025/12/01,25.2,25.98,25.03,25.2,25.2,0.0,0.0,1.02029544E8,3977405
2025/11/30,25.01,25.36,24.9,25.2,25.01,0.76,0.19,4.5866484E7,1833565
2025/11/27,25.06,25.4,24.95,25.01,25.06,-0.2,-0.05,2.0130996E7,800996
2025/11/26,25.9,26.0,25.06,25.06,25.9,-3.24,-0.84,4.033884E7,1571881
2025/11/25,24.99,26.0,24.82,25.9,24.99,3.64,0.91,1.58976576E8,6182587
2025/11/24,25.39,25.47,24.7,24.99,25.39,-1.58,-0.4,8.80212E7,3519290
2025/11/23,24.9,25.5,24.85,25.39,24.9,1.97,0.49,4.9545316E7,1966810
2025/11/20,25.4,25.7,24.9,24.9,25.4,-1.97,-0.5,3.6961916E7,1475041
2025/11/19,25.18,25.4,24.93,25.4,25.18,0.87,0.22,3.9036924E7,1552194
2025/11/18,25.45,25.8,24.72,25.18,25.45,-1.06,-0.27,6.9932592E7,2771543
2025/11/17,24.77,25.7,24.8,25.45,24.77,2.75,0.68,8.8131888E7,3480993
2025/11/16,25.02,25.5,24.7,24.77,25.02,-1.0,-0.25,4.9247648E7,1971813
2025/11/13,25.61,26.0,24.77,25.02,25.61,-2.3,-0.59,6.0059672E7,2372908
2025/11/12,25.66,26.29,25.5,25.61,25.66,-0.19,-0.05,4.4811596E7,1731809
2025/11/11,26.8,26.89,25.64,25.66,26.8,-4.25,-1.14,1.09737496E8,4188242
2025/11/10,26.5,27.14,26.51,26.8,26.5,1.13,0.3,1.95311728E8,7252423
2025/11/09,25.75,26.5,25.36,26.5,25.75,2.91,0.75,7.2401568E7,2758729
2025/11/06,26.0,26.6,25.63,25.75,26.0,-0.96,-0.25,8.0286992E7,3099393
2025/11/05,26.4,26.79,25.71,26.0,26.4,-1.52,-0.4,1.28912096E8,4909335
2025/11/04,25.28,26.49,25.25,26.4,25.28,4.43,1.12,2.68947552E8,10356613
