«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,22.9,22.99,22.5,22.5,22.9,-1.75,-0.4,9365298.0,413599
2026/01/12,23.0,23.1,22.82,22.9,23.0,-0.61,-0.14,1.5703483E7,685143
2026/01/11,22.97,23.11,22.75,23.0,22.97,0.13,0.03,1.7503476E7,762820
2026/01/08,22.7,22.97,22.57,22.97,22.7,1.19,0.27,1.3713537E7,602754
2026/01/06,22.61,22.79,22.57,22.7,22.61,0.4,0.09,1.6451713E7,725493
2026/01/05,22.9,22.9,22.44,22.61,22.9,-1.27,-0.29,2.2589104E7,1000730
2026/01/04,23.25,23.44,22.75,22.9,23.25,-1.51,-0.35,2.1688282E7,942597
2025/12/31,23.65,23.7,23.25,23.25,23.65,-1.69,-0.4,1.6191202E7,693214
2025/12/30,23.42,23.65,23.22,23.65,23.42,0.98,0.23,1.0769814E7,459187
2025/12/29,23.7,23.79,23.42,23.42,23.7,-1.18,-0.28,9648465.0,409864
2025/12/28,23.4,23.9,23.41,23.7,23.4,1.28,0.3,4.613996E7,1945592
2025/12/25,23.25,23.4,22.93,23.4,23.25,0.65,0.15,1.8744592E7,807212
2025/12/24,23.1,23.3,23.0,23.25,23.1,0.65,0.15,1.7571208E7,757584
2025/12/23,22.6,23.14,22.43,23.1,22.6,2.21,0.5,2.1313354E7,933632
2025/12/22,22.75,22.92,22.56,22.6,22.75,-0.66,-0.15,2.140788E7,944005
2025/12/21,22.9,22.99,22.71,22.75,22.9,-0.66,-0.15,7344060.5,321995
2025/12/18,22.98,23.08,22.86,22.9,22.98,-0.35,-0.08,6960847.0,303448
2025/12/17,23.28,23.1,22.93,22.98,23.28,-1.29,-0.3,7811098.0,339442
2025/12/16,22.91,23.28,22.81,23.28,22.91,1.62,0.37,2.429116E7,1058086
2025/12/15,23.27,23.27,22.91,22.91,23.27,-1.55,-0.36,2.2910624E7,996339
2025/12/14,23.45,23.45,22.9,23.27,23.45,-0.77,-0.18,2.2662578E7,980252
2025/12/11,23.5,23.65,23.0,23.45,23.5,-0.21,-0.05,3.3759628E7,1452750
2025/12/10,23.64,23.75,23.28,23.5,23.64,-0.59,-0.14,2.1232676E7,906241
2025/12/09,23.3,23.64,23.16,23.64,23.3,1.46,0.34,4.7825664E7,2037115
2025/12/08,22.79,23.3,22.6,23.3,22.79,2.24,0.51,4.0660856E7,1772616
2025/12/07,22.82,22.98,22.28,22.79,22.82,-0.13,-0.03,3.2611002E7,1447148
2025/12/04,23.3,23.39,22.82,22.82,23.3,-2.06,-0.48,3.7516856E7,1630657
2025/12/03,22.92,23.3,22.81,23.3,22.92,1.66,0.38,2.4583758E7,1063739
2025/12/02,22.79,23.05,22.75,22.92,22.79,0.57,0.13,2.2434098E7,981646
2025/12/01,22.79,23.11,22.6,22.79,22.79,0.48,0.11,3.4213832E7,1492505
2025/11/30,22.0,22.79,22.06,22.79,22.0,3.59,0.79,3.631378E7,1611913
2025/11/27,22.03,22.17,21.91,22.0,22.03,-0.14,-0.03,1.0473102E7,475446
2025/11/26,22.08,22.3,22.01,22.03,22.08,-0.23,-0.05,7744563.5,349858
2025/11/25,22.34,22.49,22.05,22.08,22.34,-1.16,-0.26,1.5411114E7,693591
2025/11/24,22.3,22.46,22.22,22.34,22.3,0.18,0.04,2.6628262E7,1190732
2025/11/23,22.8,22.88,22.3,22.3,22.8,-2.19,-0.5,7.5564112E7,3358388
2025/11/20,23.14,23.34,22.72,22.8,23.14,-1.47,-0.34,3.1270712E7,1356177
2025/11/19,23.6,23.69,23.01,23.14,23.6,-1.95,-0.46,5.05351E7,2172062
2025/11/18,23.73,24.0,23.16,23.6,23.73,-0.55,-0.13,4.135138E7,1755246
2025/11/17,23.69,23.94,23.35,23.73,23.69,0.17,0.04,4.6541692E7,1972233
2025/11/16,24.26,24.4,23.69,23.69,24.26,-2.35,-0.57,4.7132868E7,1969579
2025/11/13,24.53,24.74,24.2,24.26,24.53,-1.1,-0.27,4.2462556E7,1734120
2025/11/12,24.74,24.9,24.46,24.53,24.74,-0.85,-0.21,3.4824884E7,1408008
2025/11/11,24.92,25.11,24.66,24.74,24.92,-0.72,-0.18,5.330398E7,2141351
2025/11/10,24.5,24.95,24.4,24.92,24.5,1.71,0.42,9.35836E7,3784394
2025/11/09,24.25,24.54,24.1,24.5,24.25,1.03,0.25,5.3382732E7,2189791
2025/11/06,24.12,24.3,23.82,24.25,24.12,0.54,0.13,4.2448368E7,1763285
2025/11/05,24.2,24.75,23.95,24.12,24.2,-0.33,-0.08,1.12631016E8,4602835
2025/11/04,23.62,24.35,23.69,24.2,23.62,2.46,0.58,7.4054E7,3081319
2025/11/03,23.45,23.9,23.32,23.62,23.45,0.72,0.17,2.4796654E7,1050420
2025/11/02,23.9,23.97,23.3,23.45,23.9,-1.88,-0.45,2.4456166E7,1039848
2025/10/30,24.0,24.17,23.8,23.9,24.0,-0.42,-0.1,4.26585E7,1781994
2025/10/29,23.65,24.28,23.41,24.0,23.65,1.48,0.35,5.607534E7,2351056
2025/10/28,23.96,24.1,23.54,23.65,23.96,-1.29,-0.31,2.8354812E7,1191590
2025/10/27,24.03,24.27,23.88,23.96,24.03,-0.29,-0.07,4.2767116E7,1783341
2025/10/26,23.81,24.5,23.9,24.03,23.81,0.92,0.22,6.1838756E7,2550785
2025/10/23,24.0,24.22,23.81,23.81,24.0,-0.79,-0.19,4.11587E7,1714381
2025/10/22,23.19,24.05,23.19,24.0,23.19,3.49,0.81,8.9391632E7,3751129
2025/10/21,23.3,23.45,23.15,23.19,23.3,-0.47,-0.11,1.1378141E7,489384
2025/10/20,23.45,23.54,23.3,23.3,23.45,-0.64,-0.15,2.321618E7,991977
2025/10/19,23.53,23.71,23.4,23.45,23.53,-0.34,-0.08,4.2728632E7,1814341
2025/10/16,23.63,23.99,23.5,23.53,23.63,-0.42,-0.1,6.7456624E7,2843991
2025/10/15,23.17,23.7,23.1,23.63,23.17,1.99,0.46,5.2629724E7,2251768
2025/10/14,22.89,23.47,22.92,23.17,22.89,1.22,0.28,5.8306292E7,2503338
2025/10/13,22.02,23.13,22.04,22.89,22.02,3.95,0.87,7.3714192E7,3225725
2025/10/12,22.35,22.29,21.93,22.02,22.35,-1.48,-0.33,1.5851715E7,718254
2025/10/08,22.3,22.6,22.3,22.35,22.3,0.22,0.05,3.2200368E7,1435051
2025/10/07,21.92,22.35,21.9,22.3,21.92,1.73,0.38,2.2921432E7,1033579
2025/10/06,21.94,22.09,21.76,21.92,21.94,-0.09,-0.02,1.1485845E7,523522
2025/10/05,21.58,22.11,21.55,21.94,21.58,1.67,0.36,1.86293E7,850880
2025/10/02,21.85,21.99,21.51,21.58,21.85,-1.24,-0.27,2.3359648E7,1077361
2025/10/01,22.05,22.4,21.81,21.85,22.05,-0.91,-0.2,3.3098778E7,1499859
2025/09/30,21.5,22.2,21.5,22.05,21.5,2.56,0.55,3.745962E7,1704897
2025/09/29,21.31,21.5,21.09,21.5,21.31,0.89,0.19,2.535463E7,1191469
2025/09/28,21.33,21.55,21.3,21.31,21.33,0.33,0.07,6539298.5,305757
2025/09/25,21.4,21.55,21.3,21.33,21.4,-0.33,-0.07,8593528.0,400935
2025/09/24,21.05,21.4,21.01,21.4,21.05,1.66,0.35,1.2329073E7,582753
2025/09/23,21.32,21.45,21.02,21.05,21.32,-1.27,-0.27,5627476.5,266041
2025/09/22,21.1,21.44,20.98,21.32,21.1,1.04,0.22,5555947.5,262482
