«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/12,71.7,74.02,71.6,72.0,71.7,0.42,0.3,14969.52,208
2026/01/05,70.13,71.7,71.7,70.13,70.13,2.24,1.57,71.7,1
2025/12/31,70.0,75.0,70.12,70.0,70.0,0.19,0.13,5154.35,71
2025/12/29,70.0,72.0,70.0,70.0,70.0,0.0,0.0,266552.0,3795
2025/12/24,70.0,70.0,70.0,70.0,70.0,0.0,0.0,84980.0,1214
2025/12/17,70.51,71.0,70.0,70.0,70.51,-0.72,-0.51,37111.66,528
2025/12/15,70.5,71.0,70.51,70.51,70.5,0.01,0.01,14790.0,209
2025/12/10,70.5,71.0,70.5,70.5,70.5,0.0,0.0,10169.5,144
2025/12/08,72.98,72.98,70.5,70.5,72.98,-3.4,-2.48,7798.94,107
2025/12/03,70.1,72.98,70.95,72.98,70.1,4.11,2.88,33753.06,474
2025/12/01,70.1,71.5,70.1,70.1,70.1,0.0,0.0,6278.2,89
2025/11/26,70.0,70.1,70.0,70.1,70.0,0.14,0.1,42940.1,613
2025/11/24,70.01,79.0,70.0,70.0,70.01,-0.01,-0.01,508556.38,7252
2025/11/19,72.98,73.0,70.0,70.01,72.98,-4.07,-2.97,34983.46,493
2025/11/17,72.5,73.0,72.5,72.98,72.5,0.66,0.48,9536.9,131
2025/11/12,86.87,87.0,71.7,72.5,86.87,-16.540001,-14.37,46535.76,632
2025/11/10,78.03,87.0,77.0,78.03,78.03,11.33,8.84,3046.4,36
2025/11/05,69.03,88.0,71.0,78.03,69.03,13.04,9.0,19388.58,254
2025/11/03,79.12,88.5,66.0,69.03,79.12,-12.75,-10.09,38900.94,502
2025/10/29,78.42,79.12,79.02,78.42,78.42,0.89,0.7,4584.36,58
2025/10/27,78.0,90.0,78.42,78.42,78.0,0.54,0.42,31373.42,350
2025/10/22,90.0,90.0,77.5,78.0,90.0,-13.33,-12.0,17238.11,210
2025/10/20,77.5,90.0,78.0,90.0,77.5,16.129999,12.5,13083.0,150
2025/10/15,80.0,80.0,77.03,80.0,80.0,-3.13,-2.5,6947.31,89
2025/10/13,76.0,83.0,77.0,80.0,76.0,5.26,4.0,21551.0,271
2025/10/08,75.6,76.0,75.56,75.6,75.6,0.53,0.4,833.36,11
2025/10/06,76.0,76.0,75.6,76.0,76.0,-0.53,-0.4,909.6,12
2025/10/01,75.56,82.77,75.6,76.0,75.56,0.58,0.44,53027.48,656
2025/09/29,75.53,75.56,75.53,75.56,75.53,0.04,0.03,9218.26,122
2025/09/24,86.0,86.0,75.01,75.53,86.0,-12.17,-10.47,9488.53,121
2025/09/22,73.02,86.0,75.02,86.0,73.02,17.780001,12.98,8823.7,108
2025/09/15,80.0,80.0,73.02,80.0,80.0,-8.73,-6.98,5634.36,72
2025/09/10,65.0,88.34,72.2,80.0,65.0,23.08,15.0,8408.88,105
2025/09/08,80.0,88.34,65.0,65.0,80.0,-18.75,-15.0,58727.92,826
2025/09/03,65.0,80.2,68.0,65.0,65.0,23.08,15.0,6864.2,99
2025/09/01,77.5,77.6,65.0,65.0,77.5,-16.129999,-12.5,47714.2,659
2025/08/27,77.0,78.1,76.0,77.5,77.0,0.65,0.5,65010.3,837
2025/08/25,85.15,86.43,77.0,77.0,85.15,-9.57,-8.15,12996.46,161
2025/08/20,83.53,88.39,83.52,85.15,83.53,1.94,1.62,9699.33,114
2025/08/18,88.21,90.21,83.05,88.21,88.21,-5.31,-4.68,6995.5,81
2025/08/13,80.68,90.88,80.7,80.68,80.68,9.33,7.53,1867.12,22
2025/08/11,91.44,92.22,72.0,80.68,91.44,-11.77,-10.76,24871.96,297
2025/08/06,91.44,91.44,91.44,91.44,91.44,0.0,0.0,10424.16,114
2025/08/04,90.0,91.44,89.0,90.0,90.0,1.6,1.44,723.76,8
2025/07/30,88.11,90.0,66.0,90.0,88.11,0.0,1.89,88357.62,1050
2025/07/28,86.1,88.11,87.7,88.11,86.1,2.33,2.01,30171.32,343
2025/07/23,100.0,102.0,80.02,86.1,100.0,-13.9,-13.9,36655.57,379
2025/07/21,108.0,108.1,100.0,100.0,108.0,-7.41,-8.0,114330.1,1077
2025/07/16,100.0,115.0,106.0,108.0,100.0,8.0,8.0,104348.01,964
2025/07/14,120.0,150.0,100.0,100.0,120.0,-16.67,-20.0,154148.31,1446
2025/07/07,71.0,200.0,75.0,198.0,71.0,178.869995,127.0,60690.06,554
2025/07/02,62.1,85.0,70.0,71.0,62.1,14.33,8.9,11050.0,156
2025/06/30,61.0,109.9,62.0,62.1,61.0,1.8,1.1,25095.1,362
2025/06/25,48.0,109.9,54.0,61.0,48.0,27.08,13.0,25900.1,476
2025/06/23,40.01,52.0,47.9,48.0,40.01,19.969999,7.99,6133.2,122
2025/06/11,40.0,40.01,40.01,40.0,40.0,0.02,0.01,40.01,1
2025/06/04,40.0,40.0,40.0,40.0,40.0,0.0,0.0,4280.0,107
2025/05/28,40.0,40.0,40.0,40.0,40.0,0.0,0.0,2720.0,68
2025/05/19,40.0,42.5,40.0,40.0,40.0,0.0,0.0,18785.0,469
2025/05/14,42.16,40.0,40.0,40.0,42.16,-5.12,-2.16,4040.0,101
2025/05/07,40.0,40.0,40.0,40.0,40.0,0.0,0.0,5640.0,141
2025/04/30,40.0,40.0,40.0,40.0,40.0,0.0,0.0,3360.0,84
2025/04/28,42.0,42.0,39.9,40.0,42.0,-4.76,-2.0,6659.2,166
2025/04/23,42.0,42.0,42.0,42.0,42.0,0.0,0.0,1512.0,36
2025/04/16,42.0,43.0,42.0,42.0,42.0,0.0,0.0,2857.0,68
2025/04/14,39.9,44.0,39.9,42.0,39.9,5.26,2.1,1005.62,24
2025/04/07,42.0,39.9,39.9,39.9,42.0,-5.0,-2.1,39.9,1
2025/03/26,42.8,42.0,40.0,42.0,42.8,-1.87,-0.8,5504.7,137
2025/03/12,42.8,43.0,42.8,42.8,42.8,0.0,0.0,8573.2,200
2025/03/10,42.5,42.8,42.8,42.5,42.5,0.71,0.3,299.6,7
2025/03/05,39.83,46.57,42.0,42.5,39.83,6.7,2.67,11556.85,272
2025/02/26,54.15,54.0,39.81,39.83,54.15,-26.450001,-14.32,66010.85,1637
2025/02/24,42.0,929.0,39.83,54.15,42.0,28.93,12.15,41368.23,388
2025/02/19,42.0,42.0,42.0,42.0,42.0,0.0,0.0,42.0,1
2025/02/17,39.81,42.0,39.83,42.0,39.81,5.5,2.19,4644.64,111
2025/02/12,40.5,43.0,39.81,39.81,40.5,-1.7,-0.69,6977.81,172
2025/02/03,47.07,42.0,40.5,40.5,47.07,-13.96,-6.57,10897.5,269
2025/01/29,47.69,47.1,47.07,47.69,47.69,-1.3,-0.62,800.67,17
2025/01/27,47.07,47.69,47.69,47.07,47.07,1.32,0.62,95.38,2
2025/01/22,50.0,50.0,47.07,50.0,50.0,-5.86,-2.93,1111.91,23
2025/01/15,42.0,53.12,50.0,42.0,42.0,19.049999,8.0,1012.48,20
2025/01/13,58.9,42.0,42.0,58.9,58.9,-28.690001,-16.9,210.0,5
2025/01/08,59.0,58.9,58.9,59.0,59.0,-0.17,-0.1,235.6,4
2025/01/06,40.0,59.0,59.0,59.0,40.0,47.5,19.0,36521.0,619
2024/12/25,48.0,40.0,40.0,48.0,48.0,-16.67,-8.0,1600.0,40
2024/12/18,48.0,48.0,45.0,48.0,48.0,0.0,0.0,23448.0,501
2024/12/16,48.0,48.0,48.0,48.0,48.0,0.0,0.0,48.0,1
2024/12/09,52.0,51.0,48.0,48.0,52.0,-7.69,-4.0,35302.0,700
2024/12/04,52.0,52.0,52.0,52.0,52.0,0.0,0.0,104.0,2
2024/12/02,52.0,52.0,52.0,52.0,52.0,0.0,0.0,1664.0,32
2024/11/27,53.0,53.0,52.0,52.0,53.0,-1.89,-1.0,35716.0,683
2024/11/25,53.0,53.0,50.0,53.0,53.0,0.0,0.0,26660.0,526
2024/11/20,52.0,53.0,53.0,52.0,52.0,1.92,1.0,265.0,5
2024/11/13,52.0,52.0,52.0,52.0,52.0,0.0,0.0,13624.0,262
2024/11/11,50.0,52.0,50.0,52.0,50.0,4.0,2.0,41839.95,805
2024/11/06,50.0,50.0,50.0,50.0,50.0,0.0,0.0,1000.0,20
2024/11/04,50.0,50.0,49.0,50.0,50.0,0.0,0.0,4409.2,89
2024/10/28,39.9,50.0,50.0,39.9,39.9,25.309999,10.1,1500.0,30
2024/10/23,39.9,39.9,39.9,39.9,39.9,0.0,0.0,239.4,6
2024/10/16,39.9,39.9,39.9,39.9,39.9,0.0,0.0,7980.0,200
2024/10/14,39.9,41.0,39.9,39.9,39.9,0.0,0.0,5030.1,124
2024/10/07,41.0,99.0,39.81,39.9,41.0,-2.68,-1.1,4351.04,105
2024/09/30,41.0,41.0,41.0,41.0,41.0,0.0,0.0,41.0,1
2024/09/25,39.82,41.0,41.0,41.0,39.82,2.96,1.18,8200.0,200
2024/09/18,42.9,42.0,39.82,42.9,42.9,-7.18,-3.08,320.74,8
2024/09/09,42.7,42.9,39.82,42.7,42.7,0.47,0.2,3663.3,89
