«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,79.0,79.89,76.9,77.61,79.0,-1.76,-1.39,1.4555253E7,187730
2026/01/12,80.97,81.73,78.55,79.0,80.97,-2.43,-1.97,4.952758E7,621004
2026/01/11,80.0,82.0,80.5,80.97,80.0,1.21,0.97,3.5496032E7,435187
2026/01/08,78.98,81.2,79.2,80.0,78.98,1.29,1.02,5.8636632E7,729447
2026/01/06,78.04,79.01,78.04,78.98,78.04,1.2,0.94,3.8935044E7,493977
2026/01/05,77.9,80.0,77.2,78.04,77.9,0.18,0.14,3.466322E7,439150
2026/01/04,77.5,79.75,77.5,77.9,77.5,0.52,0.4,6434453.0,82549
2025/12/31,78.0,79.0,77.5,77.5,78.0,-0.64,-0.5,1.6728426E7,214683
2025/12/30,78.65,80.85,78.0,78.0,78.65,-0.83,-0.65,2.566341E7,323364
2025/12/29,76.23,80.0,76.97,78.65,76.23,3.17,2.42,6.499182E7,822061
2025/12/28,74.04,77.0,74.3,76.23,74.04,2.96,2.19,8.8745584E7,1163441
2025/12/25,73.52,74.75,73.25,74.04,73.52,0.71,0.52,1.3862413E7,187083
2025/12/24,73.7,74.9,67.5,73.52,73.7,-0.24,-0.18,1.8841814E7,256883
2025/12/23,72.72,73.7,72.39,73.7,72.72,1.35,0.98,8476045.0,115727
2025/12/22,72.08,73.35,71.88,72.72,72.08,0.89,0.64,3.1842074E7,437381
2025/12/21,72.04,72.99,71.93,72.08,72.04,0.49,0.35,4190154.0,58105
2025/12/18,73.09,73.5,71.7,72.04,73.09,-1.44,-1.05,2.2923678E7,316975
2025/12/17,74.05,74.5,73.0,73.09,74.05,-1.3,-0.96,8887772.0,121201
2025/12/16,74.58,75.7,73.65,74.05,74.58,-0.71,-0.53,1.3764012E7,184471
2025/12/15,71.61,75.79,72.0,74.58,71.61,4.15,2.97,6.0187736E7,809991
2025/12/14,70.93,73.5,71.61,71.61,70.93,0.96,0.68,4.8323892E7,667199
2025/12/11,70.99,71.75,70.56,70.93,70.99,-0.08,-0.06,1.0322994E7,145128
2025/12/10,71.39,72.46,70.8,70.99,71.39,-0.56,-0.4,2.137655E7,298523
2025/12/09,69.81,71.99,69.88,71.39,69.81,2.26,1.58,4.0340936E7,574464
2025/12/08,70.44,70.79,69.7,69.81,70.44,-0.89,-0.63,2.646587E7,377749
2025/12/07,70.6,71.25,70.08,70.44,70.6,-0.23,-0.16,1.0499478E7,148668
2025/12/04,72.42,72.9,70.0,70.6,72.42,-2.51,-1.82,4.4794032E7,630400
2025/12/03,72.06,73.26,72.21,72.42,72.06,0.5,0.36,2.1686336E7,297999
2025/12/02,70.5,72.59,70.66,72.06,70.5,2.21,1.56,4.980884E7,701317
2025/12/01,69.99,73.0,69.91,70.5,69.99,0.73,0.51,6.0486464E7,840020
2025/11/30,69.9,71.7,69.5,69.99,69.9,0.13,0.09,1.1918297E7,170228
2025/11/27,69.64,70.7,69.15,69.9,69.64,0.37,0.26,2.0412512E7,291614
2025/11/26,71.17,72.89,69.63,69.64,71.17,-2.15,-1.53,1.1386174E7,160461
2025/11/25,72.98,73.5,71.0,71.17,72.98,-2.48,-1.81,1.4453007E7,200632
