«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,8.7,8.75,8.38,8.4,8.7,-3.45,-0.3,1.30421696E8,15285012
2026/01/12,8.79,9.09,8.65,8.7,8.79,-1.02,-0.09,2.88657408E8,32485849
2026/01/11,8.2,8.8,8.24,8.79,8.2,7.2,0.59,3.5587456E8,41382759
2026/01/08,8.37,8.38,8.19,8.2,8.37,-2.03,-0.17,5.8240788E7,7044647
2026/01/06,8.4,8.49,8.31,8.37,8.4,-0.36,-0.03,4.8891884E7,5824182
2026/01/05,8.48,8.53,8.26,8.4,8.48,-0.94,-0.08,7.5444864E7,9054908
2026/01/04,8.61,8.66,8.45,8.48,8.61,-1.51,-0.13,3.6265428E7,4258142
2025/12/31,8.51,8.67,8.5,8.61,8.51,1.18,0.1,7.267004E7,8464156
2025/12/30,8.49,8.58,8.45,8.51,8.49,0.24,0.02,6.5879724E7,7734424
2025/12/29,8.55,8.59,8.42,8.49,8.55,-0.7,-0.06,3.8148952E7,4496307
2025/12/28,8.4,8.57,8.37,8.55,8.4,1.79,0.15,7.3874696E7,8693802
2025/12/25,8.35,8.41,8.3,8.4,8.35,0.6,0.05,4.2217888E7,5048795
2025/12/24,8.25,8.4,8.26,8.35,8.25,1.21,0.1,5.2367136E7,6278526
2025/12/23,8.37,8.42,8.24,8.25,8.37,-1.43,-0.12,3.9916412E7,4817750
2025/12/22,8.3,8.49,8.31,8.37,8.3,0.84,0.07,5.55581E7,6617230
2025/12/21,8.3,8.34,8.22,8.3,8.3,0.0,0.0,5.5499096E7,6696447
2025/12/18,8.45,8.51,8.3,8.3,8.45,-1.78,-0.15,7.7335208E7,9229398
2025/12/17,8.55,8.6,8.39,8.45,8.55,-1.17,-0.1,5.486258E7,6459655
2025/12/16,8.67,8.72,8.52,8.55,8.67,-1.38,-0.12,6.1293508E7,7114917
2025/12/15,8.43,8.81,8.45,8.67,8.43,2.85,0.24,2.0081432E8,23108407
2025/12/14,8.5,8.58,8.38,8.43,8.5,-0.82,-0.07,6.1052208E7,7228783
2025/12/11,8.5,8.75,8.5,8.5,8.5,0.0,0.0,1.33776872E8,15489578
2025/12/10,8.6,8.65,8.46,8.5,8.6,-1.16,-0.1,3.800324E7,4456628
2025/12/09,8.63,8.71,8.51,8.6,8.63,-0.35,-0.03,9.3434496E7,10855826
2025/12/08,8.6,8.7,8.43,8.63,8.6,0.35,0.03,1.65951024E8,19321103
2025/12/07,8.08,8.65,8.15,8.6,8.08,6.44,0.52,3.80782336E8,44928207
2025/12/04,8.1,8.17,8.07,8.08,8.1,-0.25,-0.02,4.4518088E7,5488784
2025/12/03,8.05,8.2,8.05,8.1,8.05,0.62,0.05,4.2958092E7,5284098
2025/12/02,8.16,8.2,8.02,8.05,8.16,-1.35,-0.11,5.1935356E7,6391075
2025/12/01,8.29,8.39,8.05,8.16,8.29,-1.57,-0.13,1.34089776E8,16280489
2025/11/30,8.09,8.3,8.12,8.29,8.09,2.47,0.2,1.3888744E8,16842514
2025/11/27,7.92,8.2,7.91,8.09,7.92,2.15,0.17,2.08276624E8,25716940
2025/11/26,8.0,8.1,7.9,7.92,8.0,-1.0,-0.08,9.1100712E7,11391720
2025/11/25,7.9,8.01,7.88,8.0,7.9,1.27,0.1,8.7490072E7,10987557
2025/11/24,8.09,8.13,7.86,7.9,8.09,-2.35,-0.19,1.61705616E8,20305353
2025/11/23,8.14,8.2,8.07,8.09,8.14,-0.61,-0.05,8.77158E7,10831654
2025/11/20,8.24,8.32,8.14,8.14,8.24,-1.21,-0.1,3.9463228E7,4805329
2025/11/19,8.23,8.34,8.13,8.24,8.23,0.12,0.01,5.264256E7,6392191
2025/11/18,8.36,8.45,8.23,8.23,8.36,-1.56,-0.13,1.60590992E8,19272512
2025/11/17,8.17,8.43,8.19,8.36,8.17,2.33,0.19,3.12915232E8,37448034
2025/11/16,8.18,8.22,8.05,8.17,8.18,-0.12,-0.01,1.72466928E8,21263840
2025/11/13,8.16,8.31,8.06,8.18,8.16,0.25,0.02,1.2555096E8,15301674
2025/11/12,7.9,8.23,7.88,8.16,7.9,3.29,0.26,2.11078944E8,26037938
2025/11/11,8.07,8.11,7.75,7.9,8.07,-2.11,-0.17,1.5027416E8,18852195
2025/11/10,8.3,8.34,8.03,8.07,8.3,-2.77,-0.23,1.25592672E8,15424646
2025/11/09,8.28,8.38,8.21,8.3,8.28,0.24,0.02,8.4598032E7,10188859
2025/11/06,8.35,8.46,8.26,8.28,8.35,-0.84,-0.07,2.4150472E8,28821163
2025/11/05,8.2,8.4,8.2,8.35,8.2,1.83,0.15,4.40933984E8,53069299
2025/11/04,8.12,8.31,8.13,8.2,8.12,0.99,0.08,3.58652352E8,43604847
2025/11/03,7.77,8.13,7.74,8.12,7.77,4.5,0.35,1.37778672E8,17223180
2025/11/02,7.86,7.94,7.74,7.77,7.86,-1.15,-0.09,4.72769E7,6063476
2025/10/30,8.0,8.04,7.83,7.86,8.0,-1.75,-0.14,1.0048164E8,12718660
2025/10/29,8.0,8.04,7.9,8.0,8.0,0.0,0.0,4.134938E7,5183716
