«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,0.091,0.093,0.09,0.09,0.091,-1.099,-0.001,9209686.0,101226518
2026/01/12,0.093,0.093,0.09,0.091,0.093,-2.151,-0.002,1.223376E7,133450605
2026/01/06,0.092,0.095,0.09,0.093,0.092,1.087,0.001,1.0243666E7,110567820
2026/01/05,0.093,0.094,0.09,0.092,0.093,-1.075,-0.001,1.3211772E7,144352778
2026/01/04,0.096,0.096,0.092,0.093,0.096,-3.125,-0.003,1.6971304E7,181461742
2025/12/31,0.095,0.098,0.095,0.096,0.095,1.053,0.001,2.0300148E7,211085693
2025/12/30,0.091,0.095,0.088,0.095,0.091,4.396,0.004,3.4634704E7,373523232
2025/12/29,0.094,0.094,0.09,0.091,0.094,-3.191,-0.003,3.1350586E7,344917456
2025/12/28,0.093,0.095,0.092,0.094,0.093,1.075,0.001,1.3306132E7,142435906
2025/12/25,0.095,0.095,0.091,0.093,0.095,-2.105,-0.002,2.0872392E7,225413611
2025/12/24,0.097,0.1,0.094,0.095,0.097,-2.062,-0.002,1.5820054E7,165487564
2025/12/23,0.093,0.097,0.091,0.097,0.093,4.301,0.004,4.5745908E7,478928193
2025/12/22,0.097,0.093,0.093,0.093,0.097,-4.124,-0.004,1.2814321E7,137788398
2025/12/21,0.102,0.101,0.097,0.097,0.102,-4.902,-0.005,2.6684114E7,272253015
2025/12/18,0.102,0.107,0.097,0.102,0.102,0.0,0.0,8.039896E7,785312614
2025/12/17,0.098,0.102,0.1,0.102,0.098,4.082,0.004,5.9090872E7,580783329
2025/12/16,0.094,0.098,0.096,0.098,0.094,4.255,0.004,4.0106912E7,410736800
2025/12/15,0.09,0.094,0.091,0.094,0.09,4.444,0.004,2.1041578E7,226054658
2025/12/14,0.086,0.09,0.088,0.09,0.086,4.651,0.004,1.0425714E7,116071905
2025/12/11,0.082,0.086,0.081,0.086,0.082,4.878,0.004,3.1513904E7,369607781
2025/12/10,0.084,0.083,0.08,0.082,0.084,-2.381,-0.002,1.7219924E7,211163934
2025/12/09,0.084,0.085,0.081,0.084,0.084,0.0,0.0,1.9280848E7,231529053
2025/12/08,0.08,0.084,0.08,0.084,0.08,5.0,0.004,5.1914912E7,625529088
2025/12/07,0.077,0.08,0.08,0.08,0.077,3.896,0.003,5208068.5,65100857
2025/12/04,0.074,0.077,0.073,0.077,0.074,4.054,0.003,2.9311186E7,389226056
2025/12/03,0.073,0.074,0.072,0.074,0.073,1.37,0.001,6285749.5,85783577
2025/12/02,0.074,0.074,0.073,0.073,0.074,-1.351,-0.001,6368151.0,86868284
2025/12/01,0.072,0.074,0.072,0.074,0.072,2.778,0.002,7921875.5,108706693
2025/11/30,0.073,0.073,0.072,0.072,0.073,-1.37,-0.001,1.0006008E7,138425153
2025/11/27,0.073,0.074,0.072,0.073,0.073,0.0,0.0,3366263.0,46133245
2025/11/26,0.073,0.074,0.072,0.073,0.073,0.0,0.0,7689829.0,105341420
2025/11/25,0.073,0.074,0.072,0.073,0.073,0.0,0.0,9309445.0,127523489
2025/11/24,0.073,0.074,0.072,0.073,0.073,1.37,0.001,9862511.0,134996276
2025/11/23,0.074,0.074,0.073,0.073,0.074,-1.351,-0.001,1.0518529E7,143639108
2025/11/20,0.074,0.075,0.073,0.074,0.074,0.0,0.0,1.0488163E7,142459070
2025/11/19,0.074,0.075,0.073,0.074,0.074,0.0,0.0,8337798.0,112880960
2025/11/18,0.074,0.075,0.073,0.074,0.074,0.0,0.0,7380564.0,99707993
2025/11/17,0.074,0.075,0.073,0.074,0.074,0.0,0.0,9404021.0,126660469
2025/11/16,0.074,0.075,0.073,0.074,0.074,0.0,0.0,9819986.0,132552844
2025/11/13,0.074,0.075,0.073,0.074,0.074,0.0,0.0,7618778.5,103133673
2025/11/12,0.074,0.075,0.073,0.074,0.074,0.0,0.0,6007288.5,81054821
2025/11/11,0.075,0.075,0.073,0.074,0.075,-1.333,-0.001,8558105.0,115593139
2025/11/10,0.075,0.076,0.074,0.075,0.075,0.0,0.0,7077931.0,94957843
2025/11/09,0.076,0.076,0.074,0.075,0.076,-1.316,-0.001,9075055.0,120861873
2025/11/06,0.077,0.077,0.075,0.076,0.077,-1.299,-0.001,8573970.0,113138091
2025/11/05,0.076,0.079,0.076,0.077,0.076,1.316,0.001,1.7782804E7,229088389
2025/11/04,0.073,0.076,0.072,0.076,0.073,4.11,0.003,1.9861414E7,267892470
2025/11/03,0.074,0.074,0.073,0.073,0.074,-1.351,-0.001,9345012.0,127526227
2025/11/02,0.074,0.075,0.073,0.074,0.074,0.0,0.0,9083224.0,122950966
2025/10/30,0.075,0.076,0.074,0.074,0.075,0.0,0.0,7977202.0,106987865
2025/10/29,0.076,0.077,0.075,0.075,0.076,-1.316,-0.001,9021872.0,119731514
2025/10/28,0.077,0.078,0.076,0.076,0.077,-1.299,-0.001,6583723.0,86046339
2025/10/27,0.076,0.078,0.075,0.077,0.076,1.316,0.001,1.6753719E7,218765097
2025/10/26,0.076,0.077,0.076,0.076,0.076,0.0,0.0,7120988.5,93337036
2025/10/23,0.075,0.076,0.073,0.076,0.075,1.333,0.001,9271850.0,124468974
2025/10/22,0.077,0.078,0.075,0.075,0.077,-2.597,-0.002,1.5088672E7,200256209
2025/10/21,0.078,0.078,0.076,0.077,0.078,-1.282,-0.001,1.1900885E7,154605056
2025/10/20,0.079,0.08,0.077,0.078,0.079,-1.266,-0.001,2.2863746E7,291005103
2025/10/19,0.076,0.079,0.077,0.079,0.076,3.947,0.003,1.642612E7,208410527
2025/10/16,0.073,0.076,0.07,0.076,0.073,4.11,0.003,3.9065204E7,539987199
2025/10/15,0.076,0.073,0.073,0.073,0.076,-3.947,-0.003,4120791.0,56449191
2025/10/14,0.079,0.08,0.076,0.076,0.079,-3.797,-0.003,2.7402554E7,354956116
2025/10/13,0.079,0.08,0.077,0.079,0.079,0.0,0.0,1.5124376E7,193179605
2025/10/12,0.079,0.081,0.077,0.079,0.079,0.0,0.0,1.5014794E7,190778088
2025/10/08,0.076,0.079,0.075,0.079,0.076,3.947,0.003,1.8140368E7,235237312
2025/10/07,0.078,0.079,0.075,0.076,0.078,-2.564,-0.002,1.8439626E7,240951028
2025/10/06,0.079,0.081,0.077,0.078,0.079,-1.266,-0.001,2.190106E7,278330261
2025/10/05,0.081,0.081,0.078,0.079,0.081,-2.469,-0.002,1.9506464E7,245959202
2025/10/02,0.084,0.086,0.08,0.081,0.084,-3.571,-0.003,2.6321628E7,319747019
2025/10/01,0.082,0.086,0.078,0.084,0.082,2.439,0.002,6.5285024E7,789093873
2025/09/30,0.086,0.083,0.082,0.082,0.086,-4.651,-0.004,1.2397126E7,151184121
2025/09/29,0.09,0.086,0.086,0.086,0.09,-4.444,-0.004,7156086.0,83210301
2025/09/23,0.104,0.095,0.088,0.09,0.104,-13.462,-0.014,1.25338248E8,1366479474
2025/09/21,0.113,0.116,0.103,0.104,0.113,-7.965,-0.009,1.30666272E8,1202645649
2025/09/18,0.117,0.118,0.109,0.113,0.117,-3.419,-0.004,1.27042312E8,1136437941
2025/09/17,0.12,0.12,0.116,0.117,0.12,-2.5,-0.003,5.740586E7,487941314
2025/09/16,0.126,0.127,0.115,0.12,0.126,-4.762,-0.006,8.2398464E7,678725799
2025/09/15,0.124,0.127,0.122,0.126,0.124,1.613,0.002,8.490452E7,677018094
2025/09/11,0.164,0.132,0.132,0.132,0.164,-19.511999,-0.032,2.044774E7,154907128
2025/09/10,0.162,0.175,0.161,0.164,0.162,1.235,0.002,4201802.0,24983638
2025/09/09,0.166,0.166,0.16,0.162,0.166,-2.41,-0.004,4607011.0,28538318
2025/09/08,0.172,0.174,0.164,0.166,0.172,-2.326,-0.004,3074055.5,18259037
2025/09/07,0.174,0.179,0.17,0.172,0.174,-1.149,-0.002,4117881.75,23724318
2025/09/03,0.176,0.179,0.174,0.174,0.176,-1.136,-0.002,1948845.875,11116479
2025/09/02,0.178,0.181,0.175,0.176,0.178,-1.124,-0.002,2129539.0,12017149
2025/09/01,0.178,0.18,0.172,0.178,0.178,0.0,0.0,3868156.0,22078258
2025/08/31,0.181,0.183,0.178,0.178,0.181,-0.552,-0.001,1830895.625,10227661
2025/08/28,0.191,0.192,0.172,0.181,0.191,-5.236,-0.01,1.82082E7,103435401
2025/08/27,0.2,0.2,0.187,0.191,0.2,-4.5,-0.009,3513903.5,18391284
2025/08/26,0.192,0.211,0.194,0.2,0.192,4.167,0.008,1.3888483E7,66717172
2025/08/25,0.175,0.192,0.175,0.192,0.175,9.714,0.017,1.3310571E7,70565688
2025/08/24,0.173,0.177,0.174,0.175,0.173,1.156,0.002,603115.5,3438881
2025/08/21,0.176,0.177,0.172,0.173,0.176,-1.705,-0.003,1498314.25,8580869
2025/08/20,0.177,0.179,0.175,0.176,0.177,-0.565,-0.001,1225408.625,6937383
2025/08/19,0.178,0.18,0.175,0.177,0.178,-0.562,-0.001,1508459.625,8530760
2025/08/18,0.181,0.18,0.177,0.178,0.181,-1.657,-0.003,1381106.625,7727241
2025/08/17,0.176,0.182,0.177,0.181,0.176,2.841,0.005,1821444.5,10129504
2025/08/14,0.18,0.18,0.176,0.176,0.18,-2.222,-0.004,2272695.25,12819659
2025/08/13,0.179,0.181,0.177,0.18,0.179,0.559,0.001,1908820.75,10670215
2025/08/12,0.179,0.182,0.178,0.179,0.179,0.559,0.001,1456939.625,8103900
2025/08/11,0.18,0.182,0.178,0.179,0.18,0.0,0.0,967128.375,5382010
2025/08/10,0.181,0.187,0.176,0.18,0.181,-0.552,-0.001,3656822.25,20222412
2025/08/07,0.183,0.185,0.178,0.181,0.183,-1.093,-0.002,2634145.0,14613000
2025/08/06,0.187,0.19,0.181,0.183,0.187,-2.139,-0.004,4209127.5,22649659
2025/08/05,0.196,0.194,0.182,0.187,0.196,-4.592,-0.009,6986803.5,37676207
2025/08/04,0.185,0.201,0.186,0.196,0.185,5.946,0.011,8829732.0,45325438
2025/08/03,0.169,0.185,0.167,0.185,0.169,9.467,0.016,9321772.0,51081243
2025/07/31,0.17,0.172,0.168,0.169,0.17,1.176,0.002,1294799.875,7620931
2025/07/30,0.174,0.174,0.17,0.17,0.174,0.0,-0.004,1394328.25,8127132
2025/07/29,0.173,0.174,0.171,0.174,0.173,0.578,0.001,1414057.625,8186349
2025/07/28,0.175,0.176,0.173,0.173,0.175,-1.143,-0.002,1912427.25,10973352
2025/07/27,0.175,0.176,0.174,0.175,0.175,0.0,0.0,1592935.875,9084335
2025/07/23,0.175,0.176,0.174,0.175,0.175,0.0,0.0,1468948.625,8396397
2025/07/22,0.176,0.177,0.174,0.175,0.176,0.0,0.0,1562433.75,8916712
2025/07/21,0.176,0.179,0.175,0.176,0.176,0.0,0.0,2274442.75,12888707
2025/07/20,0.179,0.18,0.175,0.176,0.179,-1.676,-0.003,3412547.75,19352321
2025/07/17,0.182,0.184,0.177,0.179,0.182,-1.648,-0.003,1766098.0,9850947
2025/07/13,0.178,0.183,0.178,0.18,0.178,1.685,0.003,2278492.5,12646936
2025/07/07,0.178,0.195,0.175,0.185,0.178,3.933,0.007,4181964.25,22537014
2025/07/06,0.185,0.185,0.167,0.178,0.185,-3.784,-0.007,5745416.0,32411865
2025/07/02,0.184,0.189,0.18,0.185,0.184,0.543,0.001,3366959.0,18256414
2025/07/01,0.191,0.191,0.182,0.184,0.191,-3.665,-0.007,4893821.0,26181067
2025/06/30,0.194,0.194,0.186,0.191,0.194,-1.546,-0.003,6307243.5,33141957
2025/06/29,0.199,0.2,0.193,0.194,0.199,-2.513,-0.005,6829387.0,35058361
2025/06/25,0.203,0.203,0.192,0.199,0.203,-1.97,-0.004,7200163.0,36392982
2025/06/24,0.198,0.207,0.199,0.203,0.198,2.525,0.005,6501175.5,32278201
2025/06/23,0.186,0.201,0.185,0.198,0.186,6.452,0.012,6280771.0,31956221
2025/06/22,0.184,0.196,0.17,0.186,0.184,3.261,0.006,8714307.0,47156894
2025/06/19,0.204,0.216,0.184,0.184,0.204,-9.804,-0.02,1.9394782E7,100560386
2025/06/18,0.226,0.216,0.204,0.204,0.226,-9.735,-0.022,4941886.5,24193877
2025/06/17,0.251,0.255,0.226,0.226,0.251,-9.96,-0.025,1.2609652E7,54272870
2025/06/16,0.267,0.267,0.243,0.251,0.267,-5.993,-0.016,1.0568106E7,41737086
2025/06/15,0.25,0.268,0.225,0.267,0.25,6.8,0.017,1.1094066E7,43975562
2025/06/12,0.228,0.25,0.237,0.25,0.228,9.649,0.022,1.4440394E7,58022220
2025/06/11,0.229,0.232,0.227,0.228,0.229,-0.437,-0.001,2918588.75,12780195
2025/06/10,0.233,0.233,0.228,0.229,0.233,-1.717,-0.004,5624734.5,24472437
2025/06/04,0.236,0.235,0.227,0.233,0.236,-1.271,-0.003,4688501.5,20352886
2025/06/03,0.232,0.248,0.225,0.236,0.232,1.724,0.004,8293663.0,34884702
2025/06/02,0.237,0.237,0.224,0.232,0.237,-2.11,-0.005,7685486.5,33675455
2025/06/01,0.244,0.26,0.232,0.237,0.244,-2.869,-0.007,1.4345975E7,57870670
2025/05/29,0.222,0.244,0.226,0.244,0.222,9.91,0.022,1.5285637E7,62815276
2025/05/28,0.202,0.222,0.198,0.222,0.202,9.901,0.02,1.0923933E7,50591641
2025/05/27,0.211,0.214,0.201,0.202,0.211,-4.265,-0.009,6969787.5,33755725
2025/05/26,0.217,0.218,0.209,0.211,0.217,-2.765,-0.006,6710322.5,31743660
2025/05/25,0.217,0.221,0.206,0.217,0.217,0.0,0.0,6678840.5,30936575
2025/05/22,0.208,0.22,0.195,0.217,0.208,4.327,0.009,6165895.5,29667613
2025/05/21,0.231,0.231,0.208,0.208,0.231,-9.957,-0.023,1.4313639E7,66736575
2025/05/20,0.227,0.24,0.211,0.231,0.227,1.762,0.004,8070552.5,35171863
2025/05/19,0.252,0.245,0.227,0.227,0.252,-9.921,-0.025,1.457319E7,63095860
2025/05/18,0.255,0.275,0.23,0.252,0.255,-1.176,-0.003,1.1630304E7,45201029
2025/05/15,0.233,0.256,0.214,0.255,0.233,9.441999,0.022,4.4463356E7,178337199
2025/05/14,0.212,0.233,0.233,0.233,0.212,9.906,0.021,1624282.375,6971169
2025/05/08,0.15,0.16,0.16,0.16,0.15,6.667,0.01,501475.688,3134223
2025/05/07,0.14,0.15,0.15,0.15,0.14,7.143,0.01,334568.563,2230457
2025/05/06,0.13,0.14,0.14,0.14,0.13,7.692,0.01,2995240.0,21394572
2025/05/05,0.146,0.141,0.132,0.132,0.146,-9.57,-0.014,1.19203144E8,895855455
2025/05/04,0.162,0.146,0.146,0.146,0.162,-9.45,-0.016,2973177.75,20305943
2025/04/30,0.18,0.162,0.162,0.162,0.18,-9.93,-0.018,3625961.75,22424337
2025/04/29,0.199,0.18,0.18,0.18,0.199,-9.62,-0.019,8208811.5,45725796
2025/04/28,0.22,0.228,0.199,0.199,0.22,-9.83,-0.021,6.6436364E7,320590888
2025/04/27,0.201,0.22,0.2,0.22,0.201,9.49,0.019,5.0704124E7,239412452
2025/04/23,0.213,0.211,0.2,0.201,0.213,-5.39,-0.012,3.974664E7,194607157
2025/04/22,0.215,0.233,0.208,0.213,0.215,-1.18,-0.002,3.6300628E7,166968038
2025/04/17,0.222,0.229,0.2,0.215,0.222,-2.87,-0.007,5.2759972E7,247282680
2025/04/16,0.232,0.236,0.219,0.222,0.232,-4.4,-0.01,2.7689542E7,122073393
2025/04/15,0.225,0.236,0.216,0.232,0.225,2.82,0.007,4.1120168E7,182279312
2025/04/14,0.222,0.241,0.222,0.225,0.222,1.72,0.003,4.7422388E7,204624149
2025/04/13,1.59,1.74,1.61,1.74,1.59,9.43,0.15,4.9491732E7,28966064
2025/04/10,0.185,0.202,0.192,0.202,0.185,9.66,0.017,4.8683204E7,244898352
2025/04/09,0.187,0.202,0.182,0.185,0.187,-1.36,-0.002,3.4315344E7,179801448
2025/04/08,0.197,0.199,0.186,0.187,0.197,-5.16,-0.01,4.3007072E7,224440745
2025/04/07,0.204,0.206,0.194,0.197,0.204,-3.13,-0.007,2.6525636E7,133575443
2025/04/06,0.2,0.21,0.186,0.204,0.2,1.91,0.004,4.1744736E7,206745936
2025/04/03,1.43,1.57,1.44,1.57,1.43,9.79,0.14,4.9105452E7,32139909
2025/03/27,0.166,0.182,0.173,0.182,0.166,10.0,0.016,3.474082E7,191006210
2025/03/26,1.19,1.3,1.3,1.3,1.19,9.24,0.11,6767207.0,5205544
2025/03/25,1.09,1.19,1.19,1.19,1.09,9.174,0.1,6224012.0,5230262
2025/03/24,1.07,1.09,1.05,1.09,1.07,1.869,0.02,1.075878E7,10002062
2025/03/23,1.06,1.11,1.04,1.07,1.06,0.943,0.01,1.1145651E7,10503241
2025/03/20,1.1,1.09,1.05,1.06,1.1,-3.636,-0.04,8912939.0,8379291
2025/03/19,1.14,1.13,1.04,1.1,1.14,-3.509,-0.04,2.0702942E7,19145112
2025/03/18,1.1,1.21,1.05,1.14,1.1,3.636,0.04,2.8397406E7,24804022
2025/03/17,1.0,1.1,0.98,1.1,1.0,10.0,0.1,2.6547568E7,24964305
2025/03/16,1.02,1.03,0.98,1.0,1.02,-1.961,-0.02,8700410.0,8664153
2025/03/13,1.027,1.035,1.013,1.02,1.027,-0.682,-0.007,6321172.5,6164488
2025/03/12,1.035,1.051,1.026,1.027,1.035,-0.773,-0.008,6084653.5,5891503
2025/03/11,1.064,1.058,1.02,1.035,1.064,-2.726,-0.029,9478529.0,9174186
2025/03/10,1.076,1.097,1.056,1.064,1.076,-1.115,-0.012,1.0143598E7,9417956
2025/03/09,1.0,1.09,1.02,1.076,1.0,7.6,0.076,1.772727E7,16595558
2025/03/06,0.99,1.03,0.97,1.0,0.99,1.01,0.01,1.06543E7,10583674
2025/03/05,1.01,1.02,0.98,0.99,1.01,-1.98,-0.02,8395557.0,8452928
2025/03/04,1.01,1.03,1.0,1.01,1.01,0.0,0.0,5649836.5,5573934
2025/03/03,1.02,1.02,0.99,1.01,1.02,-0.98,-0.01,7616533.5,7568929
2025/03/02,1.02,1.05,1.0,1.02,1.02,0.0,0.0,1.0329733E7,10081018
2025/02/27,0.99,1.05,0.99,1.02,0.99,3.03,0.03,1.250301E7,12189800
2025/02/26,1.04,1.04,0.98,0.99,1.04,-4.808,-0.05,1.6700183E7,16490209
