«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,177.23,178.8,170.0,172.94,177.23,-2.42,-4.29,2137862.25,12260
2026/01/12,179.96,181.74,176.1,177.23,179.96,-1.52,-2.73,1323094.63,7412
2026/01/11,180.45,183.0,179.03,179.96,180.45,-0.47,-0.85,2070846.25,11433
2026/01/08,178.39,182.89,177.55,180.45,178.39,1.15,2.06,2.206306E7,123688
2026/01/06,172.13,179.5,171.05,178.39,172.13,3.64,6.26,1723967.75,9718
2026/01/05,174.09,175.99,170.3,172.13,174.09,-1.14,-1.99,794083.63,4601
2026/01/04,174.06,178.0,173.0,174.09,174.06,-0.03,-0.06,496923.5,2854
2025/12/31,174.06,179.0,175.0,174.06,174.06,0.68,1.18,263316.56,1489
2025/12/30,174.06,177.0,174.06,174.06,174.06,1.39,2.42,146836.8,841
2025/12/29,179.46,180.0,171.5,174.06,179.46,-3.03,-5.44,939995.56,5351
2025/12/28,178.49,181.97,177.51,179.46,178.49,0.54,0.97,707288.69,3938
2025/12/25,176.93,181.5,177.01,178.49,176.93,0.6,1.07,2822994.5,15750
2025/12/24,173.43,178.0,173.32,176.93,173.43,2.02,3.5,1636552.25,9274
2025/12/23,173.0,176.0,173.0,173.43,173.0,0.58,1.0,478925.56,2761
2025/12/22,174.3,176.0,171.72,173.0,174.3,-0.69,-1.2,1114337.25,6428
2025/12/21,176.46,179.79,173.73,174.3,176.46,-1.33,-2.35,3230669.75,18421
2025/12/18,177.6,182.0,176.0,176.46,177.6,-0.64,-1.14,2407891.25,13497
2025/12/17,177.36,179.9,176.0,177.6,177.36,0.36,0.64,2151727.25,12141
2025/12/16,180.11,182.4,175.75,177.36,180.11,-1.53,-2.75,2446239.25,13755
2025/12/15,178.58,186.78,176.64,180.11,178.58,0.86,1.53,1.0028468E7,54949
2025/12/14,174.45,181.9,172.5,178.58,174.45,2.37,4.13,5118616.0,28730
2025/12/11,173.84,176.5,173.84,174.45,173.84,0.0,0.0,410876.13,2354
2025/12/10,174.81,176.5,173.0,173.84,174.81,-0.55,-0.97,926628.25,5327
2025/12/09,172.67,178.0,172.28,174.81,172.67,1.24,2.14,2649915.0,15094
2025/12/08,171.71,174.0,171.3,172.67,171.71,0.75,1.29,407499.72,2363
2025/12/07,170.18,176.0,170.31,171.71,170.18,0.9,1.53,2258164.0,13045
2025/12/04,171.27,176.5,170.0,170.18,171.27,-0.62,-1.06,3187907.75,18531
2025/12/03,172.09,173.9,170.19,171.27,172.09,-0.48,-0.82,797624.0,4644
2025/12/02,172.06,175.49,172.0,172.09,172.06,0.02,0.03,1404353.63,8136
2025/12/01,173.86,178.0,172.0,172.06,173.86,-1.01,-1.75,4130891.0,23683
2025/11/30,172.32,175.98,172.25,173.86,172.32,0.89,1.54,1319177.25,7578
2025/11/27,175.29,177.3,172.03,172.32,175.29,-1.69,-2.97,3520837.75,20277
2025/11/26,176.97,180.0,175.02,175.29,176.97,-0.55,-0.97,4552092.5,25653
2025/11/25,180.2,184.49,175.2,176.97,180.2,-1.79,-3.23,2181672.75,12212
2025/11/24,170.5,186.0,170.0,180.2,170.5,5.69,9.7,1.6853366E7,93256
2025/11/23,176.76,179.8,165.0,170.5,176.76,-3.54,-6.26,4192851.0,24685
2025/11/20,176.85,180.0,176.0,176.76,176.85,-0.05,-0.09,960244.25,5422
2025/11/19,179.19,180.2,175.5,176.85,179.19,-1.22,-2.19,2989098.5,16826
2025/11/18,182.63,184.8,179.02,179.19,182.63,-1.88,-3.44,2201391.0,12161
2025/11/17,181.99,185.89,182.0,182.63,181.99,0.35,0.64,3155031.25,17135
2025/11/16,184.66,190.0,181.5,181.99,184.66,-1.45,-2.67,4974577.5,26929
2025/11/13,180.34,191.99,180.6,184.66,180.34,2.4,4.32,6607390.0,35303
2025/11/12,180.45,184.65,180.3,180.34,180.45,-0.08,-0.15,3394975.0,18653
2025/11/11,184.82,185.03,180.2,180.45,184.82,-2.36,-4.37,4285499.5,23500
2025/11/10,181.55,185.89,182.11,184.82,181.55,1.44,2.62,1521981.63,8262
2025/11/09,182.79,189.0,180.95,181.55,182.79,-0.68,-1.24,2406822.0,13108
2025/11/06,187.58,187.7,182.5,182.79,187.58,-2.55,-4.79,2804998.25,15233
2025/11/05,190.61,193.41,185.85,187.58,190.61,-1.59,-3.03,3383590.0,17937
2025/11/04,189.0,197.8,189.01,190.61,189.0,0.85,1.61,2.3478946E7,121058
2025/11/03,192.83,196.0,188.7,189.0,192.83,-1.99,-3.83,1.1257712E7,58690
2025/11/02,187.76,193.79,182.1,192.83,187.76,2.7,5.07,8006539.0,42308
2025/10/30,188.92,194.0,187.0,187.76,188.92,-0.61,-1.16,3376880.5,17941
2025/10/29,184.81,196.0,184.0,188.92,184.81,2.22,4.11,1.1416364E7,59665
2025/10/28,190.0,193.93,183.0,184.81,190.0,-2.73,-5.19,2897171.25,15538
2025/10/27,189.5,194.0,187.09,190.0,189.5,0.26,0.5,6624115.0,34735
2025/10/26,179.64,199.8,180.0,189.5,179.64,5.49,9.86,2.792391E7,145717
2025/10/23,181.13,187.8,178.51,179.64,181.13,-0.82,-1.49,3562198.5,19624
