«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,25.71,25.92,24.8,25.03,25.71,-2.64,-0.68,9602904.0,382220
2026/01/12,25.61,25.96,25.63,25.71,25.61,0.08,0.02,6493259.5,251261
2026/01/11,25.7,26.09,25.6,25.61,25.7,-0.35,-0.09,4935404.5,191715
2026/01/08,25.2,26.25,25.12,25.7,25.2,1.98,0.5,6.0549516E7,2338386
2026/01/06,24.6,25.42,24.65,25.2,24.6,2.44,0.6,2.2725992E7,903934
2026/01/05,25.65,26.0,24.41,24.6,25.65,-4.09,-1.05,2.2102452E7,889038
2026/01/04,25.75,26.39,25.57,25.65,25.75,-0.39,-0.1,9013273.0,348294
2025/12/31,25.78,26.02,25.54,25.75,25.78,-0.12,-0.03,1.7500206E7,679267
2025/12/30,26.16,26.4,25.75,25.78,26.16,-1.45,-0.38,1.2600461E7,486735
2025/12/29,26.39,26.69,25.95,26.16,26.39,-0.87,-0.23,1.6773179E7,638868
2025/12/28,26.56,26.8,26.25,26.39,26.56,-0.64,-0.17,3.4958276E7,1317081
2025/12/25,26.94,27.28,26.45,26.56,26.94,-1.41,-0.38,4.01553E7,1490516
2025/12/24,27.48,28.2,26.85,26.94,27.48,-1.97,-0.54,3.0822386E7,1121805
2025/12/23,26.8,27.5,26.81,27.48,26.8,2.54,0.68,4.4090912E7,1620775
2025/12/22,26.24,27.79,26.02,26.8,26.24,2.13,0.56,6.950224E7,2563303
2025/12/21,25.8,26.34,25.76,26.24,25.8,1.71,0.44,1.4237306E7,544819
2025/12/18,26.1,26.3,25.8,25.8,26.1,-1.15,-0.3,1.388457E7,534466
2025/12/17,26.4,26.57,25.81,26.1,26.4,-1.14,-0.3,3.3679004E7,1292950
2025/12/16,25.95,26.49,26.11,26.4,25.95,1.73,0.45,3.4538444E7,1311702
2025/12/15,25.5,26.08,25.5,25.95,25.5,1.76,0.45,8.1310016E7,3151140
2025/12/14,24.9,25.76,25.0,25.5,24.9,2.41,0.6,3.0096086E7,1182399
2025/12/11,25.01,25.35,24.82,24.9,25.01,-0.44,-0.11,2.7756496E7,1108653
2025/12/10,24.3,25.01,24.15,25.01,24.3,2.92,0.71,1.755946E7,713201
2025/12/09,24.36,24.53,24.14,24.3,24.36,-0.25,-0.06,1.576302E7,648278
2025/12/08,24.03,24.36,23.93,24.36,24.03,1.37,0.33,1.3020489E7,540641
2025/12/07,24.0,24.25,23.9,24.03,24.0,0.13,0.03,2.2629276E7,941894
2025/12/04,24.7,24.88,23.83,24.0,24.7,-2.83,-0.7,7.8593072E7,3253198
2025/12/03,24.62,25.19,24.6,24.7,24.62,0.32,0.08,2.6807508E7,1079972
2025/12/02,25.8,26.0,24.55,24.62,25.8,-4.57,-1.18,5.2462572E7,2097922
2025/12/01,27.37,28.35,25.68,25.8,27.37,-5.74,-1.57,2.14654848E8,7951189
2025/11/30,27.38,27.5,27.2,27.37,27.38,-0.04,-0.01,9.1423768E7,3343343
2025/11/27,27.42,27.4,27.1,27.38,27.42,-0.15,-0.04,2.3963306E7,879476
2025/11/26,27.99,27.98,27.16,27.42,27.99,-2.04,-0.57,7.5631376E7,2757103
2025/11/25,27.3,28.19,27.02,27.99,27.3,2.53,0.69,4.9387808E7,1790385
2025/11/24,27.98,28.11,27.14,27.3,27.98,-2.43,-0.68,5.7043032E7,2072045
2025/11/23,25.23,28.65,25.2,27.98,25.23,10.9,2.75,9.9855224E7,3722713
2025/11/20,25.33,25.69,25.19,25.23,25.33,-0.39,-0.1,1.2426064E7,489875
2025/11/19,25.0,25.46,24.75,25.33,25.0,1.32,0.33,2.199449E7,875978
2025/11/18,25.4,25.69,25.0,25.0,25.4,-1.57,-0.4,1.1255473E7,444902
2025/11/17,25.65,25.74,25.3,25.4,25.65,-0.97,-0.25,2.5294232E7,992563
2025/11/16,25.7,25.94,25.45,25.65,25.7,-0.19,-0.05,2.7036292E7,1055345
2025/11/13,25.2,25.75,24.81,25.7,25.2,1.98,0.5,4.9627888E7,1961772
2025/11/12,24.98,25.2,24.85,25.2,24.98,0.88,0.22,3.0884152E7,1234323
2025/11/11,25.83,26.19,24.73,24.98,25.83,-3.29,-0.85,6.9528768E7,2756676
2025/11/10,26.63,26.89,25.8,25.83,26.63,-3.0,-0.8,3.787368E7,1453253
2025/11/09,27.01,27.2,26.58,26.63,27.01,-1.41,-0.38,1.5448787E7,577505
