«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,15.95,16.0,15.55,15.58,15.95,-2.32,-0.37,1.6805226E7,1070191
2026/01/12,16.3,16.65,15.93,15.95,16.3,-2.15,-0.35,1.0565666E7,650771
2026/01/11,16.21,16.54,16.12,16.3,16.21,0.56,0.09,9799753.0,600259
2026/01/08,16.1,16.66,16.0,16.21,16.1,0.68,0.11,1.421971E7,871288
2026/01/06,15.86,16.39,15.85,16.1,15.86,1.51,0.24,1.4558524E7,900606
2026/01/05,16.16,16.37,15.8,15.86,16.16,-1.86,-0.3,9714491.0,608214
2026/01/04,16.1,16.3,16.0,16.16,16.1,0.37,0.06,5248546.0,326467
2025/12/31,16.41,16.64,16.0,16.1,16.41,-1.89,-0.31,7223686.0,444842
2025/12/30,16.52,16.88,16.35,16.41,16.52,-0.67,-0.11,6726122.0,407505
2025/12/29,16.37,17.0,16.33,16.52,16.37,0.92,0.15,1.790176E7,1073323
2025/12/28,16.51,16.67,16.36,16.37,16.51,-0.85,-0.14,6368990.5,386590
2025/12/25,16.9,17.08,16.5,16.51,16.9,-2.31,-0.39,1.3632394E7,810845
2025/12/24,16.9,17.7,16.8,16.9,16.9,0.0,0.0,3.9553324E7,2297585
2025/12/23,16.81,16.98,16.32,16.9,16.81,0.54,0.09,2.583048E7,1554150
2025/12/22,15.5,17.3,15.75,16.81,15.5,8.45,1.31,1.00753648E8,5993768
2025/12/21,15.3,15.5,15.22,15.5,15.3,1.31,0.2,5333527.5,346932
2025/12/18,15.34,15.45,15.21,15.3,15.34,-0.26,-0.04,4352361.5,284704
2025/12/17,15.34,15.89,15.13,15.34,15.34,0.0,0.0,1.2117723E7,777282
2025/12/16,15.55,15.56,15.22,15.34,15.55,-1.35,-0.21,1.0493735E7,681881
2025/12/15,15.52,15.94,15.41,15.55,15.52,0.19,0.03,8790820.0,558844
2025/12/14,15.51,15.6,15.2,15.52,15.51,0.26,0.04,1.5928241E7,1033238
2025/12/11,16.02,16.1,15.49,15.51,16.02,-3.18,-0.51,1.5557724E7,990722
2025/12/10,16.27,16.45,16.0,16.02,16.27,-1.54,-0.25,1.4831365E7,920096
2025/12/09,15.57,16.5,15.6,16.27,15.57,4.5,0.7,6.5948784E7,4090514
2025/12/08,15.7,15.77,15.31,15.57,15.7,-0.83,-0.13,1.7835904E7,1149317
2025/12/07,14.81,15.7,14.75,15.7,14.81,6.01,0.89,2.924681E7,1921961
2025/12/04,14.0,14.95,14.06,14.81,14.0,5.79,0.81,2.24517E7,1532527
2025/12/03,13.75,14.02,13.8,14.0,13.75,1.82,0.25,3937075.25,282060
2025/12/02,13.9,14.3,13.75,13.75,13.9,-1.08,-0.15,4273067.5,303943
2025/12/01,13.57,13.9,13.49,13.9,13.57,2.43,0.33,1.1470698E7,841102
2025/11/30,13.7,13.84,13.57,13.57,13.7,-0.95,-0.13,3068629.75,224834
2025/11/27,13.7,13.78,13.2,13.7,13.7,0.0,0.0,2998700.0,220294
2025/11/26,13.85,13.98,13.6,13.7,13.85,-1.08,-0.15,3138756.25,228121
2025/11/25,14.1,14.22,13.83,13.85,14.1,-1.77,-0.25,3717593.25,265259
2025/11/24,14.01,14.41,14.05,14.1,14.01,0.64,0.09,7080639.5,495999
2025/11/23,14.08,14.19,14.0,14.01,14.08,-0.5,-0.07,4130001.25,294154
2025/11/20,14.2,14.39,14.05,14.08,14.2,-0.85,-0.12,6588835.5,463406
2025/11/19,14.07,14.2,13.91,14.2,14.07,0.92,0.13,5061774.5,360117
