«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,4.07,4.11,3.97,4.04,4.07,-0.74,-0.03,5022963.0,1246119
2026/01/12,4.1,4.18,4.06,4.07,4.1,-0.73,-0.03,4334726.0,1050540
2026/01/11,4.06,4.18,4.07,4.1,4.06,0.99,0.04,4561397.0,1110309
2026/01/08,4.1,4.15,4.05,4.06,4.1,-0.98,-0.04,4972651.0,1213681
2026/01/06,4.15,4.2,4.09,4.1,4.15,-1.2,-0.05,1.4916837E7,3608689
2026/01/05,4.27,4.29,4.13,4.15,4.27,-2.81,-0.12,5254120.5,1256013
2026/01/04,4.35,4.42,4.22,4.27,4.35,-1.84,-0.08,5572134.0,1293333
2025/12/31,4.25,4.43,4.25,4.35,4.25,2.35,0.1,1.7137188E7,3925557
2025/12/30,4.21,4.29,4.16,4.25,4.21,0.95,0.04,6675001.0,1578863
2025/12/29,4.19,4.28,4.13,4.21,4.19,0.48,0.02,3954444.75,944756
2025/12/28,4.2,4.3,4.18,4.19,4.2,-0.24,-0.01,8806298.0,2072397
2025/12/25,4.1,4.33,4.04,4.2,4.1,2.44,0.1,1.1104018E7,2637181
2025/12/24,4.17,4.22,4.09,4.1,4.17,-1.68,-0.07,4400864.5,1061564
2025/12/23,3.96,4.33,3.96,4.17,3.96,5.3,0.21,1.7377728E7,4177183
2025/12/22,3.99,4.02,3.95,3.96,3.99,-0.75,-0.03,3063389.75,768879
2025/12/21,4.01,4.06,3.95,3.99,4.01,-0.5,-0.02,4014661.75,1002895
2025/12/18,4.0,4.06,4.0,4.01,4.0,0.25,0.01,2444174.25,608483
2025/12/17,4.04,4.09,4.0,4.0,4.04,-0.99,-0.04,4552844.5,1128515
2025/12/16,4.19,4.2,3.85,4.04,4.19,-3.58,-0.15,1.4706988E7,3623283
2025/12/15,4.19,4.23,4.17,4.19,4.19,0.0,0.0,6772195.5,1615035
2025/12/14,4.26,4.28,4.15,4.19,4.26,-1.64,-0.07,7756916.0,1843589
2025/12/11,4.29,4.3,4.25,4.26,4.29,-0.7,-0.03,7526746.0,1761705
2025/12/10,4.33,4.35,4.29,4.29,4.33,-0.92,-0.04,5348771.0,1239621
2025/12/09,4.39,4.41,4.3,4.33,4.39,-1.37,-0.06,1.1818459E7,2719585
2025/12/08,4.37,4.4,4.33,4.39,4.37,0.46,0.02,1.4130834E7,3224596
