«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,1.7,1.81,1.65,1.76,1.7,3.529,0.06,3.0254746E7,17414030
2026/01/12,1.79,1.81,1.68,1.7,1.79,-5.028,-0.09,2.4458928E7,14007914
2026/01/11,1.8,1.87,1.74,1.79,1.8,-0.556,-0.01,2.8236872E7,15712631
2026/01/08,1.66,1.88,1.68,1.8,1.66,8.434,0.14,9.7852528E7,55159954
2026/01/06,1.57,1.67,1.56,1.66,1.57,5.732,0.09,3.5863516E7,22199532
2026/01/05,1.52,1.66,1.51,1.57,1.52,3.289,0.05,6.05577E7,38165134
2026/01/04,1.59,1.59,1.49,1.52,1.59,-4.403,-0.07,4.4860432E7,29374886
2025/12/31,1.37,1.64,1.37,1.59,1.37,16.058001,0.22,1.24150192E8,81622697
2025/12/30,1.32,1.43,1.33,1.37,1.32,3.788,0.05,4.4874292E7,32399780
2025/12/29,1.32,1.36,1.31,1.32,1.32,0.0,0.0,1.3550214E7,10146258
2025/12/28,1.25,1.34,1.24,1.32,1.25,5.6,0.07,2.2456618E7,17267775
2025/12/25,1.24,1.25,1.23,1.25,1.24,0.806,0.01,1911566.0,1537901
2025/12/24,1.25,1.26,1.23,1.24,1.25,-0.8,-0.01,3065911.25,2462518
2025/12/23,1.24,1.27,1.23,1.25,1.24,0.806,0.01,6094429.0,4873564
2025/12/22,1.22,1.27,1.23,1.24,1.22,1.639,0.02,9969738.0,7967654
2025/12/21,1.2,1.24,1.2,1.22,1.2,1.667,0.02,3795273.0,3100837
2025/12/18,1.18,1.2,1.18,1.2,1.18,1.695,0.02,4699916.0,3939574
2025/12/17,1.22,1.23,1.18,1.18,1.22,-3.279,-0.04,7866628.0,6548607
2025/12/16,1.24,1.26,1.22,1.22,1.24,-1.613,-0.02,4846329.5,3922102
2025/12/15,1.25,1.26,1.24,1.24,1.25,-0.8,-0.01,2441638.25,1959038
2025/12/14,1.25,1.27,1.24,1.25,1.25,0.0,0.0,2839435.25,2264951
2025/12/11,1.25,1.27,1.24,1.25,1.25,0.0,0.0,3629525.25,2902270
2025/12/10,1.27,1.28,1.24,1.25,1.27,-1.575,-0.02,1.056537E7,8419773
2025/12/09,1.26,1.28,1.25,1.27,1.26,0.794,0.01,4446716.0,3527642
2025/12/08,1.27,1.35,1.26,1.26,1.27,-0.787,-0.01,3.1134318E7,24093867
2025/12/07,1.26,1.3,1.26,1.27,1.26,1.587,0.02,3936059.0,3074020
2025/12/04,1.27,1.28,1.25,1.26,1.27,-0.787,-0.01,3014685.75,2379223
2025/12/03,1.27,1.29,1.26,1.27,1.27,0.0,0.0,2094011.5,1642376
2025/12/02,1.3,1.35,1.26,1.27,1.3,-2.308,-0.03,9704752.0,7426134
2025/12/01,1.27,1.31,1.27,1.3,1.27,2.362,0.03,3756428.0,2906525
2025/11/30,1.27,1.29,1.26,1.27,1.27,0.0,0.0,1011630.25,797101
2025/11/27,1.27,1.31,1.27,1.27,1.27,0.0,0.0,2793078.25,2170060
2025/11/26,1.28,1.3,1.26,1.27,1.28,-0.781,-0.01,2098823.25,1647388
2025/11/25,1.34,1.35,1.25,1.28,1.34,-4.478,-0.06,5544826.0,4198132
2025/11/24,1.35,1.36,1.34,1.34,1.35,-0.741,-0.01,2464664.5,1825655
2025/11/23,1.35,1.4,1.35,1.35,1.35,0.0,0.0,7552900.0,5486431
2025/11/20,1.37,1.39,1.35,1.35,1.37,-1.46,-0.02,5405516.5,3951103
2025/11/19,1.33,1.41,1.32,1.37,1.33,3.008,0.04,1.6913666E7,12268842
2025/11/18,1.37,1.38,1.32,1.33,1.37,-2.92,-0.04,3141569.25,2325039
2025/11/17,1.37,1.4,1.36,1.37,1.37,0.0,0.0,2447028.75,1774681
2025/11/16,1.36,1.41,1.36,1.37,1.36,0.735,0.01,6983297.5,5068540
2025/11/13,1.34,1.38,1.35,1.36,1.34,1.493,0.02,8561508.0,6272925
