«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2023/11/01,1.03,24.99,1.04,19.0,1.03,1744.660034,17.969999,56872.179688,25567
2023/10/30,1.01,5.0,1.03,1.03,1.01,1.98,0.02,423.040009,218
2023/10/25,5.25,1.01,0.26,1.01,5.25,-80.760002,-4.24,102.559998,106
2023/10/23,5.0,5.25,5.25,5.0,5.0,5.0,0.25,52.5,10
2023/10/12,15.31,14.55,14.55,15.31,15.31,-4.96,-0.76,14.55,1
2023/09/24,15.31,15.5,15.5,15.31,15.31,1.24,0.19,108.5,7
2023/09/13,15.31,15.5,15.3,15.31,15.31,0.26,0.04,10001.25,650
2023/04/09,15.31,16.07,15.0,15.31,15.31,-2.02,-0.31,767.0,50
2023/04/03,15.31,15.0,15.0,15.31,15.31,-2.02,-0.31,15.0,1
2023/01/25,15.31,16.0,16.0,15.31,15.31,4.51,0.69,16.0,1
2022/04/04,15.31,16.83,16.83,15.31,15.31,9.93,1.52,336.600006,20
2022/03/24,15.31,13.78,13.78,15.31,15.31,-9.99,-1.53,10335.0,750
2022/03/17,15.31,16.84,16.83,15.31,15.31,9.93,1.52,12942.44043,769
2022/03/13,15.31,13.78,13.78,15.31,15.31,-9.99,-1.53,8254.219727,599
2021/12/29,15.31,16.799999,16.799999,15.31,15.31,9.73,1.49,453.600006,27
2021/11/11,15.31,13.8,13.8,15.31,15.31,0.0,-1.51,13.8,1
2021/11/02,15.31,14.1,14.1,15.31,15.31,-7.9,-1.21,70.5,5
2021/10/28,15.31,14.11,14.11,15.31,15.31,-7.84,-1.2,14.11,1
2021/10/26,15.31,14.11,14.11,15.31,15.31,-7.84,-1.2,1411.0,100
2021/10/25,15.31,14.11,14.11,15.31,15.31,-7.84,-1.2,7760.5,550
2021/10/20,15.31,14.5,14.5,15.31,15.31,-5.29,-0.81,14.5,1
2021/10/19,15.31,16.84,16.84,15.31,15.31,9.99,1.53,4210.0,250
2021/10/12,15.31,16.84,16.84,15.31,15.31,9.99,1.53,7628.52002,453
2021/10/06,15.31,16.200001,14.55,15.31,15.31,5.81,0.89,824.549988,51
2021/10/05,15.31,15.6,15.6,15.31,15.31,1.89,0.29,15.6,1
2021/10/04,15.31,16.4,14.2,15.31,15.31,7.12,1.09,17796.699219,1102
2021/10/03,15.31,16.84,14.02,15.31,15.31,-8.43,-1.29,12644.019531,751
2021/09/30,15.31,16.84,16.84,15.31,15.31,9.99,1.53,10104.0,600
2021/09/29,15.31,16.0,16.0,15.31,15.31,4.51,0.69,528.0,33
2021/09/28,15.31,16.84,16.0,15.31,15.31,9.99,1.53,82956.320313,5033
2021/09/27,15.31,16.84,15.5,15.31,15.31,1.24,0.19,4859.0,300
2021/09/26,15.31,16.83,16.0,15.31,15.31,9.86,1.51,74131.6875,4520
2021/09/23,15.31,15.31,15.0,15.31,15.31,-2.02,-0.31,765.309998,51
2021/09/22,15.31,13.8,13.8,15.31,15.31,-9.86,-1.51,966.0,70
2021/08/25,15.31,14.56,14.55,15.31,15.31,-4.96,-0.76,43781.851563,3007
2021/08/17,15.31,14.55,14.55,15.31,15.31,-4.96,-0.76,8744.549805,601
2021/08/11,15.31,14.55,14.55,15.31,15.31,-4.96,-0.76,291.0,20
2021/08/03,15.31,14.55,14.55,15.31,15.31,-4.96,-0.76,1411.349976,97
2021/07/28,15.31,16.07,14.55,15.31,15.31,4.96,0.76,32629.349609,2241
2021/07/25,15.31,14.56,14.56,15.31,15.31,-4.9,-0.75,14.56,1
2021/07/15,16.059999,16.860001,15.26,15.31,16.059999,4.98,0.8,103034.078125,6728
2021/07/14,16.059999,15.26,15.26,16.059999,16.059999,-4.98,-0.8,32809.0,2150
2021/07/07,16.059999,15.26,15.26,16.059999,16.059999,-4.98,-0.8,15260.0,1000
2021/07/04,16.059999,16.84,16.84,16.059999,16.059999,4.86,0.78,168.399994,10
2021/06/30,16.059999,16.84,16.84,16.059999,16.059999,4.86,0.78,168.399994,10
2021/06/28,16.059999,16.299999,15.26,16.059999,16.059999,-4.98,-0.8,48512.0,3040
2021/06/27,16.059999,16.299999,16.299999,16.059999,16.059999,1.49,0.24,16.299999,1
2021/06/24,16.059999,15.37,15.26,16.059999,16.059999,-4.3,-0.69,3058.820068,200
2021/05/31,16.059999,16.84,15.3,16.059999,16.059999,4.86,0.78,16111.44043,977
2021/05/26,16.059999,15.26,15.26,16.059999,16.059999,-4.98,-0.8,763.0,50
2021/05/11,16.059999,16.01,16.01,16.059999,16.059999,-0.31,-0.05,3202.0,200
2021/04/22,16.059999,15.26,15.26,16.059999,16.059999,-4.98,-0.8,3052.0,200
2021/04/13,16.059999,16.860001,16.85,16.059999,16.059999,4.92,0.79,5090.700195,302
2021/04/01,16.059999,16.0,15.5,16.059999,16.059999,-0.37,-0.06,23858.5,1507
2021/03/30,16.059999,15.26,15.26,16.059999,16.059999,-4.98,-0.8,16786.0,1100
2021/03/28,16.059999,15.26,15.26,16.059999,16.059999,-4.98,-0.8,7874.160156,516
2021/03/25,16.059999,15.26,15.26,16.059999,16.059999,-4.98,-0.8,34899.621094,2287
2021/03/24,16.059999,15.26,15.26,16.059999,16.059999,-4.98,-0.8,3815.0,250
2021/03/23,16.059999,15.26,15.26,16.059999,16.059999,-4.98,-0.8,7828.379883,513
2021/03/22,16.059999,15.5,15.31,16.059999,16.059999,-4.67,-0.75,12773.25,825
2021/03/21,16.059999,16.5,16.49,16.059999,16.059999,2.68,0.43,2095.47998,127
2021/03/18,15.5,16.27,15.82,16.059999,15.5,2.06,0.32,100002.171875,6227
2021/03/17,14.77,15.5,14.82,15.5,14.77,4.94,0.73,236792.8125,15277
2021/03/16,14.07,14.77,14.77,14.77,14.07,4.98,0.7,100081.523438,6776
2021/03/15,13.4,14.07,14.07,14.07,13.4,5.0,0.67,100051.773438,7111
2021/03/14,13.4,14.07,14.07,13.4,13.4,5.0,0.67,14070.0,1000
2021/03/11,13.4,14.07,14.07,13.4,13.4,5.0,0.67,33064.5,2350
2021/03/08,13.4,14.07,14.07,13.4,13.4,5.0,0.67,7035.0,500
2021/03/07,13.4,14.07,14.07,13.4,13.4,5.0,0.67,77385.0,5500
2021/03/04,13.4,14.07,14.07,13.4,13.4,5.0,0.67,4924.5,350
2021/03/03,13.4,14.07,14.07,13.4,13.4,5.0,0.67,35203.140625,2502
2021/02/24,13.4,14.07,14.07,13.4,13.4,5.0,0.67,18938.220703,1346
2021/02/17,12.77,13.4,13.4,13.4,12.77,4.93,0.63,106208.398438,7926
2021/02/16,12.77,13.4,13.4,12.77,12.77,4.93,0.63,15410.0,1150
2021/02/15,12.77,13.4,13.4,12.77,12.77,4.93,0.63,5346.600098,399
2021/02/11,12.77,13.4,13.4,12.77,12.77,4.93,0.63,1286.400024,96
2021/02/10,12.77,13.4,13.4,12.77,12.77,4.93,0.63,670.0,50
2021/02/09,12.72,13.35,12.5,12.77,12.72,4.95,0.63,323406.125,25323
2021/02/08,13.38,12.72,12.72,12.72,13.38,-4.93,-0.66,118041.601563,9280
2021/02/04,13.38,12.72,12.72,13.38,13.38,-4.93,-0.66,47827.199219,3760
2020/12/27,13.38,12.72,12.72,13.38,13.38,-4.93,-0.66,127.199997,10
2020/12/09,13.38,12.72,12.72,13.38,13.38,-4.93,-0.66,12084.0,950
2020/12/08,13.38,12.72,12.72,13.38,13.38,-4.93,-0.66,92843.28125,7299
2020/12/06,13.38,13.1,13.1,13.38,13.38,-2.09,-0.28,1965.0,150
2020/11/24,13.38,13.68,13.68,13.38,13.38,2.24,0.3,629.280029,46
2020/11/19,13.38,13.78,13.78,13.38,13.38,2.99,0.4,275.600006,20
2020/11/17,13.38,13.38,12.8,13.38,13.38,-4.33,-0.58,11527.55957,894
2020/11/16,12.75,13.38,13.37,13.38,12.75,4.94,0.63,82948.0,6200
2020/11/15,12.15,12.75,12.75,12.75,12.15,4.94,0.6,35075.25,2751
2020/11/12,11.58,12.15,12.15,12.15,11.58,4.92,0.57,33096.601563,2724
2020/11/08,11.58,12.15,12.15,11.58,11.58,4.92,0.57,7290.0,600
2020/11/05,11.03,11.58,11.58,11.58,11.03,4.99,0.55,52110.0,4500
2020/11/04,10.51,11.03,11.03,11.03,10.51,4.95,0.52,33090.0,3000
