«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2024/08/29,27.4,27.74,27.3,27.35,27.4,-0.18,-0.05,3351684.06,122146
2024/06/10,28.28,28.88,27.83,28.33,28.28,1.8,0.51,378513.56,13338
2024/06/09,29.08,29.44,26.8,28.28,29.08,-4.37,-1.27,687953.0,24052
2024/06/06,28.1,29.49,28.31,29.08,28.1,1.85,0.52,627251.13,21525
2024/06/05,29.06,29.38,27.9,28.1,29.06,-2.62,-0.76,1149801.25,40397
2024/06/04,29.3,29.39,29.0,29.06,29.3,-0.07,-0.02,667035.63,22910
2024/06/03,29.3,29.47,29.05,29.3,29.3,-0.68,-0.2,219786.83,7505
2024/06/02,29.4,29.5,29.05,29.3,29.4,0.14,0.04,337339.09,11510
2024/05/30,29.4,29.58,29.1,29.4,29.4,-0.34,-0.1,288640.16,9864
2024/05/29,29.4,29.67,29.05,29.4,29.4,0.0,0.0,216021.56,7364
2024/05/28,29.41,29.7,29.05,29.4,29.41,-0.85,-0.25,1069275.38,36264
2024/05/27,29.5,29.75,29.07,29.41,29.5,0.64,0.19,495105.28,16801
2024/05/26,29.17,29.87,29.18,29.5,29.17,0.34,0.1,615102.69,20821
2024/05/23,29.06,29.85,28.9,29.17,29.06,0.38,0.11,608621.5,20760
2024/05/22,29.6,29.85,29.0,29.06,29.6,-1.82,-0.54,904466.56,30869
2024/05/21,29.86,29.99,29.4,29.6,29.86,-1.21,-0.36,533262.38,17963
2024/05/20,29.49,30.0,29.51,29.86,29.49,0.37,0.11,1550248.0,51844
2024/05/19,28.56,29.76,28.69,29.49,28.56,4.2,1.2,1057669.38,35940
2024/05/16,28.68,28.8,28.15,28.56,28.68,0.0,0.0,756993.88,26576
2024/05/15,28.68,29.25,28.17,28.68,28.68,-1.29,-0.37,223229.63,7852
2024/05/14,29.29,29.98,28.5,28.68,29.29,-1.02,-0.3,1371879.25,47369
2024/05/13,30.19,30.2,29.07,29.29,30.19,-2.32,-0.7,761560.94,25811
2024/05/12,30.56,30.9,30.0,30.19,30.56,-1.18,-0.36,418159.59,13812
2024/05/09,31.43,31.5,30.01,30.56,31.43,-2.39,-0.75,548812.75,17880
2024/05/08,31.61,32.0,30.55,31.43,31.61,-0.95,-0.3,341067.63,10838
2024/05/07,31.61,31.96,31.12,31.61,31.61,-0.03,-0.01,263088.94,8349
2024/05/02,31.32,32.0,30.3,31.61,31.32,-0.64,-0.2,488505.38,15516
2024/05/01,31.32,31.84,29.52,31.32,31.32,0.0,0.0,264309.5,8559
2024/04/30,31.8,32.0,30.31,31.32,31.8,-4.69,-1.49,449913.56,14341
2024/04/29,29.85,32.5,30.0,31.8,29.85,8.51,2.54,724254.0,23175
2024/04/28,31.31,31.88,29.0,29.85,31.31,-4.18,-1.31,717268.44,23787
2024/04/24,32.46,32.95,30.3,31.31,32.46,-2.96,-0.96,1773056.0,55793
2024/04/23,33.99,34.0,32.03,32.46,33.99,-2.56,-0.87,1130938.38,33965
2024/04/22,33.83,35.2,33.8,33.99,33.83,0.35,0.12,2650557.75,77054
2024/04/21,32.72,34.0,33.0,33.83,32.72,3.91,1.28,772081.06,22913
2024/04/18,33.18,34.79,32.01,32.72,33.18,-2.65,-0.88,2342030.5,70012
