«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,46.6,47.75,45.55,45.65,46.6,-2.04,-0.95,1.3965129E7,298113
2026/01/12,45.69,47.2,45.3,46.6,45.69,1.99,0.91,1.1501547E7,246531
2026/01/11,44.5,46.83,44.34,45.69,44.5,2.67,1.19,8383069.0,182200
2026/01/08,44.69,44.9,44.26,44.5,44.69,-0.78,-0.35,922888.56,20697
2026/01/06,44.19,45.0,44.18,44.69,44.19,1.13,0.5,511701.66,11444
2026/01/05,44.93,45.5,44.0,44.19,44.93,-1.65,-0.74,2237546.25,50292
2026/01/04,46.36,47.98,44.5,44.93,46.36,-2.09,-0.97,3031367.25,65942
2025/12/31,43.15,47.87,43.16,46.36,43.15,7.44,3.21,2.2149466E7,479232
2025/12/30,41.9,43.99,42.03,43.15,41.9,2.98,1.25,7687427.0,177935
2025/12/29,42.02,43.6,41.7,41.9,42.02,-0.29,-0.12,6714594.0,158823
2025/12/28,42.25,42.6,42.0,42.02,42.25,-0.57,-0.24,2033981.75,48331
2025/12/25,42.12,42.87,42.0,42.25,42.12,0.55,0.23,1328458.25,31526
2025/12/24,42.39,42.95,41.95,42.12,42.39,-0.64,-0.27,2924843.0,69296
2025/12/23,42.68,42.79,42.2,42.39,42.68,-0.68,-0.29,1856797.0,43745
2025/12/22,44.09,44.5,41.75,42.68,44.09,-3.2,-1.41,1.5564985E7,366015
2025/12/21,43.95,44.65,43.5,44.09,43.95,0.32,0.14,860010.44,19517
2025/12/18,44.92,44.9,43.7,43.95,44.92,-2.67,-1.2,1271351.63,28775
2025/12/17,44.0,45.0,43.62,44.92,44.0,2.09,0.92,4841064.0,109235
2025/12/16,45.06,45.79,44.0,44.0,45.06,-2.35,-1.06,3681305.0,82792
2025/12/15,44.99,46.89,45.0,45.06,44.99,0.04,0.02,4906548.5,107502
2025/12/14,46.36,46.95,44.62,44.99,46.36,-2.91,-1.35,4088666.5,90099
2025/12/11,46.14,47.9,46.01,46.36,46.14,0.48,0.22,1.2009575E7,256506
2025/12/10,45.5,46.65,44.75,46.14,45.5,1.41,0.64,8466712.0,184911
2025/12/09,43.01,45.8,42.18,45.5,43.01,5.79,2.49,1.6005899E7,359021
