«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,8.1,8.13,7.91,7.96,8.1,-1.73,-0.14,1.183744E7,1478613
2026/01/12,8.21,8.27,8.05,8.1,8.21,-1.34,-0.11,1.3318588E7,1637688
2026/01/11,8.1,8.32,8.08,8.21,8.1,1.36,0.11,2.9055358E7,3534301
2026/01/08,8.1,8.2,8.07,8.1,8.1,0.0,0.0,1.2396968E7,1526331
2026/01/06,8.15,8.23,8.06,8.1,8.15,-0.61,-0.05,2.8282826E7,3479468
2026/01/05,8.39,8.48,8.08,8.15,8.39,-2.86,-0.24,2.8869034E7,3489972
2026/01/04,8.39,8.51,8.35,8.39,8.39,0.0,0.0,1.5677416E7,1858552
2025/12/31,8.42,8.49,8.37,8.39,8.42,-0.36,-0.03,1.1341669E7,1349490
2025/12/30,8.4,8.52,8.41,8.42,8.4,0.24,0.02,7249886.5,857673
2025/12/29,8.4,8.45,8.33,8.4,8.4,0.0,0.0,1.2236066E7,1456953
2025/12/28,8.43,8.52,8.39,8.4,8.43,-0.36,-0.03,1.0662992E7,1262241
2025/12/25,8.55,8.61,8.4,8.43,8.55,-1.4,-0.12,1.7595618E7,2080326
2025/12/24,8.45,8.77,8.42,8.55,8.45,1.18,0.1,2.8864268E7,3356939
2025/12/23,8.51,8.57,8.36,8.45,8.51,-0.71,-0.06,1.3666095E7,1615300
2025/12/22,8.56,8.71,8.51,8.51,8.56,-0.58,-0.05,1.0463502E7,1220383
2025/12/21,8.85,8.94,8.51,8.56,8.85,-3.28,-0.29,2.623092E7,3039014
2025/12/18,8.96,9.05,8.82,8.85,8.96,-1.23,-0.11,1.2206835E7,1369073
2025/12/17,8.91,9.05,8.81,8.96,8.91,0.56,0.05,2.9360684E7,3275430
2025/12/16,8.96,9.07,8.89,8.91,8.96,-0.56,-0.05,1.5677022E7,1750668
2025/12/15,9.16,9.21,8.96,8.96,9.16,-2.18,-0.2,3.2831042E7,3624019
2025/12/14,8.89,9.41,9.08,9.16,8.89,3.04,0.27,1.35401552E8,14671166
2025/12/11,8.56,8.94,8.56,8.89,8.56,3.86,0.33,7.740736E7,8779211
2025/12/10,8.39,8.64,8.3,8.56,8.39,2.03,0.17,5.2639796E7,6216014
2025/12/09,8.21,8.5,8.2,8.39,8.21,2.19,0.18,2.5801454E7,3076262
2025/12/08,8.24,8.4,8.2,8.21,8.24,-0.36,-0.03,1.5987184E7,1931572
2025/12/07,8.25,8.35,8.18,8.24,8.25,-0.12,-0.01,1.4998507E7,1820426
2025/12/04,8.33,8.42,8.23,8.25,8.33,-0.96,-0.08,7035462.0,846193
2025/12/03,8.4,8.5,8.32,8.33,8.4,-0.83,-0.07,1.1884735E7,1413298
2025/12/02,8.51,8.59,8.39,8.4,8.51,-1.29,-0.11,1.0300042E7,1219360
2025/12/01,8.62,8.71,8.5,8.51,8.62,-1.28,-0.11,8514956.0,990726
2025/11/30,8.45,8.8,8.45,8.62,8.45,2.01,0.17,1.5482241E7,1796176
2025/11/27,8.54,8.63,8.37,8.45,8.54,-1.05,-0.09,1.1273136E7,1329256
2025/11/26,8.58,8.77,8.54,8.54,8.58,-0.47,-0.04,1.2281158E7,1421496
2025/11/25,8.9,8.9,8.53,8.58,8.9,-3.6,-0.32,2.4078476E7,2757312
2025/11/24,8.86,9.1,8.82,8.9,8.86,0.45,0.04,1.5845523E7,1770297
2025/11/23,9.03,9.09,8.85,8.86,9.03,-1.88,-0.17,1.0919651E7,1225408
2025/11/20,9.16,9.23,9.02,9.03,9.16,-1.42,-0.13,2.3568406E7,2588602
2025/11/19,9.16,9.25,9.12,9.16,9.16,0.0,0.0,1.116848E7,1219370
2025/11/18,9.19,9.35,9.11,9.16,9.19,-0.33,-0.03,2.1811908E7,2363955
2025/11/17,9.45,9.68,9.1,9.19,9.45,-2.75,-0.26,8.0175224E7,8699275
2025/11/16,9.77,9.74,9.45,9.45,9.77,-3.28,-0.32,3.1520132E7,3298874
2025/11/13,10.03,10.14,9.76,9.77,10.03,-2.59,-0.26,3.0548104E7,3078719
2025/11/12,9.94,10.64,9.9,10.03,9.94,0.91,0.09,9.1258E7,8934829
2025/11/11,9.81,10.16,9.47,9.94,9.81,1.33,0.13,5.9595252E7,6081946
2025/11/10,10.21,10.33,9.78,9.81,10.21,-3.92,-0.4,3.7324936E7,3743233
2025/11/09,10.14,10.4,9.96,10.21,10.14,0.69,0.07,3.430322E7,3374651
2025/11/06,9.98,10.32,9.88,10.14,9.98,1.6,0.16,2.2479724E7,2237219
2025/11/05,10.21,10.33,9.92,9.98,10.21,-2.25,-0.23,2.7053532E7,2670914
2025/11/04,10.37,10.45,10.17,10.21,10.37,-1.54,-0.16,2.9997028E7,2915654
2025/11/03,9.97,10.46,9.83,10.37,9.97,4.01,0.4,5.3503252E7,5241878
2025/11/02,9.61,10.02,9.61,9.97,9.61,3.75,0.36,4.4602352E7,4519586
2025/10/30,9.56,9.83,9.5,9.61,9.56,0.52,0.05,2.2992428E7,2383873
2025/10/29,9.65,9.77,9.49,9.56,9.65,-0.93,-0.09,1.6586398E7,1726275
2025/10/28,9.4,9.76,9.17,9.65,9.4,2.66,0.25,4.1536412E7,4396397
2025/10/27,9.5,9.61,9.36,9.4,9.5,-1.05,-0.1,2.7856014E7,2954591
2025/10/26,9.75,9.83,9.47,9.5,9.75,-2.56,-0.25,3.507014E7,3653926
2025/10/23,9.41,10.11,9.63,9.75,9.41,3.61,0.34,8.6907928E7,8775903
2025/10/22,9.55,9.79,9.34,9.41,9.55,-1.47,-0.14,4.0476384E7,4218877
2025/10/21,10.1,10.18,9.52,9.55,10.1,-5.45,-0.55,7.9289616E7,8105869
2025/10/20,11.64,11.7,9.66,10.1,11.64,-13.23,-1.54,1.61906224E8,15499990
2025/10/19,11.6,11.94,11.47,11.64,11.6,0.34,0.04,4.4285136E7,3780332
2025/10/16,10.47,12.14,10.47,11.6,10.47,10.79,1.13,1.31858768E8,11457556
2025/10/15,10.8,10.89,10.37,10.47,10.8,-3.06,-0.33,2.4586168E7,2324469
2025/10/14,10.89,11.0,10.25,10.8,10.89,-0.83,-0.09,3.1301774E7,2915752
2025/10/13,10.92,11.18,10.76,10.89,10.92,-0.27,-0.03,2.6957032E7,2456756
2025/10/12,10.68,11.35,10.33,10.92,10.68,2.25,0.24,8.5639576E7,7833749
2025/10/08,9.97,10.84,9.7,10.68,9.97,7.12,0.71,1.03557408E8,10121418
2025/10/07,9.05,9.99,8.97,9.97,9.05,10.17,0.92,8.5011496E7,9018497
2025/10/06,9.05,9.25,8.91,9.05,9.05,0.0,0.0,2.7473516E7,3026248
2025/10/05,8.9,9.3,8.9,9.05,8.9,1.69,0.15,3.5861236E7,3939551
2025/10/02,8.9,9.45,8.51,8.9,8.9,0.0,0.0,3.8826908E7,4321131
2025/10/01,8.55,9.8,8.4,8.9,8.55,4.09,0.35,6.7828888E7,7476575
2025/09/30,7.49,8.98,7.52,8.55,7.49,14.15,1.06,7.590792E7,9036487
2025/09/29,7.38,7.55,7.38,7.49,7.38,1.08,0.08,5345988.5,714837
2025/09/28,7.25,7.56,7.27,7.38,7.25,2.07,0.15,4575297.0,614270
2025/09/25,7.21,7.28,7.2,7.25,7.21,0.83,0.06,379576.56,52335
2025/09/24,7.23,7.26,7.18,7.21,7.23,-0.41,-0.03,397818.38,55144
2025/09/23,7.27,7.29,7.19,7.23,7.27,-0.96,-0.07,382923.19,52919
2025/09/22,7.23,7.28,7.16,7.27,7.23,0.55,0.04,1701733.88,234500
2025/09/21,7.25,7.29,7.2,7.23,7.25,0.14,0.01,737571.0,102229
2025/09/18,7.26,7.31,7.21,7.25,7.26,-0.14,-0.01,827731.63,113956
2025/09/17,7.2,7.3,7.16,7.26,7.2,1.25,0.09,1155696.38,159263
2025/09/16,7.24,7.29,7.05,7.2,7.24,-0.55,-0.04,1610349.0,224295
2025/09/15,7.15,7.26,7.15,7.24,7.15,1.4,0.1,1596252.25,221683
2025/09/14,7.17,7.23,7.01,7.15,7.17,-0.28,-0.02,2419073.0,338630
2025/09/11,7.23,7.35,7.16,7.17,7.23,-0.83,-0.06,1331462.0,185227
2025/09/10,7.23,7.29,7.18,7.23,7.23,0.14,0.01,2338386.0,324514
2025/09/09,7.27,7.36,7.21,7.23,7.27,0.14,0.01,1781544.5,245710
2025/09/08,7.34,7.4,7.25,7.27,7.34,-0.95,-0.07,2263467.5,309736
2025/09/07,7.29,7.39,7.3,7.34,7.29,0.96,0.07,1286550.88,174998
2025/09/03,7.19,7.4,7.2,7.29,7.19,1.39,0.1,7143053.5,979294
2025/09/02,7.38,7.39,7.16,7.19,7.38,-2.57,-0.19,1604599.0,220925
2025/09/01,7.35,7.44,7.28,7.38,7.35,0.41,0.03,827063.0,112504
2025/08/31,7.34,7.47,7.32,7.35,7.34,0.14,0.01,3609884.75,489858
2025/08/28,7.21,7.36,7.22,7.34,7.21,1.8,0.13,1448759.88,197819
2025/08/27,7.24,7.29,7.17,7.21,7.24,-0.55,-0.04,336337.13,46617
2025/08/26,7.24,7.3,7.2,7.24,7.24,0.14,0.01,628891.63,86817
2025/08/25,7.25,7.3,7.22,7.24,7.25,0.14,0.01,366452.75,50630
2025/08/24,7.27,7.31,7.2,7.25,7.27,-0.41,-0.03,1157718.0,159262
2025/08/21,7.31,7.33,7.26,7.27,7.31,-0.27,-0.02,1082528.63,148596
2025/08/20,7.33,7.39,7.31,7.31,7.33,-0.27,-0.02,1088699.88,148647
2025/08/19,7.3,7.39,7.25,7.33,7.3,0.41,0.03,1186308.13,162041
2025/08/18,7.35,7.45,7.3,7.3,7.35,-0.68,-0.05,1556892.25,212512
2025/08/17,7.35,7.38,7.25,7.35,7.35,0.27,0.02,187020.45,25556
2025/08/14,7.38,7.42,7.3,7.35,7.38,-0.41,-0.03,2694907.25,367409
2025/08/13,7.3,7.5,7.33,7.38,7.3,1.1,0.08,1455921.5,196747
2025/08/12,7.33,7.43,7.3,7.3,7.33,-0.41,-0.03,4579480.5,626519
2025/08/11,7.54,7.59,7.25,7.33,7.54,-2.79,-0.21,3487950.5,475109
2025/08/10,7.43,7.64,7.36,7.54,7.43,1.48,0.11,1.0245062E7,1354324
2025/08/07,7.39,7.45,7.28,7.43,7.39,0.54,0.04,2913862.0,394675
2025/08/06,7.36,7.46,7.3,7.39,7.36,0.82,0.06,3026660.75,409263
2025/08/05,7.33,7.5,7.28,7.36,7.33,0.41,0.03,8007347.5,1079972
2025/08/04,7.2,7.39,7.21,7.33,7.2,1.81,0.13,5883890.5,803275
2025/08/03,7.1,7.41,7.12,7.2,7.1,1.41,0.1,1.2512025E7,1718468
2025/07/31,7.01,7.27,7.1,7.1,7.01,1.43,0.1,6130638.0,856106
2025/07/30,6.82,7.19,6.9,7.01,6.82,0.0,0.19,1.4880179E7,2097987
2025/07/29,6.79,6.9,6.78,6.82,6.79,1.18,0.08,1836731.88,269374
2025/07/28,6.96,7.11,6.75,6.79,6.96,-2.44,-0.17,3024136.75,440252
2025/07/27,6.82,7.0,6.84,6.96,6.82,2.64,0.18,1163628.13,167893
2025/07/23,6.9,6.95,6.8,6.82,6.9,-1.45,-0.1,2327590.0,337911
2025/07/22,7.01,7.06,6.89,6.9,7.01,-1.57,-0.11,3491717.75,502539
2025/07/21,7.05,7.1,7.0,7.01,7.05,-0.57,-0.04,2005586.88,284667
2025/07/20,7.02,7.15,6.98,7.05,7.02,0.43,0.03,4739375.0,674959
2025/07/17,7.19,7.25,7.0,7.02,7.19,-2.36,-0.17,7934525.0,1119520
2025/07/16,7.29,7.33,7.13,7.19,7.29,-1.37,-0.1,2639365.0,366528
2025/07/15,7.24,7.36,7.24,7.29,7.24,0.0,0.0,1915917.25,262437
2025/07/14,7.22,7.35,7.2,7.24,7.22,0.28,0.02,1571669.25,216181
2025/07/13,7.26,7.32,7.2,7.22,7.26,-0.55,-0.04,1574634.63,216873
2025/07/07,7.31,7.39,7.22,7.24,7.31,-0.96,-0.07,7438765.5,1020448
2025/07/06,7.19,7.4,7.2,7.31,7.19,1.67,0.12,1720197.13,235268
2025/07/02,7.2,7.3,7.13,7.19,7.2,-0.14,-0.01,2915007.0,407026
2025/07/01,7.35,7.55,7.02,7.2,7.35,-2.04,-0.15,7073514.5,965219
2025/06/30,7.05,7.65,7.06,7.35,7.05,4.26,0.3,1.6298146E7,2185450
2025/06/29,7.15,7.25,7.04,7.05,7.15,-1.4,-0.1,4074108.25,571847
2025/06/25,7.19,7.27,7.11,7.15,7.19,-0.42,-0.03,1179989.13,164694
2025/06/24,7.04,7.22,7.0,7.19,7.04,1.99,0.14,3294039.5,462099
2025/06/23,6.86,7.08,6.87,7.04,6.86,3.21,0.22,1285176.88,183499
2025/06/22,6.77,6.9,6.55,6.86,6.77,1.33,0.09,1318750.88,194094
2025/06/19,6.85,6.92,6.71,6.77,6.85,-1.17,-0.08,1777682.75,260744
2025/06/18,6.87,6.94,6.78,6.85,6.87,-0.29,-0.02,1738856.88,254461
2025/06/17,6.95,7.06,6.82,6.87,6.95,-1.15,-0.08,1503990.13,217058
2025/06/16,6.92,7.25,6.93,6.95,6.92,0.43,0.03,3012746.0,424621
2025/06/15,7.3,7.2,6.61,6.92,7.3,-4.38,-0.32,5466074.0,800573
2025/06/12,7.7,7.7,7.25,7.3,7.7,-5.19,-0.4,5293298.5,708660
2025/06/11,7.3,7.72,7.3,7.7,7.3,5.48,0.4,1.1949936E7,1581240
2025/06/10,7.36,7.45,7.27,7.3,7.36,-0.82,-0.06,1250150.5,170475
2025/06/04,7.18,7.47,7.2,7.36,7.18,2.51,0.18,3240659.0,441469
2025/06/03,7.06,7.4,7.05,7.18,7.06,1.7,0.12,5162528.0,709968
2025/06/02,7.03,7.07,6.99,7.06,7.03,0.43,0.03,1020483.06,144818
2025/06/01,7.01,7.09,6.98,7.03,7.01,0.29,0.02,771315.56,109615
2025/05/29,7.03,7.09,6.98,7.01,7.03,0.28,0.02,1344037.75,191475
2025/05/28,7.02,7.13,7.02,7.03,7.02,0.14,0.01,953713.13,135193
2025/05/27,6.99,7.19,6.99,7.02,6.99,0.43,0.03,2386123.75,336752
2025/05/26,7.08,7.14,6.96,6.99,7.08,-1.27,-0.09,1049550.88,149175
2025/05/25,7.12,7.19,7.0,7.08,7.12,-0.28,-0.02,1138524.0,161068
2025/05/22,6.96,7.29,6.93,7.12,6.96,2.3,0.16,2226105.75,311060
2025/05/21,7.0,7.12,6.91,6.96,7.0,-0.57,-0.04,1197685.88,171823
2025/05/20,6.91,7.37,6.91,7.0,6.91,1.3,0.09,4274109.5,597737
2025/05/19,6.95,7.04,6.9,6.91,6.95,0.0,0.0,603294.06,87063
2025/05/18,7.08,7.2,6.9,6.95,7.08,-1.84,-0.13,3528970.0,504576
2025/05/15,7.28,7.32,7.06,7.08,7.28,-2.75,-0.2,2511935.5,351927
2025/05/14,7.26,7.34,7.21,7.28,7.26,0.28,0.02,561482.88,77266
2025/05/08,7.24,7.33,7.18,7.22,7.24,-0.28,-0.02,1517510.38,209595
2025/05/07,7.25,7.5,7.21,7.24,7.25,-0.14,-0.01,3675440.75,501732
2025/05/06,7.34,7.4,7.22,7.25,7.34,-1.23,-0.09,3014423.0,412490
2025/05/05,7.48,7.54,7.3,7.34,7.48,-1.87,-0.14,4110056.0,558769
2025/05/04,7.53,7.64,7.42,7.48,7.53,-0.53,-0.04,2439551.25,324699
2025/04/30,7.54,7.65,7.5,7.53,7.54,-0.13,-0.01,1614165.75,213434
2025/04/29,7.52,7.72,7.5,7.54,7.52,0.27,0.02,2884138.75,378235
2025/04/28,7.46,7.57,7.31,7.52,7.46,0.8,0.06,3253485.5,434187
2025/04/27,7.44,7.54,7.41,7.46,7.44,0.81,0.06,1990609.88,266091
2025/04/23,7.35,7.5,7.3,7.44,7.35,1.77,0.13,1882350.25,254656
2025/04/22,7.38,7.48,7.32,7.35,7.38,-0.41,-0.03,1071593.88,145292
2025/04/17,7.34,7.44,7.18,7.38,7.34,0.14,0.01,1933747.0,263728
2025/04/16,7.22,7.64,7.1,7.34,7.22,1.66,0.12,4931235.0,666986
2025/04/15,7.3,7.4,7.2,7.22,7.3,-1.1,-0.08,1811820.0,248184
2025/04/14,7.25,7.45,7.2,7.3,7.25,0.69,0.05,4047589.0,550531
2025/04/13,6.99,7.41,6.92,7.25,6.99,3.72,0.26,1.3093415E7,1805471
2025/04/10,6.64,7.02,6.77,6.99,6.64,4.22,0.28,1625901.0,235919
2025/04/09,6.85,6.94,6.6,6.64,6.85,-3.07,-0.21,1441127.75,213312
2025/04/08,6.64,6.95,6.71,6.85,6.64,3.16,0.21,981071.31,143614
2025/04/07,6.72,6.79,6.53,6.64,6.72,-0.3,-0.02,1909764.25,287632
2025/04/06,6.99,6.88,6.66,6.72,6.99,-3.0,-0.21,1426319.88,211215
2025/04/03,6.92,7.04,6.88,6.99,6.92,1.01,0.07,868221.75,124364
2025/03/27,6.9,6.97,6.88,6.92,6.9,1.01,0.07,430061.38,62101
2025/03/26,6.91,6.97,6.87,6.9,6.91,0.43,0.03,1458938.5,211442
2025/03/25,6.93,7.0,6.89,6.91,6.93,-0.58,-0.04,578290.38,83405
2025/03/24,6.9,7.08,6.9,6.93,6.9,0.87,0.06,806554.38,115923
2025/03/23,6.9,6.98,6.87,6.9,6.9,0.14,0.01,633474.06,91526
2025/03/20,6.91,6.97,6.85,6.9,6.91,-0.29,-0.02,446876.13,64788
2025/03/19,7.06,7.06,6.89,6.91,7.06,-2.12,-0.15,1165788.0,168202
2025/03/18,7.01,7.1,6.92,7.06,7.01,-0.86,-0.06,591975.69,84250
2025/03/17,7.01,7.05,6.94,7.01,7.01,-0.86,-0.06,1182559.88,168864
2025/03/16,6.97,7.12,6.98,7.01,6.97,0.57,0.04,842934.5,120033
2025/03/13,6.92,7.15,6.92,6.97,6.92,0.43,0.03,2150180.5,305678
2025/03/12,6.91,7.01,6.86,6.92,6.91,0.0,0.0,492245.44,71102
2025/03/11,7.01,6.99,6.89,6.91,7.01,-1.0,-0.07,702607.88,101537
2025/03/10,7.03,7.05,6.94,7.01,7.03,-0.28,-0.02,798463.5,113955
2025/03/09,6.83,7.05,6.82,7.03,6.83,2.2,0.15,2206048.75,315781
2025/03/06,6.9,6.93,6.82,6.83,6.9,-0.87,-0.06,767065.69,111955
2025/03/05,7.03,7.04,6.86,6.9,7.03,-2.13,-0.15,740973.56,106763
2025/03/04,6.93,7.06,6.9,7.03,6.93,1.01,0.07,6210545.0,886471
2025/03/03,6.81,6.95,6.79,6.93,6.81,1.76,0.12,2389468.75,347710
2025/03/02,6.81,6.86,6.77,6.81,6.81,-0.15,-0.01,631732.13,92676
2025/02/27,6.78,6.84,6.75,6.81,6.78,0.0,0.0,1097625.63,161217
2025/02/26,6.85,6.87,6.75,6.78,6.85,-0.58,-0.04,3701977.0,545578
2025/02/25,6.88,6.92,6.81,6.85,6.88,-0.44,-0.03,1685266.75,245292
2025/02/24,6.85,6.9,6.85,6.88,6.85,0.73,0.05,940846.63,136710
2025/02/23,6.9,6.95,6.8,6.85,6.9,-0.72,-0.05,5547564.5,813280
2025/02/20,7.01,7.09,6.88,6.9,7.01,-1.57,-0.11,2824196.0,406867
2025/02/19,6.84,7.24,6.82,7.01,6.84,2.49,0.17,1.0757424E7,1517054
2025/02/18,6.81,6.91,6.81,6.84,6.81,0.0,0.0,554062.5,80890
2025/02/17,6.88,6.94,6.8,6.81,6.88,-0.29,-0.02,1389079.0,203017
2025/02/16,6.74,6.95,6.71,6.88,6.74,1.19,0.08,3227249.75,471990
2025/02/13,6.82,6.95,6.66,6.74,6.82,-1.17,-0.08,4209343.5,623502
2025/02/12,6.96,6.95,6.72,6.82,6.96,-2.01,-0.14,2362254.25,345912
2025/02/11,7.1,7.16,6.92,6.98,7.1,-1.55,-0.11,1152743.5,164146
2025/02/10,7.17,7.2,7.08,7.1,7.17,-0.98,-0.07,1405293.75,196977
2025/02/09,7.12,7.2,7.06,7.17,7.12,0.84,0.06,2511317.75,351392
2025/02/06,7.02,7.15,7.0,7.12,7.02,1.42,0.1,1526032.88,215751
2025/02/05,7.04,7.19,7.0,7.02,7.04,-0.57,-0.04,1033176.13,146040
2025/02/04,7.02,7.14,7.0,7.04,7.02,1.42,0.1,1443880.0,204467
2025/02/03,7.08,7.11,7.0,7.02,7.08,-0.85,-0.06,2007310.63,284768
2025/02/02,7.11,7.15,7.02,7.08,7.11,0.14,0.01,2196772.5,310356
2025/01/30,7.15,7.22,7.06,7.11,7.15,-0.56,-0.04,2691104.0,375637
2025/01/29,7.07,7.3,7.08,7.15,7.07,1.13,0.08,2505085.0,347820
2025/01/28,7.09,7.2,7.05,7.07,7.09,-0.28,-0.02,2430085.5,341975
2025/01/27,7.18,7.28,7.03,7.09,7.18,-1.25,-0.09,1679413.63,236037
2025/01/26,7.23,7.33,7.16,7.18,7.23,-0.69,-0.05,1506093.75,208953
2025/01/23,7.3,7.41,7.2,7.23,7.3,-0.96,-0.07,1914858.13,262268
2025/01/22,7.3,7.42,7.3,7.3,7.3,0.0,0.0,3017666.0,410803
2025/01/21,7.14,7.34,7.1,7.3,7.14,2.38,0.17,3913495.25,540934
2025/01/20,7.27,7.31,7.1,7.14,7.27,-1.79,-0.13,3212028.5,449227
2025/01/19,7.12,7.3,7.11,7.27,7.12,2.11,0.15,3349673.0,462331
2025/01/16,7.17,7.29,7.08,7.12,7.17,-0.7,-0.05,2961651.0,414538
2025/01/15,6.95,7.33,6.98,7.17,6.95,3.17,0.22,9390746.0,1310972
2025/01/14,7.02,7.13,6.81,6.95,7.02,-1.0,-0.07,5375601.0,773619
2025/01/13,7.32,7.42,6.95,7.02,7.32,-4.1,-0.3,5255093.0,728058
2025/01/12,7.66,7.65,7.3,7.32,7.66,-4.44,-0.34,1.2494269E7,1682227
2025/01/09,7.4,7.7,7.31,7.66,7.4,3.51,0.26,1.5165907E7,2018240
2025/01/08,7.34,7.45,7.21,7.4,7.34,0.82,0.06,7565543.0,1025078
2025/01/06,7.5,7.53,7.32,7.34,7.5,-2.13,-0.16,2270818.25,306672
2025/01/05,7.39,7.6,7.4,7.5,7.39,1.49,0.11,9596523.0,1278869
2025/01/02,7.48,7.46,7.26,7.39,7.48,-1.2,-0.09,7766852.0,1051871
2024/12/31,6.95,7.48,6.95,7.48,6.95,7.63,0.53,1.0672597E7,1479972
2024/12/30,6.94,7.0,6.8,6.95,6.94,0.14,0.01,7182174.5,1040548
2024/12/29,7.07,7.13,6.92,6.94,7.07,-1.84,-0.13,4910703.0,700783
2024/12/26,7.14,7.25,6.96,7.07,7.14,-0.98,-0.07,2033792.5,288139
2024/12/25,7.16,7.27,7.1,7.14,7.16,-0.28,-0.02,4051511.5,566651
2024/12/24,7.11,7.2,6.96,7.16,7.11,0.7,0.05,2852488.5,402036
2024/12/23,7.3,7.32,7.01,7.11,7.3,-2.6,-0.19,9250545.0,1292600
2024/12/22,7.35,7.4,7.22,7.3,7.35,-0.68,-0.05,4407449.5,603300
2024/12/19,7.34,7.35,7.03,7.35,7.34,0.14,0.01,5083558.0,700234
2024/12/18,7.32,7.43,7.22,7.34,7.32,0.27,0.02,9964145.0,1361624
2024/12/17,7.31,7.5,7.25,7.32,7.31,0.14,0.01,1.4057869E7,1898790
2024/12/16,7.41,7.48,7.23,7.31,7.41,-1.35,-0.1,9260917.0,1263785
2024/12/15,7.48,7.54,7.3,7.41,7.48,-0.94,-0.07,1.0511879E7,1417128
2024/12/12,7.59,7.72,7.45,7.48,7.59,-1.45,-0.11,2.095225E7,2776801
2024/12/11,7.26,7.6,7.35,7.59,7.26,4.55,0.33,3.5605548E7,4749976
2024/12/10,7.24,7.54,7.14,7.26,7.24,0.28,0.02,2.0129718E7,2745040
2024/12/09,6.97,7.55,7.12,7.24,6.97,3.87,0.27,3.100824E7,4210155
2024/12/08,6.93,7.04,6.88,6.97,6.93,0.58,0.04,7046298.5,1014010
2024/12/05,6.97,7.25,6.92,6.93,6.97,-0.57,-0.04,1.7711442E7,2503183
2024/12/04,6.81,7.08,6.83,6.97,6.81,2.35,0.16,1.335859E7,1908706
2024/12/03,6.85,7.1,6.75,6.81,6.85,-0.58,-0.04,1.745777E7,2533872
2024/12/02,7.25,7.29,6.85,6.85,7.25,-5.52,-0.4,2.849175E7,4073350
2024/12/01,6.4,7.42,6.45,7.25,6.4,13.28,0.85,3.0659714E7,4400157
2024/11/28,6.43,6.59,6.36,6.4,6.43,-0.47,-0.03,7316922.5,1136956
2024/11/27,6.62,6.78,6.4,6.43,6.62,-2.87,-0.19,5238376.0,799698
2024/11/26,6.59,6.75,6.6,6.62,6.59,0.46,0.03,4890223.5,735004
2024/11/25,6.69,6.73,6.53,6.59,6.69,-1.49,-0.1,3366615.5,510268
2024/11/24,6.8,6.93,6.68,6.69,6.8,-1.62,-0.11,2448911.5,361818
2024/11/21,6.9,6.96,6.74,6.8,6.9,-1.45,-0.1,8063909.0,1177281
2024/11/20,7.14,7.29,6.85,6.9,7.14,-3.36,-0.24,9406938.0,1344239
2024/11/19,7.07,7.25,7.07,7.14,7.07,0.99,0.07,5701925.5,799946
2024/11/18,7.43,7.49,7.05,7.07,7.43,-4.85,-0.36,5718584.0,791581
2024/11/17,7.61,7.75,7.41,7.43,7.61,-2.37,-0.18,1.3023639E7,1733533
2024/11/14,7.34,7.67,7.26,7.61,7.34,3.68,0.27,2.2014022E7,2915804
2024/11/13,7.2,7.4,7.2,7.34,7.2,1.94,0.14,1.2092488E7,1656816
2024/11/12,7.46,7.56,7.13,7.2,7.46,-3.49,-0.26,8298386.5,1140921
2024/11/11,7.85,7.8,7.46,7.46,7.85,-4.97,-0.39,8277764.5,1095505
2024/11/10,7.1,7.86,7.02,7.85,7.1,10.56,0.75,5.9880764E7,7984294
2024/11/07,6.6,7.1,6.54,7.1,6.6,7.58,0.5,3.1481152E7,4660786
2024/11/06,6.18,6.61,6.17,6.6,6.18,6.8,0.42,1.8812672E7,2925489
2024/11/05,6.15,6.24,6.16,6.18,6.15,0.49,0.03,1653282.0,266686
2024/11/04,6.2,6.31,6.15,6.15,6.2,-0.81,-0.05,4046095.0,652413
2024/11/03,6.17,6.31,6.18,6.2,6.17,1.13,0.07,7584514.5,1215772
2024/10/31,6.25,6.31,6.14,6.17,6.25,-1.12,-0.07,7592312.5,1226357
2024/10/30,6.37,6.48,6.2,6.25,6.37,-1.88,-0.12,6592624.5,1049006
2024/10/29,6.5,6.57,6.36,6.37,6.5,-1.54,-0.1,1750882.5,272519
2024/10/28,6.52,6.62,6.48,6.5,6.52,-0.31,-0.02,2243671.75,342958
2024/10/27,6.39,6.65,6.41,6.52,6.39,2.03,0.13,3946009.75,601455
2024/10/24,6.5,6.65,6.35,6.39,6.5,-1.54,-0.1,5019797.5,777470
2024/10/23,6.44,6.82,6.45,6.5,6.44,0.93,0.06,1.9647296E7,2955621
2024/10/22,6.24,6.5,6.24,6.44,6.24,2.72,0.17,4800177.0,747936
2024/10/21,6.05,6.29,6.02,6.24,6.05,3.14,0.19,5904799.0,957440
2024/10/20,6.39,6.44,5.98,6.05,6.39,-5.32,-0.34,1.6435145E7,2673818
2024/10/17,6.15,6.79,6.15,6.39,6.15,3.9,0.24,3.3698276E7,5138913
2024/10/16,6.26,6.32,6.15,6.15,6.26,-1.76,-0.11,1.289174E7,2067601
2024/10/15,6.08,6.3,6.09,6.26,6.08,2.96,0.18,4309933.0,695520
2024/10/14,6.1,6.25,6.0,6.08,6.1,-0.33,-0.02,3544651.25,584004
