«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,23.8,24.0,22.63,23.37,23.8,0.71,0.17,333632.69,14256
2026/01/12,24.48,24.5,23.28,23.8,24.48,-3.76,-0.92,525063.56,22029
2026/01/11,24.48,24.97,24.07,24.48,24.48,0.08,0.02,163136.94,6718
2026/01/08,24.62,24.99,24.0,24.48,24.62,-0.12,-0.03,363765.22,14827
2026/01/06,23.95,25.14,23.61,24.62,23.95,3.13,0.75,371975.03,15096
2026/01/05,23.95,24.89,23.4,23.95,23.95,0.0,0.0,198636.48,8237
2026/01/04,22.81,23.95,22.51,23.95,22.81,5.0,1.14,1264248.75,53170
2025/12/31,22.81,22.8,22.3,22.81,22.81,-0.04,-0.01,246161.38,10947
2025/12/30,22.81,22.75,22.0,22.81,22.81,-0.48,-0.11,218434.63,9786
2025/12/29,22.81,22.97,22.5,22.81,22.81,-0.04,-0.01,113696.88,5003
2025/12/28,22.81,23.0,22.5,22.81,22.81,-0.88,-0.2,279775.94,12274
2025/12/25,22.81,22.81,22.2,22.81,22.81,0.0,0.0,131564.52,5823
2025/12/24,22.81,22.85,22.13,22.81,22.81,0.0,0.0,28755.88,1281
2025/12/23,22.81,23.0,22.2,22.81,22.81,-0.04,-0.01,149708.28,6596
2025/12/22,22.3,23.15,22.1,22.81,22.3,2.24,0.5,383853.88,16918
2025/12/21,22.3,22.8,22.23,22.3,22.3,-0.18,-0.04,173153.05,7662
2025/12/18,22.3,22.79,22.21,22.3,22.3,0.22,0.05,148501.33,6631
2025/12/17,22.68,22.97,22.23,22.3,22.68,-1.98,-0.45,464571.28,20808
2025/12/16,23.2,23.1,22.58,22.68,23.2,-2.67,-0.62,306894.34,13530
2025/12/15,23.2,23.12,22.5,23.2,23.2,-3.02,-0.7,241274.06,10610
2025/12/14,23.2,23.2,22.51,23.2,23.2,0.0,0.0,264136.13,11555
2025/12/11,23.29,23.4,22.66,23.2,23.29,-0.04,-0.01,699773.5,30120
2025/12/10,23.29,23.69,22.3,23.29,23.29,-2.96,-0.69,146733.95,6386
2025/12/09,23.29,23.0,22.4,23.29,23.29,-1.25,-0.29,180879.16,7944
2025/12/08,23.29,23.69,22.65,23.29,23.29,0.47,0.11,215467.61,9246
2025/12/07,23.29,23.79,22.14,23.29,23.29,0.9,0.21,80889.72,3572
2025/12/04,23.29,23.79,22.8,23.29,23.29,-2.1,-0.49,21855.8,946
2025/12/03,23.17,23.57,22.51,23.29,23.17,1.73,0.4,496879.06,21434
2025/12/02,23.17,23.23,22.78,23.17,23.17,-0.73,-0.17,236535.2,10280
2025/12/01,23.17,23.2,22.5,23.17,23.17,0.13,0.03,118994.09,5251
2025/11/30,23.17,23.94,22.6,23.17,23.17,-1.6,-0.37,266405.34,11597
2025/11/27,23.17,23.33,22.05,23.17,23.17,0.69,0.16,48801.35,2173
2025/11/26,23.17,23.47,22.5,23.17,23.17,-2.89,-0.67,82422.67,3612
2025/11/25,23.17,23.5,22.7,23.17,23.17,0.56,0.13,214184.81,9344
2025/11/24,23.17,22.77,22.7,23.17,23.17,-2.03,-0.47,159222.48,7001
2025/11/23,23.17,23.5,23.17,23.17,23.17,0.0,0.0,44672.5,1915
2025/11/20,23.17,23.51,22.66,23.17,23.17,1.42,0.33,260345.98,11151
2025/11/19,23.17,23.99,22.06,23.17,23.17,3.15,0.73,110634.85,4699
2025/11/18,24.09,24.0,22.89,23.17,24.09,-3.82,-0.92,2108032.5,91775
2025/11/17,24.09,24.47,23.6,24.09,24.09,0.87,0.21,108567.98,4582
2025/11/16,24.09,24.76,23.48,24.09,24.09,1.58,0.38,58630.79,2415
2025/11/13,24.09,24.77,23.04,24.09,24.09,-0.37,-0.09,142080.14,5904
