«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2026/01/13,3.8,3.86,3.67,3.7,3.8,-2.63,-0.1,5.0805284E7,13503587
2026/01/12,3.86,3.93,3.76,3.8,3.86,-1.55,-0.06,5.8584772E7,15236504
2026/01/11,3.7,3.92,3.71,3.86,3.7,4.32,0.16,1.08086376E8,28222756
2026/01/08,3.79,3.82,3.67,3.7,3.79,-2.37,-0.09,8.2424512E7,22009420
2026/01/06,3.6,3.79,3.58,3.79,3.6,5.28,0.19,8.9686848E7,24184911
2026/01/05,3.6,3.76,3.56,3.6,3.6,0.0,0.0,2.1682288E8,59125828
2026/01/04,3.46,3.6,3.48,3.6,3.46,4.05,0.14,1.54652512E8,43663114
2025/12/31,3.35,3.46,3.33,3.46,3.35,3.28,0.11,7.77258E7,22746214
2025/12/30,3.37,3.43,3.33,3.35,3.37,-0.59,-0.02,2.2777546E7,6731972
2025/12/29,3.32,3.37,3.31,3.37,3.32,1.51,0.05,2.814024E7,8396611
2025/12/28,3.31,3.37,3.3,3.32,3.31,0.3,0.01,4.6838896E7,14045399
2025/12/25,3.37,3.4,3.28,3.31,3.37,-1.78,-0.06,3.3688708E7,10147330
2025/12/24,3.23,3.46,3.28,3.37,3.23,4.33,0.14,1.28548912E8,37966741
2025/12/23,3.33,3.35,3.22,3.23,3.33,-3.0,-0.1,5.3376856E7,16348802
2025/12/22,3.37,3.4,3.32,3.33,3.37,-1.19,-0.04,4.748778E7,14093318
2025/12/21,3.46,3.49,3.33,3.37,3.46,-2.6,-0.09,6.7619752E7,19975567
2025/12/18,3.45,3.55,3.41,3.46,3.45,0.29,0.01,1.86163712E8,53465260
2025/12/17,3.29,3.45,3.26,3.45,3.29,4.86,0.16,2.66001728E8,78434577
2025/12/16,3.3,3.38,3.27,3.29,3.3,-0.3,-0.01,1.09480024E8,32904076
