«· «—ÌŒ,› Õ,√⁄·Ï,«·√œ‰Ï,„€·ﬁ,≈ﬁ›«· ”«»ﬁ,«· €Ì— %,«· €Ì—,ﬁÌ„… «· œ«Ê·,ÕÃ„ «· œ«Ê·
2025/07/22,8.76,8.7,8.62,8.69,8.76,-0.91,-0.08,505407.44,58246
2025/07/21,8.76,8.8,8.71,8.76,8.76,0.0,0.0,201183.5,22982
2025/07/20,8.71,8.8,8.62,8.76,8.71,0.34,0.03,916888.56,104793
2025/07/17,8.77,8.87,8.56,8.71,8.77,-0.68,-0.06,1238573.5,141393
2025/07/16,8.75,8.89,8.71,8.77,8.75,-0.46,-0.04,1988903.0,225873
2025/07/15,8.61,8.98,8.66,8.75,8.61,1.05,0.09,4949262.5,561756
2025/07/14,8.54,8.65,8.52,8.61,8.54,0.82,0.07,351867.5,40877
2025/07/13,8.59,8.64,8.5,8.54,8.59,0.58,0.05,344244.13,40308
2025/07/10,8.63,8.68,8.53,8.59,8.63,-0.93,-0.08,622728.5,72306
2025/07/09,8.78,8.8,8.55,8.63,8.78,-1.71,-0.15,995424.81,115198
2025/07/07,8.77,8.87,8.73,8.78,8.77,0.11,0.01,1130238.13,128363
2025/07/06,8.8,8.87,8.75,8.77,8.8,-0.34,-0.03,1163120.0,132480
2025/07/02,8.9,9.16,8.6,8.8,8.9,-1.12,-0.1,1219599.88,138596
2025/07/01,8.87,9.09,8.65,8.9,8.87,0.34,0.03,3607658.5,407643
2025/06/30,8.82,9.45,8.75,8.87,8.82,0.57,0.05,1.1415682E7,1260531
2025/06/29,8.31,8.92,8.41,8.82,8.31,6.14,0.51,2631378.75,302691
2025/06/25,8.21,8.63,8.15,8.31,8.21,5.12,0.42,868168.69,105179
2025/06/24,7.79,8.39,7.9,8.21,7.79,7.7,0.6,1144759.25,141207
2025/06/23,7.69,7.89,7.75,7.79,7.69,1.3,0.1,456103.34,58559
2025/06/22,7.61,7.89,7.05,7.69,7.61,2.37,0.18,688303.75,90768
2025/06/19,8.07,8.01,7.2,7.61,8.07,-5.7,-0.46,1268577.13,163467
2025/06/18,8.0,8.14,7.82,8.07,8.0,0.13,0.01,966789.38,119959
2025/06/17,8.32,8.39,7.95,8.0,8.32,-3.85,-0.32,1240907.75,154257
2025/06/16,8.2,8.48,8.15,8.32,8.2,0.24,0.02,995372.56,119139
2025/06/15,8.47,8.3,7.76,8.2,8.47,-3.19,-0.27,626190.81,76975
2025/06/12,8.73,8.85,8.4,8.47,8.73,-2.63,-0.23,2276894.5,264599
2025/06/11,8.96,9.0,8.7,8.73,8.96,-1.23,-0.11,1399456.0,159374
2025/06/10,9.04,9.15,8.9,8.96,9.04,-0.88,-0.08,1351503.63,150318
2025/06/04,9.15,9.28,9.02,9.04,9.15,-1.2,-0.11,1092940.5,120327
2025/06/03,9.09,9.69,9.1,9.15,9.09,0.77,0.07,3965143.0,426105
2025/06/02,8.82,9.4,8.79,9.09,8.82,3.06,0.27,1.0745305E7,1174560
2025/06/01,8.89,9.15,8.71,8.82,8.89,-1.12,-0.1,2236076.25,252830
2025/05/29,8.5,9.2,8.75,8.89,8.5,4.59,0.39,1.4447195E7,1611570
2025/05/28,8.59,8.77,8.38,8.5,8.59,0.93,0.08,2786453.25,327762
2025/05/27,8.47,8.66,8.31,8.59,8.47,1.42,0.12,1361746.25,159537
2025/05/26,8.32,8.5,8.2,8.47,8.32,2.04,0.17,1691965.25,200488
2025/05/25,8.36,8.45,8.3,8.32,8.36,0.24,0.02,1079075.13,129051
2025/05/22,8.34,8.5,8.22,8.36,8.34,0.24,0.02,412030.63,49191
2025/05/21,8.17,8.41,8.11,8.34,8.17,2.94,0.24,1049024.75,127373
2025/05/20,8.09,8.25,7.82,8.17,8.09,0.49,0.04,1004570.75,123890
2025/05/19,8.19,8.24,7.77,8.09,8.19,-1.22,-0.1,1643179.38,202772
2025/05/18,8.37,8.5,8.03,8.19,8.37,-2.15,-0.18,2458124.0,295042
2025/05/15,8.39,8.45,8.21,8.37,8.39,-0.24,-0.02,2427101.25,290465
2025/05/14,8.46,8.55,8.34,8.39,8.46,-1.42,-0.12,1358641.75,161056
2025/05/13,8.5,8.64,8.4,8.46,8.5,-0.47,-0.04,2027201.0,238846
2025/05/12,8.6,8.79,8.43,8.5,8.6,-1.16,-0.1,3972492.25,465346
2025/05/11,8.8,8.8,8.52,8.6,8.8,-2.27,-0.2,4881289.5,563967
2025/05/08,8.62,8.97,8.52,8.8,8.62,2.09,0.18,7147062.5,815970
2025/05/07,8.88,9.08,8.57,8.62,8.88,-2.93,-0.26,1.3394224E7,1535306
2025/05/06,8.17,9.35,8.12,8.88,8.17,8.69,0.71,2.9617962E7,3331142
2025/05/05,7.97,8.34,8.1,8.17,7.97,2.51,0.2,7155768.0,869131
2025/05/04,7.63,8.2,7.51,7.97,7.63,4.46,0.34,7941230.5,992568
2025/04/30,7.7,7.79,7.55,7.63,7.7,-0.91,-0.07,531298.63,69395
2025/04/29,7.44,7.8,7.5,7.7,7.44,3.49,0.26,3606833.25,472178
2025/04/28,7.41,7.5,7.4,7.44,7.41,0.4,0.03,1545014.25,207603
2025/04/27,7.41,7.53,7.4,7.41,7.41,0.0,0.0,236117.27,31666
2025/04/23,7.41,7.51,7.32,7.41,7.41,0.13,0.01,982271.0,132454
2025/04/22,7.36,7.45,7.32,7.41,7.36,-0.14,-0.01,1577110.63,213196
2025/04/17,7.33,7.5,7.25,7.36,7.33,0.41,0.03,2576642.0,348432
2025/04/16,7.24,7.5,7.19,7.33,7.24,0.83,0.06,2157652.75,294242
2025/04/15,7.2,7.35,7.2,7.24,7.2,0.0,0.0,1200121.88,164848
2025/04/14,7.12,7.29,7.15,7.2,7.12,1.12,0.08,3241596.0,450088
2025/04/13,7.01,7.2,7.06,7.12,7.01,1.57,0.11,524465.75,73569
2025/04/10,7.0,7.26,7.0,7.01,7.0,0.0,0.0,640254.38,91052
2025/04/09,7.23,7.4,6.95,7.0,7.23,-3.18,-0.23,1659672.75,234514
2025/04/08,7.12,7.37,7.14,7.23,7.12,1.54,0.11,4349155.5,598580
2025/04/07,7.05,7.25,6.92,7.12,7.05,0.71,0.05,997701.38,141115
2025/04/06,7.32,7.2,6.81,7.05,7.32,-3.69,-0.27,2406885.5,337417
2025/04/03,7.31,7.45,7.2,7.32,7.31,0.14,0.01,1505517.88,207193
2025/03/27,7.41,7.54,7.3,7.31,7.41,-1.35,-0.1,2542265.25,342993
2025/03/26,7.44,7.65,7.36,7.41,7.44,-0.54,-0.04,1269630.0,169089
2025/03/25,7.63,7.8,7.31,7.44,7.63,-1.7,-0.13,2520860.75,332885
2025/03/24,7.27,7.9,7.3,7.63,7.27,4.95,0.36,6398300.0,841479
2025/03/23,7.2,7.38,7.01,7.27,7.2,0.97,0.07,1223045.88,169096
2025/03/20,7.2,7.29,7.11,7.2,7.2,0.0,0.0,952606.19,132341
2025/03/19,7.14,7.3,7.11,7.2,7.14,0.84,0.06,1304105.63,181175
2025/03/18,7.36,7.4,7.05,7.14,7.36,-2.99,-0.22,1727839.0,241642
2025/03/17,7.4,7.5,7.32,7.36,7.4,-0.54,-0.04,2076621.88,280668
2025/03/16,7.69,7.85,7.35,7.4,7.69,-3.77,-0.29,1.1652403E7,1528206
2025/03/13,7.25,7.75,7.25,7.69,7.25,6.07,0.44,6146828.0,829027
2025/03/12,6.9,7.3,6.94,7.25,6.9,5.07,0.35,7294050.5,1020686
2025/03/11,6.82,7.13,6.6,6.9,6.82,1.17,0.08,8150006.5,1219808
2025/03/10,6.65,7.0,6.67,6.82,6.65,5.26,0.35,460795.69,67753
2025/03/09,6.81,6.8,6.6,6.65,6.81,-2.35,-0.16,812676.5,122201
2025/03/06,6.8,6.97,6.71,6.81,6.8,0.15,0.01,671211.5,98509
2025/03/05,7.0,7.0,6.74,6.8,7.0,-2.86,-0.2,1103516.88,161529
2025/03/04,6.59,7.7,6.7,7.0,6.59,6.22,0.41,3738055.5,522465
2025/03/03,6.59,6.66,6.37,6.59,6.59,-0.61,-0.04,59781.09,9044
2025/03/02,6.59,6.67,6.35,6.59,6.59,-1.52,-0.1,227865.77,35287
2025/02/27,6.59,6.69,6.5,6.59,6.59,1.21,0.08,78938.84,12082
2025/02/26,6.59,6.69,6.41,6.59,6.59,1.52,0.1,38873.81,5909
2025/02/25,6.59,6.6,6.36,6.59,6.59,-1.37,-0.09,30781.4,4747
2025/02/24,6.59,6.54,6.4,6.59,6.59,-1.37,-0.09,224376.63,34786
2025/02/23,6.59,6.7,6.34,6.59,6.59,1.37,0.09,26932.6,4158
2025/02/20,6.64,6.68,6.4,6.59,6.64,-0.75,-0.05,1057273.07,162536
2025/02/19,6.64,6.56,6.26,6.64,6.64,-2.26,-0.15,96285.0,15000
2025/02/17,6.64,6.67,6.4,6.64,6.64,-3.61,-0.24,22970.95,3545
2025/02/12,6.64,6.41,6.4,6.64,6.64,-3.61,-0.24,19179.4,2996
2025/02/11,6.64,6.76,6.4,6.64,6.64,-0.3,-0.02,75074.68,11599
2025/02/10,6.64,6.77,6.45,6.64,6.64,1.96,0.13,241349.16,37088
2025/02/09,6.64,6.79,6.48,6.64,6.64,-2.41,-0.16,3680.72,565
2025/02/06,6.6,6.8,6.53,6.64,6.6,2.73,0.18,540300.44,81607
2025/02/05,6.6,6.77,6.46,6.6,6.6,0.0,0.0,227521.91,34471
2025/02/04,6.6,6.83,6.53,6.6,6.6,2.88,0.19,68213.95,10215
2025/02/03,6.4,6.85,6.4,6.6,6.4,3.12,0.2,845892.94,127868
2025/02/02,6.4,6.8,6.5,6.4,6.4,3.12,0.2,233637.48,35205
2025/01/30,6.4,6.45,6.4,6.4,6.4,0.0,0.0,11201.15,1737
2025/01/29,6.7,6.7,6.4,6.4,6.7,-4.48,-0.3,645972.25,100547
2025/01/28,6.7,6.36,6.36,6.7,6.7,0.0,0.0,3180.0,500
2025/01/27,6.7,6.55,6.33,6.7,6.7,-5.52,-0.37,144155.0,22550
2025/01/26,6.7,6.68,6.43,6.7,6.7,-0.3,-0.02,77488.05,11993
2025/01/23,6.7,6.7,6.45,6.7,6.7,-0.15,-0.01,210019.95,31664
2025/01/22,6.7,6.9,6.6,6.7,6.7,0.0,0.0,176840.27,26389
2025/01/21,6.7,6.74,6.6,6.7,6.7,-1.49,-0.1,109289.0,16490
2025/01/20,6.79,6.95,6.66,6.7,6.79,-1.33,-0.09,621558.38,92705
2025/01/19,6.47,7.1,6.65,6.79,6.47,3.55,0.23,409224.03,60119
2025/01/16,6.47,6.7,6.47,6.47,6.47,3.4,0.22,164908.36,25080
2025/01/15,6.55,6.55,6.22,6.47,6.55,-2.9,-0.19,315073.81,48657
2025/01/14,6.55,6.55,6.43,6.55,6.55,0.0,0.0,261874.5,39990
2025/01/13,6.54,6.74,6.45,6.55,6.54,0.15,0.01,532114.0,81232
2025/01/09,6.54,6.8,6.55,6.54,6.54,3.21,0.21,229591.56,34173
2025/01/08,6.54,6.83,6.56,6.54,6.54,2.91,0.19,295091.13,44032
2025/01/06,6.53,6.86,6.53,6.54,6.53,0.0,0.0,447331.88,67966
2025/01/05,6.53,6.8,6.42,6.53,6.53,0.0,0.0,360135.16,55207
2025/01/02,6.82,6.75,6.41,6.53,6.82,-6.01,-0.41,574125.06,87547
2024/12/31,6.82,6.61,6.57,6.82,6.82,-3.67,-0.25,86391.0,13100
2024/12/30,6.82,6.82,6.8,6.82,6.82,-0.29,-0.02,4446600.0,652000
2024/12/29,6.82,6.96,6.6,6.82,6.82,-3.08,-0.21,33056.6,4960
2024/12/26,6.82,6.99,6.6,6.82,6.82,-3.23,-0.22,34320.39,5200
2024/12/25,6.61,7.1,6.5,6.82,6.61,4.24,0.28,301089.63,44119
2024/12/24,6.61,6.63,6.31,6.61,6.61,0.0,0.0,8457656.0,1279594
2024/12/23,6.63,6.8,6.6,6.61,6.63,-0.3,-0.02,545229.19,82501
2024/12/22,6.63,6.8,6.6,6.63,6.63,-0.45,-0.03,68855.42,10424
2024/12/19,6.68,6.8,6.61,6.63,6.68,-0.9,-0.06,310955.94,46911
2024/12/18,6.65,6.91,6.6,6.68,6.65,0.75,0.05,543181.94,81063
2024/12/17,6.65,6.92,6.62,6.65,6.65,1.35,0.09,143890.42,21426
2024/12/16,6.91,6.76,6.61,6.65,6.91,-3.76,-0.26,575087.06,86355
2024/12/15,6.91,6.98,6.67,6.91,6.91,-3.47,-0.24,20240.66,3011
2024/12/12,6.91,6.75,6.62,6.91,6.91,-3.33,-0.23,178609.09,26547
2024/12/11,6.91,6.9,6.65,6.91,6.91,-2.17,-0.15,97155.24,14409
2024/12/10,6.91,6.99,6.65,6.91,6.91,-3.04,-0.21,124190.32,18561
2024/12/09,6.84,7.0,6.75,6.91,6.84,0.44,0.03,875427.94,126732
2024/12/08,6.84,6.9,6.7,6.84,6.84,0.0,0.0,75831.16,11222
2024/12/05,6.84,6.94,6.8,6.84,6.84,0.0,0.0,293731.69,43109
2024/12/04,6.81,7.01,6.67,6.84,6.81,0.44,0.03,1285971.25,187165
2024/12/03,6.85,7.14,6.62,6.81,6.85,-0.58,-0.04,1608875.0,236192
2024/12/02,6.85,7.1,6.67,6.85,6.85,-1.46,-0.1,139780.72,20699
2024/12/01,6.98,7.0,6.6,6.85,6.98,-1.86,-0.13,2.4297086E7,3569860
2024/11/28,6.71,7.2,6.53,6.98,6.71,4.02,0.27,5346699.0,782313
2024/11/27,6.91,7.21,6.61,6.71,6.91,-4.34,-0.3,366132.41,54214
2024/11/26,6.91,7.39,6.76,6.91,6.91,-1.59,-0.11,134202.95,19664
2024/11/25,6.91,7.39,6.9,6.91,6.91,0.29,0.02,247952.19,35610
2024/11/24,7.14,7.16,6.82,6.91,7.14,-3.22,-0.23,511896.19,73845
2024/11/21,7.25,7.8,7.1,7.14,7.25,-1.52,-0.11,732561.19,101375
2024/11/20,7.78,7.67,7.21,7.25,7.78,-7.33,-0.57,768179.81,105430
2024/11/19,7.78,7.6,7.5,7.78,7.78,-2.31,-0.18,150919.14,19875
2024/11/18,7.85,7.86,7.7,7.78,7.85,-1.91,-0.15,490761.03,62896
2024/11/17,7.88,7.9,7.77,7.85,7.88,-1.4,-0.11,1469622.0,187091
2024/11/14,7.88,8.0,7.75,7.88,7.88,1.52,0.12,79439.0,10120
